scope,stratum,planned_cells,terminated_cells,velocity_valid_cells,velocity_vx_relative_rmse_mean,velocity_yaw_rmse_radps_mean,heading_valid_cells,heading_rmse_rad_mean,gait_valid_cells,gait_agreement_boundary_excluded_mean,gait_duty_factor_abs_error_mean,classification_valid_cells,classification_unclassified_cells,classification_row_accuracy,classification_family_accuracy,raw_load_valid_cells,absolute_work_total_j_mean,grf_load_valid_cells,vertical_grf_impulse_total_ns_mean,normalized_load_valid_cells,normalized_torque_squared_total_s_mean,velocity_success_domain_cells,velocity_success_cells,gait_success_domain_cells,gait_success_cells,joint_success_domain_cells,joint_success_cells
row,bound,6,0,6,0.03911702489082588,0.056928614351948126,6,0.03281937427239705,6,0.9046761681371077,0.12272247878315802,6,0,1.0,1.0,6,2638.403378742563,6,1430.7806987065626,6,6.698782843227547,6,2,6,6,6,2
row,gallop_a,6,0,6,0.04202104086585939,0.07687597843429657,6,0.030314502703177374,6,0.8124279171503382,0.15346328180225693,6,1,0.0,0.0,6,2504.4760944996756,6,1443.8225388355925,6,6.629482294376192,6,0,6,0,6,0
row,gallop_b,6,0,6,0.043924502544207926,0.07542695957566113,6,0.030912414993849776,6,0.8823845552644684,0.13916460104164194,6,0,1.0,1.0,6,1839.5969281081755,6,1439.875285263465,6,5.002422938735871,6,0,6,5,6,0
row,gallop_c,6,0,6,0.04230692780976326,0.07442117806568332,6,0.04962026109881371,6,0.814884861637294,0.15644445281273184,6,0,0.0,0.0,6,2382.613112318987,6,1426.3993533436396,6,6.327029026400775,6,0,6,0,6,0
row,gallop_d,6,0,6,0.04755300700383425,0.06852047485782838,6,0.028360594902403887,6,0.8782289134845042,0.13982219212418462,6,0,0.8333333333333334,0.8333333333333334,6,1848.638977241217,6,1465.9572321691114,6,4.800452234189925,6,0,6,5,6,0
row,half_bound_front_a,6,0,6,0.043961275456683685,0.06311357461391175,6,0.0310238455070201,6,0.8568786547510109,0.1480364053605602,6,1,0.5,0.5,6,2281.790299884442,6,1431.68269385575,6,6.430368335105279,6,0,6,2,6,0
row,half_bound_front_b,6,0,6,0.04428249190213419,0.06811787171618709,6,0.022158942562004822,6,0.8517359859375381,0.14140606880063908,6,1,0.0,0.0,6,2493.24248590212,6,1434.9669797665626,6,6.5185127600004975,6,0,6,0,6,0
row,half_bound_hind_a,6,0,6,0.04766398546396041,0.07241549993818003,6,0.018195891379542084,6,0.8655531113409984,0.14703125165082256,6,0,0.16666666666666666,0.16666666666666666,6,2481.0516422486103,6,1438.1054428604866,6,6.514374071127398,6,0,6,1,6,0
row,half_bound_hind_b,6,0,6,0.04559231677143715,0.07591951575170695,6,0.06103907681099049,6,0.8435875434952301,0.1485901012390066,6,2,0.16666666666666666,0.16666666666666666,6,2544.7979979278994,6,1432.4879801255277,6,6.367445111115164,6,0,6,1,6,0
row,trot,6,0,6,0.030171688866451538,0.04433782495835159,6,0.01271206402344615,6,0.8732052859926478,0.1568644888183434,6,0,1.0,1.0,6,790.7304057800579,6,1486.2287597960233,6,2.895282716321141,6,5,6,5,6,5
family,bound,6,0,6,0.03911702489082588,0.056928614351948126,6,0.03281937427239705,6,0.9046761681371077,0.12272247878315802,6,0,1.0,1.0,6,2638.403378742563,6,1430.7806987065626,6,6.698782843227547,6,2,6,6,6,2
family,gallop,24,0,24,0.0439513695559162,0.07381114773336735,24,0.03480194342456119,24,0.8469815618841512,0.14722363194520383,24,1,0.4583333333333333,0.4583333333333333,24,2143.8312780420138,24,1444.0136024029523,24,5.689846623425691,24,0,24,10,24,0
family,half_bound,24,0,24,0.04537501739855385,0.06989161550499645,24,0.03310443906488937,24,0.8544388238811944,0.1462659567627571,24,4,0.20833333333333334,0.20833333333333334,24,2450.220606490768,24,1434.3107741520819,24,6.457675069337085,24,0,24,4,24,0
family,trot,6,0,6,0.030171688866451538,0.04433782495835159,6,0.01271206402344615,6,0.8732052859926478,0.1568644888183434,6,0,1.0,1.0,6,790.7304057800579,6,1486.2287597960233,6,2.895282716321141,6,5,6,5,6,5
velocity,+0.5 m/s,10,0,10,0.08543827649704358,0.07522336539757386,10,0.07002304338989294,10,0.8828794749694332,0.11019599659842734,10,3,0.5,0.5,10,1460.1628753099058,10,1427.1462798073887,10,4.503461789573446,10,1,10,5,10,1
velocity,+1 m/s,10,0,10,0.03529224006782305,0.06556251952456363,10,0.03490257531484834,10,0.8418742452050576,0.1630365087360632,10,0,0.5,0.5,10,2012.891362529404,10,1473.5872012680247,10,4.657813797169722,10,2,10,5,10,2
velocity,+1.5 m/s,10,0,10,0.021281395209857532,0.06880292583735009,10,0.018210972756503314,10,0.774312901887305,0.229778596162796,10,0,0.4,0.4,10,2248.0055948107706,10,1472.7534456043245,10,4.817453872588922,10,0,10,1,10,0
velocity,-0.5 m/s,10,0,10,0.054335230854547015,0.060786303641104725,10,0.025945698749028218,10,0.9036025431436968,0.10003305673599243,10,0,0.4,0.4,10,1786.616645453461,10,1406.8558179031293,10,6.036990772779323,10,2,10,4,10,2
velocity,-1 m/s,10,0,10,0.03482854632796615,0.06808907894682248,10,0.022894527113685552,10,0.8807569185707773,0.12446068906393208,10,1,0.4,0.4,10,2392.0781855324217,10,1443.9206505042537,10,7.055541939569996,10,1,10,4,10,1
velocity,-1.5 m/s,10,0,10,0.024780867987857277,0.06718230201083819,10,0.018317363628228896,10,0.8667117145384129,0.144622346162796,10,1,0.6,0.6,10,3183.4501299562853,10,1433.9207837465124,10,7.839229226678465,10,1,10,6,10,1
direction,backward,30,0,30,0.03798154839012348,0.06535256153292181,30,0.022385863163647553,30,0.8836903920842957,0.12303869732090683,30,2,0.4666666666666667,0.4666666666666667,30,2454.0483203140557,30,1428.2324173846318,30,6.977253979675927,30,4,30,14,30,4
direction,forward,30,0,30,0.04733730392490806,0.06986293691982919,30,0.04104553048708153,30,0.8330222073539318,0.1676703671657622,30,3,0.4666666666666667,0.4666666666666667,30,1907.0199442166934,30,1457.8289755599128,30,4.65957648644403,30,3,30,11,30,3
policy,c77c261fd41f59155a84d87df45ed294b10235fb549495777ceffa556a1f5687,60,0,60,0.042659426157515765,0.0676077492263755,60,0.03171569682536454,60,0.8583562997191138,0.14535453224333453,60,5,0.4666666666666667,0.4666666666666667,60,2180.534132265375,60,1443.0306964722722,60,5.818415233059979,60,7,60,25,60,7
