positive_cell_id,negative_cell_id,gait_index,partner_gait_index,family,speed_mps,positive_vx_bias_mps,negative_vx_bias_mps,directed_positive_bias_mps,directed_negative_bias_mps,paired_directional_bias_mps,directional_asymmetry_mps,positive_measured_vx_mps,negative_measured_vx_mps,e_pair_bias_mps,e_pair_bias_normalized,e_pair_bias_epsilon_mps,e_pair_bias_definition
gait_00_trot__vx_pos_0p5__seed_0042,gait_00_trot__vx_neg_0p5__seed_0042,0,0,trot,0.5,0.0015781052857945918,0.009946643997670207,0.0015781052857945918,-0.009946643997670207,-0.004184269355937808,0.011524749283464798,0.5015781052857946,-0.4900533560023298,0.011524749283464808,0.01152473775872705,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p0__seed_0042,gait_00_trot__vx_neg_1p0__seed_0042,0,0,trot,1.0,-0.0007805016929986047,0.019957643674045313,-0.0007805016929986047,-0.019957643674045313,-0.01036907268352196,0.019177141981046707,0.9992194983070014,-0.9800423563259547,0.019177141981046697,0.00958856619624025,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p5__seed_0042,gait_00_trot__vx_neg_1p5__seed_0042,0,0,trot,1.5,-0.013522544751564662,0.01066250205039978,-0.013522544751564662,-0.01066250205039978,-0.01209252340098222,-0.0028600427011648815,1.4864774552484354,-1.4893374979496001,0.002860042701164689,0.0009533472492724798,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_0p5__seed_0042,gait_01_bound__vx_neg_0p5__seed_0042,1,1,bound,0.5,-0.008801700103850592,0.03401735258398589,-0.008801700103850592,-0.03401735258398589,-0.02140952634391824,0.025215652480135298,0.4911982998961494,-0.4659826474160141,0.025215652480135298,0.025215627264508034,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p0__seed_0042,gait_01_bound__vx_neg_1p0__seed_0042,1,1,bound,1.0,0.002473606071511253,0.0365104791326601,0.002473606071511253,-0.0365104791326601,-0.017018436530574423,0.03898408520417135,1.0024736060715111,-0.9634895208673399,0.03898408520417129,0.01949203285606922,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p5__seed_0042,gait_01_bound__vx_neg_1p5__seed_0042,1,1,bound,1.5,0.0010746096571286519,0.024709840615590412,0.0010746096571286519,-0.024709840615590412,-0.01181761547923088,0.025784450272719063,1.5010746096571286,-1.4752901593844097,0.025784450272718917,0.008594813892635007,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_0p5__seed_0042,gait_03_half_bound__vx_neg_0p5__seed_0042,2,3,half_bound,0.5,-0.01050881316449578,0.03862096526607964,-0.01050881316449578,-0.03862096526607964,-0.02456488921528771,0.028112152101583857,0.48949118683550424,-0.4613790347339204,0.028112152101583854,0.028112123989459867,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p0__seed_0042,gait_03_half_bound__vx_neg_1p0__seed_0042,2,3,half_bound,1.0,0.005031190201884411,0.0336934216931218,0.005031190201884411,-0.0336934216931218,-0.014331115745618694,0.03872461189500621,1.0050311902018845,-0.9663065783068782,0.03872461189500631,0.019362296266355022,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p5__seed_0042,gait_03_half_bound__vx_neg_1p5__seed_0042,2,3,half_bound,1.5,0.009405776858329773,0.018735481798648833,0.009405776858329773,-0.018735481798648833,-0.00466485247015953,0.028141258656978606,1.5094057768583298,-1.481264518201351,0.028141258656978696,0.009380416425520757,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_0p5__seed_0042,gait_02_half_bound__vx_neg_0p5__seed_0042,3,2,half_bound,0.5,0.014833609139697152,0.016449815738275184,0.014833609139697152,-0.016449815738275184,-0.0008081032992890156,0.03128342487797234,0.5148336091396971,-0.4835501842617248,0.03128342487797231,0.03128339359457872,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p0__seed_0042,gait_02_half_bound__vx_neg_1p0__seed_0042,3,2,half_bound,1.0,0.018520666805447124,0.04017082003296399,0.018520666805447124,-0.04017082003296399,-0.010825076613758432,0.05869148683841111,1.0185206668054472,-0.959829179967036,0.05869148683841119,0.02934572874634122,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p5__seed_0042,gait_02_half_bound__vx_neg_1p5__seed_0042,3,2,half_bound,1.5,0.014363158245881398,0.0255629134674867,0.014363158245881398,-0.0255629134674867,-0.00559987761080265,0.039926071713368094,1.5143631582458814,-1.4744370865325134,0.03992607171336804,0.013308686134893968,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_0p5__seed_0042,gait_05_half_bound__vx_neg_0p5__seed_0042,4,5,half_bound,0.5,-0.007899911260506135,0.03940085520655472,-0.007899911260506135,-0.03940085520655472,-0.023650383233530428,0.03150094394604859,0.49210008873949385,-0.46059914479344527,0.031500943946048576,0.031500912445136135,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_1p0__seed_0042,gait_05_half_bound__vx_neg_1p0__seed_0042,4,5,half_bound,1.0,0.0008293522185966617,0.044675541950053854,0.0008293522185966617,-0.044675541950053854,-0.021923094865728597,0.045504894168650514,1.0008293522185967,-0.9553244580499461,0.045504894168650556,0.02275243570810742,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_1p5__seed_0042,gait_05_half_bound__vx_neg_1p5__seed_0042,4,5,half_bound,1.5,0.00800427570939064,0.03073652684688568,0.00800427570939064,-0.03073652684688568,-0.011366125568747519,0.03874080255627632,1.5080042757093906,-1.4692634731531142,0.03874080255627632,0.012913596547559924,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_05_half_bound__vx_pos_0p5__seed_0042,gait_04_half_bound__vx_neg_0p5__seed_0042,5,4,half_bound,0.5,0.01268976260416256,0.025560572095539257,0.01268976260416256,-0.025560572095539257,-0.006435404745688348,0.03825033469970182,0.5126897626041625,-0.47443942790446075,0.03825033469970179,0.03825029644940535,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_05_half_bound__vx_pos_1p0__seed_0042,gait_04_half_bound__vx_neg_1p0__seed_0042,5,4,half_bound,1.0,0.017976669380899337,0.020572737103602926,0.017976669380899337,-0.020572737103602926,-0.0012980338613517942,0.038549406484502266,1.0179766693808994,-0.979427262896397,0.038549406484502335,0.019274693604904365,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_05_half_bound__vx_pos_1p5__seed_0042,gait_04_half_bound__vx_neg_1p5__seed_0042,5,4,half_bound,1.5,0.011848426113526026,0.01899279231826464,0.011848426113526026,-0.01899279231826464,-0.003572183102369308,0.03084121843179067,1.511848426113526,-1.4810072076817353,0.030841218431790773,0.010280402717129352,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_06_gallop__vx_pos_0p5__seed_0042,gait_08_gallop__vx_neg_0p5__seed_0042,6,8,gallop,0.5,0.009263765491067005,0.03408473847322089,0.009263765491067005,-0.03408473847322089,-0.012410486491076941,0.043348503964287896,0.509263765491067,-0.4659152615267791,0.04334850396428791,0.0433484606158273,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_06_gallop__vx_pos_1p0__seed_0042,gait_08_gallop__vx_neg_1p0__seed_0042,6,8,gallop,1.0,0.014669280071727565,0.03560667521640903,0.014669280071727565,-0.03560667521640903,-0.010468697572340731,0.050275955288136595,1.0146692800717276,-0.964393324783591,0.050275955288136664,0.025137965075085793,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_06_gallop__vx_pos_1p5__seed_0042,gait_08_gallop__vx_neg_1p5__seed_0042,6,8,gallop,1.5,0.012665492792924246,0.02045207843184471,0.012665492792924246,-0.02045207843184471,-0.0038932928194602328,0.03311757122476896,1.5126654927929242,-1.4795479215681553,0.03311757122476888,0.011039186728527384,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_07_gallop__vx_pos_0p5__seed_0042,gait_09_gallop__vx_neg_0p5__seed_0042,7,9,gallop,0.5,-0.018876430842693796,0.011665015734007146,-0.018876430842693796,-0.011665015734007146,-0.015270723288350472,-0.0072114151086866505,0.4811235691573062,-0.48833498426599287,0.00721141510868667,0.0072114078972787725,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_07_gallop__vx_pos_1p0__seed_0042,gait_09_gallop__vx_neg_1p0__seed_0042,7,9,gallop,1.0,-0.0028500730385545825,0.0511943022491502,-0.0028500730385545825,-0.0511943022491502,-0.02702218764385239,0.04834422921059561,0.9971499269614454,-0.9488056977508498,0.04834422921059567,0.024172102519246574,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_07_gallop__vx_pos_1p5__seed_0042,gait_09_gallop__vx_neg_1p5__seed_0042,7,9,gallop,1.5,0.003282152861356735,0.04462826003630956,0.003282152861356735,-0.04462826003630956,-0.020673053587476415,0.047910412897666295,1.5032821528613567,-1.4553717399636905,0.04791041289766618,0.015970132309177956,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_08_gallop__vx_pos_0p5__seed_0042,gait_06_gallop__vx_neg_0p5__seed_0042,8,6,gallop,0.5,-0.005712180033974026,0.02570889010932875,-0.005712180033974026,-0.02570889010932875,-0.015710535071651387,0.019996710075354723,0.494287819966026,-0.47429110989067125,0.01999671007535475,0.019996690078664673,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_08_gallop__vx_pos_1p0__seed_0042,gait_06_gallop__vx_neg_1p0__seed_0042,8,6,gallop,1.0,0.010560373546647244,0.016811527800364573,0.010560373546647244,-0.016811527800364573,-0.0031255771268586642,0.02737190134701182,1.0105603735466473,-0.9831884721996355,0.02737190134701184,0.013685943830534003,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_08_gallop__vx_pos_1p5__seed_0042,gait_06_gallop__vx_neg_1p5__seed_0042,8,6,gallop,1.5,0.01265582541624705,0.014426633218924205,0.01265582541624705,-0.014426633218924205,-0.0008854039013385774,0.027082458635171253,1.512655825416247,-1.4855733667810758,0.027082458635171225,0.009027483202562674,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_09_gallop__vx_pos_0p5__seed_0042,gait_07_gallop__vx_neg_0p5__seed_0042,9,7,gallop,0.5,0.01713524626155324,0.01544682548900075,0.01713524626155324,-0.01544682548900075,0.0008442103862762451,0.03258207175055399,0.5171352462615533,-0.4845531745109993,0.032582071750554,0.032582039168514834,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_09_gallop__vx_pos_1p0__seed_0042,gait_07_gallop__vx_neg_1p0__seed_0042,9,7,gallop,1.0,0.015783164222709468,0.02413846076023383,0.015783164222709468,-0.02413846076023383,-0.004177648268762182,0.0399216249829433,1.0157831642227095,-0.9758615392397662,0.03992162498294338,0.019960802511070436,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_09_gallop__vx_pos_1p5__seed_0042,gait_07_gallop__vx_neg_1p5__seed_0042,9,7,gallop,1.5,0.02231765886147817,0.02485138749082883,0.02231765886147817,-0.02485138749082883,-0.0012668643146753304,0.047169046352307,1.5223176588614782,-1.475148612509171,0.04716904635230712,0.015723010209765634,1e-06,abs(mean_vx_pos + mean_vx_neg)
