cell_id,planned_row,planned_family,classified_row,classified_family,classification_score_cycles,classification_margin_cycles,classification_domain_valid,classification_domain_reason
gait_00_trot__vx_neg_1p5__seed_0042,trot,trot,trot,trot,0.03512030462902197,0.12105729320915679,True,
gait_00_trot__vx_neg_1p0__seed_0042,trot,trot,trot,trot,0.0185317222271837,0.1421946072336816,True,
gait_00_trot__vx_neg_0p5__seed_0042,trot,trot,trot,trot,0.023683602434134848,0.1450899911135158,True,
gait_00_trot__vx_pos_0p5__seed_0042,trot,trot,trot,trot,0.04060455206176877,0.10398048451475395,True,
gait_00_trot__vx_pos_1p0__seed_0042,trot,trot,trot,trot,0.031001165144485855,0.11973347844723091,True,
gait_00_trot__vx_pos_1p5__seed_0042,trot,trot,trot,trot,0.02075254493789072,0.14615098877085814,True,
gait_01_bound__vx_neg_1p5__seed_0042,bound,bound,bound,bound,0.057094629419252564,0.05233995780735309,True,
gait_01_bound__vx_neg_1p0__seed_0042,bound,bound,bound,bound,0.03281507793228109,0.07253920808209313,True,
gait_01_bound__vx_neg_0p5__seed_0042,bound,bound,bound,bound,0.029971574881006696,0.09548212935084736,True,
gait_01_bound__vx_pos_0p5__seed_0042,bound,bound,bound,bound,0.04258404564096974,0.08147059887384546,True,
gait_01_bound__vx_pos_1p0__seed_0042,bound,bound,bound,bound,0.021559464876080403,0.08756433123556646,True,
gait_01_bound__vx_pos_1p5__seed_0042,bound,bound,bound,bound,0.023318116180732856,0.09366223760459154,True,
gait_02_half_bound__vx_neg_1p5__seed_0042,half_bound_front_a,half_bound,unclassified,unclassified,0.08659512960712466,0.007478429796916791,True,
gait_02_half_bound__vx_neg_1p0__seed_0042,half_bound_front_a,half_bound,unclassified,unclassified,0.07993156311717986,0.0027292985296782507,True,
gait_02_half_bound__vx_neg_0p5__seed_0042,half_bound_front_a,half_bound,unclassified,unclassified,0.140248476829234,0.0026243562498270423,True,
gait_02_half_bound__vx_pos_0p5__seed_0042,half_bound_front_a,half_bound,unclassified,unclassified,0.0746057956553285,0.009932039167377643,True,
gait_02_half_bound__vx_pos_1p0__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.05855706499505437,0.033976944754200746,True,
gait_02_half_bound__vx_pos_1p5__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.04980361263671251,0.054854131752407456,True,
gait_03_half_bound__vx_neg_1p5__seed_0042,half_bound_front_b,half_bound,bound,bound,0.0553994315589039,0.03471570068938679,True,
gait_03_half_bound__vx_neg_1p0__seed_0042,half_bound_front_b,half_bound,bound,bound,0.05505538385162979,0.03858541959091117,True,
gait_03_half_bound__vx_neg_0p5__seed_0042,half_bound_front_b,half_bound,bound,bound,0.061949347578222645,0.025980218741877385,True,
gait_03_half_bound__vx_pos_0p5__seed_0042,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.06276812285847637,0.010766886629517913,True,
gait_03_half_bound__vx_pos_1p0__seed_0042,half_bound_front_b,half_bound,bound,bound,0.047176366593906914,0.037765665648016845,True,
gait_03_half_bound__vx_pos_1p5__seed_0042,half_bound_front_b,half_bound,bound,bound,0.03967449809385796,0.05706729779336473,True,
gait_04_half_bound__vx_neg_1p5__seed_0042,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.051133874360439334,0.05628852242023933,True,
gait_04_half_bound__vx_neg_1p0__seed_0042,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.03721735381414004,0.0736422103221735,True,
gait_04_half_bound__vx_neg_0p5__seed_0042,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.0551997160097745,0.04634068502434645,True,
gait_04_half_bound__vx_pos_0p5__seed_0042,half_bound_hind_a,half_bound,bound,bound,0.07513301741764365,0.010098612761831327,True,
gait_04_half_bound__vx_pos_1p0__seed_0042,half_bound_hind_a,half_bound,unclassified,unclassified,0.07024546368769281,0.007272993382156728,True,
gait_04_half_bound__vx_pos_1p5__seed_0042,half_bound_hind_a,half_bound,unclassified,unclassified,0.07073367170448691,0.009369443568796224,True,
gait_05_half_bound__vx_neg_1p5__seed_0042,half_bound_hind_b,half_bound,bound,bound,0.07976657933037296,0.019318902358543763,True,
gait_05_half_bound__vx_neg_1p0__seed_0042,half_bound_hind_b,half_bound,unclassified,unclassified,0.06568184591965137,0.008202527214817679,True,
gait_05_half_bound__vx_neg_0p5__seed_0042,half_bound_hind_b,half_bound,unclassified,unclassified,0.07041673653615882,0.003655806678695986,True,
gait_05_half_bound__vx_pos_0p5__seed_0042,half_bound_hind_b,half_bound,bound,bound,0.05152332510224511,0.05407261751645469,True,
gait_05_half_bound__vx_pos_1p0__seed_0042,half_bound_hind_b,half_bound,bound,bound,0.034662339596138826,0.07032616817046067,True,
gait_05_half_bound__vx_pos_1p5__seed_0042,half_bound_hind_b,half_bound,bound,bound,0.03295833298386586,0.08222483456949357,True,
gait_06_gallop__vx_neg_1p5__seed_0042,gallop_a,gallop,half_bound_hind_a,half_bound,0.053510130403802085,0.04690364261381331,True,
gait_06_gallop__vx_neg_1p0__seed_0042,gallop_a,gallop,half_bound_hind_a,half_bound,0.04876908229678149,0.045444029077435756,True,
gait_06_gallop__vx_neg_0p5__seed_0042,gallop_a,gallop,bound,bound,0.06058724041887928,0.028859397536222825,True,
gait_06_gallop__vx_pos_0p5__seed_0042,gallop_a,gallop,unclassified,unclassified,0.07609656220872434,0.008872433272596736,True,
gait_06_gallop__vx_pos_1p0__seed_0042,gallop_a,gallop,bound,bound,0.06789773570545231,0.027043405411742744,True,
gait_06_gallop__vx_pos_1p5__seed_0042,gallop_a,gallop,bound,bound,0.05895886610165727,0.036435383324478356,True,
gait_07_gallop__vx_neg_1p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.049036272106511125,0.08356683886026514,True,
gait_07_gallop__vx_neg_1p0__seed_0042,gallop_b,gallop,gallop_b,gallop,0.039585835713219296,0.08511261752161489,True,
gait_07_gallop__vx_neg_0p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.03411053204457004,0.10771613277790162,True,
gait_07_gallop__vx_pos_0p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.03370093951382778,0.0897026531880403,True,
gait_07_gallop__vx_pos_1p0__seed_0042,gallop_b,gallop,gallop_b,gallop,0.03453528143407719,0.06855215306874614,True,
gait_07_gallop__vx_pos_1p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.029674605651646636,0.07187849177140165,True,
gait_08_gallop__vx_neg_1p5__seed_0042,gallop_c,gallop,bound,bound,0.08866366912708779,0.011647975984957704,True,
gait_08_gallop__vx_neg_1p0__seed_0042,gallop_c,gallop,bound,bound,0.06005594728901726,0.040974472602425795,True,
gait_08_gallop__vx_neg_0p5__seed_0042,gallop_c,gallop,bound,bound,0.05689466276595295,0.04129996370298701,True,
gait_08_gallop__vx_pos_0p5__seed_0042,gallop_c,gallop,unclassified,unclassified,0.06729697673809032,0.006625996299990569,True,
gait_08_gallop__vx_pos_1p0__seed_0042,gallop_c,gallop,half_bound_front_a,half_bound,0.05762281581080067,0.017577784507949043,True,
gait_08_gallop__vx_pos_1p5__seed_0042,gallop_c,gallop,half_bound_front_a,half_bound,0.05912588590447072,0.03453267110556462,True,
gait_09_gallop__vx_neg_1p5__seed_0042,gallop_d,gallop,unclassified,unclassified,0.09485764159715963,0.0015534219802906951,True,
gait_09_gallop__vx_neg_1p0__seed_0042,gallop_d,gallop,gallop_d,gallop,0.052106449378509445,0.04145794878814345,True,
gait_09_gallop__vx_neg_0p5__seed_0042,gallop_d,gallop,gallop_d,gallop,0.062176794569239795,0.04646417042700469,True,
gait_09_gallop__vx_pos_0p5__seed_0042,gallop_d,gallop,gallop_d,gallop,0.05869186838902074,0.027525672519606595,True,
gait_09_gallop__vx_pos_1p0__seed_0042,gallop_d,gallop,half_bound_front_b,half_bound,0.07974820129341294,0.01855321178696534,True,
gait_09_gallop__vx_pos_1p5__seed_0042,gallop_d,gallop,bound,bound,0.05981516194688655,0.03256637664594088,True,
