operator,scope,stratum,planned_pairs,analyzed_pairs,paired_velocity_bias_mean,paired_velocity_bias_valid_pairs,paired_velocity_bias_coverage_fraction,paired_yaw_bias_mean,paired_yaw_bias_valid_pairs,paired_yaw_bias_coverage_fraction,paired_contact_pattern_error_mean,paired_contact_pattern_error_valid_pairs,paired_contact_pattern_error_coverage_fraction,paired_touchdown_phase_error_mean,paired_touchdown_phase_error_valid_pairs,paired_touchdown_phase_error_coverage_fraction,paired_joint_position_error_mean,paired_joint_position_error_valid_pairs,paired_joint_position_error_coverage_fraction,paired_joint_velocity_error_mean,paired_joint_velocity_error_valid_pairs,paired_joint_velocity_error_coverage_fraction,paired_actor_mean_consistency_error_mean,paired_actor_mean_consistency_error_valid_pairs,paired_actor_mean_consistency_error_coverage_fraction,paired_normalized_target_consistency_error_mean,paired_normalized_target_consistency_error_valid_pairs,paired_normalized_target_consistency_error_coverage_fraction,paired_value_consistency_error_mean,paired_value_consistency_error_valid_pairs,paired_value_consistency_error_coverage_fraction,paired_torque_pattern_error_mean,paired_torque_pattern_error_valid_pairs,paired_torque_pattern_error_coverage_fraction,paired_work_pattern_error_mean,paired_work_pattern_error_valid_pairs,paired_work_pattern_error_coverage_fraction,paired_grf_pattern_error_mean,paired_grf_pattern_error_valid_pairs,paired_grf_pattern_error_coverage_fraction
temporal_reversal,overall,all,30,30,0.033161936256228826,30,1.0,0.020120210984715423,30,1.0,0.10779082008199745,30,1.0,0.04688700724792521,30,1.0,0.18341802560205311,30,1.0,4.075868754206954,30,1.0,1.3317670721203376,30,1.0,0.3033808660692031,30,1.0,0.041876589844688214,30,1.0,4.735008514275129,30,1.0,33.029777306451535,30,1.0,33.626515174486045,30,1.0
temporal_reversal,family,bound,3,3,0.029762200756217664,3,1.0,0.010952169538947227,3,1.0,0.072536352814385,3,1.0,0.046011802735901,3,1.0,0.1859731784853723,3,1.0,4.200751578523188,3,1.0,1.1900896119402062,3,1.0,0.24181427468398184,3,1.0,0.04338610573643673,3,1.0,4.695634943395387,3,1.0,35.45752288940434,3,1.0,35.004627267835055,3,1.0
temporal_reversal,family,gallop,12,12,0.035385016753587205,12,1.0,0.029867575799439296,12,1.0,0.12692453846771803,12,1.0,0.045381278905049026,12,1.0,0.1871463237862981,12,1.0,4.288093443613213,12,1.0,1.3259894568710993,12,1.0,0.307267618484309,12,1.0,0.044178999720616674,12,1.0,4.96178018908313,12,1.0,36.69439600301512,12,1.0,35.13036062337189,12,1.0
temporal_reversal,family,half_bound,12,12,0.03733270691882344,12,1.0,0.016949289315031233,12,1.0,0.10915027409315174,12,1.0,0.04676737423631075,12,1.0,0.19025216538818138,12,1.0,4.235757853018151,12,1.0,1.2595899646471445,12,1.0,0.26900511761363505,12,1.0,0.04035554824294834,12,1.0,4.999000761474381,12,1.0,35.066741192227965,12,1.0,35.57642348245102,12,1.0
temporal_reversal,family,trot,3,3,0.010986267116427998,3,1.0,0.002982479850324854,3,1.0,0.06107259776211044,3,1.0,0.05426365717791203,3,1.0,0.13861312083724067,3,1.0,2.4625307770208966,3,1.0,1.785263423190197,3,1.0,0.48690344161627364,3,1.0,0.03724160085618533,3,1.0,2.8113263971258626,3,1.0,7.795701394138672,3,1.0,18.433388053733676,3,1.0
temporal_reversal,direction,positive_to_negative,30,30,0.033161936256228826,30,1.0,0.020120210984715423,30,1.0,0.10779082008199745,30,1.0,0.04688700724792521,30,1.0,0.18341802560205311,30,1.0,4.075868754206954,30,1.0,1.3317670721203376,30,1.0,0.3033808660692031,30,1.0,0.041876589844688214,30,1.0,4.735008514275129,30,1.0,33.029777306451535,30,1.0,33.626515174486045,30,1.0
temporal_reversal,speed,0.5 m/s,10,10,0.026837847570019075,10,1.0,0.018890855952553128,10,1.0,0.08701953125000002,10,1.0,0.027692086489131677,10,1.0,0.19019883223118744,10,1.0,3.61550832951653,10,1.0,1.185297158637772,10,1.0,0.26831769084085505,10,1.0,0.02844331806499867,10,1.0,4.676114179903179,10,1.0,33.386222247649286,10,1.0,31.81487762750998,10,1.0
temporal_reversal,speed,1 m/s,10,10,0.04058258115864899,10,1.0,0.02411317718084142,10,1.0,0.10682215536794355,10,1.0,0.04395779352241351,10,1.0,0.1800676419534023,10,1.0,4.204819237376004,10,1.0,1.2959767026739133,10,1.0,0.28288787143051086,10,1.0,0.04545711878157808,10,1.0,4.7927238801620415,10,1.0,33.231244654219836,10,1.0,34.039922136942295,10,1.0
temporal_reversal,speed,1.5 m/s,10,10,0.03206538004001841,10,1.0,0.01735659982075171,10,1.0,0.12953077362804877,10,1.0,0.06901114173223043,10,1.0,0.17998760262156954,10,1.0,4.407278695728328,10,1.0,1.5140273550493277,10,1.0,0.3589370359362435,10,1.0,0.051729332687487875,10,1.0,4.736187482760167,10,1.0,32.471865017485484,10,1.0,35.02474575900584,10,1.0
temporal_reversal,robot,go2,30,30,0.033161936256228826,30,1.0,0.020120210984715423,30,1.0,0.10779082008199745,30,1.0,0.04688700724792521,30,1.0,0.18341802560205311,30,1.0,4.075868754206954,30,1.0,1.3317670721203376,30,1.0,0.3033808660692031,30,1.0,0.041876589844688214,30,1.0,4.735008514275129,30,1.0,33.029777306451535,30,1.0,33.626515174486045,30,1.0
front_hind_reflected_temporal_reversal,overall,all,30,30,0.033161936256228826,30,1.0,0.020120210984715423,30,1.0,0.8402065544511923,30,1.0,0.3359822990505992,30,1.0,0.27908298107553053,30,1.0,6.028641591479981,30,1.0,2.1099516688415116,30,1.0,0.6536433354732261,30,1.0,0.041876589844688214,30,1.0,7.9757068715068575,30,1.0,29.64049021773386,30,1.0,65.89752327533652,30,1.0
front_hind_reflected_temporal_reversal,family,bound,3,3,0.029762200756217664,3,1.0,0.010952169538947227,3,1.0,0.899066797592119,3,1.0,0.32363172348502667,3,1.0,0.29067599848288755,3,1.0,6.328064801052515,3,1.0,2.1034707322047774,3,1.0,0.6505815436821621,3,1.0,0.04338610573643673,3,1.0,8.471844128096073,3,1.0,29.84851764989296,3,1.0,68.4034351623158,3,1.0
front_hind_reflected_temporal_reversal,family,gallop,12,12,0.035385016753587205,12,1.0,0.029867575799439296,12,1.0,0.8141952928966113,12,1.0,0.3362534066833948,12,1.0,0.27358208248903665,12,1.0,6.187309466188849,12,1.0,2.0174819438173275,12,1.0,0.62926982069293,12,1.0,0.044178999720616674,12,1.0,7.933589644037092,12,1.0,33.980534086018245,12,1.0,64.21364536653579,12,1.0
front_hind_reflected_temporal_reversal,family,half_bound,12,12,0.03733270691882344,12,1.0,0.016949289315031233,12,1.0,0.8423232399678459,12,1.0,0.3271394366550528,12,1.0,0.28458475186551707,12,1.0,6.245274562889531,12,1.0,2.069202942139385,12,1.0,0.6403096848760883,12,1.0,0.04035554824294834,12,1.0,8.186216448307887,12,1.0,30.4917324821668,12,1.0,66.22999636330152,12,1.0
front_hind_reflected_temporal_reversal,family,trot,3,3,0.010986267116427998,3,1.0,0.002982479850324854,3,1.0,0.876924615461975,3,1.0,0.3826198936671745,3,1.0,0.26748647485420285,3,1.0,4.22801499743378,3,1.0,2.6493064123834897,3,1.0,0.807533788774024,3,1.0,0.03724160085618533,3,1.0,6.8060002175925804,3,1.0,8.667318254705403,3,1.0,68.79723067170023,3,1.0
front_hind_reflected_temporal_reversal,direction,positive_to_negative,30,30,0.033161936256228826,30,1.0,0.020120210984715423,30,1.0,0.8402065544511923,30,1.0,0.3359822990505992,30,1.0,0.27908298107553053,30,1.0,6.028641591479981,30,1.0,2.1099516688415116,30,1.0,0.6536433354732261,30,1.0,0.041876589844688214,30,1.0,7.9757068715068575,30,1.0,29.64049021773386,30,1.0,65.89752327533652,30,1.0
