cell_id,event,first_foot,second_foot,eligible_complete_cycles,matched_complete_cycles,unmatched_complete_cycles,coverage_fraction,mean_s,p95_s,mean_cycles,p95_cycles
gait_00_trot__vx_neg_1p5__seed_0042,touchdown,fl,rr,38,38,0,1.0,0.008947368421052634,0.02,0.036357729058516655,0.08127021789550781
gait_00_trot__vx_neg_1p5__seed_0042,touchdown,fr,rl,38,38,0,1.0,0.002631578947368421,0.02,0.010693449723093133,0.08127021789550781
gait_00_trot__vx_neg_1p5__seed_0042,liftoff,fl,rr,38,38,0,1.0,0.021052631578947368,0.04,0.08554759778474506,0.16254043579101562
gait_00_trot__vx_neg_1p5__seed_0042,liftoff,fr,rl,38,38,0,1.0,0.01578947368421053,0.02,0.0641606983385588,0.08127021789550781
gait_00_trot__vx_neg_1p0__seed_0042,touchdown,fl,rr,30,30,0,1.0,0.0033333333333333335,0.02,0.010590235392252604,0.06354141235351562
gait_00_trot__vx_neg_1p0__seed_0042,touchdown,fr,rl,30,30,0,1.0,0.002,0.02,0.006354141235351563,0.06354141235351562
gait_00_trot__vx_neg_1p0__seed_0042,liftoff,fl,rr,30,30,0,1.0,0.012000000000000004,0.02,0.03812484741210938,0.06354141235351562
gait_00_trot__vx_neg_1p0__seed_0042,liftoff,fr,rl,30,30,0,1.0,0.010000000000000002,0.02,0.03177070617675781,0.06354141235351562
gait_00_trot__vx_neg_0p5__seed_0042,touchdown,fl,rr,23,23,0,1.0,0.008695652173913044,0.02,0.021599479343580162,0.049678802490234375
gait_00_trot__vx_neg_0p5__seed_0042,touchdown,fr,rl,23,16,7,0.6956521739130435,0.00125,0.005,0.0031049251556396484,0.012419700622558594
gait_00_trot__vx_neg_0p5__seed_0042,liftoff,fl,rr,23,23,0,1.0,0.0052173913043478265,0.02,0.012959687606148098,0.049678802490234375
gait_00_trot__vx_neg_0p5__seed_0042,liftoff,fr,rl,23,23,0,1.0,0.004347826086956522,0.02,0.010799739671790081,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_0042,touchdown,fl,rr,23,23,0,1.0,0.006956521739130433,0.02,0.017279583474864132,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_0042,touchdown,fr,rl,23,16,7,0.6956521739130435,0.28500000000000003,0.38,0.7079229354858398,0.9438972473144531
gait_00_trot__vx_pos_0p5__seed_0042,liftoff,fl,rr,23,23,0,1.0,0.002608695652173913,0.02,0.006479843803074049,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_0042,liftoff,fr,rl,23,23,0,1.0,0.018260869565217396,0.02,0.04535890662151834,0.049678802490234375
gait_00_trot__vx_pos_1p0__seed_0042,touchdown,fl,rr,30,30,0,1.0,0.004666666666666667,0.02,0.014826329549153645,0.06354141235351562
gait_00_trot__vx_pos_1p0__seed_0042,touchdown,fr,rl,30,14,16,0.4666666666666667,0.060000000000000005,0.3,0.19062423706054688,0.9531211853027343
gait_00_trot__vx_pos_1p0__seed_0042,liftoff,fl,rr,30,30,0,1.0,0.002,0.02,0.006354141235351563,0.06354141235351562
gait_00_trot__vx_pos_1p0__seed_0042,liftoff,fr,rl,30,30,0,1.0,0.024000000000000007,0.04,0.07624969482421876,0.12708282470703125
gait_00_trot__vx_pos_1p5__seed_0042,touchdown,fl,rr,38,38,0,1.0,0.005263157894736842,0.02,0.021386899446186266,0.08127021789550781
gait_00_trot__vx_pos_1p5__seed_0042,touchdown,fr,rl,38,38,0,1.0,0.018947368421052636,0.02,0.07699283800627056,0.08127021789550781
gait_00_trot__vx_pos_1p5__seed_0042,liftoff,fl,rr,38,38,0,1.0,0.005789473684210527,0.02,0.02352558939080489,0.08127021789550781
gait_00_trot__vx_pos_1p5__seed_0042,liftoff,fr,rl,38,38,0,1.0,0.028947368421052635,0.04,0.11762794695402447,0.16254043579101562
