scope,stratum,planned_cells,terminated_cells,velocity_valid_cells,velocity_vx_relative_rmse_mean,velocity_yaw_rmse_radps_mean,heading_valid_cells,heading_rmse_rad_mean,gait_valid_cells,gait_agreement_boundary_excluded_mean,gait_duty_factor_abs_error_mean,classification_valid_cells,classification_unclassified_cells,classification_row_accuracy,classification_family_accuracy,raw_load_valid_cells,absolute_work_total_j_mean,grf_load_valid_cells,vertical_grf_impulse_total_ns_mean,normalized_load_valid_cells,normalized_torque_squared_total_s_mean,velocity_success_domain_cells,velocity_success_cells,gait_success_domain_cells,gait_success_cells,joint_success_domain_cells,joint_success_cells
row,bound,6,0,6,0.0553090944040699,0.040954669863023214,6,0.013054502966457708,6,0.9189921136454865,0.1076722462881643,6,0,1.0,1.0,6,2226.5250524275975,6,1411.6132030725976,6,5.212123538122964,6,6,6,6,6,6
row,gallop_a,6,0,6,0.05270884340279699,0.07112229338451155,6,0.028971828372329436,6,0.8252043836192082,0.13093680692353749,6,1,0.0,0.0,6,2342.4395856475553,6,1432.4890210946462,6,5.0369882431653314,6,2,6,0,6,0
row,gallop_b,6,0,6,0.04159621674199255,0.05260541092006462,6,0.01182417753159967,6,0.8976560939135525,0.12814501969605444,6,0,1.0,1.0,6,1568.2508853441334,6,1439.7429719162235,6,4.932313788001875,6,3,6,5,6,2
row,gallop_c,6,0,6,0.048896929710954364,0.07896246348802557,6,0.017707923016467366,6,0.8354699761344732,0.12318462268681118,6,1,0.0,0.0,6,2222.5383720002224,6,1421.5633301075177,6,5.081739432205071,6,0,6,0,6,0
row,gallop_d,6,0,6,0.04648737045932222,0.08538838545996998,6,0.018675307355328737,6,0.8702177218553016,0.13765168200697547,6,3,0.0,0.0,6,2000.0438245934026,6,1431.0811076860464,6,5.237244118066425,6,0,6,0,6,0
row,half_bound_front_a,6,0,6,0.05292136418946722,0.04948868804452603,6,0.017593271712264543,6,0.8929103461945297,0.1149297953044446,6,0,0.5,0.5,6,1966.5395025865616,6,1416.743279707289,6,5.168598834424635,6,2,6,3,6,2
row,half_bound_front_b,6,0,6,0.05288683852317341,0.06093724240857606,6,0.009635527905811693,6,0.8680813321260555,0.11309206486004543,6,0,0.0,0.0,6,2097.048452971494,6,1421.2265244763967,6,5.500089675068321,6,2,6,0,6,0
row,half_bound_hind_a,6,0,6,0.05338595372482693,0.05280660735795961,6,0.020468731143512733,6,0.8792187085094175,0.12940009845302644,6,2,0.16666666666666666,0.16666666666666666,6,1988.5151882032185,6,1425.7382804831802,6,4.915755934577455,6,2,6,1,6,1
row,half_bound_hind_b,6,0,6,0.05101223606544778,0.07044541400781819,6,0.008333346794602164,6,0.8742535970779916,0.11828360453127147,6,3,0.0,0.0,6,2136.3145250637594,6,1418.770901038175,6,5.155198318949988,6,0,6,0,6,0
row,trot,6,0,6,0.040647022407110316,0.06487362846339266,6,0.010464883481720753,6,0.8693092804026706,0.1602780658047331,6,0,1.0,1.0,6,811.8347719606959,6,1486.161945015608,6,3.2211595713471066,6,0,6,5,6,0
family,bound,6,0,6,0.0553090944040699,0.040954669863023214,6,0.013054502966457708,6,0.9189921136454865,0.1076722462881643,6,0,1.0,1.0,6,2226.5250524275975,6,1411.6132030725976,6,5.212123538122964,6,6,6,6,6,6
family,gallop,24,0,24,0.04742234007876653,0.07201963831314294,24,0.0192948090689313,24,0.8571370438806339,0.12997953282834465,24,5,0.25,0.25,24,2033.3181668963286,24,1431.2191077011084,24,5.072071395359676,24,5,24,5,24,2
family,half_bound,24,0,24,0.05255159812572883,0.05841948795471997,24,0.014007719389047782,24,0.8786159959769986,0.11892639078719698,24,5,0.16666666666666666,0.16666666666666666,24,2047.1044172062584,24,1420.6197464262602,24,5.184910690755101,24,6,24,4,24,3
family,trot,6,0,6,0.040647022407110316,0.06487362846339266,6,0.010464883481720753,6,0.8693092804026706,0.1602780658047331,6,0,1.0,1.0,6,811.8347719606959,6,1486.161945015608,6,3.2211595713471066,6,0,6,5,6,0
