run,label,direction,family,metric,metric_label,unit,cells,signed_imbalance_percent,mean_absolute_imbalance_percent,total_per_directed_m
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,backward,trot,torque_squared,Torque²,N² m² s,3,28.598775039578772,28.598775039578772,342.938973808989
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,backward,bound,torque_squared,Torque²,N² m² s,3,20.804394298397852,20.804394298397852,803.5133505368176
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,backward,half_bound,torque_squared,Torque²,N² m² s,12,23.52188327458353,23.52188327458353,712.8075855089634
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,backward,gallop,torque_squared,Torque²,N² m² s,12,27.08093503379871,27.08093503379871,664.3117646657244
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,backward,all_family_balanced,torque_squared,Torque²,N² m² s,30,25.001496911589715,25.001496911589715,630.8929186301236
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,backward,trot,absolute_work,Absolute work,J,3,5.752844134004257,7.998425088706978,101.03812018619368
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,backward,bound,absolute_work,Absolute work,J,3,-30.10114586597913,30.10114586597913,383.67662823773117
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,backward,half_bound,absolute_work,Absolute work,J,12,-26.15814203759916,26.15814203759916,327.25780956318414
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,backward,gallop,absolute_work,Absolute work,J,12,-17.321092640814452,22.533479638442746,302.6033974044497
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,backward,all_family_balanced,absolute_work,Absolute work,J,30,-16.956884102597122,21.697798157682005,278.64398884788966
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,backward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,3,26.98464524282554,26.98464524282554,191.08955223029383
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,backward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,3,36.01674155233781,36.01674155233781,189.12118240096012
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,backward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,12,34.59216846782794,34.59216846782794,186.507699775673
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,backward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,12,31.151353369713643,31.151353369713643,188.65728302617353
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,backward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,30,32.18622715817624,32.18622715817624,188.84392935827512
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,forward,trot,torque_squared,Torque²,N² m² s,3,-19.302844954977676,19.302844954977676,329.6497376389578
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,forward,bound,torque_squared,Torque²,N² m² s,3,-11.894767101700452,11.894767101700452,665.5400583620341
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,forward,half_bound,torque_squared,Torque²,N² m² s,12,-12.881170267154973,15.396129187332392,617.6571391636074
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,forward,gallop,torque_squared,Torque²,N² m² s,12,-11.787131256954572,13.70375067961204,567.7348838532806
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,forward,all_family_balanced,torque_squared,Torque²,N² m² s,30,-13.96647839519692,15.07437298090564,545.1454547544699
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,forward,trot,absolute_work,Absolute work,J,3,-3.977164364705111,3.977164364705111,81.74078322787547
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,forward,bound,absolute_work,Absolute work,J,3,-11.747854309053318,11.747854309053318,279.77597940972794
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,forward,half_bound,absolute_work,Absolute work,J,12,-15.626884161467812,21.243529091152137,238.23859729913246
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,forward,gallop,absolute_work,Absolute work,J,12,-15.748596297204465,18.042136191258255,195.86293401080525
