cell_id,gait_index,gait_name,family,velocity_mps,velocity_sign,seed,status,reason,relative_output_dir,sample_count,measurement_start_s,measurement_stop_s,measurement_duration_s,complete_cycles,phase_boundary_trimmed,gait_period_s,effort_limit_source,effort_limit_min_nm,effort_limit_max_nm,command_x_mean_mps,measured_x_mean_mps,tracking_rmse_mps,yaw_tracking_rmse_radps,tracking_success_threshold_mps,yaw_tracking_success_threshold_radps,planar_tracking_success,yaw_tracking_success,tracking_success,signed_directed_progress_m,integrated_body_x_progress_m,position_vs_integrated_progress_difference_m,directed_progress_definition,positive_directed_progress,torque_squared_front_integral,torque_squared_hind_integral,torque_squared_total_integral,torque_squared_signed_imbalance_percent,torque_squared_abs_imbalance_percent,torque_squared_total_per_s,torque_squared_total_per_directed_m,normalized_torque_utilization_front_integral,normalized_torque_utilization_hind_integral,normalized_torque_utilization_total_integral,normalized_torque_utilization_signed_imbalance_percent,normalized_torque_utilization_abs_imbalance_percent,normalized_torque_utilization_total_per_s,normalized_torque_utilization_total_per_directed_m,absolute_work_front_integral,absolute_work_hind_integral,absolute_work_total_integral,absolute_work_signed_imbalance_percent,absolute_work_abs_imbalance_percent,absolute_work_total_per_s,absolute_work_total_per_directed_m,vertical_grf_impulse_front_integral,vertical_grf_impulse_hind_integral,vertical_grf_impulse_total_integral,vertical_grf_impulse_signed_imbalance_percent,vertical_grf_impulse_abs_imbalance_percent,vertical_grf_impulse_total_per_s,vertical_grf_impulse_total_per_directed_m
gait_00_trot__vx_neg_1p5__seed_0042,0,trot,trot,-1.5,backward,42,valid,,cells/gait_00_trot/vx_neg_1p5/seed_0042,480,5.16,14.76,9.6,39,True,0.2460918128490448,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.5,-1.4783372583488623,0.056121152107635686,0.04905167242461714,0.425,0.05,True,True,True,14.142803192138672,14.19203768014908,-0.04923448801040742,commanded-sign world-x displacement across the same sample intervals as effort integration,True,2412.871063957576,1172.4228161491603,3585.2938801067367,34.59823069710221,34.59823069710221,373.4681125111184,253.50659493724945,2.4128710639575762e-15,1.1724228161491604e-15,3.5852938801067364e-15,34.59823069710221,34.59823069710221,3.734681125111184e-16,2.5350659493724944e-16,782.4524005829567,777.4015266591858,1559.8539272421426,0.3238042893350211,0.3238042893350211,162.4847840877232,110.29312266108553,982.9943911194832,513.0887417854394,1496.0831329049226,31.40906003141917,31.40906003141917,155.84199301092946,105.78405939612635
gait_00_trot__vx_neg_1p0__seed_0042,0,trot,trot,-1.0,backward,42,valid,,cells/gait_00_trot/vx_neg_1p0/seed_0042,488,5.0200000000000005,14.780000000000001,9.76,31,True,0.31475794315338135,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.0,-0.9782969588871862,0.04858647228844165,0.04470225764104663,0.3,0.05,True,True,True,9.51064395904541,9.548178318738938,-0.037534359693527364,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1859.311196424148,970.3196830018537,2829.6308794260017,31.417225472271795,31.417225472271795,289.92119666250017,297.5225328180631,1.8593111964241484e-15,9.703196830018538e-16,2.829630879426002e-15,31.417225472271806,31.417225472271806,2.899211966625002e-16,2.9752253281806313e-16,425.6678798889858,455.343619549172,881.0114994381578,-3.36837143205408,3.36837143205408,90.26757166374567,92.6342635926606,959.1993394808726,527.6853857677894,1486.884725248662,29.021345527705122,29.021345527705122,152.3447464394121,156.3390167533831
gait_00_trot__vx_neg_0p5__seed_0042,0,trot,trot,-0.5,backward,42,valid,,cells/gait_00_trot/vx_neg_0p5/seed_0042,483,5.22,14.88,9.66,24,True,0.40258365869522095,recorded_joint_effort_limits,1000000000.0,1000000000.0,-0.5,-0.48324217139810755,0.039923978433896785,0.05906034729310221,0.175,0.05,True,False,False,4.657098054885864,4.668119375705719,-0.01102132081985463,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1332.6248151850066,892.4797893714643,2225.104604556471,19.780868949362322,19.780868949362322,230.34209156899283,477.78779367165447,1.3326248151850063e-15,8.924797893714641e-16,2.2251046045564706e-15,19.780868949362322,19.780868949362322,2.303420915689928e-16,4.777877936716545e-16,280.6554396773405,185.92512348260615,466.5805631599467,20.303099544731833,20.303099544731833,48.3002653374686,100.1869743048349,873.2143557011135,575.8211222244431,1449.0354779255567,20.523530169352334,20.523530169352334,150.0036726631011,311.14558054137206
gait_00_trot__vx_pos_0p5__seed_0042,0,trot,trot,0.5,forward,42,valid,,cells/gait_00_trot/vx_pos_0p5/seed_0042,483,5.22,14.88,9.66,24,True,0.40258365869522095,recorded_joint_effort_limits,1000000000.0,1000000000.0,0.5,0.49449803487361094,0.029442352035681258,0.0711575225079888,0.175,0.05,True,False,False,4.76700758934021,4.776851016879082,-0.009843427538871907,commanded-sign world-x displacement across the same sample intervals as effort integration,True,876.1167910521481,1314.526796427847,2190.6435874799954,-20.01284042193388,20.01284042193388,226.77469849689393,459.54271026935726,8.761167910521481e-16,1.3145267964278468e-15,2.1906435874799947e-15,-20.012840421933873,20.012840421933873,2.2677469849689386e-16,4.595427102693571e-16,184.4529046510684,214.7988089239964,399.2517135750648,-7.600694810098182,7.600694810098182,41.33040513199428,83.7531105400074,795.8044626140595,688.420070207119,1484.2245328211784,7.23505036012488,7.23505036012488,153.64643196906607,311.35350741629645
gait_00_trot__vx_pos_1p0__seed_0042,0,trot,trot,1.0,forward,42,valid,,cells/gait_00_trot/vx_pos_1p0/seed_0042,488,5.0200000000000005,14.780000000000001,9.76,31,True,0.31475794315338135,recorded_joint_effort_limits,1000000000.0,1000000000.0,1.0,0.9857378526300681,0.032685576044033514,0.07711040062647322,0.3,0.05,True,False,False,9.593945503234863,9.620801441669464,-0.026855938434600546,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1072.3999229656451,1697.7087009484299,2770.108623914075,-22.573438910826656,22.573438910826656,283.822604909229,288.735080158633,1.0723999229656451e-15,1.6977087009484297e-15,2.7701086239140748e-15,-22.573438910826653,22.573438910826653,2.83822604909229e-16,2.88735080158633e-16,335.56173545358297,361.8652025173582,697.4269379709413,-3.7715014479224505,3.7715014479224505,71.45767807079316,72.69448609394169,776.3326114650371,751.4605551245809,1527.793166589618,1.627972744241047,1.627972744241047,156.5361851013953,159.24555398761441
gait_00_trot__vx_pos_1p5__seed_0042,0,trot,trot,1.5,forward,42,valid,,cells/gait_00_trot/vx_pos_1p5/seed_0042,480,5.16,14.76,9.6,39,True,0.2460918128490448,recorded_joint_effort_limits,1000000000.0,1000000000.0,1.5,1.498963827888171,0.04167502763707159,0.07138648027492654,0.425,0.05,True,False,False,14.346738815307617,14.390052747726441,-0.04331393241882431,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1461.8977663377807,1990.9522724187775,3452.850038756558,-15.322255532172493,15.322255532172493,359.6718790371415,240.67142248888314,1.4618977663377807e-15,1.990952272418778e-15,3.4528500387565585e-15,-15.322255532172502,15.322255532172502,3.596718790371415e-16,2.4067142248888314e-16,633.252416598344,640.3757787988103,1273.6281953971543,-0.5592968360947008,0.5592968360947008,132.6696036872036,88.77475304967734,736.989167804718,804.19983522892,1541.189003033638,-4.360962042417006,4.360962042417006,160.5405211493373,107.42434380900748
gait_01_bound__vx_neg_1p5__seed_0042,1,bound,bound,-1.5,backward,42,valid,,cells/gait_01_bound/vx_neg_1p5/seed_0042,480,5.16,14.76,9.6,39,True,0.2460918128490448,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.5,-1.4463519302507242,0.07062498042199139,0.0799546816148623,0.425,0.05,True,False,False,13.752692222595215,13.884978530406952,-0.13228630781173756,commanded-sign world-x displacement across the same sample intervals as effort integration,True,3856.344324902594,2816.229909131719,6672.574234034313,15.587903248279192,15.587903248279192,695.059816045241,485.183128222087,3.8563443249025945e-15,2.816229909131719e-15,6.672574234034314e-15,15.587903248279195,15.587903248279195,6.95059816045241e-16,4.85183128222087e-16,1140.83500828422,2775.054300902232,3915.889309186452,-41.7330308286352,41.7330308286352,407.9051363735888,284.73619897875534,981.8708820874265,397.55179718971254,1379.422679277139,42.35968377755799,42.35968377755799,143.68986242470197,100.30201046823352
gait_01_bound__vx_neg_1p0__seed_0042,1,bound,bound,-1.0,backward,42,valid,,cells/gait_01_bound/vx_neg_1p0/seed_0042,488,5.0200000000000005,14.780000000000001,9.76,31,True,0.31475794315338135,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.0,-0.9601090137587219,0.05898575417028346,0.0708280234153942,0.3,0.05,True,False,False,9.268301963806152,9.370663974285126,-0.10236201047897353,commanded-sign world-x displacement across the same sample intervals as effort integration,True,3645.9899659213593,2534.05973432561,6180.049700246969,17.992253873804835,17.992253873804835,633.2018135498944,666.794168379582,3.6459899659213595e-15,2.534059734325609e-15,6.180049700246969e-15,17.992253873804852,17.992253873804852,6.332018135498944e-16,6.667941683795819e-16,1005.8206382069063,2229.688660803938,3235.509299010844,-37.8261321323104,37.8261321323104,331.50710030848813,349.0940747988037,949.5527662723672,467.7227117939468,1417.275478066314,33.99692310600153,33.99692310600153,145.21265144122071,152.91641161465685
gait_01_bound__vx_neg_0p5__seed_0042,1,bound,bound,-0.5,backward,42,valid,,cells/gait_01_bound/vx_neg_0p5/seed_0042,483,5.22,14.88,9.66,24,True,0.40258365869522095,recorded_joint_effort_limits,1000000000.0,1000000000.0,-0.5,-0.46089297866228945,0.06431248581222983,0.05706989545960034,0.175,0.05,True,False,False,4.359699964523315,4.452226173877716,-0.09252620935440081,commanded-sign world-x displacement across the same sample intervals as effort integration,True,3534.5057177645517,1952.45028059761,5486.955998362162,28.833025773109533,28.833025773109533,568.0078673252756,1258.562755008784,3.5345057177645515e-15,1.95245028059761e-15,5.486955998362162e-15,28.833025773109533,28.833025773109533,5.680078673252755e-16,1.258562755008784e-15,1006.2847234790569,1248.5504019685009,2254.835125447558,-10.744274636991792,10.744274636991792,233.4197852430184,517.1996109356344,901.823731417656,467.7547594231367,1369.5784908407927,31.693617773453905,31.693617773453905,141.7783116812415,314.14512511999
gait_01_bound__vx_pos_0p5__seed_0042,1,bound,bound,0.5,forward,42,valid,,cells/gait_01_bound/vx_pos_0p5/seed_0042,483,5.22,14.88,9.66,24,True,0.40258365869522095,recorded_joint_effort_limits,1000000000.0,1000000000.0,0.5,0.5030068937789333,0.02729329091426242,0.044198521847960165,0.175,0.05,True,True,True,5.019475221633911,4.859046593904496,0.16042862772941557,commanded-sign world-x displacement across the same sample intervals as effort integration,True,2618.520776627877,2929.389245059134,5547.91002168701,-5.603343731532403,5.603343731532403,574.3178076280549,1105.2769018114777,2.618520776627877e-15,2.9293892450591336e-15,5.5479100216870105e-15,-5.603343731532396,5.603343731532396,5.743178076280549e-16,1.105276901811478e-15,1102.4778673485778,1191.0480049749626,2293.52587232354,-3.8617457380873423,3.8617457380873423,237.42503854280955,456.92542966214,708.8391754204035,723.0158013033987,1431.8549767238023,-0.9900881104197017,0.9900881104197017,148.22515286995883,285.25989540749504
