cell_id,gait_index,family,velocity_mps,seed,status,reason,positive_directed_progress,tracking_rmse_mps,yaw_tracking_rmse_radps,tracking_success_threshold_mps,yaw_tracking_success_threshold_radps,vx_relative_tracking_success_threshold,vx_relative_tracking_success,planar_tracking_success,yaw_tracking_success,tracking_success,velocity_metric_valid,velocity_metric_reason,heading_metric_valid,heading_metric_reason,recording_manifest_valid,recording_manifest_reason,gait_metric_valid,gait_metric_reason,load_metric_valid,load_metric_reason,raw_load_metric_valid,raw_load_metric_reason,grf_load_metric_valid,grf_load_metric_reason,normalized_load_metric_valid,normalized_load_metric_reason,velocity_success_domain_valid,gait_success_domain_valid,joint_success_domain_valid,velocity_only_success,gait_only_success,joint_velocity_and_gait_success,gait_row_correct,gait_family_correct,gait_classification_available,success,success_failed_checks,relative_output_dir
gait_00_trot__vx_neg_1p5__seed_0042,0,trot,-1.5,42,valid,,True,0.056121152107635686,0.04905167242461714,0.425,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_00_trot/vx_neg_1p5/seed_0042
gait_00_trot__vx_neg_1p0__seed_0042,0,trot,-1.0,42,valid,,True,0.04858647228844165,0.04470225764104663,0.3,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_00_trot/vx_neg_1p0/seed_0042
gait_00_trot__vx_neg_0p5__seed_0042,0,trot,-0.5,42,valid,,True,0.03992601204838364,0.05906753452043689,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_00_trot/vx_neg_0p5/seed_0042
gait_00_trot__vx_pos_0p5__seed_0042,0,trot,0.5,42,valid,,True,0.029452683577303143,0.07116981226538477,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_00_trot/vx_pos_0p5/seed_0042
gait_00_trot__vx_pos_1p0__seed_0042,0,trot,1.0,42,valid,,True,0.03274166323091143,0.07722616727933446,0.3,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_00_trot/vx_pos_1p0/seed_0042
gait_00_trot__vx_pos_1p5__seed_0042,0,trot,1.5,42,valid,,True,0.041870092205583256,0.07057988624411717,0.425,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,True,True,True,False,"[""yaw_rmse"",""gait_agreement""]",cells/gait_00_trot/vx_pos_1p5/seed_0042
gait_01_bound__vx_neg_1p5__seed_0042,1,bound,-1.5,42,valid,,True,0.06978658144274459,0.08012321003194156,0.425,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_01_bound/vx_neg_1p5/seed_0042
gait_01_bound__vx_neg_1p0__seed_0042,1,bound,-1.0,42,valid,,True,0.05471201578505667,0.06837589584534895,0.3,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_01_bound/vx_neg_1p0/seed_0042
gait_01_bound__vx_neg_0p5__seed_0042,1,bound,-0.5,42,valid,,True,0.0647986952134192,0.05614852713284698,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_01_bound/vx_neg_0p5/seed_0042
gait_01_bound__vx_pos_0p5__seed_0042,1,bound,0.5,42,valid,,True,0.027211205807398775,0.04512442464476128,0.175,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_01_bound/vx_pos_0p5/seed_0042
gait_01_bound__vx_pos_1p0__seed_0042,1,bound,1.0,42,valid,,True,0.03710586908861701,0.04887479552799687,0.3,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_01_bound/vx_pos_1p0/seed_0042
gait_01_bound__vx_pos_1p5__seed_0042,1,bound,1.5,42,valid,,True,0.05166861901505527,0.061033482300550744,0.425,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_01_bound/vx_pos_1p5/seed_0042
