positive_cell_id,negative_cell_id,gait_index,partner_gait_index,family,speed_mps,positive_vx_bias_mps,negative_vx_bias_mps,directed_positive_bias_mps,directed_negative_bias_mps,paired_directional_bias_mps,directional_asymmetry_mps,positive_measured_vx_mps,negative_measured_vx_mps,e_pair_bias_mps,e_pair_bias_normalized,e_pair_bias_epsilon_mps,e_pair_bias_definition
gait_00_trot__vx_pos_0p5__seed_0042,gait_00_trot__vx_neg_0p5__seed_0042,0,0,trot,0.5,-0.005496333721508397,0.01675128461658091,-0.005496333721508397,-0.01675128461658091,-0.011123809169044653,0.011254950895072512,0.4945036662784916,-0.48324871538341907,0.011254950895072557,0.011254939640132917,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p0__seed_0042,gait_00_trot__vx_neg_1p0__seed_0042,0,0,trot,1.0,-0.013938125650413701,0.021703041112813792,-0.013938125650413701,-0.021703041112813792,-0.01782058338161375,0.007764915462400091,0.9860618743495863,-0.9782969588871862,0.0077649154624001016,0.0038824557899721553,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p5__seed_0042,gait_00_trot__vx_neg_1p5__seed_0042,0,0,trot,1.5,-0.0017324278752009073,0.02166274165113767,-0.0017324278752009073,-0.02166274165113767,-0.011697584763169289,0.019930313775936764,1.498267572124799,-1.4783372583488623,0.019930313775936792,0.006643435710833694,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_0p5__seed_0042,gait_01_bound__vx_neg_0p5__seed_0042,1,1,bound,0.5,-0.0002222508500575032,0.04022063935025138,-0.0002222508500575032,-0.04022063935025138,-0.02022144510015444,0.039998388500193875,0.4997777491499425,-0.4597793606497486,0.03999838850019388,0.03999834850184538,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p0__seed_0042,gait_01_bound__vx_neg_1p0__seed_0042,1,1,bound,1.0,-0.0013978210140447147,0.03403935825727025,-0.0013978210140447147,-0.03403935825727025,-0.017718589635657485,0.032641537243225535,0.9986021789859553,-0.9659606417427298,0.032641537243225494,0.016320760461232514,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p5__seed_0042,gait_01_bound__vx_neg_1p5__seed_0042,1,1,bound,1.5,-0.0037537748614947003,0.05284317955374718,-0.0037537748614947003,-0.05284317955374718,-0.02829847720762094,0.049089404692252474,1.4962462251385054,-1.4471568204462528,0.049089404692252536,0.01636312944304103,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_0p5__seed_0042,gait_03_half_bound__vx_neg_0p5__seed_0042,2,3,half_bound,0.5,-0.014981770058843167,0.03139915716820869,-0.014981770058843167,-0.03139915716820869,-0.023190463613525926,0.016417387109365522,0.48501822994115684,-0.4686008428317913,0.016417387109365522,0.01641737069199483,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p0__seed_0042,gait_03_half_bound__vx_neg_1p0__seed_0042,2,3,half_bound,1.0,0.005797496706735892,0.040497274061695475,0.005797496706735892,-0.040497274061695475,-0.017349888677479792,0.046294770768431366,1.0057974967067358,-0.9595027259383045,0.04629477076843125,0.023147373810528716,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p5__seed_0042,gait_03_half_bound__vx_neg_1p5__seed_0042,2,3,half_bound,1.5,0.024084762732187907,0.04598258708914121,0.024084762732187907,-0.04598258708914121,-0.01094891217847665,0.07006734982132912,1.5240847627321878,-1.4540174129108587,0.07006734982132912,0.023355775488517874,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_0p5__seed_0042,gait_02_half_bound__vx_neg_0p5__seed_0042,3,2,half_bound,0.5,0.004852953102771293,0.038579036977226935,0.004852953102771293,-0.038579036977226935,-0.016863041937227822,0.04343199007999823,0.5048529531027713,-0.4614209630227731,0.04343199007999826,0.04343194664805162,1e-06,abs(mean_vx_pos + mean_vx_neg)
