scope,family,velocity_mps,expected_cells,valid_cells,coverage_fraction,complete,tracking_success_cells,tracking_success_fraction,tracking_qualified_complete,torque_squared_valid_cells,torque_squared_coverage_fraction,torque_squared_complete,torque_squared_tracking_success_cells,torque_squared_tracking_qualified_complete,torque_squared_observed_mean_signed_imbalance_percent,torque_squared_observed_mean_abs_imbalance_percent,torque_squared_mean_signed_imbalance_percent,torque_squared_mean_abs_imbalance_percent,torque_squared_tracking_qualified_observed_mean_signed_imbalance_percent,torque_squared_tracking_qualified_observed_mean_abs_imbalance_percent,torque_squared_tracking_qualified_mean_signed_imbalance_percent,torque_squared_tracking_qualified_mean_abs_imbalance_percent,torque_squared_observed_mean_total_integral,torque_squared_mean_total_integral,torque_squared_tracking_qualified_observed_mean_total_integral,torque_squared_tracking_qualified_mean_total_integral,torque_squared_observed_mean_total_per_s,torque_squared_mean_total_per_s,torque_squared_tracking_qualified_observed_mean_total_per_s,torque_squared_tracking_qualified_mean_total_per_s,torque_squared_observed_mean_total_per_directed_m,torque_squared_mean_total_per_directed_m,torque_squared_tracking_qualified_observed_mean_total_per_directed_m,torque_squared_tracking_qualified_mean_total_per_directed_m,normalized_torque_utilization_valid_cells,normalized_torque_utilization_coverage_fraction,normalized_torque_utilization_complete,normalized_torque_utilization_tracking_success_cells,normalized_torque_utilization_tracking_qualified_complete,normalized_torque_utilization_observed_mean_signed_imbalance_percent,normalized_torque_utilization_observed_mean_abs_imbalance_percent,normalized_torque_utilization_mean_signed_imbalance_percent,normalized_torque_utilization_mean_abs_imbalance_percent,normalized_torque_utilization_tracking_qualified_observed_mean_signed_imbalance_percent,normalized_torque_utilization_tracking_qualified_observed_mean_abs_imbalance_percent,normalized_torque_utilization_tracking_qualified_mean_signed_imbalance_percent,normalized_torque_utilization_tracking_qualified_mean_abs_imbalance_percent,normalized_torque_utilization_observed_mean_total_integral,normalized_torque_utilization_mean_total_integral,normalized_torque_utilization_tracking_qualified_observed_mean_total_integral,normalized_torque_utilization_tracking_qualified_mean_total_integral,normalized_torque_utilization_observed_mean_total_per_s,normalized_torque_utilization_mean_total_per_s,normalized_torque_utilization_tracking_qualified_observed_mean_total_per_s,normalized_torque_utilization_tracking_qualified_mean_total_per_s,normalized_torque_utilization_observed_mean_total_per_directed_m,normalized_torque_utilization_mean_total_per_directed_m,normalized_torque_utilization_tracking_qualified_observed_mean_total_per_directed_m,normalized_torque_utilization_tracking_qualified_mean_total_per_directed_m,absolute_work_valid_cells,absolute_work_coverage_fraction,absolute_work_complete,absolute_work_tracking_success_cells,absolute_work_tracking_qualified_complete,absolute_work_observed_mean_signed_imbalance_percent,absolute_work_observed_mean_abs_imbalance_percent,absolute_work_mean_signed_imbalance_percent,absolute_work_mean_abs_imbalance_percent,absolute_work_tracking_qualified_observed_mean_signed_imbalance_percent,absolute_work_tracking_qualified_observed_mean_abs_imbalance_percent,absolute_work_tracking_qualified_mean_signed_imbalance_percent,absolute_work_tracking_qualified_mean_abs_imbalance_percent,absolute_work_observed_mean_total_integral,absolute_work_mean_total_integral,absolute_work_tracking_qualified_observed_mean_total_integral,absolute_work_tracking_qualified_mean_total_integral,absolute_work_observed_mean_total_per_s,absolute_work_mean_total_per_s,absolute_work_tracking_qualified_observed_mean_total_per_s,absolute_work_tracking_qualified_mean_total_per_s,absolute_work_observed_mean_total_per_directed_m,absolute_work_mean_total_per_directed_m,absolute_work_tracking_qualified_observed_mean_total_per_directed_m,absolute_work_tracking_qualified_mean_total_per_directed_m,vertical_grf_impulse_valid_cells,vertical_grf_impulse_coverage_fraction,vertical_grf_impulse_complete,vertical_grf_impulse_tracking_success_cells,vertical_grf_impulse_tracking_qualified_complete,vertical_grf_impulse_observed_mean_signed_imbalance_percent,vertical_grf_impulse_observed_mean_abs_imbalance_percent,vertical_grf_impulse_mean_signed_imbalance_percent,vertical_grf_impulse_mean_abs_imbalance_percent,vertical_grf_impulse_tracking_qualified_observed_mean_signed_imbalance_percent,vertical_grf_impulse_tracking_qualified_observed_mean_abs_imbalance_percent,vertical_grf_impulse_tracking_qualified_mean_signed_imbalance_percent,vertical_grf_impulse_tracking_qualified_mean_abs_imbalance_percent,vertical_grf_impulse_observed_mean_total_integral,vertical_grf_impulse_mean_total_integral,vertical_grf_impulse_tracking_qualified_observed_mean_total_integral,vertical_grf_impulse_tracking_qualified_mean_total_integral,vertical_grf_impulse_observed_mean_total_per_s,vertical_grf_impulse_mean_total_per_s,vertical_grf_impulse_tracking_qualified_observed_mean_total_per_s,vertical_grf_impulse_tracking_qualified_mean_total_per_s,vertical_grf_impulse_observed_mean_total_per_directed_m,vertical_grf_impulse_mean_total_per_directed_m,vertical_grf_impulse_tracking_qualified_observed_mean_total_per_directed_m,vertical_grf_impulse_tracking_qualified_mean_total_per_directed_m
family_velocity,trot,-1.5,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,34.5982306971022,34.5982306971022,34.5982306971022,34.5982306971022,34.5982306971022,34.5982306971022,34.5982306971022,34.5982306971022,3585.293880106738,3585.293880106738,3585.293880106738,3585.293880106738,373.46811251111853,373.46811251111853,373.46811251111853,373.46811251111853,253.50659493724953,253.50659493724953,253.50659493724953,253.50659493724953,1,1.0,True,1,True,44.627087047070766,44.627087047070766,44.627087047070766,44.627087047070766,44.627087047070766,44.627087047070766,44.627087047070766,44.627087047070766,4.60952006722221,4.60952006722221,4.60952006722221,4.60952006722221,0.48015834033564697,0.48015834033564697,0.48015834033564697,0.48015834033564697,0.32592690463121404,0.32592690463121404,0.32592690463121404,0.32592690463121404,1,1.0,True,1,True,0.3238042893350284,0.3238042893350284,0.3238042893350284,0.3238042893350284,0.3238042893350284,0.3238042893350284,0.3238042893350284,0.3238042893350284,1559.8539272421424,1559.8539272421424,1559.8539272421424,1559.8539272421424,162.48478408772317,162.48478408772317,162.48478408772317,162.48478408772317,110.29312266108552,110.29312266108552,110.29312266108552,110.29312266108552,1,1.0,True,1,True,31.409060185287547,31.409060185287547,31.409060185287547,31.409060185287547,31.409060185287547,31.409060185287547,31.409060185287547,31.409060185287547,1496.0831310188769,1496.0831310188769,1496.0831310188769,1496.0831310188769,155.84199281446635,155.84199281446635,155.84199281446635,155.84199281446635,105.78405926276908,105.78405926276908,105.78405926276908,105.78405926276908
family_velocity,trot,-1.0,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,31.417225472271767,31.417225472271767,31.417225472271767,31.417225472271767,31.417225472271767,31.417225472271767,31.417225472271767,31.417225472271767,2829.630879426002,2829.630879426002,2829.630879426002,2829.630879426002,289.9211966625002,289.9211966625002,289.9211966625002,289.9211966625002,297.52253281806315,297.52253281806315,297.52253281806315,297.52253281806315,1,1.0,True,1,True,38.98814718524551,38.98814718524551,38.98814718524551,38.98814718524551,38.98814718524551,38.98814718524551,38.98814718524551,38.98814718524551,3.656564980755473,3.656564980755473,3.656564980755473,3.656564980755473,0.3746480513069132,0.3746480513069132,0.3746480513069132,0.3746480513069132,0.384470809390123,0.384470809390123,0.384470809390123,0.384470809390123,1,1.0,True,1,True,-3.36837143205408,3.36837143205408,-3.36837143205408,3.36837143205408,-3.36837143205408,3.36837143205408,-3.36837143205408,3.36837143205408,881.0114994381578,881.0114994381578,881.0114994381578,881.0114994381578,90.26757166374568,90.26757166374568,90.26757166374568,90.26757166374568,92.63426359266062,92.63426359266062,92.63426359266062,92.63426359266062,1,1.0,True,1,True,29.02134564194043,29.02134564194043,29.02134564194043,29.02134564194043,29.02134564194043,29.02134564194043,29.02134564194043,29.02134564194043,1486.8847237873078,1486.8847237873078,1486.8847237873078,1486.8847237873078,152.34474628968317,152.34474628968317,152.34474628968317,152.34474628968317,156.33901659972847,156.33901659972847,156.33901659972847,156.33901659972847
family_velocity,trot,-0.5,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,19.764673752788514,19.764673752788514,19.764673752788514,19.764673752788514,,,,,2224.8967717762807,2224.8967717762807,,,230.32057678843486,230.32057678843486,,,477.7399136929513,477.7399136929513,,,1,1.0,True,0,False,24.413690379522308,24.413690379522308,24.413690379522308,24.413690379522308,,,,,2.810444586787921,2.810444586787921,,,0.29093629262814913,0.29093629262814913,,,0.6034713930835311,0.6034713930835311,,,1,1.0,True,0,False,20.298032658570833,20.298032658570833,20.298032658570833,20.298032658570833,,,,,466.6451864458336,466.6451864458336,,,48.30695511861631,48.30695511861631,,,100.20016835202652,100.20016835202652,,,1,1.0,True,0,False,20.51658487278586,20.51658487278586,20.51658487278586,20.51658487278586,,,,,1448.9567336130144,1448.9567336130144,,,149.99552107795176,149.99552107795176,,,311.1265536640848,311.1265536640848,,
family_velocity,trot,0.5,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,-20.01525810025137,20.01525810025137,-20.01525810025137,20.01525810025137,,,,,2190.6619433577343,2190.6619433577343,,,226.77659869127683,226.77659869127683,,,459.5348853515228,459.5348853515228,,,1,1.0,True,0,False,-7.935198557607919,7.935198557607919,-7.935198557607919,7.935198557607919,,,,,2.506315520489335,2.506315520489335,,,0.25945295243160815,0.25945295243160815,,,0.5257494972489829,0.5257494972489829,,,1,1.0,True,0,False,-7.613887108637519,7.613887108637519,-7.613887108637519,7.613887108637519,,,,,399.26523005077763,399.26523005077763,,,41.33180435308257,41.33180435308257,,,83.75381800580804,83.75381800580804,,,1,1.0,True,0,False,7.241562146418976,7.241562146418976,7.241562146418976,7.241562146418976,,,,,1484.195926692486,1484.195926692486,,,153.6434706721,153.6434706721,,,311.33959627126814,311.33959627126814,,
family_velocity,trot,1.0,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,-22.314224813619298,22.314224813619298,-22.314224813619298,22.314224813619298,,,,,2770.733060209359,2770.733060209359,,,283.8865840378441,283.8865840378441,,,288.70617912751976,288.70617912751976,,,1,1.0,True,0,False,-11.163750087653431,11.163750087653431,-11.163750087653431,11.163750087653431,,,,,3.058165014535131,3.058165014535131,,,0.31333657935810777,0.31333657935810777,,,0.3186561524700544,0.3186561524700544,,,1,1.0,True,0,False,-3.8051439810557386,3.8051439810557386,-3.8051439810557386,3.8051439810557386,,,,,698.7324085682442,698.7324085682442,,,71.5914353041234,71.5914353041234,,,72.80685635413184,72.80685635413184,,,1,1.0,True,0,False,1.5998211610640576,1.5998211610640576,1.5998211610640576,1.5998211610640576,,,,,1526.7382927715778,1526.7382927715778,,,156.4281037675797,156.4281037675797,,,159.08381264287124,159.08381264287124,,
family_velocity,trot,1.5,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,-15.408974974216836,15.408974974216836,-15.408974974216836,15.408974974216836,,,,,3463.3206034288314,3463.3206034288314,,,360.76256285716994,360.76256285716994,,,241.50205190922162,241.50205190922162,,,1,1.0,True,0,False,-7.077323018258816,7.077323018258816,-7.077323018258816,7.077323018258816,,,,,3.846648850655856,3.846648850655856,,,0.400692588609985,0.400692588609985,,,0.2682320514849003,0.2682320514849003,,,1,1.0,True,0,False,-0.35167874701187457,0.35167874701187457,-0.35167874701187457,0.35167874701187457,,,,,1275.1157466154907,1275.1157466154907,,,132.82455693911362,132.82455693911362,,,88.91555373895321,88.91555373895321,,,1,1.0,True,0,False,-4.398586304157937,4.398586304157937,-4.398586304157937,4.398586304157937,,,,,1539.9427718281745,1539.9427718281745,,,160.41070539876821,160.41070539876821,,,107.38230207480147,107.38230207480147,,
family,trot,,6,6,1.0,True,2,0.3333333333333333,False,6,1.0,True,2,False,4.673612005679163,23.919764635041663,4.673612005679163,23.919764635041663,33.00772808468699,33.00772808468699,,,2844.0895230508245,2844.0895230508245,3207.46237976637,,294.1892719247241,294.1892719247241,331.6946545868094,,336.4186929727547,336.4186929727547,275.5145638776563,,6,1.0,True,2,False,13.642108824719736,22.367532712559793,13.642108824719736,22.367532712559793,41.80761711615814,41.80761711615814,,,3.4146098367409876,3.4146098367409876,4.133042523988841,,0.35320413411173507,0.35320413411173507,0.42740319582128006,,0.404417801384801,0.404417801384801,0.35519885701066856,,6,1.0,True,2,False,0.9137926131911082,5.960153036110846,0.9137926131911082,5.960153036110846,-1.5222835713595257,1.846087860694554,,,880.1039997267744,880.1039997267744,1220.43271334015,,91.13451791106746,91.13451791106746,126.37617787573443,,91.43396378411096,91.43396378411096,101.46369312687307,,6,1.0,True,2,False,14.231631283889824,15.697826718609136,14.231631283889824,15.697826718609136,30.21520291361399,30.21520291361399,,,1497.1335966185727,1497.1335966185727,1491.4839274030924,,154.7774233367582,154.7774233367582,154.09336955207476,,191.84255675258717,191.84255675258717,131.06153793124878,
family_velocity,bound,-1.5,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,16.760824677478702,16.760824677478702,16.760824677478702,16.760824677478702,,,,,6638.274281628626,6638.274281628626,,,691.4869043363152,691.4869043363152,,,482.2219252390413,482.2219252390413,,,1,1.0,True,0,False,22.83224259143379,22.83224259143379,22.83224259143379,22.83224259143379,,,,,7.579535888309137,7.579535888309137,,,0.7895349883655353,0.7895349883655353,,,0.5505976754521994,0.5505976754521994,,,1,1.0,True,0,False,-41.21265243883778,41.21265243883778,-41.21265243883778,41.21265243883778,,,,,3943.88699579297,3943.88699579297,,,410.82156206176774,410.82156206176774,,,286.4944561419828,286.4944561419828,,,1,1.0,True,0,False,40.972892294360655,40.972892294360655,40.972892294360655,40.972892294360655,,,,,1403.2479756540806,1403.2479756540806,,,146.1716641306334,146.1716641306334,,,101.93567058239765,101.93567058239765,,
family_velocity,bound,-1.0,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,17.64310653915106,17.64310653915106,17.64310653915106,17.64310653915106,,,,,6135.813545521428,6135.813545521428,,,628.6694206476874,628.6694206476874,,,658.273639529882,658.273639529882,,,1,1.0,True,0,False,24.090815029297957,24.090815029297957,24.090815029297957,24.090815029297957,,,,,6.554728216836671,6.554728216836671,,,0.6715910058234295,0.6715910058234295,,,0.703216414158428,0.703216414158428,,,1,1.0,True,0,False,-37.83095696934239,37.83095696934239,-37.83095696934239,37.83095696934239,,,,,3187.5197232246232,3187.5197232246232,,,326.59013557629333,326.59013557629333,,,341.9693564208594,341.9693564208594,,,1,1.0,True,0,False,34.06346525651295,34.06346525651295,34.06346525651295,34.06346525651295,,,,,1414.7751610753871,1414.7751610753871,,,144.95647142165853,144.95647142165853,,,151.7825122110073,151.7825122110073,,
family_velocity,bound,-0.5,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,29.61307205878241,29.61307205878241,29.61307205878241,29.61307205878241,,,,,5457.289573843418,5457.289573843418,,,564.9368088864823,564.9368088864823,,,1252.7841488490049,1252.7841488490049,,,1,1.0,True,0,False,34.00894741740191,34.00894741740191,34.00894741740191,34.00894741740191,,,,,5.818399236746963,5.818399236746963,,,0.6023187615680086,0.6023187615680086,,,1.3356810623369875,1.3356810623369875,,,1,1.0,True,0,False,-10.42774848620544,10.42774848620544,-10.42774848620544,10.42774848620544,,,,,2242.85563018608,2242.85563018608,,,232.17967186191302,232.17967186191302,,,514.8735363285829,514.8735363285829,,,1,1.0,True,0,False,31.404733956005902,31.404733956005902,31.404733956005902,31.404733956005902,,,,,1374.0188397228717,1374.0188397228717,,,142.23797512659127,142.23797512659127,,,315.42196897065446,315.42196897065446,,
