cell_id,foot,contact_mean_force_n,vertical_impulse_ns,force_p95_n,force_p99_n,force_max_n,impact_event_count,impact_peak_mean_n,impact_peak_p95_n,impact_peak_max_n,impact_impulse_mean_ns,impact_impulse_p95_ns,impact_impulse_max_ns,agreement,agreement_boundary_excluded,false_swing_contact_fraction,missed_stance_contact_fraction,contact_precision,contact_recall,contact_f1,measured_duty_factor,commanded_duty_factor,sampled_desired_stance_fraction,desired_duty_factor,duty_factor_error,duty_factor_abs_error,touchdown_matched,touchdown_abs_error_mean_cycles,touchdown_abs_error_mean_s,touchdown_abs_error_median_cycles,touchdown_abs_error_median_s,touchdown_abs_error_p95_cycles,touchdown_abs_error_p95_s,touchdown_unmatched_expected,touchdown_unmatched_actual,touchdown_unmatched_fraction,touchdown_expected_unmatched_fraction,touchdown_actual_unmatched_fraction,touchdown_event_count,liftoff_matched,liftoff_abs_error_mean_cycles,liftoff_abs_error_mean_s,liftoff_abs_error_median_cycles,liftoff_abs_error_median_s,liftoff_abs_error_p95_cycles,liftoff_abs_error_p95_s,liftoff_unmatched_expected,liftoff_unmatched_actual,liftoff_unmatched_fraction,liftoff_expected_unmatched_fraction,liftoff_actual_unmatched_fraction,liftoff_event_count
gait_00_trot__vx_neg_1p5__seed_0042,fl,93.10678303099249,467.59904963970183,126.91583633422852,133.3424301147461,328.68695068359375,39,132.7720939440605,149.2906265258791,328.68695068359375,6.87916955409906,7.36416479492188,11.038490600585938,0.8125,0.835214446952596,0.24172185430463577,0.0,0.6588785046728972,1.0,0.7943661971830985,0.5229166666666667,0.333658903837204,0.33541666666666664,0.33541666666666664,0.18925776282946272,0.18925776282946272,39,0.049856576399925426,0.012269334989116901,0.04884842038154602,0.012021235243727852,0.08466804623603821,0.02083618044309888,0,0,0.0,0.0,0.0,39,38,0.13951698102449117,0.03433409793582033,0.13896942138671875,0.03419934755568073,0.17571582794189453,0.04324236663615668,0,1,0.02564102564102564,0.0,0.02564102564102564,39
gait_00_trot__vx_neg_1p5__seed_0042,fr,89.0954250497389,515.3953413915634,128.73536376953123,131.43705322265626,173.16465759277344,38,126.73783211959035,131.52838668823242,173.16465759277344,6.567525144878187,7.259596443176269,8.358466186523438,0.7291666666666666,0.753393665158371,0.36333333333333334,0.0,0.5657370517928287,1.0,0.7226463104325701,0.6020833333333333,0.333658903837204,0.33125,0.33125,0.2684244294961293,0.2684244294961293,38,0.1102330229784313,0.027127532282529884,0.1105063259601593,0.0271947901264991,0.14584034085273742,0.0358902300570302,1,0,0.02564102564102564,0.02564102564102564,0.0,38,38,0.15681081069143196,0.03858998160754277,0.15648937225341797,0.03851087798352461,0.19280834197998045,0.04744870801943251,1,1,0.05,0.02564102564102564,0.02564102564102564,39
gait_00_trot__vx_neg_1p5__seed_0042,rl,62.61011042571874,259.4226996088028,107.73573684692376,162.24674224853516,213.60366821289062,39,110.3284160907452,164.88482055664068,213.60366821289062,5.041898845770421,6.41700431060791,7.177388305664063,0.9,0.9389140271493213,0.09,0.0,0.8402366863905325,1.0,0.9131832797427653,0.43125,0.333658903837204,0.33125,0.33125,0.09759109616279604,0.09759109616279604,39,0.020290713279675215,0.004993394580475655,0.020500868558883667,0.0050451122415452136,0.03798654079437256,0.009348206951583,0,0,0.0,0.0,0.0,39,39,0.09564619797926682,0.023537822453544483,0.09601593017578125,0.02362881081461663,0.13155670166015626,0.032375132014363164,0,0,0.0,0.0,0.0,39
gait_00_trot__vx_neg_1p5__seed_0042,rr,68.79938170702562,253.666040378809,104.06077651977539,144.27659759521453,240.9068603515625,39,105.22083869347206,142.55049133300784,240.9068603515625,5.0554605493790055,5.98422640991211,7.857996978759766,0.9520833333333333,0.9864559819413092,0.019867549668874173,0.0,0.9591836734693877,1.0,0.9791666666666666,0.38333333333333336,0.333658903837204,0.33541666666666664,0.33541666666666664,0.04967442949612938,0.04967442949612938,39,0.02150349510021699,0.005291851223498587,0.020364075899124146,0.005011448578938722,0.04648410677909851,0.011439395139524515,0,0,0.0,0.0,0.0,39,38,0.06038545307360197,0.014860413725294013,0.06097602844238281,0.015005749958928866,0.09532270431518554,0.02345821305358023,0,0,0.0,0.0,0.0,38
gait_00_trot__vx_neg_1p0__seed_0042,fl,87.24795187296081,456.00959992170334,116.43206787109375,123.70493011474605,197.9971466064453,31,117.85328772760207,130.03556060791016,197.9971466064453,6.339199621139034,7.008303375244141,8.2468115234375,0.860655737704918,0.8946188340807175,0.17153284671532848,0.0,0.7853881278538812,1.0,0.8797953964194373,0.5348360655737705,0.39623603224754333,0.39549180327868855,0.39549180327868855,0.13860003332622717,0.13860003332622717,31,0.052638102923670126,0.01656812493584989,0.051098257303237915,0.016083450276160174,0.08069267868995667,0.025398452977727085,0,0,0.0,0.0,0.0,31,30,0.0861761728922526,0.02712441215905225,0.0866098403930664,0.027260911328570572,0.11322164535522461,0.035637119529327015,0,1,0.03225806451612903,0.0,0.03225806451612903,31
gait_00_trot__vx_neg_1p0__seed_0042,fr,90.80287089158482,503.1897394657135,117.22691192626954,119.82858764648438,120.11597442626953,30,117.39227040608723,120.02515411376953,120.11597442626953,6.452383613586425,6.750534950256347,6.776669464111328,0.8299180327868853,0.8561946902654868,0.23550724637681159,0.0,0.7302904564315352,1.0,0.8441247002398081,0.5676229508196722,0.39623603224754333,0.3975409836065574,0.3975409836065574,0.17138691857212884,0.17138691857212884,30,0.07053865393002828,0.022202419278181347,0.07082882523536682,0.02229375225130576,0.0995857298374176,0.03134514205739329,1,0,0.03225806451612903,0.03225806451612903,0.0,30,31,0.100318847164031,0.031575894664066455,0.10082626342773438,0.03173560665185808,0.12824535369873047,0.04036591222909288,0,0,0.0,0.0,0.0,31
gait_00_trot__vx_neg_1p0__seed_0042,rl,59.5241103044578,266.9289154195786,94.34838027954102,124.72170074462925,158.3858184814453,31,96.09285637640184,141.97607421875,158.3858184814453,4.696021534704394,5.874087333679199,6.191276092529297,0.9385245901639344,0.9734513274336283,0.043478260869565216,0.0,0.9361702127659575,1.0,0.967032967032967,0.45901639344262296,0.39623603224754333,0.3975409836065574,0.3975409836065574,0.06278036119507963,0.06278036119507963,31,0.01693009272698433,0.005328837399078563,0.01561775803565979,0.004915773023353546,0.034984201192855835,0.011011464774569251,0,0,0.0,0.0,0.0,31,31,0.06957331011372228,0.021898572139582895,0.07059288024902344,0.02221948730263553,0.09801483154296875,0.030850693402173262,0,0,0.0,0.0,0.0,31
gait_00_trot__vx_neg_1p0__seed_0042,rr,57.88510990142822,260.7564689803124,91.51073608398436,95.67355438232421,147.13584899902344,31,91.17890216458228,101.26931762695312,147.13584899902344,4.541621349703882,5.00704288482666,5.816125946044922,0.9344262295081968,0.9618834080717489,0.06204379562043796,0.0,0.91005291005291,1.0,0.9529085872576177,0.4610655737704918,0.39623603224754333,0.39549180327868855,0.39549180327868855,0.06482954152294845,0.06482954152294845,31,0.023442500060604464,0.0073786525015153955,0.02086678147315979,0.006567931275139581,0.048923879861831665,0.01539905332592904,0,0,0.0,0.0,0.0,31,30,0.043815358479817705,0.01379111884893238,0.04497528076171875,0.014156210602149248,0.07011060714721679,0.022067689259770665,0,0,0.0,0.0,0.0,30
gait_00_trot__vx_neg_0p5__seed_0042,fl,81.62612294251065,432.68535568118097,105.24813690185546,109.10021881103518,147.91363525390625,24,107.11790370941162,118.43183326721189,147.91363525390625,5.7232889048258455,6.427199851989745,7.008595123291016,0.9213250517598344,0.9594594594594594,0.07627118644067797,0.0,0.9203539823008849,1.0,0.9585253456221198,0.5486542443064182,0.4705493450164795,0.4699792960662526,0.4699792960662526,0.07810489928993869,0.07810489928993869,24,0.013086060682932535,0.005268267360311244,0.012835502624511719,0.005167396145281425,0.02622570991516113,0.01055810873070721,0,0,0.0,0.0,0.0,24,23,0.07283289536185887,0.029321518116776676,0.073455810546875,0.0295722951700837,0.0942037582397461,0.037925132457959,0,1,0.041666666666666664,0.0,0.041666666666666664,24
gait_00_trot__vx_neg_0p5__seed_0042,fr,80.88040314351811,440.4312301361561,103.08238372802734,107.13913230895999,108.86915588378906,24,99.98435648282369,108.3307933807373,108.86915588378906,5.277669001420339,6.007538810729981,6.128644409179688,0.9089026915113871,0.9436936936936937,0.1059322033898305,0.0,0.8927038626609443,1.0,0.9433106575963719,0.5631469979296067,0.4705493450164795,0.4720496894409938,0.4720496894409938,0.09259765291312716,0.09259765291312716,20,0.03276271820068359,0.013189818014282421,0.03443741798400879,0.013864029025570145,0.06994028091430665,0.028156991476618296,4,4,0.2857142857142857,0.16666666666666666,0.16666666666666666,24,24,0.05690300464630127,0.022908364048222375,0.0575261116027832,0.02315921830607387,0.07807607650756836,0.03143235045688397,0,0,0.0,0.0,0.0,24
gait_00_trot__vx_neg_0p5__seed_0042,rl,55.2780263699018,287.74606023788454,81.59006309509277,84.8447164916993,88.47002410888672,23,78.56977744724439,87.24410400390624,88.47002410888672,4.241436808212944,4.7434832305908206,4.7763441467285155,0.9337474120082816,0.9707207207207207,0.05508474576271186,0.0,0.9411764705882353,1.0,0.9696969696969697,0.5383022774327122,0.4705493450164795,0.4720496894409938,0.4720496894409938,0.0677529324162327,0.0677529324162327,22,0.012452732432972301,0.005013298150824067,0.011289596557617188,0.004545035706058512,0.026203250885009764,0.010549067035245335,2,1,0.12,0.08333333333333333,0.043478260869565216,23,24,0.0610429048538208,0.02457503071488904,0.06156635284423828,0.02478576364892882,0.08261651992797851,0.033260270291023575,0,0,0.0,0.0,0.0,24
