cell_id,planned_row,planned_family,classified_row,classified_family,classification_score_cycles,classification_margin_cycles,classification_domain_valid,classification_domain_reason
gait_00_trot__vx_neg_1p5__seed_0042,trot,trot,trot,trot,0.06837148721076941,0.10381508277020263,True,
gait_00_trot__vx_neg_1p0__seed_0042,trot,trot,trot,trot,0.043730879708324955,0.11877246182909981,True,
gait_00_trot__vx_neg_0p5__seed_0042,trot,trot,trot,trot,0.023541029752986747,0.11551394862614767,True,
gait_00_trot__vx_pos_0p5__seed_0042,trot,trot,trot,trot,0.024490272391757644,0.11579898364631248,True,
gait_00_trot__vx_pos_1p0__seed_0042,trot,trot,trot,trot,0.014682621176128507,0.14175197939298667,True,
gait_00_trot__vx_pos_1p5__seed_0042,trot,trot,trot,trot,0.020056417520496916,0.1323261904164942,True,
gait_01_bound__vx_neg_1p5__seed_0042,bound,bound,bound,bound,0.09126942926283062,0.03985232896544867,True,
gait_01_bound__vx_neg_1p0__seed_0042,bound,bound,bound,bound,0.05798911440044682,0.06039824153071814,True,
gait_01_bound__vx_neg_0p5__seed_0042,bound,bound,bound,bound,0.023065083737068587,0.10299452415006752,True,
gait_01_bound__vx_pos_0p5__seed_0042,bound,bound,bound,bound,0.006778963866162187,0.12027985267904777,True,
gait_01_bound__vx_pos_1p0__seed_0042,bound,bound,bound,bound,0.008966767009291296,0.11488459165003055,True,
gait_01_bound__vx_pos_1p5__seed_0042,bound,bound,bound,bound,0.016370224878335782,0.09868034971505808,True,
gait_02_half_bound__vx_neg_1p5__seed_0042,half_bound_front_a,half_bound,bound,bound,0.08255662588857533,0.03392096747174404,True,
gait_02_half_bound__vx_neg_1p0__seed_0042,half_bound_front_a,half_bound,bound,bound,0.0482692958166836,0.051815488267759016,True,
gait_02_half_bound__vx_neg_0p5__seed_0042,half_bound_front_a,half_bound,bound,bound,0.053940433821767074,0.03892338177759156,True,
gait_02_half_bound__vx_pos_0p5__seed_0042,half_bound_front_a,half_bound,unclassified,unclassified,0.0678516086469218,0.005806148709133374,True,
gait_02_half_bound__vx_pos_1p0__seed_0042,half_bound_front_a,half_bound,unclassified,unclassified,0.06518004787716279,0.009064129762756223,True,
gait_02_half_bound__vx_pos_1p5__seed_0042,half_bound_front_a,half_bound,unclassified,unclassified,0.06434099586163788,0.0013180082767242363,True,
gait_03_half_bound__vx_neg_1p5__seed_0042,half_bound_front_b,half_bound,unclassified,unclassified,0.08073192930692531,0.00860372371196047,True,
gait_03_half_bound__vx_neg_1p0__seed_0042,half_bound_front_b,half_bound,unclassified,unclassified,0.06844313072275691,0.004677457574079169,True,
