robot,protocol,positive_cell_id,negative_cell_id,gait_index,partner_gait_index,gait_name,partner_gait_name,family,direction,speed_mps,seed,phase_alignment,phase_samples,operator,status,reason,paired_velocity_bias,paired_velocity_bias_valid,paired_velocity_bias_reason,paired_yaw_bias,paired_yaw_bias_valid,paired_yaw_bias_reason,paired_contact_pattern_error,paired_contact_pattern_error_valid,paired_contact_pattern_error_reason,paired_touchdown_phase_error,paired_touchdown_phase_error_valid,paired_touchdown_phase_error_reason,paired_joint_position_error,paired_joint_position_error_valid,paired_joint_position_error_reason,paired_joint_velocity_error,paired_joint_velocity_error_valid,paired_joint_velocity_error_reason,paired_actor_mean_consistency_error,paired_actor_mean_consistency_error_valid,paired_actor_mean_consistency_error_reason,paired_normalized_target_consistency_error,paired_normalized_target_consistency_error_valid,paired_normalized_target_consistency_error_reason,paired_torque_pattern_error,paired_torque_pattern_error_valid,paired_torque_pattern_error_reason,paired_work_pattern_error,paired_work_pattern_error_valid,paired_work_pattern_error_reason,paired_value_consistency_error,paired_value_consistency_error_valid,paired_value_consistency_error_reason,paired_grf_pattern_error,paired_grf_pattern_error_valid,paired_grf_pattern_error_reason
go2,full,gait_00_trot__vx_pos_0p5__seed_0042,gait_00_trot__vx_neg_0p5__seed_0042,0,0,trot,trot,trot,positive_to_negative,0.5,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,temporal_reversal,analyzed,,0.01114619389374687,True,,0.0014065509228279862,True,,0.05134765625,True,,0.014770197272300722,True,,0.12385772226039404,True,,1.7646144081018906,True,,1.9756041091480807,True,,0.5590679515540108,True,,2.173583528463762,True,,5.809455912673023,True,,0.010577936574510132,True,,15.496821464051237,True,
go2,full,gait_00_trot__vx_pos_0p5__seed_0042,gait_00_trot__vx_neg_0p5__seed_0042,0,0,trot,trot,trot,positive_to_negative,0.5,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,front_hind_reflected_temporal_reversal,analyzed,,0.01114619389374687,True,,0.0014065509228279862,True,,0.87740234375,True,,0.44128231992324196,True,,0.26829272602194987,True,,2.8833716919310635,True,,3.0064399670748614,True,,0.9095148810742646,True,,6.002720284205145,True,,7.155784566423461,True,,0.010577936574510132,True,,65.57202845598111,True,
go2,full,gait_00_trot__vx_pos_1p0__seed_0042,gait_00_trot__vx_neg_1p0__seed_0042,0,0,trot,trot,trot,positive_to_negative,1.0,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,temporal_reversal,analyzed,,0.007703439067181775,True,,0.006472395256859097,True,,0.10491943359375,True,,0.03041982534341514,True,,0.1937329446766239,True,,3.085325349603275,True,,2.6548290357141244,True,,0.7518456153027351,True,,3.132808857703287,True,,12.387043192856,True,,0.015648646294753803,True,,24.362314233985185,True,
go2,full,gait_00_trot__vx_pos_1p0__seed_0042,gait_00_trot__vx_neg_1p0__seed_0042,0,0,trot,trot,trot,positive_to_negative,1.0,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,front_hind_reflected_temporal_reversal,analyzed,,0.007703439067181775,True,,0.006472395256859097,True,,0.88531494140625,True,,0.41359227197244763,True,,0.2709045859569236,True,,4.289117869940411,True,,2.6358036834824494,True,,0.8003412304112207,True,,7.006704246855326,True,,13.897225656487082,True,,0.015648646294753803,True,,68.2021658489357,True,
go2,full,gait_00_trot__vx_pos_1p5__seed_0042,gait_00_trot__vx_neg_1p5__seed_0042,0,0,trot,trot,trot,positive_to_negative,1.5,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,temporal_reversal,analyzed,,0.01954891085440738,True,,0.001073722824562526,True,,0.13118092606707316,True,,0.06550113468362792,True,,0.2281363326596704,True,,4.311722924370542,True,,3.0867922729192045,True,,0.8795547787270822,True,,3.9492038118762323,True,,21.0768674122149,True,,0.027474935950931915,True,,27.91309238545827,True,
go2,full,gait_00_trot__vx_pos_1p5__seed_0042,gait_00_trot__vx_neg_1p5__seed_0042,0,0,trot,trot,trot,positive_to_negative,1.5,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,front_hind_reflected_temporal_reversal,analyzed,,0.01954891085440738,True,,0.001073722824562526,True,,0.8648080221036585,True,,0.36300138525846526,True,,0.27425686266735416,True,,5.880016192410321,True,,2.314525777942111,True,,0.7005782511322499,True,,8.043399613316428,True,,22.751964637772204,True,,0.027474935950931915,True,,70.19957484005677,True,
go2,full,gait_01_bound__vx_pos_0p5__seed_0042,gait_01_bound__vx_neg_0p5__seed_0042,1,1,bound,bound,bound,positive_to_negative,0.5,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,temporal_reversal,analyzed,,0.04055485874913507,True,,0.01425837302487799,True,,0.12790364583333333,True,,0.04544485724889315,True,,0.20290467688499106,True,,4.809433701809278,True,,1.1439252937302355,True,,0.23899292302069985,True,,5.924081487207897,True,,53.53475650169861,True,,0.015164343470705081,True,,39.410134192478,True,
go2,full,gait_01_bound__vx_pos_0p5__seed_0042,gait_01_bound__vx_neg_0p5__seed_0042,1,1,bound,bound,bound,positive_to_negative,0.5,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,front_hind_reflected_temporal_reversal,analyzed,,0.04055485874913507,True,,0.01425837302487799,True,,0.8836588541666667,True,,0.3709254509669084,True,,0.30139493804667294,True,,7.151470731275595,True,,1.947989408206248,True,,0.6071892253271648,True,,8.50683236392378,True,,49.49345712954556,True,,0.015164343470705081,True,,67.1082421856901,True,
go2,full,gait_01_bound__vx_pos_1p0__seed_0042,gait_01_bound__vx_neg_1p0__seed_0042,1,1,bound,bound,bound,positive_to_negative,1.0,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,temporal_reversal,analyzed,,0.032976757464494064,True,,0.001641418400101573,True,,0.1373448525705645,True,,0.05295563209801912,True,,0.18379868444372627,True,,4.578104122616601,True,,1.4028161296949657,True,,0.31072514020987757,True,,5.7921766707370645,True,,56.231774654602155,True,,0.012588551764343143,True,,41.62011488612101,True,
go2,full,gait_01_bound__vx_pos_1p0__seed_0042,gait_01_bound__vx_neg_1p0__seed_0042,1,1,bound,bound,bound,positive_to_negative,1.0,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,front_hind_reflected_temporal_reversal,analyzed,,0.032976757464494064,True,,0.001641418400101573,True,,0.8740076864919355,True,,0.3976870693732053,True,,0.27758359766794677,True,,7.041849358311846,True,,2.1573883981546422,True,,0.6599227970047375,True,,8.603690559760143,True,,51.573866496050044,True,,0.012588551764343143,True,,67.15594354976562,True,
