operator,scope,stratum,planned_pairs,analyzed_pairs,paired_velocity_bias_mean,paired_velocity_bias_valid_pairs,paired_velocity_bias_coverage_fraction,paired_yaw_bias_mean,paired_yaw_bias_valid_pairs,paired_yaw_bias_coverage_fraction,paired_contact_pattern_error_mean,paired_contact_pattern_error_valid_pairs,paired_contact_pattern_error_coverage_fraction,paired_touchdown_phase_error_mean,paired_touchdown_phase_error_valid_pairs,paired_touchdown_phase_error_coverage_fraction,paired_joint_position_error_mean,paired_joint_position_error_valid_pairs,paired_joint_position_error_coverage_fraction,paired_joint_velocity_error_mean,paired_joint_velocity_error_valid_pairs,paired_joint_velocity_error_coverage_fraction,paired_actor_mean_consistency_error_mean,paired_actor_mean_consistency_error_valid_pairs,paired_actor_mean_consistency_error_coverage_fraction,paired_normalized_target_consistency_error_mean,paired_normalized_target_consistency_error_valid_pairs,paired_normalized_target_consistency_error_coverage_fraction,paired_value_consistency_error_mean,paired_value_consistency_error_valid_pairs,paired_value_consistency_error_coverage_fraction,paired_torque_pattern_error_mean,paired_torque_pattern_error_valid_pairs,paired_torque_pattern_error_coverage_fraction,paired_work_pattern_error_mean,paired_work_pattern_error_valid_pairs,paired_work_pattern_error_coverage_fraction,paired_grf_pattern_error_mean,paired_grf_pattern_error_valid_pairs,paired_grf_pattern_error_coverage_fraction
temporal_reversal,overall,all,30,30,0.03115317245060665,30,1.0,0.015118668226403526,30,1.0,0.14543539655745283,30,1.0,0.045280242663644416,30,1.0,0.21020488815290542,30,1.0,4.665296466839921,30,1.0,1.7274312979932858,30,1.0,0.4325904044490533,30,1.0,0.028966083906614464,30,1.0,5.440930304313408,30,1.0,43.804531358199135,30,1.0,39.47676531816917,30,1.0
temporal_reversal,family,bound,3,3,0.04085137724234816,3,1.0,0.009191156324279115,3,1.0,0.13351469573320987,3,1.0,0.05722482182076195,3,1.0,0.2010068646342397,3,1.0,4.916823032595407,3,1.0,1.421647616939956,3,1.0,0.3249308509306226,3,1.0,0.01670343758141492,3,1.0,5.8961382048071656,3,1.0,57.623807419562034,3,1.0,40.49420703106903,3,1.0
temporal_reversal,family,gallop,12,12,0.02651880753044894,12,1.0,0.016459008152542677,12,1.0,0.1648744556618087,12,1.0,0.0491575319176916,12,1.0,0.2199718755490445,12,1.0,4.882527288646354,12,1.0,1.7417065990670764,12,1.0,0.4398996753742274,12,1.0,0.03944132286636298,12,1.0,5.607116658760249,12,1.0,43.332683454782874,12,1.0,40.89862297758799,12,1.0
temporal_reversal,family,half_bound,12,12,0.03795140063420265,12,1.0,0.018293817582042224,12,1.0,0.141381360472619,12,1.0,0.0405126061779503,12,1.0,0.20981137870826835,12,1.0,4.788036230131621,12,1.0,1.5783576235326995,12,1.0,0.3778045942170978,12,1.0,0.024322900936469785,12,1.0,5.749874867651205,12,1.0,48.49991254267915,12,1.0,42.022052886443106,12,1.0
temporal_reversal,family,trot,3,3,0.012799514605112009,3,1.0,0.002984223001416536,3,1.0,0.09581600530360772,3,1.0,0.03689705243311459,3,1.0,0.18190899986556278,3,1.0,3.0538875606919027,3,1.0,2.572408472593803,3,1.0,0.7301561151946093,3,1.0,0.017900506273398616,3,1.0,3.085198732681094,3,1.0,13.091122172581308,3,1.0,22.590742694498232,3,1.0
temporal_reversal,direction,positive_to_negative,30,30,0.03115317245060665,30,1.0,0.015118668226403526,30,1.0,0.14543539655745283,30,1.0,0.045280242663644416,30,1.0,0.21020488815290542,30,1.0,4.665296466839921,30,1.0,1.7274312979932858,30,1.0,0.4325904044490533,30,1.0,0.028966083906614464,30,1.0,5.440930304313408,30,1.0,43.804531358199135,30,1.0,39.47676531816917,30,1.0
temporal_reversal,speed,0.5 m/s,10,10,0.021905502006631987,10,1.0,0.02092512142681704,10,1.0,0.13892643229166665,10,1.0,0.0363620637617449,10,1.0,0.19984341367830802,10,1.0,4.126606616707745,10,1.0,1.3876185018715679,10,1.0,0.32844414699026697,10,1.0,0.026331523726391276,10,1.0,5.278894747089849,10,1.0,36.51802647890634,10,1.0,37.77395010182462,10,1.0
temporal_reversal,speed,1 m/s,10,10,0.029273069494676857,10,1.0,0.013398515818595857,10,1.0,0.1451169906123992,10,1.0,0.0356982524292215,10,1.0,0.20376815549879207,10,1.0,4.335235539446375,10,1.0,1.7378648697700565,10,1.0,0.430150738049346,10,1.0,0.025944664381004755,10,1.0,5.278541021574595,10,1.0,41.63064501768973,10,1.0,39.794676495688435,10,1.0
temporal_reversal,speed,1.5 m/s,10,10,0.04228094585051109,10,1.0,0.011032367433797676,10,1.0,0.15226276676829267,10,1.0,0.06378041179996684,10,1.0,0.22700309528161608,10,1.0,5.534047244365644,10,1.0,2.0568105223382345,10,1.0,0.5391763283075467,10,1.0,0.034622063612447365,10,1.0,5.765355144275778,10,1.0,53.26492257800136,10,1.0,40.86166935699445,10,1.0
temporal_reversal,robot,go2,30,30,0.03115317245060665,30,1.0,0.015118668226403526,30,1.0,0.14543539655745283,30,1.0,0.045280242663644416,30,1.0,0.21020488815290542,30,1.0,4.665296466839921,30,1.0,1.7274312979932858,30,1.0,0.4325904044490533,30,1.0,0.028966083906614464,30,1.0,5.440930304313408,30,1.0,43.804531358199135,30,1.0,39.47676531816917,30,1.0
