cell_id,event,first_foot,second_foot,eligible_complete_cycles,matched_complete_cycles,unmatched_complete_cycles,coverage_fraction,mean_s,p95_s,mean_cycles,p95_cycles
gait_00_trot__vx_neg_1p5__seed_0042,touchdown,fl,rr,38,38,0,1.0,0.01473684210526316,0.02,0.05988331844932154,0.08127021789550781
gait_00_trot__vx_neg_1p5__seed_0042,touchdown,fr,rl,38,38,0,1.0,0.0268421052631579,0.04,0.10907318717554997,0.16254043579101562
gait_00_trot__vx_neg_1p5__seed_0042,liftoff,fl,rr,38,38,0,1.0,0.01947368421052632,0.02,0.07913152795088918,0.08127021789550781
gait_00_trot__vx_neg_1p5__seed_0042,liftoff,fr,rl,38,38,0,1.0,0.015263157894736845,0.02,0.062022008393940176,0.08127021789550781
gait_00_trot__vx_neg_1p0__seed_0042,touchdown,fl,rr,30,30,0,1.0,0.009333333333333334,0.02,0.02965265909830729,0.06354141235351562
gait_00_trot__vx_neg_1p0__seed_0042,touchdown,fr,rl,30,30,0,1.0,0.024000000000000007,0.04,0.07624969482421876,0.12708282470703125
gait_00_trot__vx_neg_1p0__seed_0042,liftoff,fl,rr,30,30,0,1.0,0.013333333333333336,0.02,0.042360941569010414,0.06354141235351562
gait_00_trot__vx_neg_1p0__seed_0042,liftoff,fr,rl,30,30,0,1.0,0.010000000000000002,0.02,0.03177070617675781,0.06354141235351562
gait_00_trot__vx_neg_0p5__seed_0042,touchdown,fl,rr,23,23,0,1.0,0.014782608695652177,0.02,0.03671911488408628,0.049678802490234375
gait_00_trot__vx_neg_0p5__seed_0042,touchdown,fr,rl,23,14,9,0.6086956521739131,0.24571428571428572,0.387,0.6103395734514508,0.9612848281860351
gait_00_trot__vx_neg_0p5__seed_0042,liftoff,fl,rr,23,23,0,1.0,0.007826086956521738,0.02,0.019439531409222145,0.049678802490234375
gait_00_trot__vx_neg_0p5__seed_0042,liftoff,fr,rl,23,23,0,1.0,0.0017391304347826088,0.01799999999999997,0.004319895868716033,0.044710922241210864
gait_00_trot__vx_pos_0p5__seed_0042,touchdown,fl,rr,23,23,0,1.0,0.010434782608695651,0.02,0.025919375212296196,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_0042,touchdown,fr,rl,23,17,6,0.7391304347826086,0.3129411764705883,0.38,0.7773271448471967,0.9438972473144531
gait_00_trot__vx_pos_0p5__seed_0042,liftoff,fl,rr,23,23,0,1.0,0.002608695652173913,0.02,0.006479843803074049,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_0042,liftoff,fr,rl,23,23,0,1.0,0.0052173913043478265,0.02,0.012959687606148098,0.049678802490234375
gait_00_trot__vx_pos_1p0__seed_0042,touchdown,fl,rr,30,30,0,1.0,0.005333333333333333,0.02,0.016944376627604167,0.06354141235351562
gait_00_trot__vx_pos_1p0__seed_0042,touchdown,fr,rl,30,24,6,0.8,0.004166666666666667,0.02,0.013237794240315756,0.06354141235351562
gait_00_trot__vx_pos_1p0__seed_0042,liftoff,fl,rr,30,30,0,1.0,0.0033333333333333335,0.02,0.010590235392252604,0.06354141235351562
gait_00_trot__vx_pos_1p0__seed_0042,liftoff,fr,rl,30,30,0,1.0,0.008666666666666665,0.02,0.027534612019856772,0.06354141235351562
gait_00_trot__vx_pos_1p5__seed_0042,touchdown,fl,rr,38,38,0,1.0,0.003157894736842105,0.02,0.01283213966771176,0.08127021789550781
gait_00_trot__vx_pos_1p5__seed_0042,touchdown,fr,rl,38,38,0,1.0,0.009473684210526318,0.02,0.03849641900313528,0.08127021789550781
gait_00_trot__vx_pos_1p5__seed_0042,liftoff,fl,rr,38,38,0,1.0,0.016315789473684214,0.02,0.06629938828317743,0.08127021789550781
