scope,stratum,planned_cells,terminated_cells,velocity_valid_cells,velocity_vx_relative_rmse_mean,velocity_yaw_rmse_radps_mean,heading_valid_cells,heading_rmse_rad_mean,gait_valid_cells,gait_agreement_boundary_excluded_mean,gait_duty_factor_abs_error_mean,classification_valid_cells,classification_unclassified_cells,classification_row_accuracy,classification_family_accuracy,raw_load_valid_cells,absolute_work_total_j_mean,grf_load_valid_cells,vertical_grf_impulse_total_ns_mean,normalized_load_valid_cells,normalized_torque_squared_total_s_mean,velocity_success_domain_cells,velocity_success_cells,gait_success_domain_cells,gait_success_cells,joint_success_domain_cells,joint_success_cells
row,bound,6,0,6,0.052392782980126014,0.059946722580574395,6,0.029305173336541656,6,0.9086518419820296,0.11184875247199345,6,0,1.0,1.0,6,2679.3788538590975,6,1421.8818747329494,6,5.875252553753987,6,2,6,6,6,2
row,gallop_a,6,0,6,0.06269504035530972,0.06931087329006828,6,0.03394026001096839,6,0.8223470436169924,0.14256955569600918,6,2,0.0,0.0,6,2441.4768114534886,6,1426.6568649422036,6,5.556975582264507,6,1,6,0,6,0
row,gallop_b,6,0,6,0.03743947713293542,0.09929717396852873,6,0.03355756039436756,6,0.8900640473353559,0.13074331741975306,6,1,0.8333333333333334,0.8333333333333334,6,1980.5607238658156,6,1467.8187064742795,6,5.1664138923133995,6,0,6,5,6,0
row,gallop_c,6,0,6,0.05119669890876689,0.07463078164616439,6,0.016749731823411815,6,0.8496990574515854,0.12422384985308754,6,0,0.0,0.0,6,2509.9026129024637,6,1432.1411042797336,6,5.35412403395233,6,0,6,0,6,0
row,gallop_d,6,0,6,0.05115720342694097,0.07941768670986507,6,0.021771424411114914,6,0.8946322541305308,0.12258122640729678,6,0,1.0,1.0,6,1363.6902481718466,6,1458.4572317635145,6,4.56215596552078,6,0,6,6,6,0
row,half_bound_front_a,6,0,6,0.047591744175626165,0.08705725892331966,6,0.04483918502956186,6,0.8770305104195852,0.12013534895710652,6,3,0.0,0.0,6,2654.3731863194603,6,1444.2208318410194,6,5.8677295724639045,6,0,6,0,6,0
row,half_bound_front_b,6,0,6,0.05469444111775861,0.07224821622619189,6,0.04755505320964479,6,0.8853268728738865,0.1316789233837886,6,3,0.5,0.5,6,2049.200484185424,6,1438.4314474309328,6,5.529976846990311,6,0,6,3,6,0
row,half_bound_hind_a,6,0,6,0.04889087872979814,0.08318879613019871,6,0.04858420868674354,6,0.8805610768752784,0.11989519505724189,6,1,0.3333333333333333,0.3333333333333333,6,2375.789763370974,6,1444.8603276825822,6,5.670887255906305,6,0,6,2,6,0
row,half_bound_hind_b,6,0,6,0.05743112778521863,0.06472389724319699,6,0.02127659714201882,6,0.8874591245426812,0.12791860577577022,6,0,0.5,0.5,6,2266.981259802376,6,1444.1496888961146,6,5.402556176075685,6,0,6,3,6,0
row,trot,6,0,6,0.032126882357606884,0.061966221729156175,6,0.016810545653470316,6,0.8918276454703921,0.13921127405180006,6,0,1.0,1.0,6,880.1039997267744,6,1497.1335966185727,6,3.414609836740988,6,2,6,5,6,2
family,bound,6,0,6,0.052392782980126014,0.059946722580574395,6,0.029305173336541656,6,0.9086518419820296,0.11184875247199345,6,0,1.0,1.0,6,2679.3788538590975,6,1421.8818747329494,6,5.875252553753987,6,2,6,6,6,2
family,gallop,24,0,24,0.050622104955988255,0.08066412890365662,24,0.026504744159965673,24,0.8641856006336162,0.13002948734403666,24,3,0.4583333333333333,0.4583333333333333,24,2073.9075990984034,24,1446.2684768649326,24,5.159917368512755,24,1,24,11,24,0
family,half_bound,24,0,24,0.052152047952100385,0.07680454213072681,24,0.04056376101699225,24,0.8825943961778577,0.1249070182934768,24,7,0.3333333333333333,0.3333333333333333,24,2336.5861734195582,24,1442.9155739626622,24,5.617787462859051,24,0,24,8,24,0
family,trot,6,0,6,0.032126882357606884,0.061966221729156175,6,0.016810545653470316,6,0.8918276454703921,0.13921127405180006,6,0,1.0,1.0,6,880.1039997267744,6,1497.1335966185727,6,3.414609836740988,6,2,6,5,6,2
velocity,+0.5 m/s,10,0,10,0.06977002273418763,0.07420885917319843,10,0.044752376695828114,10,0.9053471532475511,0.09503036512844805,10,1,0.5,0.5,10,1534.1166148737466,10,1447.5106216072477,10,4.509501631678537,10,1,10,5,10,1
