cell_id,gait_index,gait_name,family,velocity_mps,velocity_sign,seed,status,reason,relative_output_dir,sample_count,measurement_start_s,measurement_stop_s,measurement_duration_s,complete_cycles,phase_boundary_trimmed,gait_period_s,effort_limit_source,effort_limit_min_nm,effort_limit_max_nm,command_x_mean_mps,measured_x_mean_mps,tracking_rmse_mps,yaw_tracking_rmse_radps,tracking_success_threshold_mps,yaw_tracking_success_threshold_radps,planar_tracking_success,yaw_tracking_success,tracking_success,signed_directed_progress_m,integrated_body_x_progress_m,position_vs_integrated_progress_difference_m,directed_progress_definition,positive_directed_progress,torque_squared_front_integral,torque_squared_hind_integral,torque_squared_total_integral,torque_squared_signed_imbalance_percent,torque_squared_abs_imbalance_percent,torque_squared_total_per_s,torque_squared_total_per_directed_m,normalized_torque_utilization_front_integral,normalized_torque_utilization_hind_integral,normalized_torque_utilization_total_integral,normalized_torque_utilization_signed_imbalance_percent,normalized_torque_utilization_abs_imbalance_percent,normalized_torque_utilization_total_per_s,normalized_torque_utilization_total_per_directed_m,absolute_work_front_integral,absolute_work_hind_integral,absolute_work_total_integral,absolute_work_signed_imbalance_percent,absolute_work_abs_imbalance_percent,absolute_work_total_per_s,absolute_work_total_per_directed_m,vertical_grf_impulse_front_integral,vertical_grf_impulse_hind_integral,vertical_grf_impulse_total_integral,vertical_grf_impulse_signed_imbalance_percent,vertical_grf_impulse_abs_imbalance_percent,vertical_grf_impulse_total_per_s,vertical_grf_impulse_total_per_directed_m
gait_00_trot__vx_neg_1p5__seed_0042,0,trot,trot,-1.5,backward,42,valid,,cells/gait_00_trot/vx_neg_1p5/seed_0042,480,5.16,14.76,9.6,39,True,0.2460918128490448,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.5,-1.503602417310079,0.05585811704141185,0.06488287693582885,0.425,0.05,True,False,False,14.40962553024292,14.434583206176757,-0.024957675933837464,commanded-sign world-x displacement across the same sample intervals as effort integration,True,3105.9273289004304,1713.5152818323686,4819.442610732799,28.891557790670422,28.891557790670422,502.02527195133325,334.4599483600565,3.1059273289004305e-15,1.713515281832369e-15,4.819442610732799e-15,28.89155779067041,28.89155779067041,5.020252719513333e-16,3.3445994836005656e-16,1057.4584382643325,1610.1143202619255,2667.572758526258,-20.717556071569586,20.717556071569586,277.8721623464852,185.1243637752804,1049.4388913591217,451.1260788130459,1500.5649701721677,39.87250298648703,39.87250298648703,156.3088510596008,104.13629188508627
gait_00_trot__vx_neg_1p0__seed_0042,0,trot,trot,-1.0,backward,42,valid,,cells/gait_00_trot/vx_neg_1p0/seed_0042,488,5.0200000000000005,14.780000000000001,9.76,31,True,0.31475794315338135,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.0,-1.0074274012299835,0.05084279945611785,0.08193839163995079,0.3,0.05,True,False,False,9.808342933654785,9.83249143600464,-0.02414850234985444,commanded-sign world-x displacement across the same sample intervals as effort integration,True,2225.948795738283,1302.569054207259,3528.517849945542,26.169053999408714,26.169053999408714,361.5284682321252,359.7465824566908,2.225948795738283e-15,1.3025690542072588e-15,3.528517849945542e-15,26.169053999408714,26.169053999408714,3.6152846823212525e-16,3.5974658245669085e-16,777.0346352495533,962.5809675172111,1739.6156027667644,-10.665938611527537,10.665938611527537,178.2393035621685,177.36080544224495,944.0043256121851,536.5712056713201,1480.5755312835051,27.51856364853354,27.51856364853354,151.69831263150667,150.95062859224612
gait_00_trot__vx_neg_0p5__seed_0042,0,trot,trot,-0.5,backward,42,valid,,cells/gait_00_trot/vx_neg_0p5/seed_0042,483,5.22,14.88,9.66,24,True,0.40258365869522095,recorded_joint_effort_limits,1000000000.0,1000000000.0,-0.5,-0.504613465157108,0.04042992692359097,0.09094066809626884,0.175,0.05,True,False,False,4.861839771270752,4.874566073417664,-0.012726302146911728,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1565.5979235339285,1047.761003904214,2613.3589274381425,19.814994189770417,19.814994189770417,270.53405045943504,537.524692376911,1.5655979235339285e-15,1.0477610039042141e-15,2.6133589274381424e-15,19.814994189770413,19.814994189770413,2.7053405045943505e-16,5.37524692376911e-16,567.1472413817619,545.9676322918676,1113.1148736736295,1.902733454633921,1.902733454633921,115.22928298898856,228.9493126143669,893.4306935630121,552.5048491267646,1445.9355426897769,23.578218694454804,23.578218694454804,149.68276839438684,297.4050175890204
gait_00_trot__vx_pos_0p5__seed_0042,0,trot,trot,0.5,forward,42,valid,,cells/gait_00_trot/vx_pos_0p5/seed_0042,483,5.22,14.88,9.66,24,True,0.40258365869522095,recorded_joint_effort_limits,1000000000.0,1000000000.0,0.5,0.4963116300278816,0.036918748178086706,0.06907230020062143,0.175,0.05,True,False,False,4.774765253067017,4.794370346069336,-0.01960509300231905,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1361.8128571259574,959.3115395044749,2321.1243966304323,17.340790446466038,17.340790446466038,240.2820286366907,486.12324870620273,1.3618128571259575e-15,9.59311539504475e-16,2.3211243966304324e-15,17.340790446466038,17.340790446466038,2.4028202863669074e-16,4.861232487062027e-16,334.8712666288437,273.28164167477865,608.1529083036223,10.127325564529942,10.127325564529942,62.95578760907063,127.3681272420633,847.583192776311,606.0028018261505,1453.5859946024616,16.619614652811084,16.619614652811084,150.47474064207677,304.43088142789156
gait_00_trot__vx_pos_1p0__seed_0042,0,trot,trot,1.0,forward,42,valid,,cells/gait_00_trot/vx_pos_1p0/seed_0042,488,5.0200000000000005,14.780000000000001,9.76,31,True,0.31475794315338135,recorded_joint_effort_limits,1000000000.0,1000000000.0,1.0,0.9840836842529109,0.039594754400355356,0.08545791177757014,0.3,0.05,True,False,False,9.57071828842163,9.60465675830841,-0.03393846988677929,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1428.7445303773443,1157.100634997398,2585.8451653747425,10.505033287272617,10.505033287272617,264.9431521900351,270.1829776457866,1.4287445303773447e-15,1.1571006349973982e-15,2.585845165374743e-15,10.50503328727262,10.50503328727262,2.6494315219003515e-16,2.7018297764578666e-16,471.19110669094374,406.19704827676077,877.3881549677045,7.407674476363921,7.407674476363921,89.89632735324841,91.6742221980499,788.0844487178326,709.618340593629,1497.7027893114616,5.239097415334108,5.239097415334108,153.4531546425678,156.48802359205763
gait_00_trot__vx_pos_1p5__seed_0042,0,trot,trot,1.5,forward,42,valid,,cells/gait_00_trot/vx_pos_1p5/seed_0042,480,5.16,14.76,9.6,39,True,0.2460918128490448,recorded_joint_effort_limits,1000000000.0,1000000000.0,1.5,1.487478311608235,0.05079890273690376,0.08222105892497009,0.425,0.05,True,False,False,14.253523826599121,14.279791791439056,-0.026267964839934876,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1703.5375016889507,1605.9850312742406,3309.522532963191,2.9476297394284914,2.9476297394284914,344.7419305169991,232.18977799631185,1.7035375016889503e-15,1.6059850312742407e-15,3.309522532963191e-15,2.9476297394284767,2.9476297394284767,3.447419305169991e-16,2.321897779963118e-16,782.5709350789106,643.2658181706043,1425.836753249515,9.770060744389331,9.770060744389331,148.5246617968245,100.03398251516575,729.8524959349633,784.0325409698487,1513.8850369048118,-3.5788744662975427,3.5788744662975427,157.69635801091792,106.21128187821773
gait_01_bound__vx_neg_1p5__seed_0042,1,bound,bound,-1.5,backward,42,valid,,cells/gait_01_bound/vx_neg_1p5/seed_0042,480,5.16,14.76,9.6,39,True,0.2460918128490448,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.5,-1.5160994430383046,0.06606844897723259,0.08182399365274529,0.425,0.05,True,False,False,14.568226337432861,14.554554653167726,0.013671684265135653,commanded-sign world-x displacement across the same sample intervals as effort integration,True,3403.466919144478,4028.7162994040223,7432.1832185485,-8.412728290916041,8.412728290916041,774.1857519321354,510.1639037177508,3.4034669191444782e-15,4.028716299404022e-15,7.4321832185485e-15,-8.412728290916041,8.412728290916041,7.741857519321355e-16,5.101639037177509e-16,1424.0921527811663,4187.520764864339,5611.612917645505,-49.2448187827367,49.2448187827367,584.5430122547401,385.1953414003832,1046.6478006089076,354.97401143225375,1401.6218120411613,49.34810397744734,49.34810397744734,146.00227208762098,96.21087561220222
gait_01_bound__vx_neg_1p0__seed_0042,1,bound,bound,-1.0,backward,42,valid,,cells/gait_01_bound/vx_neg_1p0/seed_0042,488,5.0200000000000005,14.780000000000001,9.76,31,True,0.31475794315338135,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.0,-1.021848972947871,0.05423339112360232,0.09986045360509983,0.3,0.05,True,False,False,10.080055713653564,9.973245975971222,0.10680973768234203,commanded-sign world-x displacement across the same sample intervals as effort integration,True,3489.164519365685,3368.6606124823898,6857.825131848074,1.757173806075475,1.757173806075475,702.6460176073847,680.336034508129,3.4891645193656853e-15,3.3686606124823896e-15,6.8578251318480744e-15,1.7571738060754818,1.7571738060754818,7.026460176073847e-16,6.80336034508129e-16,1379.0571580464766,3409.548034553875,4788.605192600351,-42.402553454292665,42.402553454292665,490.6357779303639,475.0574132357348,1091.0726462348985,351.89828691172005,1442.9709331466186,51.2258661864585,51.2258661864585,147.84538249453058,143.15108707108593
gait_01_bound__vx_neg_0p5__seed_0042,1,bound,bound,-0.5,backward,42,valid,,cells/gait_01_bound/vx_neg_0p5/seed_0042,483,5.22,14.88,9.66,24,True,0.40258365869522095,recorded_joint_effort_limits,1000000000.0,1000000000.0,-0.5,-0.5146484645257084,0.046909097595313295,0.10844176582597953,0.175,0.05,True,False,False,5.000532627105713,4.971504167318344,0.029028459787368455,commanded-sign world-x displacement across the same sample intervals as effort integration,True,3821.973775190361,2509.4527686042416,6331.426543794602,20.730257194131298,20.730257194131298,655.4271784466462,1266.1504315509696,3.821973775190361e-15,2.5094527686042417e-15,6.331426543794603e-15,20.7302571941313,20.7302571941313,6.554271784466462e-16,1.2661504315509698e-15,1298.9863122667361,2498.8863945087564,3797.8727067754926,-31.594004720099512,31.594004720099512,393.15452451092057,759.493635975671,1073.3683517205009,349.6556003579528,1423.0239520784537,50.85738369375307,50.85738369375307,147.31096812406352,284.57447599978843
gait_01_bound__vx_pos_0p5__seed_0042,1,bound,bound,0.5,forward,42,valid,,cells/gait_01_bound/vx_pos_0p5/seed_0042,483,5.22,14.88,9.66,24,True,0.40258365869522095,recorded_joint_effort_limits,1000000000.0,1000000000.0,0.5,0.45833408962125366,0.07289772466830707,0.07971047676935883,0.175,0.05,True,False,False,4.541729927062988,4.42750730574131,0.11422262132167837,commanded-sign world-x displacement across the same sample intervals as effort integration,True,2745.7251719473734,2840.0631585465812,5585.788330493955,-1.6888929729792586,1.6888929729792586,578.2389576080699,1229.8812171128218,2.745725171947373e-15,2.8400631585465814e-15,5.585788330493955e-15,-1.6888929729792659,1.6888929729792659,5.782389576080698e-16,1.2298812171128217e-15,1712.3120797598526,1042.6721362698047,2754.9842160296575,24.306489292889626,24.306489292889626,285.1950534192192,606.5935800394961,602.5363303089299,852.9475294719102,1455.4838597808402,-17.204670287493677,17.204670287493677,150.67120701665013,320.4690466308862
