operator,scope,stratum,planned_pairs,analyzed_pairs,paired_velocity_bias_mean,paired_velocity_bias_valid_pairs,paired_velocity_bias_coverage_fraction,paired_yaw_bias_mean,paired_yaw_bias_valid_pairs,paired_yaw_bias_coverage_fraction,paired_contact_pattern_error_mean,paired_contact_pattern_error_valid_pairs,paired_contact_pattern_error_coverage_fraction,paired_touchdown_phase_error_mean,paired_touchdown_phase_error_valid_pairs,paired_touchdown_phase_error_coverage_fraction,paired_joint_position_error_mean,paired_joint_position_error_valid_pairs,paired_joint_position_error_coverage_fraction,paired_joint_velocity_error_mean,paired_joint_velocity_error_valid_pairs,paired_joint_velocity_error_coverage_fraction,paired_actor_mean_consistency_error_mean,paired_actor_mean_consistency_error_valid_pairs,paired_actor_mean_consistency_error_coverage_fraction,paired_normalized_target_consistency_error_mean,paired_normalized_target_consistency_error_valid_pairs,paired_normalized_target_consistency_error_coverage_fraction,paired_value_consistency_error_mean,paired_value_consistency_error_valid_pairs,paired_value_consistency_error_coverage_fraction,paired_torque_pattern_error_mean,paired_torque_pattern_error_valid_pairs,paired_torque_pattern_error_coverage_fraction,paired_work_pattern_error_mean,paired_work_pattern_error_valid_pairs,paired_work_pattern_error_coverage_fraction,paired_grf_pattern_error_mean,paired_grf_pattern_error_valid_pairs,paired_grf_pattern_error_coverage_fraction
temporal_reversal,overall,all,30,30,0.034948219812402724,30,1.0,0.019181995714566764,30,1.0,0.2517303456232175,30,1.0,0.09048555381661823,30,1.0,0.3022099403083308,30,1.0,6.14268673675126,30,1.0,2.8068870977721323,30,1.0,0.7867465490299314,30,1.0,0.10632388097103757,30,1.0,6.589750462152952,30,1.0,66.64275815554248,30,1.0,39.797778630798376,30,1.0
temporal_reversal,family,bound,3,3,0.059546424440476774,3,1.0,0.021025848208852605,3,1.0,0.2507659851815882,3,1.0,0.08834893633761277,3,1.0,0.3732267195725749,3,1.0,6.796089982678782,3,1.0,2.927089655429066,3,1.0,0.8091403442629677,3,1.0,0.09195767178318164,3,1.0,7.345952641082835,3,1.0,82.13064736880808,3,1.0,43.01043037815392,3,1.0
temporal_reversal,family,gallop,12,12,0.02494415040973837,12,1.0,0.0209856313872652,12,1.0,0.26860512039233925,12,1.0,0.08728994368914715,12,1.0,0.288345681915915,12,1.0,6.268638166121021,12,1.0,2.817149501264266,12,1.0,0.7942957052338883,12,1.0,0.1111583698138694,12,1.0,6.401362789633505,12,1.0,64.58083694497013,12,1.0,40.011945205311406,12,1.0
temporal_reversal,family,half_bound,12,12,0.04357667923039171,12,1.0,0.0188403549387688,12,1.0,0.2625825567851587,12,1.0,0.09249625045826804,12,1.0,0.33235214046444467,12,1.0,6.274023070703962,12,1.0,2.8461671664507526,12,1.0,0.7938025501085763,12,1.0,0.1274994169022984,12,1.0,7.094298978415229,12,1.0,72.88758722511787,12,1.0,42.62161993262204,12,1.0
temporal_reversal,family,trot,3,3,0.015852455123030105,3,1.0,0.011490163632679004,3,1.0,0.14178676234059467,3,1.0,0.09736182523890873,3,1.0,0.16608139398929442,3,1.0,4.460132437533908,3,1.0,2.4885146514321947,3,1.0,0.705932124666487,3,1.0,0.01664999106252266,3,1.0,4.568904908251759,3,1.0,34.42323750626469,3,1.0,24.43309537809608,3,1.0
temporal_reversal,direction,positive_to_negative,30,30,0.034948219812402724,30,1.0,0.019181995714566764,30,1.0,0.2517303456232175,30,1.0,0.09048555381661823,30,1.0,0.3022099403083308,30,1.0,6.14268673675126,30,1.0,2.8068870977721323,30,1.0,0.7867465490299314,30,1.0,0.10632388097103757,30,1.0,6.589750462152952,30,1.0,66.64275815554248,30,1.0,39.797778630798376,30,1.0
temporal_reversal,speed,0.5 m/s,10,10,0.025423243824490606,10,1.0,0.015770245868831953,10,1.0,0.24673242187499994,10,1.0,0.08417497034096805,10,1.0,0.2449179055332702,10,1.0,4.792617393266367,10,1.0,2.581866672451425,10,1.0,0.7344796377688151,10,1.0,0.05970376821118604,10,1.0,5.869600821233261,10,1.0,58.02045072423384,10,1.0,35.99965770294768,10,1.0
temporal_reversal,speed,1 m/s,10,10,0.03844474052768517,10,1.0,0.015125069059119636,10,1.0,0.2394926994077621,10,1.0,0.07650348567005213,10,1.0,0.3213754145704195,10,1.0,6.171980416895787,10,1.0,2.830910097192934,10,1.0,0.7873572806424128,10,1.0,0.11269455085131855,10,1.0,6.87770377415365,10,1.0,65.257223495433,10,1.0,41.151283920943726,10,1.0
temporal_reversal,speed,1.5 m/s,10,10,0.040976675085032395,10,1.0,0.026650672215748693,10,1.0,0.26896591558689026,10,1.0,0.1107782054388345,10,1.0,0.3403365008213026,10,1.0,7.463462400091632,10,1.0,3.007884523672041,10,1.0,0.8384027286785656,10,1.0,0.14657332385060812,10,1.0,7.0219467910719455,10,1.0,76.6506002469606,10,1.0,42.242394268503716,10,1.0
temporal_reversal,robot,go2,30,30,0.034948219812402724,30,1.0,0.019181995714566764,30,1.0,0.2517303456232175,30,1.0,0.09048555381661823,30,1.0,0.3022099403083308,30,1.0,6.14268673675126,30,1.0,2.8068870977721323,30,1.0,0.7867465490299314,30,1.0,0.10632388097103757,30,1.0,6.589750462152952,30,1.0,66.64275815554248,30,1.0,39.797778630798376,30,1.0
front_hind_reflected_temporal_reversal,overall,all,30,30,0.034948219812402724,30,1.0,0.019181995714566764,30,1.0,0.7056580795286752,30,1.0,0.27159893778377897,30,1.0,0.3076492244730734,30,1.0,7.041987449128589,30,1.0,3.3516305282086747,30,1.0,1.0008295906862201,30,1.0,0.10632388097103757,30,1.0,7.559234335398631,30,1.0,71.26516192828328,30,1.0,61.231735207504435,30,1.0
front_hind_reflected_temporal_reversal,family,bound,3,3,0.059546424440476774,3,1.0,0.021025848208852605,3,1.0,0.7314557342035745,3,1.0,0.28753460075691833,3,1.0,0.35190746146445556,3,1.0,7.814637118922783,3,1.0,3.3419711478641134,3,1.0,0.9916768883920248,3,1.0,0.09195767178318164,3,1.0,8.052910290144075,3,1.0,83.98187043377585,3,1.0,63.53205873215601,3,1.0
front_hind_reflected_temporal_reversal,family,gallop,12,12,0.02494415040973837,12,1.0,0.0209856313872652,12,1.0,0.6861430532163814,12,1.0,0.26967957262698644,12,1.0,0.2969503431204124,12,1.0,6.969545767908026,12,1.0,3.381349962607102,12,1.0,1.011525465620349,12,1.0,0.1111583698138694,12,1.0,7.405105091649914,12,1.0,70.48817619027564,12,1.0,59.597283735171665,12,1.0
front_hind_reflected_temporal_reversal,family,half_bound,12,12,0.04357667923039171,12,1.0,0.0188403549387688,12,1.0,0.6926956835984454,12,1.0,0.25714235369644134,12,1.0,0.3221171380330778,12,1.0,7.293587728138938,12,1.0,3.254654372795283,12,1.0,0.9710447566080079,12,1.0,0.1274994169022984,12,1.0,7.6308273740622345,12,1.0,77.76748759785958,12,1.0,61.142429797872985,12,1.0
front_hind_reflected_temporal_reversal,family,trot,3,3,0.015852455123030105,3,1.0,0.011490163632679004,3,1.0,0.8097701138238701,3,1.0,0.3211670717871609,3,1.0,0.2483148586523177,3,1.0,5.552703388175247,3,1.0,3.6303167926130873,3,1.0,1.086338129556747,3,1.0,0.01664999106252266,3,1.0,7.395703200993633,3,1.0,35.64709369651594,3,1.0,65.82643921070974,3,1.0
front_hind_reflected_temporal_reversal,direction,positive_to_negative,30,30,0.034948219812402724,30,1.0,0.019181995714566764,30,1.0,0.7056580795286752,30,1.0,0.27159893778377897,30,1.0,0.3076492244730734,30,1.0,7.041987449128589,30,1.0,3.3516305282086747,30,1.0,1.0008295906862201,30,1.0,0.10632388097103757,30,1.0,7.559234335398631,30,1.0,71.26516192828328,30,1.0,61.231735207504435,30,1.0
front_hind_reflected_temporal_reversal,speed,0.5 m/s,10,10,0.025423243824490606,10,1.0,0.015770245868831953,10,1.0,0.6508958333333332,10,1.0,0.2786500225688746,10,1.0,0.28288777525385606,10,1.0,5.521608291498842,10,1.0,3.3308681047306488,10,1.0,1.0043843138186443,10,1.0,0.05970376821118604,10,1.0,7.036328803234855,10,1.0,65.911317023076,10,1.0,54.31305017063846,10,1.0
front_hind_reflected_temporal_reversal,speed,1 m/s,10,10,0.03844474052768517,10,1.0,0.015125069059119636,10,1.0,0.7410768570438508,10,1.0,0.27972601731508256,10,1.0,0.3199167365708818,10,1.0,7.54175577894802,10,1.0,3.3684463802660263,10,1.0,1.0046840587704609,10,1.0,0.11269455085131855,10,1.0,7.6324747550024785,10,1.0,70.19307298044497,10,1.0,63.20177556024364,10,1.0
front_hind_reflected_temporal_reversal,speed,1.5 m/s,10,10,0.040976675085032395,10,1.0,0.026650672215748693,10,1.0,0.7250015482088414,10,1.0,0.2564207734673799,10,1.0,0.3201431615944823,10,1.0,8.062598276938905,10,1.0,3.355577099629349,10,1.0,0.9934203994695545,10,1.0,0.14657332385060812,10,1.0,8.008899447958559,10,1.0,77.69109578132881,10,1.0,66.18037989163119,10,1.0
front_hind_reflected_temporal_reversal,robot,go2,30,30,0.034948219812402724,30,1.0,0.019181995714566764,30,1.0,0.7056580795286752,30,1.0,0.27159893778377897,30,1.0,0.3076492244730734,30,1.0,7.041987449128589,30,1.0,3.3516305282086747,30,1.0,1.0008295906862201,30,1.0,0.10632388097103757,30,1.0,7.559234335398631,30,1.0,71.26516192828328,30,1.0,61.231735207504435,30,1.0
