scope,stratum,planned_cells,terminated_cells,velocity_valid_cells,velocity_vx_relative_rmse_mean,velocity_yaw_rmse_radps_mean,heading_valid_cells,heading_rmse_rad_mean,gait_valid_cells,gait_agreement_boundary_excluded_mean,gait_duty_factor_abs_error_mean,classification_valid_cells,classification_unclassified_cells,classification_row_accuracy,classification_family_accuracy,raw_load_valid_cells,absolute_work_total_j_mean,grf_load_valid_cells,vertical_grf_impulse_total_ns_mean,normalized_load_valid_cells,normalized_torque_squared_total_s_mean,velocity_success_domain_cells,velocity_success_cells,gait_success_domain_cells,gait_success_cells,joint_success_domain_cells,joint_success_cells
row,bound,6,0,6,0.057485301267356036,0.08548813408750222,6,0.03711415040456934,6,0.849933498435584,0.1578866088184439,6,0,1.0,1.0,6,3668.550046518963,6,1447.537495143153,6,6.599115057829383,6,0,6,6,6,0
row,gallop_a,6,0,6,0.05423226430637984,0.09492433171418006,6,0.060186899210029045,6,0.7439114071460805,0.17538690403334622,6,1,0.0,0.0,6,3114.1836477203456,6,1446.2667820406148,6,5.999224211704765,6,0,6,0,6,0
row,gallop_b,6,0,6,0.053851789176308486,0.09432220787247275,6,0.05846347164279223,6,0.7414289391605186,0.19382299256842803,6,0,0.0,0.0,6,2612.730313043665,6,1455.4882495906204,6,4.920693933834958,6,0,6,0,6,0
row,gallop_c,6,0,6,0.060334333233363235,0.0951419377436355,6,0.027041563327053857,6,0.7323001634222134,0.1785404397285245,6,1,0.0,0.0,6,3273.926528043701,6,1441.204210948683,6,6.0024364846435345,6,0,6,0,6,0
row,gallop_d,6,0,6,0.039252153926539385,0.09071082835489581,6,0.034933543358243,6,0.8381165305468291,0.18352373798962038,6,0,1.0,1.0,6,2655.8666933293207,6,1446.9377256182443,6,5.215396634249935,6,0,6,5,6,0
row,half_bound_front_a,6,0,6,0.056197433574410365,0.08533398261127295,6,0.0329793941926838,6,0.7430002406940003,0.18123548247636515,6,0,0.0,0.0,6,3463.844003323884,6,1442.7711826276718,6,6.101640081464265,6,0,6,0,6,0
row,half_bound_front_b,6,0,6,0.04811292279901073,0.08940932687296983,6,0.06739715010938581,6,0.8197058061966379,0.17265186623797726,6,2,0.3333333333333333,0.3333333333333333,6,3073.2797478499747,6,1438.0882154792796,6,6.0857090031456496,6,0,6,2,6,0
row,half_bound_hind_a,6,0,6,0.06600717328284585,0.0997141172559114,6,0.0592825285425909,6,0.7540574046479471,0.17354687294381407,6,1,0.0,0.0,6,3583.291502599523,6,1441.1474680287608,6,6.206651362235302,6,0,6,0,6,0
row,half_bound_hind_b,6,0,6,0.050734808241299896,0.09842455586826455,6,0.03463577664280266,6,0.8393362923210034,0.1694726576798533,6,3,0.3333333333333333,0.3333333333333333,6,3235.669629916903,6,1459.4118483074474,6,6.167062012718709,6,0,6,2,6,0
row,trot,6,0,6,0.03732250418430982,0.07908436725684853,6,0.018499110936202483,6,0.8512369037339781,0.173951297555856,6,1,0.8333333333333334,0.8333333333333334,6,1405.2363941784124,6,1482.078015222236,6,4.0716914404403735,6,0,6,5,6,0
