positive_cell_id,negative_cell_id,gait_index,partner_gait_index,family,speed_mps,positive_vx_bias_mps,negative_vx_bias_mps,directed_positive_bias_mps,directed_negative_bias_mps,paired_directional_bias_mps,directional_asymmetry_mps,positive_measured_vx_mps,negative_measured_vx_mps,e_pair_bias_mps,e_pair_bias_normalized,e_pair_bias_epsilon_mps,e_pair_bias_definition
gait_00_trot__vx_pos_0p5__seed_0042,gait_00_trot__vx_neg_0p5__seed_0042,0,0,trot,0.5,-0.02041224626280506,0.006021194884989325,-0.02041224626280506,-0.006021194884989325,-0.013216720573897193,-0.014391051377815735,0.4795877537371949,-0.4939788051150107,0.014391051377815767,0.014391036986778781,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p0__seed_0042,gait_00_trot__vx_neg_1p0__seed_0042,0,0,trot,1.0,-0.011623419088418366,-0.0049742671554205845,-0.011623419088418366,0.0049742671554205845,-0.0033245759664988907,-0.01659768624383895,0.9883765809115816,-1.0049742671554205,0.01659768624383884,0.008298838972499932,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p5__seed_0042,gait_00_trot__vx_neg_1p5__seed_0042,0,0,trot,1.5,-0.008048793176809947,-0.048061173409223557,-0.008048793176809947,0.048061173409223557,0.020006190116206805,-0.056109966586033504,1.4919512068231902,-1.5480611734092236,0.0561099665860334,0.01870331596090581,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_0p5__seed_0042,gait_01_bound__vx_neg_0p5__seed_0042,1,1,bound,0.5,0.001523929846706351,0.017755319736512305,0.001523929846706351,-0.017755319736512305,-0.008115694944902977,0.019279249583218656,0.5015239298467064,-0.4822446802634877,0.01927924958321864,0.019279230303988336,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p0__seed_0042,gait_01_bound__vx_neg_1p0__seed_0042,1,1,bound,1.0,0.010044018631098701,0.012735707227323876,0.010044018631098701,-0.012735707227323876,-0.0013458442981125873,0.022779725858422577,1.0100440186310986,-0.9872642927726761,0.022779725858422473,0.011389857234282619,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p5__seed_0042,gait_01_bound__vx_neg_1p5__seed_0042,1,1,bound,1.5,0.01334152470032374,0.007376252114772797,0.01334152470032374,-0.007376252114772797,0.0029826362927754717,0.02071777681509654,1.5133415247003237,-1.4926237478852271,0.020717776815096567,0.006905923303057755,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_0p5__seed_0042,gait_03_half_bound__vx_neg_0p5__seed_0042,2,3,half_bound,0.5,-0.008167167936546215,0.004559774946722185,-0.008167167936546215,-0.004559774946722185,-0.0063634714416342004,-0.00360739298982403,0.4918328320634538,-0.49544022505327784,0.003607392989824043,0.003607389382434661,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p0__seed_0042,gait_03_half_bound__vx_neg_1p0__seed_0042,2,3,half_bound,1.0,-0.011350911660272568,0.010364633236752182,-0.011350911660272568,-0.010364633236752182,-0.010857772448512375,-0.0009862784235203856,0.9886490883397274,-0.9896353667632478,0.0009862784235203925,0.0004931389651907137,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p5__seed_0042,gait_03_half_bound__vx_neg_1p5__seed_0042,2,3,half_bound,1.5,0.002569573124249776,-0.0028863318264484407,0.002569573124249776,0.0028863318264484407,0.0027279524753491087,-0.00031675870219866455,1.5025695731242499,-1.5028863318264485,0.00031675870219860514,0.00010558619887080208,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_0p5__seed_0042,gait_02_half_bound__vx_neg_0p5__seed_0042,3,2,half_bound,0.5,0.01755263790580797,0.02626728826428052,0.01755263790580797,-0.02626728826428052,-0.0043573251792362756,0.043819926170088494,0.517552637905808,-0.47373271173571946,0.04381992617008851,0.04381988235020616,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p0__seed_0042,gait_02_half_bound__vx_neg_1p0__seed_0042,3,2,half_bound,1.0,-0.0059740633749571,0.015316892598496109,-0.0059740633749571,-0.015316892598496109,-0.010645477986726604,0.009342829223539009,0.9940259366250429,-0.9846831074015039,0.009342829223539018,0.004671412276063371,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p5__seed_0042,gait_02_half_bound__vx_neg_1p5__seed_0042,3,2,half_bound,1.5,-0.009545963754256566,0.005326734731594721,-0.009545963754256566,-0.005326734731594721,-0.007436349242925643,-0.004219229022661845,1.4904540362457435,-1.4946732652684054,0.004219229022661919,0.0014064092054175711,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_0p5__seed_0042,gait_05_half_bound__vx_neg_0p5__seed_0042,4,5,half_bound,0.5,-0.002946791564949304,0.0003232097650413434,-0.002946791564949304,-0.0003232097650413434,-0.0016350006649953237,-0.002623581799907961,0.4970532084350507,-0.49967679023495865,0.002623581799907959,0.002623579176328783,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_1p0__seed_0042,gait_05_half_bound__vx_neg_1p0__seed_0042,4,5,half_bound,1.0,-0.009168689490341749,0.006767662700082435,-0.009168689490341749,-0.006767662700082435,-0.007968176095212092,-0.0024010267902593134,0.9908313105096582,-0.9932323372999176,0.0024010267902593307,0.0012005127948732678,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_1p5__seed_0042,gait_05_half_bound__vx_neg_1p5__seed_0042,4,5,half_bound,1.5,0.011917514105637869,0.0012642882764339447,0.011917514105637869,-0.0012642882764339447,0.005326612914601962,0.013181802382071813,1.5119175141056378,-1.498735711723566,0.013181802382071783,0.00439393266271304,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_05_half_bound__vx_pos_0p5__seed_0042,gait_04_half_bound__vx_neg_0p5__seed_0042,5,4,half_bound,0.5,0.007031120066810592,0.011534915269038198,0.007031120066810592,-0.011534915269038198,-0.002251897601113803,0.018566035335848788,0.5070311200668106,-0.4884650847309618,0.01856603533584883,0.01856601676983206,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_05_half_bound__vx_pos_1p0__seed_0042,gait_04_half_bound__vx_neg_1p0__seed_0042,5,4,half_bound,1.0,-0.012640615955728,0.007035323464479603,-0.012640615955728,-0.007035323464479603,-0.0098379697101038,-0.0056052924912483966,0.987359384044272,-0.9929646765355205,0.005605292491248415,0.002802644844301785,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_05_half_bound__vx_pos_1p5__seed_0042,gait_04_half_bound__vx_neg_1p5__seed_0042,5,4,half_bound,1.5,-0.026525539408127467,-0.0061982927223046625,-0.026525539408127467,0.0061982927223046625,-0.010163623342911403,-0.03272383213043213,1.4734744605918726,-1.5061982927223048,0.03272383213043217,0.010907940407497254,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_06_gallop__vx_pos_0p5__seed_0042,gait_08_gallop__vx_neg_0p5__seed_0042,6,8,gallop,0.5,0.0023095727460478157,0.010175997549455851,0.0023095727460478157,-0.010175997549455851,-0.0039332124017040174,0.012485570295503668,0.5023095727460478,-0.48982400245054414,0.012485570295503678,0.01248555780994587,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_06_gallop__vx_pos_1p0__seed_0042,gait_08_gallop__vx_neg_1p0__seed_0042,6,8,gallop,1.0,-0.004192713342729162,0.0165206853483544,-0.004192713342729162,-0.0165206853483544,-0.010356699345541781,0.01232797200562524,0.9958072866572708,-0.9834793146516456,0.012327972005625187,0.006163982920821133,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_06_gallop__vx_pos_1p5__seed_0042,gait_08_gallop__vx_neg_1p5__seed_0042,6,8,gallop,1.5,0.013526342809200287,0.011604291448990504,0.013526342809200287,-0.011604291448990504,0.0009610256801048916,0.02513063425819079,1.5135263428092003,-1.4883957085510096,0.02513063425819073,0.008376875293771813,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_07_gallop__vx_pos_0p5__seed_0042,gait_09_gallop__vx_neg_0p5__seed_0042,7,9,gallop,0.5,-0.005708224037912815,-0.05110358260186316,-0.005708224037912815,0.05110358260186316,0.02269767928197517,-0.056811806639775975,0.4942917759620872,-0.5511035826018632,0.05681180663977603,0.056811749828026205,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_07_gallop__vx_pos_1p0__seed_0042,gait_09_gallop__vx_neg_1p0__seed_0042,7,9,gallop,1.0,-0.017288868666672317,-0.01643936739104693,-0.017288868666672317,0.01643936739104693,-0.00042475063781269307,-0.03372823605771925,0.9827111313333277,-1.016439367391047,0.03372823605771935,0.016864109596804875,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_07_gallop__vx_pos_1p5__seed_0042,gait_09_gallop__vx_neg_1p5__seed_0042,7,9,gallop,1.5,-0.004028396308422088,-0.02505122944712639,-0.004028396308422088,0.02505122944712639,0.010511416569352151,-0.029079625755548476,1.495971603691578,-1.5250512294471263,0.029079625755548344,0.00969320535411433,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_08_gallop__vx_pos_0p5__seed_0042,gait_06_gallop__vx_neg_0p5__seed_0042,8,6,gallop,0.5,-0.001109232875377742,0.001872766153659386,-0.001109232875377742,-0.001872766153659386,-0.001490999514518564,0.0007635332782816441,0.49889076712462227,-0.4981272338463406,0.0007635332782816584,0.0007635325147491437,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_08_gallop__vx_pos_1p0__seed_0042,gait_06_gallop__vx_neg_1p0__seed_0042,8,6,gallop,1.0,-0.009253448883041006,0.006883093690285917,-0.009253448883041006,-0.006883093690285917,-0.008068271286663462,-0.002370355192755089,0.990746551116959,-0.993116906309714,0.0023703551927550803,0.0011851770037890382,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_08_gallop__vx_pos_1p5__seed_0042,gait_06_gallop__vx_neg_1p5__seed_0042,8,6,gallop,1.5,-0.013113569468259811,0.005309698979059855,-0.013113569468259811,-0.005309698979059855,-0.009211634223659834,-0.007803870489199957,1.4868864305317402,-1.4946903010209402,0.00780387048920006,0.0026012892959702545,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_09_gallop__vx_pos_0p5__seed_0042,gait_07_gallop__vx_neg_0p5__seed_0042,9,7,gallop,0.5,-0.0317483743648845,0.009485932857600306,-0.0317483743648845,-0.009485932857600306,-0.020617153611242403,-0.022262441507284195,0.4682516256351155,-0.4905140671423997,0.02226244150728418,0.02226241924486494,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_09_gallop__vx_pos_1p0__seed_0042,gait_07_gallop__vx_neg_1p0__seed_0042,9,7,gallop,1.0,-0.04043214291822715,0.01568163064171056,-0.04043214291822715,-0.01568163064171056,-0.028056886779968856,-0.02475051227651659,0.9595678570817728,-0.9843183693582894,0.02475051227651659,0.012375249950633318,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_09_gallop__vx_pos_1p5__seed_0042,gait_07_gallop__vx_neg_1p5__seed_0042,9,7,gallop,1.5,-0.0008391405145327251,0.004498723894357681,-0.0008391405145327251,-0.004498723894357681,-0.002668932204445203,0.0036595833798249563,1.4991608594854673,-1.4955012761056423,0.003659583379824971,0.0012198607199880836,1e-06,abs(mean_vx_pos + mean_vx_neg)
