cell_id,planned_row,planned_family,classified_row,classified_family,classification_score_cycles,classification_margin_cycles,classification_domain_valid,classification_domain_reason
gait_00_trot__vx_neg_1p5__seed_0042,trot,trot,trot,trot,0.07706906230631377,0.09294698837896051,True,
gait_00_trot__vx_neg_1p0__seed_0042,trot,trot,trot,trot,0.07437894064621713,0.08695324109711865,True,
gait_00_trot__vx_neg_0p5__seed_0042,trot,trot,trot,trot,0.0936414662073524,0.020744699006510395,True,
gait_00_trot__vx_pos_0p5__seed_0042,trot,trot,trot,trot,0.03511237231939305,0.11548839830682511,True,
gait_00_trot__vx_pos_1p0__seed_0042,trot,trot,trot,trot,0.061369244759641006,0.11282909265445587,True,
gait_00_trot__vx_pos_1p5__seed_0042,trot,trot,trot,trot,0.06787988508498717,0.09314393898865626,True,
gait_01_bound__vx_neg_1p5__seed_0042,bound,bound,bound,bound,0.11191192457133964,0.03168986817927513,True,
gait_01_bound__vx_neg_1p0__seed_0042,bound,bound,bound,bound,0.08687838190312286,0.0276196584886374,True,
gait_01_bound__vx_neg_0p5__seed_0042,bound,bound,bound,bound,0.06182169125541492,0.05541251687862557,True,
gait_01_bound__vx_pos_0p5__seed_0042,bound,bound,unclassified,unclassified,0.19196759325670834,0.018494590602330163,True,
gait_01_bound__vx_pos_1p0__seed_0042,bound,bound,unclassified,unclassified,0.11143827487299594,0.0009525934655573443,True,
gait_01_bound__vx_pos_1p5__seed_0042,bound,bound,gallop_b,gallop,0.0854234173205833,0.017525290456069292,True,
gait_02_half_bound__vx_neg_1p5__seed_0042,half_bound_front_a,half_bound,bound,bound,0.1162658363478617,0.01693765638110442,True,
gait_02_half_bound__vx_neg_1p0__seed_0042,half_bound_front_a,half_bound,bound,bound,0.08361613403748601,0.027951333345634294,True,
gait_02_half_bound__vx_neg_0p5__seed_0042,half_bound_front_a,half_bound,bound,bound,0.07561513193521835,0.04007717847060033,True,
gait_02_half_bound__vx_pos_0p5__seed_0042,half_bound_front_a,half_bound,unclassified,unclassified,0.0869276796561577,0.004345186525232553,True,
gait_02_half_bound__vx_pos_1p0__seed_0042,half_bound_front_a,half_bound,gallop_b,gallop,0.060758307834488566,0.028838018703611516,True,
gait_02_half_bound__vx_pos_1p5__seed_0042,half_bound_front_a,half_bound,gallop_b,gallop,0.05241286445838373,0.056935352032322854,True,
gait_03_half_bound__vx_neg_1p5__seed_0042,half_bound_front_b,half_bound,unclassified,unclassified,0.13151190945651858,0.030139678692093552,True,
gait_03_half_bound__vx_neg_1p0__seed_0042,half_bound_front_b,half_bound,bound,bound,0.10184279787092966,0.03445184590561952,True,
gait_03_half_bound__vx_neg_0p5__seed_0042,half_bound_front_b,half_bound,bound,bound,0.06652399498507164,0.05567085761131681,True,
gait_03_half_bound__vx_pos_0p5__seed_0042,half_bound_front_b,half_bound,unclassified,unclassified,0.19531035209470302,0.008769197928254285,True,
gait_03_half_bound__vx_pos_1p0__seed_0042,half_bound_front_b,half_bound,unclassified,unclassified,0.12118531442645346,0.009172733921463685,True,
gait_03_half_bound__vx_pos_1p5__seed_0042,half_bound_front_b,half_bound,unclassified,unclassified,0.08870707415741842,0.008871127741346546,True,
gait_04_half_bound__vx_neg_1p5__seed_0042,half_bound_hind_a,half_bound,unclassified,unclassified,0.12493678439738343,0.012389044174359126,True,
gait_04_half_bound__vx_neg_1p0__seed_0042,half_bound_hind_a,half_bound,unclassified,unclassified,0.08792981000396256,0.0006329353879850202,True,
gait_04_half_bound__vx_neg_0p5__seed_0042,half_bound_hind_a,half_bound,bound,bound,0.07331826348281144,0.021227478200356448,True,
gait_04_half_bound__vx_pos_0p5__seed_0042,half_bound_hind_a,half_bound,gallop_b,gallop,0.11771979927114223,0.01331530861239602,True,
gait_04_half_bound__vx_pos_1p0__seed_0042,half_bound_hind_a,half_bound,gallop_b,gallop,0.0834701861886264,0.03334289293953448,True,
gait_04_half_bound__vx_pos_1p5__seed_0042,half_bound_hind_a,half_bound,gallop_b,gallop,0.05532264098295118,0.0507563805883691,True,
gait_05_half_bound__vx_neg_1p5__seed_0042,half_bound_hind_b,half_bound,unclassified,unclassified,0.1216340621756077,0.018349981699744458,True,
gait_05_half_bound__vx_neg_1p0__seed_0042,half_bound_hind_b,half_bound,bound,bound,0.09519662184011791,0.027557317823559496,True,
gait_05_half_bound__vx_neg_0p5__seed_0042,half_bound_hind_b,half_bound,bound,bound,0.06182322674814624,0.042992338774697984,True,
gait_05_half_bound__vx_pos_0p5__seed_0042,half_bound_hind_b,half_bound,unclassified,unclassified,0.21013277374046083,0.012288649621859105,True,
gait_05_half_bound__vx_pos_1p0__seed_0042,half_bound_hind_b,half_bound,unclassified,unclassified,0.11910964314864565,0.00407945068615409,True,
gait_05_half_bound__vx_pos_1p5__seed_0042,half_bound_hind_b,half_bound,unclassified,unclassified,0.09287708323040349,0.0036110630200956173,True,
gait_06_gallop__vx_neg_1p5__seed_0042,gallop_a,gallop,unclassified,unclassified,0.1396936066176446,0.022729829747187097,True,
gait_06_gallop__vx_neg_1p0__seed_0042,gallop_a,gallop,bound,bound,0.10775146497154975,0.020635012428118382,True,
gait_06_gallop__vx_neg_0p5__seed_0042,gallop_a,gallop,bound,bound,0.06722936316485824,0.03449489543379507,True,
gait_06_gallop__vx_pos_0p5__seed_0042,gallop_a,gallop,unclassified,unclassified,0.20456626331524355,0.005076296044853823,True,
gait_06_gallop__vx_pos_1p0__seed_0042,gallop_a,gallop,gallop_b,gallop,0.10043430418728877,0.015763838748115697,True,
gait_06_gallop__vx_pos_1p5__seed_0042,gallop_a,gallop,gallop_b,gallop,0.06435627723573882,0.0299071380333137,True,
gait_07_gallop__vx_neg_1p5__seed_0042,gallop_b,gallop,unclassified,unclassified,0.12910334670911974,0.005439366113893174,True,
gait_07_gallop__vx_neg_1p0__seed_0042,gallop_b,gallop,half_bound_hind_a,half_bound,0.085415872091764,0.02153167688121893,True,
gait_07_gallop__vx_neg_0p5__seed_0042,gallop_b,gallop,unclassified,unclassified,0.09497293788271098,0.0006110822451208808,True,
gait_07_gallop__vx_pos_0p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.07413318220988478,0.07731930496648441,True,
gait_07_gallop__vx_pos_1p0__seed_0042,gallop_b,gallop,gallop_b,gallop,0.057005312571548394,0.0776012943989757,True,
gait_07_gallop__vx_pos_1p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.03851116165793289,0.08794800008272266,True,
gait_08_gallop__vx_neg_1p5__seed_0042,gallop_c,gallop,bound,bound,0.11561199932332152,0.02492694057534857,True,
gait_08_gallop__vx_neg_1p0__seed_0042,gallop_c,gallop,bound,bound,0.0896748214799803,0.030853815017633693,True,
gait_08_gallop__vx_neg_0p5__seed_0042,gallop_c,gallop,bound,bound,0.06837791737660136,0.053343412231629445,True,
gait_08_gallop__vx_pos_0p5__seed_0042,gallop_c,gallop,unclassified,unclassified,0.12068176859339931,0.00952408922841673,True,
gait_08_gallop__vx_pos_1p0__seed_0042,gallop_c,gallop,unclassified,unclassified,0.08796000887350135,0.0033039534793057046,True,
gait_08_gallop__vx_pos_1p5__seed_0042,gallop_c,gallop,gallop_b,gallop,0.06615181835180232,0.024283038476771407,True,
gait_09_gallop__vx_neg_1p5__seed_0042,gallop_d,gallop,unclassified,unclassified,0.16506084877890057,0.0040719099404348535,True,
gait_09_gallop__vx_neg_1p0__seed_0042,gallop_d,gallop,half_bound_hind_b,half_bound,0.09522047900228829,0.011903023522793849,True,
gait_09_gallop__vx_neg_0p5__seed_0042,gallop_d,gallop,unclassified,unclassified,0.12864105382096702,0.05610383828876561,True,
