level,planned_label,classified_label,count
row,bound,bound,3
row,bound,gallop_b,1
row,bound,unclassified,2
row,gallop_a,bound,2
row,gallop_a,gallop_b,2
row,gallop_a,unclassified,2
row,gallop_b,gallop_b,3
row,gallop_b,half_bound_hind_a,1
row,gallop_b,unclassified,2
row,gallop_c,bound,3
row,gallop_c,gallop_b,1
row,gallop_c,unclassified,2
row,gallop_d,half_bound_hind_b,1
row,gallop_d,trot,3
row,gallop_d,unclassified,2
row,half_bound_front_a,bound,3
row,half_bound_front_a,gallop_b,2
row,half_bound_front_a,unclassified,1
row,half_bound_front_b,bound,2
row,half_bound_front_b,unclassified,4
row,half_bound_hind_a,bound,1
row,half_bound_hind_a,gallop_b,3
row,half_bound_hind_a,unclassified,2
row,half_bound_hind_b,bound,2
row,half_bound_hind_b,unclassified,4
row,trot,trot,6
family,bound,bound,3
family,bound,gallop,1
family,bound,unclassified,2
family,gallop,bound,5
family,gallop,gallop,6
family,gallop,half_bound,2
family,gallop,trot,3
family,gallop,unclassified,8
family,half_bound,bound,8
family,half_bound,gallop,5
family,half_bound,unclassified,11
family,trot,trot,6
