cell_id,joint_index,joint_name,leg,motor_role,configured_effort_limit_nm,effort_limit_source,normalized_torque_squared_exposure,absolute_work_j,utilization_p95,utilization_p99,saturation_fraction,soft_limit_utilization_p95,soft_limit_utilization_p99,action_clamp_fraction
gait_00_trot__vx_neg_1p5__seed_0042,0,FL_hip_joint,fl,hip,23.700000762939453,robot.actuators['hip_legs'].effort_limit,0.08204192785438581,19.97967929057777,0.18525526198841008,0.23962026561076277,0.0,0.25663132667541505,0.2676620543003082,0.0
gait_00_trot__vx_neg_1p5__seed_0042,1,FL_thigh_joint,fl,thigh,23.700000762939453,robot.actuators['thigh_legs'].effort_limit,1.8261082965981588,289.2274619126506,0.8862275912698483,0.9166518853858953,0.0,0.36390250027179716,0.3751127779483795,0.0
gait_00_trot__vx_neg_1p5__seed_0042,2,FL_calf_joint,fl,calf,35.54999923706055,robot.actuators['calf_legs'].effort_limit,0.2905302475066424,208.6025249558501,0.29582688608347957,0.3971992164794067,0.0,1.0,1.0,0.7354166666666667
gait_00_trot__vx_neg_1p5__seed_0042,3,FR_hip_joint,fr,hip,23.700000762939453,robot.actuators['hip_legs'].effort_limit,0.10973175953169645,22.02241561384508,0.1886276614956864,0.20330462807266209,0.0,0.23346860408782957,0.250590922832489,0.0
gait_00_trot__vx_neg_1p5__seed_0042,4,FR_thigh_joint,fr,thigh,23.700000762939453,robot.actuators['thigh_legs'].effort_limit,0.8321490350209665,249.8773453620635,0.5464816279678784,0.7031603695459688,0.0,0.3142166942358016,0.3341843557357788,0.0
gait_00_trot__vx_neg_1p5__seed_0042,5,FR_calf_joint,fr,calf,35.54999923706055,robot.actuators['calf_legs'].effort_limit,0.7185938057082311,614.8607539070778,0.408579274454222,0.426768442720361,0.0,1.0,1.0,0.8375
gait_00_trot__vx_neg_1p5__seed_0042,6,RL_hip_joint,rl,hip,23.700000762939453,robot.actuators['hip_legs'].effort_limit,0.04918488338559163,16.607181558697047,0.12230878850691304,0.14175714235644943,0.0,0.14249350428581237,0.15083677053451536,0.0
gait_00_trot__vx_neg_1p5__seed_0042,7,RL_thigh_joint,rl,thigh,23.700000762939453,robot.actuators['thigh_legs'].effort_limit,0.43634674194642253,218.53574880006258,0.4081510903354084,0.47528098866004814,0.0,0.6045605450868606,0.6123381066322326,0.0
gait_00_trot__vx_neg_1p5__seed_0042,8,RL_calf_joint,rl,calf,35.54999923706055,robot.actuators['calf_legs'].effort_limit,0.3897810430279957,456.1546254988201,0.36971111393562056,0.4029108254672414,0.0,1.0,1.0,0.65
gait_00_trot__vx_neg_1p5__seed_0042,9,RR_hip_joint,rr,hip,23.700000762939453,robot.actuators['hip_legs'].effort_limit,0.050697029544868814,15.047388029154208,0.13184825758476879,0.17825325742139672,0.0,0.14580855965614317,0.15589559674262993,0.0
gait_00_trot__vx_neg_1p5__seed_0042,10,RR_thigh_joint,rr,thigh,23.700000762939453,robot.actuators['thigh_legs'].effort_limit,0.31532559728532306,114.30968000352382,0.3283110786530996,0.348311220698257,0.0,0.6167613297700881,0.6362873411178589,0.0
gait_00_trot__vx_neg_1p5__seed_0042,11,RR_calf_joint,rr,calf,35.54999923706055,robot.actuators['calf_legs'].effort_limit,0.6010459389249817,782.9894477900863,0.3767822375995242,0.3821448133153647,0.0,1.0,1.0,0.7270833333333333
gait_00_trot__vx_neg_1p0__seed_0042,0,FL_hip_joint,fl,hip,23.700000762939453,robot.actuators['hip_legs'].effort_limit,0.16116574614886528,21.482769772256724,0.24865230130055418,0.26483020271976637,0.0,0.2389404475688934,0.25729235410690304,0.0
gait_00_trot__vx_neg_1p0__seed_0042,1,FL_thigh_joint,fl,thigh,23.700000762939453,robot.actuators['thigh_legs'].effort_limit,0.9023183832296958,162.17277362074702,0.6295852337741374,0.6674175208556897,0.0,0.29489804804325104,0.30096591651439664,0.0
gait_00_trot__vx_neg_1p0__seed_0042,2,FL_calf_joint,fl,calf,35.54999923706055,robot.actuators['calf_legs'].effort_limit,0.17189663104747713,102.10917258303613,0.20142365001294635,0.28159418911606215,0.0,1.0,1.0,0.7151639344262295
gait_00_trot__vx_neg_1p0__seed_0042,3,FR_hip_joint,fr,hip,23.700000762939453,robot.actuators['hip_legs'].effort_limit,0.09839559455976433,22.16009366341081,0.1818743156280416,0.19830058722997135,0.0,0.18165801763534545,0.20145641565322875,0.0
gait_00_trot__vx_neg_1p0__seed_0042,4,FR_thigh_joint,fr,thigh,23.700000762939453,robot.actuators['thigh_legs'].effort_limit,0.6829013964775824,69.41633796509356,0.5496701715470915,0.5859878234706244,0.0,0.2787315964698791,0.2889011293649673,0.0
gait_00_trot__vx_neg_1p0__seed_0042,5,FR_calf_joint,fr,calf,35.54999923706055,robot.actuators['calf_legs'].effort_limit,0.6909024374834859,399.4953896553163,0.40161794405732926,0.4203619286659107,0.0,1.0,1.0,0.7438524590163934
gait_00_trot__vx_neg_1p0__seed_0042,6,RL_hip_joint,rl,hip,23.700000762939453,robot.actuators['hip_legs'].effort_limit,0.08663650972548168,18.92867078049807,0.16116178422318522,0.19840164491511333,0.0,0.17980523109436033,0.18720478653907777,0.0
gait_00_trot__vx_neg_1p0__seed_0042,7,RL_thigh_joint,rl,thigh,23.700000762939453,robot.actuators['thigh_legs'].effort_limit,0.3330898674824174,144.89146317157895,0.35548352453228504,0.4328532465889445,0.0,0.6144608438014983,0.6278946006298065,0.0
gait_00_trot__vx_neg_1p0__seed_0042,8,RL_calf_joint,rl,calf,35.54999923706055,robot.actuators['calf_legs'].effort_limit,0.35186095833208375,360.2565888969973,0.35591979730275675,0.3929665578735729,0.0,1.0,1.0,0.639344262295082
gait_00_trot__vx_neg_1p0__seed_0042,9,RR_hip_joint,rr,hip,23.700000762939453,robot.actuators['hip_legs'].effort_limit,0.12184361502100766,15.47545215716469,0.18871492973472723,0.20614811257799004,0.0,0.12820650041103362,0.13576961815357208,0.0
gait_00_trot__vx_neg_1p0__seed_0042,10,RR_thigh_joint,rr,thigh,23.700000762939453,robot.actuators['thigh_legs'].effort_limit,0.09827683458712388,63.96382152994163,0.2088789751920748,0.24179436533016524,0.0,0.6646120548248291,0.6731220602989196,0.0
gait_00_trot__vx_neg_1p0__seed_0042,11,RR_calf_joint,rr,calf,35.54999923706055,robot.actuators['calf_legs'].effort_limit,0.30741181097756254,349.6773273918964,0.35002523145984654,0.3848276770832405,0.0,1.0,1.0,0.7151639344262295
gait_00_trot__vx_neg_0p5__seed_0042,0,FL_hip_joint,fl,hip,23.700000762939453,robot.actuators['hip_legs'].effort_limit,0.2632301265705447,28.57646825939417,0.2850995495116302,0.3212321125712298,0.0,0.16982375383377074,0.1917000269889832,0.0
gait_00_trot__vx_neg_0p5__seed_0042,1,FL_thigh_joint,fl,thigh,23.700000762939453,robot.actuators['thigh_legs'].effort_limit,0.5690036200571058,78.58077448748053,0.39884624726351814,0.46895279320333644,0.0,0.26485620737075805,0.28187051653862,0.0
