cell_id,event,first_foot,second_foot,eligible_complete_cycles,matched_complete_cycles,unmatched_complete_cycles,coverage_fraction,mean_s,p95_s,mean_cycles,p95_cycles
gait_00_trot__vx_neg_1p5__seed_0042,touchdown,fl,rr,38,38,0,1.0,0.02315789473684211,0.04,0.09410235756321957,0.16254043579101562
gait_00_trot__vx_neg_1p5__seed_0042,touchdown,fr,rl,38,36,2,0.9473684210526315,0.009444444444444445,0.02,0.038377602895100914,0.08127021789550781
gait_00_trot__vx_neg_1p5__seed_0042,liftoff,fl,rr,38,36,2,0.9473684210526315,0.015555555555555557,0.04,0.06321016947428386,0.16254043579101562
gait_00_trot__vx_neg_1p5__seed_0042,liftoff,fr,rl,38,36,2,0.9473684210526315,0.03555555555555556,0.06,0.14448038736979166,0.2438106536865234
gait_00_trot__vx_neg_1p0__seed_0042,touchdown,fl,rr,30,30,0,1.0,0.004,0.02,0.012708282470703125,0.06354141235351562
gait_00_trot__vx_neg_1p0__seed_0042,touchdown,fr,rl,30,30,0,1.0,0.023333333333333338,0.04,0.07413164774576823,0.12708282470703125
gait_00_trot__vx_neg_1p0__seed_0042,liftoff,fl,rr,30,30,0,1.0,0.02066666666666667,0.04,0.06565945943196615,0.12708282470703125
gait_00_trot__vx_neg_1p0__seed_0042,liftoff,fr,rl,30,30,0,1.0,0.02533333333333334,0.04,0.08048578898111979,0.12708282470703125
gait_00_trot__vx_neg_0p5__seed_0042,touchdown,fl,rr,23,19,4,0.8260869565217391,0.06105263157894738,0.06199999999999996,0.15165108128597862,0.15400428771972646
gait_00_trot__vx_neg_0p5__seed_0042,touchdown,fr,rl,23,17,6,0.7391304347826086,0.2011764705882353,0.38,0.4997103074017693,0.9438972473144531
gait_00_trot__vx_neg_0p5__seed_0042,liftoff,fl,rr,23,19,4,0.8260869565217391,0.01473684210526316,0.06,0.03660543341385691,0.14903640747070312
gait_00_trot__vx_neg_0p5__seed_0042,liftoff,fr,rl,23,23,0,1.0,0.004347826086956522,0.02,0.010799739671790081,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_0042,touchdown,fl,rr,23,21,2,0.9130434782608695,0.02190476190476191,0.04,0.05441011701311384,0.09935760498046875
gait_00_trot__vx_pos_0p5__seed_0042,touchdown,fr,rl,23,19,4,0.8260869565217391,0.003157894736842105,0.02,0.00784402144582648,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_0042,liftoff,fl,rr,23,21,2,0.9130434782608695,0.025714285714285717,0.04,0.06387274605887276,0.09935760498046875
gait_00_trot__vx_pos_0p5__seed_0042,liftoff,fr,rl,23,23,0,1.0,0.008695652173913044,0.02,0.021599479343580162,0.049678802490234375
gait_00_trot__vx_pos_1p0__seed_0042,touchdown,fl,rr,30,30,0,1.0,0.014666666666666668,0.02,0.04659703572591146,0.06354141235351562
gait_00_trot__vx_pos_1p0__seed_0042,touchdown,fr,rl,30,26,4,0.8666666666666667,0.2938461538461538,0.3,0.9335699815016526,0.9531211853027343
gait_00_trot__vx_pos_1p0__seed_0042,liftoff,fl,rr,30,30,0,1.0,0.02066666666666667,0.030999999999999944,0.06565945943196615,0.09848918914794905
gait_00_trot__vx_pos_1p0__seed_0042,liftoff,fr,rl,30,30,0,1.0,0.014666666666666668,0.02,0.04659703572591146,0.06354141235351562
gait_00_trot__vx_pos_1p5__seed_0042,touchdown,fl,rr,38,38,0,1.0,0.002105263157894737,0.02,0.008554759778474507,0.08127021789550781
gait_00_trot__vx_pos_1p5__seed_0042,touchdown,fr,rl,38,15,23,0.39473684210526316,0.12666666666666665,0.22,0.5147113800048828,0.8939723968505859
gait_00_trot__vx_pos_1p5__seed_0042,liftoff,fl,rr,38,38,0,1.0,0.00736842105263158,0.02,0.02994165922466077,0.08127021789550781
gait_00_trot__vx_pos_1p5__seed_0042,liftoff,fr,rl,38,38,0,1.0,0.01789473684210527,0.02,0.07271545811703331,0.08127021789550781
gait_01_bound__vx_neg_1p5__seed_0042,touchdown,fl,fr,38,37,1,0.9736842105263158,0.00918918918918919,0.02,0.037340370384422505,0.08127021789550781
gait_01_bound__vx_neg_1p5__seed_0042,touchdown,rl,rr,38,35,3,0.9210526315789473,0.001142857142857143,0.005999999999999943,0.004644012451171875,0.024381065368652113
gait_01_bound__vx_neg_1p5__seed_0042,liftoff,fl,fr,38,37,1,0.9736842105263158,0.022162162162162165,0.04,0.09005618739772488,0.16254043579101562
gait_01_bound__vx_neg_1p5__seed_0042,liftoff,rl,rr,38,35,3,0.9210526315789473,0.010285714285714289,0.02,0.041796112060546876,0.08127021789550781
