cell_id,gait_index,gait_name,family,velocity_mps,velocity_sign,seed,status,reason,relative_output_dir,sample_count,measurement_start_s,measurement_stop_s,measurement_duration_s,complete_cycles,phase_boundary_trimmed,gait_period_s,effort_limit_source,effort_limit_min_nm,effort_limit_max_nm,command_x_mean_mps,measured_x_mean_mps,tracking_rmse_mps,yaw_tracking_rmse_radps,tracking_success_threshold_mps,yaw_tracking_success_threshold_radps,planar_tracking_success,yaw_tracking_success,tracking_success,signed_directed_progress_m,integrated_body_x_progress_m,position_vs_integrated_progress_difference_m,directed_progress_definition,positive_directed_progress,torque_squared_front_integral,torque_squared_hind_integral,torque_squared_total_integral,torque_squared_signed_imbalance_percent,torque_squared_abs_imbalance_percent,torque_squared_total_per_s,torque_squared_total_per_directed_m,normalized_torque_utilization_front_integral,normalized_torque_utilization_hind_integral,normalized_torque_utilization_total_integral,normalized_torque_utilization_signed_imbalance_percent,normalized_torque_utilization_abs_imbalance_percent,normalized_torque_utilization_total_per_s,normalized_torque_utilization_total_per_directed_m,absolute_work_front_integral,absolute_work_hind_integral,absolute_work_total_integral,absolute_work_signed_imbalance_percent,absolute_work_abs_imbalance_percent,absolute_work_total_per_s,absolute_work_total_per_directed_m,vertical_grf_impulse_front_integral,vertical_grf_impulse_hind_integral,vertical_grf_impulse_total_integral,vertical_grf_impulse_signed_imbalance_percent,vertical_grf_impulse_abs_imbalance_percent,vertical_grf_impulse_total_per_s,vertical_grf_impulse_total_per_directed_m
gait_00_trot__vx_neg_1p5__seed_0042,0,trot,trot,-1.5,backward,42,valid,,cells/gait_00_trot/vx_neg_1p5/seed_0042,480,5.16,14.76,9.6,39,True,0.2460918128490448,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.5,-1.5048085113366445,0.05313658414884362,0.07082302220415782,0.425,0.05,True,False,False,14.402226448059082,14.446161708831788,-0.04393526077270593,commanded-sign world-x displacement across the same sample intervals as effort integration,True,2240.2632582434903,1132.774425984267,3373.0376842277574,32.833574241930776,32.833574241930776,351.3580921070581,234.20251697836102,2.2402632582434904e-15,1.1327744259842671e-15,3.3730376842277577e-15,32.83357424193077,32.83357424193077,3.5135809210705813e-16,2.3420251697836107e-16,845.085744860028,862.4005173323848,1707.4862621924126,-1.014050470316795,1.014050470316795,177.86315231170965,118.55710423318071,982.25292923693,505.3184061722942,1487.571335409224,32.06128753035116,32.06128753035116,154.95534743846085,103.28759520439958
gait_00_trot__vx_neg_1p0__seed_0042,0,trot,trot,-1.0,backward,42,valid,,cells/gait_00_trot/vx_neg_1p0/seed_0042,488,5.0200000000000005,14.780000000000001,9.76,31,True,0.31475794315338135,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.0,-0.9914383571900305,0.04733283381899275,0.08603561714153066,0.3,0.05,True,False,False,9.639642238616943,9.676438366174699,-0.0367961275577553,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1735.9470582136023,985.5842142843327,2721.531272497935,27.571347480440867,27.571347480440867,278.84541726413266,282.3269998128488,1.7359470582136027e-15,9.855842142843327e-16,2.7215312724979356e-15,27.571347480440874,27.571347480440874,2.7884541726413273e-16,2.8232699981284886e-16,553.0643526296398,561.6763691713987,1114.7407218010385,-0.7725578130710891,0.7725578130710891,114.21523788945066,115.64129603641565,945.4906718444824,535.2982858072553,1480.7889576517377,27.70093495886934,27.70093495886934,151.7201800872682,153.61451400339473
gait_00_trot__vx_neg_0p5__seed_0042,0,trot,trot,-0.5,backward,42,valid,,cells/gait_00_trot/vx_neg_0p5/seed_0042,483,5.22,14.88,9.66,24,True,0.40258365869522095,recorded_joint_effort_limits,1000000000.0,1000000000.0,-0.5,-0.4855130593722405,0.05510659111678662,0.12250391447128701,0.175,0.05,True,False,False,4.67689061164856,4.690056153535843,-0.01316554188728336,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1211.072278791283,924.6405068842265,2135.7127856755096,13.411530512351188,13.411530512351188,221.08828009063245,456.6522852504115,1.2110722787912832e-15,9.246405068842265e-16,2.13571278567551e-15,13.411530512351197,13.411530512351197,2.210882800906325e-16,4.566522852504116e-16,373.5891601456184,308.51477117860503,682.1039313242234,9.540245405224276,9.540245405224276,70.61117301492996,145.84560297932396,869.3176040822759,581.2416412017714,1450.5592452840474,19.859648188591823,19.859648188591823,150.16141255528441,310.154623174464
gait_00_trot__vx_pos_0p5__seed_0042,0,trot,trot,0.5,forward,42,valid,,cells/gait_00_trot/vx_pos_0p5/seed_0042,483,5.22,14.88,9.66,24,True,0.40258365869522095,recorded_joint_effort_limits,1000000000.0,1000000000.0,0.5,0.497271731465006,0.03798482721315535,0.08797559684345473,0.175,0.05,True,False,False,4.7917304039001465,4.803644925951958,-0.011914522051811538,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1273.2750071581913,1224.5959292884625,2497.870936446654,1.9488227818118293,1.9488227818118293,258.57877188888756,521.287870121732,1.2732750071581915e-15,1.2245959292884624e-15,2.4978709364466537e-15,1.9488227818118367,1.9488227818118367,2.5857877188888753e-16,5.212878701217319e-16,350.5772624898702,792.244547811814,1142.821810301684,-38.64708227832576,38.64708227832576,118.30453522791761,238.49877058431835,831.7028088378906,619.1951339817153,1450.897942819606,14.646631481411987,14.646631481411987,150.1964744119675,302.7920647703119
gait_00_trot__vx_pos_1p0__seed_0042,0,trot,trot,1.0,forward,42,valid,,cells/gait_00_trot/vx_pos_1p0/seed_0042,488,5.0200000000000005,14.780000000000001,9.76,31,True,0.31475794315338135,recorded_joint_effort_limits,1000000000.0,1000000000.0,1.0,1.0077368669578286,0.04517369798521323,0.13425947750211709,0.3,0.05,True,False,False,9.80963134765625,9.835511821508408,-0.025880473852158303,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1251.6390385842676,1417.9354271092568,2669.5744656935244,-6.229321963558238,6.229321963558238,273.52197394400866,272.1381029605509,1.2516390385842678e-15,1.4179354271092572e-15,2.669574465693525e-15,-6.229321963558247,6.229321963558247,2.7352197394400875e-16,2.72138102960551e-16,519.4977186255809,910.1766171074368,1429.6743357330176,-27.326425936124,27.326425936124,146.48302620215344,145.74190253078166,801.9621482944489,684.1455090864958,1486.1076573809446,7.927867044005967,7.927867044005967,152.26512883001482,151.49475089458997
gait_00_trot__vx_pos_1p5__seed_0042,0,trot,trot,1.5,forward,42,valid,,cells/gait_00_trot/vx_pos_1p5/seed_0042,480,5.16,14.76,9.6,39,True,0.2460918128490448,recorded_joint_effort_limits,1000000000.0,1000000000.0,1.5,1.5270008188982804,0.05907961685823962,0.15346348126059017,0.425,0.05,True,False,False,14.632954597473145,14.659207861423493,-0.026253263950348327,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1458.1681939310313,1669.268311275632,3127.4365052066632,-6.749940949821171,6.749940949821171,325.7746359590274,213.72556610998552,1.458168193931031e-15,1.669268311275632e-15,3.127436505206663e-15,-6.749940949821179,6.749940949821179,3.257746359590274e-16,2.137255661099855e-16,741.0600595536874,833.3812668893487,1574.4413264430361,-5.863743906178613,5.863743906178613,164.00430483781628,107.59558611047113,760.6633266925812,730.3133177876473,1490.9766444802285,2.035579096244951,2.035579096244951,155.31006713335714,101.89170167572954
gait_01_bound__vx_neg_1p5__seed_0042,1,bound,bound,-1.5,backward,42,valid,,cells/gait_01_bound/vx_neg_1p5/seed_0042,480,5.16,14.76,9.6,39,True,0.2460918128490448,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.5,-1.4767544873058795,0.04137627068774598,0.05360988739043502,0.425,0.05,True,False,False,14.078094005584717,14.176843078136445,-0.09874907255172793,commanded-sign world-x displacement across the same sample intervals as effort integration,True,3531.342573737282,1565.2034169143797,5096.545990651662,38.577875298865,38.577875298865,530.8902073595481,362.0196021300813,3.5313425737372816e-15,1.5652034169143799e-15,5.096545990651662e-15,38.577875298864996,38.577875298864996,5.308902073595481e-16,3.620196021300813e-16,1169.956984010534,1159.4747036616664,2329.4316876722005,0.44999303496821996,0.44999303496821996,242.64913413252089,165.46499027127717,952.9328221853077,456.692888805509,1409.6257109908167,35.20366644213625,35.20366644213625,146.83601156154342,100.12901678534215
gait_01_bound__vx_neg_1p0__seed_0042,1,bound,bound,-1.0,backward,42,valid,,cells/gait_01_bound/vx_neg_1p0/seed_0042,488,5.0200000000000005,14.780000000000001,9.76,31,True,0.31475794315338135,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.0,-0.9683831337778295,0.04336499883856162,0.05500037307702995,0.3,0.05,True,False,False,9.344582557678223,9.451419385671615,-0.10683682799339245,commanded-sign world-x displacement across the same sample intervals as effort integration,True,3636.7373659474665,1698.3175937779865,5335.054959725453,36.333642048726574,36.333642048726574,546.6244835784275,570.924910427568,3.6367373659474666e-15,1.6983175937779868e-15,5.335054959725453e-15,36.33364204872658,36.33364204872658,5.466244835784276e-16,5.70924910427568e-16,1143.8023671921196,1124.367589679472,2268.1699568715917,0.8568483791864194,0.8568483791864194,232.39446279422046,242.72565873024365,923.2550409663224,479.39790184850426,1402.6529428148267,31.644117056289854,31.644117056289854,143.71444086217488,150.10332822864302
gait_01_bound__vx_neg_0p5__seed_0042,1,bound,bound,-0.5,backward,42,valid,,cells/gait_01_bound/vx_neg_0p5/seed_0042,483,5.22,14.88,9.66,24,True,0.40258365869522095,recorded_joint_effort_limits,1000000000.0,1000000000.0,-0.5,-0.4627048849565889,0.05404871347272098,0.06464315476969379,0.175,0.05,True,False,False,4.348366022109985,4.469729188680649,-0.1213631665706636,commanded-sign world-x displacement across the same sample intervals as effort integration,True,3251.248120065537,1777.9270969940628,5029.1752170596,29.295480063486007,29.295480063486007,520.6185524906418,1156.566671592945,3.2512481200655374e-15,1.777927096994063e-15,5.0291752170596e-15,29.295480063486007,29.295480063486007,5.206185524906419e-16,1.156566671592945e-15,1250.9741132735548,1017.5318560367609,2268.505969310316,10.290572755590604,10.290572755590604,234.8349864710472,521.6915866271888,864.9436643707752,518.8623913839027,1383.8060557546778,25.0093769677957,25.0093769677957,143.25114448806187,318.23587267458333
gait_01_bound__vx_pos_0p5__seed_0042,1,bound,bound,0.5,forward,42,valid,,cells/gait_01_bound/vx_pos_0p5/seed_0042,483,5.22,14.88,9.66,24,True,0.40258365869522095,recorded_joint_effort_limits,1000000000.0,1000000000.0,0.5,0.4805226895503129,0.05082746204615296,0.0758521886525129,0.175,0.05,True,False,False,4.753330230712891,4.641849181056023,0.11148104965686745,commanded-sign world-x displacement across the same sample intervals as effort integration,True,2377.9988262312913,2975.259008493681,5353.257834724973,-11.15694780079791,11.15694780079791,554.1674777148005,1126.2120607854563,2.3779988262312914e-15,2.9752590084936815e-15,5.353257834724973e-15,-11.156947800797917,11.156947800797917,5.541674777148006e-16,1.1262120607854564e-15,1083.598753736687,905.5287399232539,1989.127493659941,8.952166936559165,8.952166936559165,205.91381921945558,418.4702928501598,692.4364127033949,738.7257838666654,1431.1621965700604,-3.2343902930225625,3.2343902930225625,148.15343649793584,301.0862126352662
