positive_cell_id,negative_cell_id,gait_index,partner_gait_index,family,speed_mps,positive_vx_bias_mps,negative_vx_bias_mps,directed_positive_bias_mps,directed_negative_bias_mps,paired_directional_bias_mps,directional_asymmetry_mps,positive_measured_vx_mps,negative_measured_vx_mps,e_pair_bias_mps,e_pair_bias_normalized,e_pair_bias_epsilon_mps,e_pair_bias_definition
gait_00_trot__vx_pos_0p5__seed_0042,gait_00_trot__vx_neg_0p5__seed_0042,0,0,trot,0.5,-0.0027282685349940268,0.014486940627759534,-0.0027282685349940268,-0.014486940627759534,-0.00860760458137678,0.011758672092765507,0.497271731465006,-0.4855130593722405,0.011758672092765488,0.011758660334105154,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p0__seed_0042,gait_00_trot__vx_neg_1p0__seed_0042,0,0,trot,1.0,0.0077368669578286465,0.00856164280996948,0.0077368669578286465,-0.00856164280996948,-0.0004123879260704167,0.016298509767798126,1.0077368669578286,-0.9914383571900305,0.01629850976779812,0.008149250809273655,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p5__seed_0042,gait_00_trot__vx_neg_1p5__seed_0042,0,0,trot,1.5,0.027000818898280463,-0.004808511336644491,0.027000818898280463,0.004808511336644491,0.015904665117462476,0.022192307561635972,1.5270008188982804,-1.5048085113366445,0.022192307561635927,0.007397433388067512,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_0p5__seed_0042,gait_01_bound__vx_neg_0p5__seed_0042,1,1,bound,0.5,-0.019477310449687098,0.0372951150434111,-0.019477310449687098,-0.0372951150434111,-0.028386212746549098,0.017817804593724,0.4805226895503129,-0.4627048849565889,0.017817804593724007,0.017817786775937233,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p0__seed_0042,gait_01_bound__vx_neg_1p0__seed_0042,1,1,bound,1.0,-0.03311249247339905,0.03161686622217053,-0.03311249247339905,-0.03161686622217053,-0.032364679347784794,-0.001495626251228517,0.9668875075266009,-0.9683831337778295,0.0014956262512285656,0.0007478127517079069,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p5__seed_0042,gait_01_bound__vx_neg_1p5__seed_0042,1,1,bound,1.5,-0.014956735819578171,0.023245512694120406,-0.014956735819578171,-0.023245512694120406,-0.01910112425684929,0.008288776874542235,1.4850432641804219,-1.4767544873058795,0.008288776874542325,0.0027629247038725405,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_0p5__seed_0042,gait_03_half_bound__vx_neg_0p5__seed_0042,2,3,half_bound,0.5,-0.002087659532238978,0.027321778037286446,-0.002087659532238978,-0.027321778037286446,-0.014704718784762712,0.02523411850504747,0.497912340467761,-0.47267822196271353,0.025234118505047476,0.025234093270954206,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p0__seed_0042,gait_03_half_bound__vx_neg_1p0__seed_0042,2,3,half_bound,1.0,-0.010012195124977925,0.025468229026090902,-0.010012195124977925,-0.025468229026090902,-0.017740212075534414,0.015456033901112977,0.989987804875022,-0.9745317709739091,0.015456033901112942,0.0077280130865499275,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p5__seed_0042,gait_03_half_bound__vx_neg_1p5__seed_0042,2,3,half_bound,1.5,0.004208670059839884,0.01180562674999237,0.004208670059839884,-0.01180562674999237,-0.003798478345076243,0.016014296809832254,1.5042086700598398,-1.4881943732500076,0.01601429680983224,0.005338097157245028,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_0p5__seed_0042,gait_02_half_bound__vx_neg_0p5__seed_0042,3,2,half_bound,0.5,-0.02420289799046566,0.032779407242070076,-0.02420289799046566,-0.032779407242070076,-0.02849115261626787,0.008576509251604417,0.47579710200953435,-0.46722059275792993,0.008576509251604414,0.00857650067510374,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p0__seed_0042,gait_02_half_bound__vx_neg_1p0__seed_0042,3,2,half_bound,1.0,-0.028414137050753734,0.03317886920737439,-0.028414137050753734,-0.03317886920737439,-0.03079650312906406,0.004764732156620655,0.9715858629492463,-0.9668211307926257,0.004764732156620655,0.0023823648871278834,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p5__seed_0042,gait_02_half_bound__vx_neg_1p5__seed_0042,3,2,half_bound,1.5,-0.015637537837028502,0.023782276858886082,-0.015637537837028502,-0.023782276858886082,-0.019709907347957294,0.00814473902185758,1.4843624621629714,-1.476217723141114,0.008144739021857417,0.0027149121023151046,1e-06,abs(mean_vx_pos + mean_vx_neg)
