scope,family,velocity_mps,expected_cells,valid_cells,coverage_fraction,complete,tracking_success_cells,tracking_success_fraction,tracking_qualified_complete,torque_squared_valid_cells,torque_squared_coverage_fraction,torque_squared_complete,torque_squared_tracking_success_cells,torque_squared_tracking_qualified_complete,torque_squared_observed_mean_signed_imbalance_percent,torque_squared_observed_mean_abs_imbalance_percent,torque_squared_mean_signed_imbalance_percent,torque_squared_mean_abs_imbalance_percent,torque_squared_tracking_qualified_observed_mean_signed_imbalance_percent,torque_squared_tracking_qualified_observed_mean_abs_imbalance_percent,torque_squared_tracking_qualified_mean_signed_imbalance_percent,torque_squared_tracking_qualified_mean_abs_imbalance_percent,torque_squared_observed_mean_total_integral,torque_squared_mean_total_integral,torque_squared_tracking_qualified_observed_mean_total_integral,torque_squared_tracking_qualified_mean_total_integral,torque_squared_observed_mean_total_per_s,torque_squared_mean_total_per_s,torque_squared_tracking_qualified_observed_mean_total_per_s,torque_squared_tracking_qualified_mean_total_per_s,torque_squared_observed_mean_total_per_directed_m,torque_squared_mean_total_per_directed_m,torque_squared_tracking_qualified_observed_mean_total_per_directed_m,torque_squared_tracking_qualified_mean_total_per_directed_m,normalized_torque_utilization_valid_cells,normalized_torque_utilization_coverage_fraction,normalized_torque_utilization_complete,normalized_torque_utilization_tracking_success_cells,normalized_torque_utilization_tracking_qualified_complete,normalized_torque_utilization_observed_mean_signed_imbalance_percent,normalized_torque_utilization_observed_mean_abs_imbalance_percent,normalized_torque_utilization_mean_signed_imbalance_percent,normalized_torque_utilization_mean_abs_imbalance_percent,normalized_torque_utilization_tracking_qualified_observed_mean_signed_imbalance_percent,normalized_torque_utilization_tracking_qualified_observed_mean_abs_imbalance_percent,normalized_torque_utilization_tracking_qualified_mean_signed_imbalance_percent,normalized_torque_utilization_tracking_qualified_mean_abs_imbalance_percent,normalized_torque_utilization_observed_mean_total_integral,normalized_torque_utilization_mean_total_integral,normalized_torque_utilization_tracking_qualified_observed_mean_total_integral,normalized_torque_utilization_tracking_qualified_mean_total_integral,normalized_torque_utilization_observed_mean_total_per_s,normalized_torque_utilization_mean_total_per_s,normalized_torque_utilization_tracking_qualified_observed_mean_total_per_s,normalized_torque_utilization_tracking_qualified_mean_total_per_s,normalized_torque_utilization_observed_mean_total_per_directed_m,normalized_torque_utilization_mean_total_per_directed_m,normalized_torque_utilization_tracking_qualified_observed_mean_total_per_directed_m,normalized_torque_utilization_tracking_qualified_mean_total_per_directed_m,absolute_work_valid_cells,absolute_work_coverage_fraction,absolute_work_complete,absolute_work_tracking_success_cells,absolute_work_tracking_qualified_complete,absolute_work_observed_mean_signed_imbalance_percent,absolute_work_observed_mean_abs_imbalance_percent,absolute_work_mean_signed_imbalance_percent,absolute_work_mean_abs_imbalance_percent,absolute_work_tracking_qualified_observed_mean_signed_imbalance_percent,absolute_work_tracking_qualified_observed_mean_abs_imbalance_percent,absolute_work_tracking_qualified_mean_signed_imbalance_percent,absolute_work_tracking_qualified_mean_abs_imbalance_percent,absolute_work_observed_mean_total_integral,absolute_work_mean_total_integral,absolute_work_tracking_qualified_observed_mean_total_integral,absolute_work_tracking_qualified_mean_total_integral,absolute_work_observed_mean_total_per_s,absolute_work_mean_total_per_s,absolute_work_tracking_qualified_observed_mean_total_per_s,absolute_work_tracking_qualified_mean_total_per_s,absolute_work_observed_mean_total_per_directed_m,absolute_work_mean_total_per_directed_m,absolute_work_tracking_qualified_observed_mean_total_per_directed_m,absolute_work_tracking_qualified_mean_total_per_directed_m,vertical_grf_impulse_valid_cells,vertical_grf_impulse_coverage_fraction,vertical_grf_impulse_complete,vertical_grf_impulse_tracking_success_cells,vertical_grf_impulse_tracking_qualified_complete,vertical_grf_impulse_observed_mean_signed_imbalance_percent,vertical_grf_impulse_observed_mean_abs_imbalance_percent,vertical_grf_impulse_mean_signed_imbalance_percent,vertical_grf_impulse_mean_abs_imbalance_percent,vertical_grf_impulse_tracking_qualified_observed_mean_signed_imbalance_percent,vertical_grf_impulse_tracking_qualified_observed_mean_abs_imbalance_percent,vertical_grf_impulse_tracking_qualified_mean_signed_imbalance_percent,vertical_grf_impulse_tracking_qualified_mean_abs_imbalance_percent,vertical_grf_impulse_observed_mean_total_integral,vertical_grf_impulse_mean_total_integral,vertical_grf_impulse_tracking_qualified_observed_mean_total_integral,vertical_grf_impulse_tracking_qualified_mean_total_integral,vertical_grf_impulse_observed_mean_total_per_s,vertical_grf_impulse_mean_total_per_s,vertical_grf_impulse_tracking_qualified_observed_mean_total_per_s,vertical_grf_impulse_tracking_qualified_mean_total_per_s,vertical_grf_impulse_observed_mean_total_per_directed_m,vertical_grf_impulse_mean_total_per_directed_m,vertical_grf_impulse_tracking_qualified_observed_mean_total_per_directed_m,vertical_grf_impulse_tracking_qualified_mean_total_per_directed_m
family_velocity,trot,-1.5,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,32.83357424193075,32.83357424193075,32.83357424193075,32.83357424193075,,,,,3373.0376842277587,3373.0376842277587,,,351.3580921070582,351.3580921070582,,,234.20251697836113,234.20251697836113,,,1,1.0,True,0,False,37.753316579325876,37.753316579325876,37.753316579325876,37.753316579325876,,,,,4.428140475898923,4.428140475898923,,,0.46126463290613773,0.46126463290613773,,,0.30746221716960165,0.30746221716960165,,,1,1.0,True,0,False,-1.0140504703168014,1.0140504703168014,-1.0140504703168014,1.0140504703168014,,,,,1707.4862621924128,1707.4862621924128,,,177.86315231170965,177.86315231170965,,,118.55710423318071,118.55710423318071,,,1,1.0,True,0,False,32.061287721456395,32.061287721456395,32.061287721456395,32.061287721456395,,,,,1487.5713320234418,1487.5713320234418,,,154.9553470857752,154.9553470857752,,,103.28759496931215,103.28759496931215,,
family_velocity,trot,-1.0,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,27.571347480440863,27.571347480440863,27.571347480440863,27.571347480440863,,,,,2721.531272497937,2721.531272497937,,,278.8454172641329,278.8454172641329,,,282.326999812849,282.326999812849,,,1,1.0,True,0,False,32.32984871900969,32.32984871900969,32.32984871900969,32.32984871900969,,,,,3.5331646962513883,3.5331646962513883,,,0.36200457953395365,0.36200457953395365,,,0.36652446312761827,0.36652446312761827,,,1,1.0,True,0,False,-0.7725578130710788,0.7725578130710788,-0.7725578130710788,0.7725578130710788,,,,,1114.7407218010385,1114.7407218010385,,,114.21523788945066,114.21523788945066,,,115.64129603641565,115.64129603641565,,,1,1.0,True,0,False,27.700935191849986,27.700935191849986,27.700935191849986,27.700935191849986,,,,,1480.7889565968512,1480.7889565968512,,,151.72017997918562,151.72017997918562,,,153.61451389396262,153.61451389396262,,
family_velocity,trot,-0.5,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,13.411530512351165,13.411530512351165,13.411530512351165,13.411530512351165,,,,,2135.7127856755114,2135.7127856755114,,,221.08828009063265,221.08828009063265,,,456.6522852504119,456.6522852504119,,,1,1.0,True,0,False,15.903090147363464,15.903090147363464,15.903090147363464,15.903090147363464,,,,,2.7758998266787636,2.7758998266787636,,,0.287360230505048,0.287360230505048,,,0.5935353330191071,0.5935353330191071,,,1,1.0,True,0,False,9.540245405224276,9.540245405224276,9.540245405224276,9.540245405224276,,,,,682.1039313242234,682.1039313242234,,,70.61117301492996,70.61117301492996,,,145.84560297932398,145.84560297932398,,,1,1.0,True,0,False,19.859648245593167,19.859648245593167,19.859648245593167,19.859648245593167,,,,,1450.5592446368933,1450.5592446368933,,,150.16141248829126,150.16141248829126,,,310.1546230360913,310.1546230360913,,
family_velocity,trot,0.5,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,1.948822781811855,1.948822781811855,1.948822781811855,1.948822781811855,,,,,2497.870936446656,2497.870936446656,,,258.5787718888878,258.5787718888878,,,521.2878701217323,521.2878701217323,,,1,1.0,True,0,False,7.364687823069964,7.364687823069964,7.364687823069964,7.364687823069964,,,,,3.030820026933972,3.030820026933972,,,0.31374948518985213,0.31374948518985213,,,0.6325105486876073,0.6325105486876073,,,1,1.0,True,0,False,-38.64708227832576,38.64708227832576,-38.64708227832576,38.64708227832576,,,,,1142.8218103016843,1142.8218103016843,,,118.30453522791763,118.30453522791763,,,238.49877058431838,238.49877058431838,,,1,1.0,True,0,False,14.646631390199353,14.646631390199353,14.646631390199353,14.646631390199353,,,,,1450.8979420232774,1450.8979420232774,,,150.1964743295318,150.1964743295318,,,302.7920646041238,302.7920646041238,,
family_velocity,trot,1.0,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,-6.229321963558227,6.229321963558227,-6.229321963558227,6.229321963558227,,,,,2669.574465693526,2669.574465693526,,,273.5219739440088,273.5219739440088,,,272.13810296055107,272.13810296055107,,,1,1.0,True,0,False,2.1173959079175533,2.1173959079175533,2.1173959079175533,2.1173959079175533,,,,,3.105622267820022,3.105622267820022,,,0.3181990028504121,0.3181990028504121,,,0.3165890906350958,0.3165890906350958,,,1,1.0,True,0,False,-27.326425936124,27.326425936124,-27.326425936124,27.326425936124,,,,,1429.6743357330176,1429.6743357330176,,,146.48302620215344,146.48302620215344,,,145.74190253078166,145.74190253078166,,,1,1.0,True,0,False,7.927866980729545,7.927866980729545,7.927866980729545,7.927866980729545,,,,,1486.1076575806737,1486.1076575806737,,,152.26512885047887,152.26512885047887,,,151.4947509149505,151.4947509149505,,
family_velocity,trot,1.5,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,-6.749940949821146,6.749940949821146,-6.749940949821146,6.749940949821146,,,,,3127.436505206665,3127.436505206665,,,325.77463595902765,325.77463595902765,,,213.7255661099857,213.7255661099857,,,1,1.0,True,0,False,0.16963285703477507,0.16963285703477507,0.16963285703477507,0.16963285703477507,,,,,3.7211043532938572,3.7211043532938572,,,0.3876150368014435,0.3876150368014435,,,0.25429617296403195,0.25429617296403195,,,1,1.0,True,0,False,-5.863743906178598,5.863743906178598,-5.863743906178598,5.863743906178598,,,,,1574.4413264430361,1574.4413264430361,,,164.00430483781628,164.00430483781628,,,107.59558611047113,107.59558611047113,,,1,1.0,True,0,False,2.0355791121722637,2.0355791121722637,2.0355791121722637,2.0355791121722637,,,,,1490.9766449952126,1490.9766449952126,,,155.31006718700132,155.31006718700132,,,101.89170171092297,101.89170171092297,,
family,trot,,6,6,1.0,True,0,0.0,False,6,1.0,True,0,False,10.464335350525877,14.790756321652333,10.464335350525877,14.790756321652333,,,,,2754.1939416246755,2754.1939416246755,,,284.861195208958,284.861195208958,,,330.0555568723152,330.0555568723152,,,6,1.0,True,0,False,15.939662005620221,15.939662005620221,15.939662005620221,15.939662005620221,,,,,3.432458607812821,3.432458607812821,,,0.35503216129780785,0.35503216129780785,,,0.4118196376005103,0.4118196376005103,,,6,1.0,True,0,False,-10.68060249979866,13.860684301540084,-10.68060249979866,13.860684301540084,,,,,1275.2113979659023,1275.2113979659023,,,131.91357158066293,131.91357158066293,,,145.3133770790819,145.3133770790819,,,6,1.0,True,0,False,17.371991440333453,17.371991440333453,17.371991440333453,17.371991440333453,,,,,1474.483629642725,1474.483629642725,,,152.43476832004401,152.43476832004401,,,187.2058748548939,187.2058748548939,,
family_velocity,bound,-1.5,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,38.57787529886507,38.57787529886507,38.57787529886507,38.57787529886507,,,,,5096.545990651664,5096.545990651664,,,530.8902073595484,530.8902073595484,,,362.01960213008147,362.01960213008147,,,1,1.0,True,0,False,44.762299300042585,44.762299300042585,44.762299300042585,44.762299300042585,,,,,5.737209246951813,5.737209246951813,,,0.5976259632241471,0.5976259632241471,,,0.4075274141993857,0.4075274141993857,,,1,1.0,True,0,False,0.44999303496821996,0.44999303496821996,0.44999303496821996,0.44999303496821996,,,,,2329.4316876722005,2329.4316876722005,,,242.64913413252086,242.64913413252086,,,165.46499027127712,165.46499027127712,,,1,1.0,True,0,False,35.203666720342504,35.203666720342504,35.203666720342504,35.203666720342504,,,,,1409.6257095615938,1409.6257095615938,,,146.83601141266604,146.83601141266604,,,100.12901668382109,100.12901668382109,,
family_velocity,bound,-1.0,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,36.333642048726524,36.333642048726524,36.333642048726524,36.333642048726524,,,,,5335.054959725456,5335.054959725456,,,546.6244835784279,546.6244835784279,,,570.9249104275682,570.9249104275682,,,1,1.0,True,0,False,40.80573212112927,40.80573212112927,40.80573212112927,40.80573212112927,,,,,5.422496783668122,5.422496783668122,,,0.555583686851242,0.555583686851242,,,0.5802823989406124,0.5802823989406124,,,1,1.0,True,0,False,0.8568483791864194,0.8568483791864194,0.8568483791864194,0.8568483791864194,,,,,2268.1699568715917,2268.1699568715917,,,232.39446279422046,232.39446279422046,,,242.72565873024365,242.72565873024365,,,1,1.0,True,0,False,31.644117674472152,31.644117674472152,31.644117674472152,31.644117674472152,,,,,1402.652937296629,1402.652937296629,,,143.71444029678577,143.71444029678577,,,150.10332763811928,150.10332763811928,,
family_velocity,bound,-0.5,1,1,1.0,True,0,0.0,False,1,1.0,True,0,False,29.295480063485932,29.295480063485932,29.295480063485932,29.295480063485932,,,,,5029.175217059599,5029.175217059599,,,520.6185524906417,520.6185524906417,,,1156.5666715929449,1156.5666715929449,,,1,1.0,True,0,False,31.141490466877652,31.141490466877652,31.141490466877652,31.141490466877652,,,,,4.951751142238977,4.951751142238977,,,0.5126036379129376,0.5126036379129376,,,1.1387613455401364,1.1387613455401364,,,1,1.0,True,0,False,10.290572755590604,10.290572755590604,10.290572755590604,10.290572755590604,,,,,2268.505969310316,2268.505969310316,,,234.8349864710472,234.8349864710472,,,521.6915866271888,521.6915866271888,,,1,1.0,True,0,False,25.00937771734576,25.00937771734576,25.00937771734576,25.00937771734576,,,,,1383.8060482966157,1383.8060482966157,,,143.25114371600574,143.25114371600574,,,318.235870959442,318.235870959442,,
