cell_id,foot,contact_mean_force_n,vertical_impulse_ns,force_p95_n,force_p99_n,force_max_n,impact_event_count,impact_peak_mean_n,impact_peak_p95_n,impact_peak_max_n,impact_impulse_mean_ns,impact_impulse_p95_ns,impact_impulse_max_ns,agreement,agreement_boundary_excluded,false_swing_contact_fraction,missed_stance_contact_fraction,contact_precision,contact_recall,contact_f1,measured_duty_factor,commanded_duty_factor,sampled_desired_stance_fraction,desired_duty_factor,duty_factor_error,duty_factor_abs_error,touchdown_matched,touchdown_abs_error_mean_cycles,touchdown_abs_error_mean_s,touchdown_abs_error_median_cycles,touchdown_abs_error_median_s,touchdown_abs_error_p95_cycles,touchdown_abs_error_p95_s,touchdown_unmatched_expected,touchdown_unmatched_actual,touchdown_unmatched_fraction,touchdown_expected_unmatched_fraction,touchdown_actual_unmatched_fraction,touchdown_event_count,liftoff_matched,liftoff_abs_error_mean_cycles,liftoff_abs_error_mean_s,liftoff_abs_error_median_cycles,liftoff_abs_error_median_s,liftoff_abs_error_p95_cycles,liftoff_abs_error_p95_s,liftoff_unmatched_expected,liftoff_unmatched_actual,liftoff_unmatched_fraction,liftoff_expected_unmatched_fraction,liftoff_actual_unmatched_fraction,liftoff_event_count
gait_00_trot__vx_neg_1p5__seed_0042,fl,96.17581494067743,473.6302136194706,122.53409004211426,242.35585861206067,357.8949279785156,39,139.96179825220352,252.2929733276368,357.8949279785156,7.2911841915815305,9.684759185791018,12.069750213623047,0.8229166666666666,0.8465011286681715,0.2251655629139073,0.0,0.6746411483253588,1.0,0.8057142857142856,0.5125,0.333658903837204,0.33541666666666664,0.33541666666666664,0.17884109616279598,0.17884109616279598,39,0.045688824011729315,0.01124368192797838,0.045571595430374146,0.011214832840479711,0.08093727231025696,0.019918064552089935,0,0,0.0,0.0,0.0,39,38,0.13310081080386513,0.03275512586295705,0.13337326049804688,0.03282217371916731,0.1727406501770019,0.04251019737614118,0,1,0.02564102564102564,0.0,0.02564102564102564,39
gait_00_trot__vx_neg_1p5__seed_0042,fr,86.2149623392385,508.62271480321886,127.06215667724608,139.70952270507735,240.7660675048828,39,129.95032853346603,187.02543334960941,240.7660675048828,6.8997594236716235,8.428446350097657,9.644801025390626,0.7208333333333333,0.744343891402715,0.37666666666666665,0.0,0.5568627450980392,1.0,0.7153652392947103,0.6104166666666667,0.333658903837204,0.33125,0.33125,0.27675776282946274,0.27675776282946274,39,0.021592607100804646,0.005313781028264764,0.020500868558883667,0.0050451122415452136,0.04679954648017883,0.011517022518716703,0,0,0.0,0.0,0.0,39,0,,,,,,,39,39,1.0,1.0,1.0,39
gait_00_trot__vx_neg_1p5__seed_0042,rl,55.39791692055024,248.5459359240532,98.54865760803223,101.98134468078612,103.82605743408203,39,94.21284504425832,102.14511108398438,103.82605743408203,4.738456113766402,5.192486709594727,5.243833312988281,0.86875,0.9049773755656109,0.14,0.0,0.7717391304347826,1.0,0.8711656441717791,0.4625,0.333658903837204,0.33125,0.33125,0.12884109616279604,0.12884109616279604,39,0.022256812224021323,0.005477237000308711,0.020500868558883667,0.0050451122415452136,0.048728346824645996,0.011991686028773265,0,0,0.0,0.0,0.0,39,37,0.1186268780682538,0.02919319798570661,0.12122344970703125,0.02983219507615762,0.19241256713867186,0.04735131075594358,2,2,0.0975609756097561,0.05128205128205128,0.05128205128205128,39
gait_00_trot__vx_neg_1p5__seed_0042,rr,68.93488165329063,256.7724676766992,111.14758605957033,269.1804949951172,284.7342529296875,39,125.30024953988882,268.583334350586,284.7342529296875,5.531740411611705,8.831395919799805,9.226775207519532,0.95,0.9774266365688488,0.033112582781456956,0.0,0.9337748344370861,1.0,0.9657534246575342,0.38125,0.333658903837204,0.33541666666666664,0.33541666666666664,0.047591096162796,0.047591096162796,39,0.032552851316256404,0.008011016128469309,0.029144972562789917,0.007172362353024009,0.0682433307170868,0.016794179340045533,0,0,0.0,0.0,0.0,39,38,0.07749482205039576,0.019070902984420143,0.07872390747070312,0.019373371822854327,0.1126850128173828,0.02773094886056936,0,0,0.0,0.0,0.0,38
gait_00_trot__vx_neg_1p0__seed_0042,fl,90.223503445644,460.4308569169045,123.5721466064453,238.4468392944337,272.5798645019531,31,142.9246351180538,245.51432037353516,272.5798645019531,7.186681439799647,9.583576278686524,9.97585922241211,0.8729508196721312,0.9080717488789237,0.14963503649635038,0.0,0.8075117370892019,1.0,0.8935064935064935,0.5225409836065574,0.39623603224754333,0.39549180327868855,0.39549180327868855,0.1263049513590141,0.1263049513590141,31,0.02468943884295802,0.007771133164493472,0.023943334817886353,0.007536292924896441,0.05046120285987854,0.015882933976706492,0,0,0.0,0.0,0.0,31,30,0.1031203587849935,0.032457685457565395,0.10326576232910156,0.03250345200216126,0.1298736572265625,0.04087842948910368,0,1,0.03225806451612903,0.0,0.03225806451612903,31
gait_00_trot__vx_neg_1p0__seed_0042,fr,82.10533271633318,485.05981597900393,112.09991302490234,116.48657714843749,208.1810760498047,31,114.8671129288212,117.84182739257812,208.1810760498047,6.24957470801569,6.443197860717774,8.509817199707031,0.7971311475409836,0.8207964601769911,0.29347826086956524,0.0,0.6848249027237354,1.0,0.812933025404157,0.6004098360655737,0.39623603224754333,0.3975409836065574,0.3975409836065574,0.2041738038180304,0.2041738038180304,31,0.01829419501366154,0.005758195902817184,0.01561775803565979,0.004915773023353546,0.039059072732925415,0.012294052425406737,0,0,0.0,0.0,0.0,31,19,0.1804732272499486,0.056804915271910346,0.18102073669433594,0.05697724680314583,0.19785594940185547,0.06227622020772049,12,12,0.5581395348837209,0.3870967741935484,0.3870967741935484,31
gait_00_trot__vx_neg_1p0__seed_0042,rl,51.8234495191973,274.0007570409775,84.65292816162108,87.98084671020507,89.73223876953125,31,83.40304762317288,88.18664169311523,89.73223876953125,4.434158287048341,4.9949734497070315,5.032830657958985,0.8586065573770492,0.8871681415929203,0.18478260869565216,0.0,0.775330396475771,1.0,0.8734491315136477,0.5389344262295082,0.39623603224754333,0.3975409836065574,0.3975409836065574,0.14269839398196482,0.14269839398196482,31,0.03028653610137201,0.009532849516429208,0.029194265604019165,0.009189051524884435,0.05724945664405823,0.018019573227471934,0,0,0.0,0.0,0.0,31,31,0.11261712351152973,0.035446843039930905,0.11005401611328125,0.0346400912529267,0.17513275146484375,0.055123971903704154,0,0,0.0,0.0,0.0,31
gait_00_trot__vx_neg_1p0__seed_0042,rr,54.94384517872587,261.2975266599655,102.04380722045897,104.00209396362304,156.56544494628906,31,101.16409227924962,104.15243530273438,156.56544494628906,5.1663210222798,5.489293518066406,6.602991638183594,0.9139344262295082,0.952914798206278,0.07664233576642336,0.0,0.8911917098445595,1.0,0.9424657534246574,0.48155737704918034,0.39623603224754333,0.39549180327868855,0.39549180327868855,0.085321344801637,0.085321344801637,31,0.017869811865591233,0.00562461903307144,0.016516119241714478,0.005198537026475356,0.038061708211898804,0.011980126598427088,0,0,0.0,0.0,0.0,31,28,0.08841432843889509,0.027828883609636448,0.07303237915039062,0.022987332652938706,0.16418991088867188,0.05167965419943568,2,3,0.15151515151515152,0.06666666666666667,0.0967741935483871,31
gait_00_trot__vx_neg_0p5__seed_0042,fl,81.05278163895184,419.97653434515,102.2231689453125,118.16886840820283,245.9972686767578,24,112.83151276906331,198.11088790893538,245.9972686767578,5.854182782967886,8.022968727111813,9.002574768066406,0.9130434782608695,0.9414414414414415,0.11016949152542373,0.0,0.8888888888888888,1.0,0.9411764705882353,0.5362318840579711,0.4705493450164795,0.4699792960662526,0.4699792960662526,0.06568253904149157,0.06568253904149157,24,0.03386773665746053,0.0136346831887174,0.03366255760192871,0.013552080933732627,0.05670685768127441,0.022829397988174766,0,0,0.0,0.0,0.0,24,23,0.09875243643055791,0.039756367496970244,0.09912490844726562,0.03990631958842049,0.11987457275390624,0.048259847961299236,0,1,0.041666666666666664,0.0,0.041666666666666664,24
gait_00_trot__vx_neg_0p5__seed_0042,fr,71.49147222445795,449.34106976270675,91.35346221923828,94.9627066040039,96.86841583251953,23,92.02048724630605,95.80501861572266,96.86841583251953,5.311761076554009,5.610909591674805,5.643420562744141,0.8240165631469979,0.8513513513513513,0.2796610169491525,0.0,0.7591240875912408,1.0,0.8630705394190871,0.6480331262939959,0.4705493450164795,0.4720496894409938,0.4720496894409938,0.1774837812775164,0.1774837812775164,23,0.012780759645544964,0.005145357377749734,0.012093782424926758,0.004868789833371727,0.02604861259460449,0.010486811794517392,1,0,0.041666666666666664,0.041666666666666664,0.0,23,21,0.16571971348353795,0.06671646866532838,0.16318511962890625,0.06569607617292482,0.1905193328857422,0.07670045304461337,3,3,0.2222222222222222,0.125,0.125,24
