cell_id,planned_row,planned_family,classified_row,classified_family,classification_score_cycles,classification_margin_cycles,classification_domain_valid,classification_domain_reason
gait_00_trot__vx_neg_1p5__seed_0042,trot,trot,trot,trot,0.03855234536873131,0.11206908971304833,True,
gait_00_trot__vx_neg_1p0__seed_0042,trot,trot,trot,trot,0.022589656455298746,0.12447219285913312,True,
gait_00_trot__vx_neg_0p5__seed_0042,trot,trot,trot,trot,0.03487684829992623,0.12876784623446724,True,
gait_00_trot__vx_pos_0p5__seed_0042,trot,trot,trot,trot,0.018352929320198313,0.13892214706876865,True,
gait_00_trot__vx_pos_1p0__seed_0042,trot,trot,trot,trot,0.05473872995109397,0.06748985614190743,True,
gait_00_trot__vx_pos_1p5__seed_0042,trot,trot,unclassified,unclassified,0.0881903888104893,0.0023746143284324867,True,
gait_01_bound__vx_neg_1p5__seed_0042,bound,bound,bound,bound,0.09158900934291087,0.03549832039654585,True,
gait_01_bound__vx_neg_1p0__seed_0042,bound,bound,bound,bound,0.07711943490668556,0.04229838527622258,True,
gait_01_bound__vx_neg_0p5__seed_0042,bound,bound,bound,bound,0.05319796356759054,0.06438212629582471,True,
gait_01_bound__vx_pos_0p5__seed_0042,bound,bound,bound,bound,0.0733890001987083,0.043321092163728106,True,
gait_01_bound__vx_pos_1p0__seed_0042,bound,bound,bound,bound,0.05145998879005273,0.05217851849911684,True,
gait_01_bound__vx_pos_1p5__seed_0042,bound,bound,bound,bound,0.06428890670414407,0.025815864450628112,True,
gait_02_half_bound__vx_neg_1p5__seed_0042,half_bound_front_a,half_bound,bound,bound,0.09469757832901554,0.0343031857528141,True,
gait_02_half_bound__vx_neg_1p0__seed_0042,half_bound_front_a,half_bound,bound,bound,0.09146986106905741,0.034099498173318504,True,
gait_02_half_bound__vx_neg_0p5__seed_0042,half_bound_front_a,half_bound,bound,bound,0.06837549945338937,0.05196277354661194,True,
gait_02_half_bound__vx_pos_0p5__seed_0042,half_bound_front_a,half_bound,unclassified,unclassified,0.08203790724795033,0.00014053651419540514,True,
gait_02_half_bound__vx_pos_1p0__seed_0042,half_bound_front_a,half_bound,bound,bound,0.04447950256754487,0.06563765980974581,True,
gait_02_half_bound__vx_pos_1p5__seed_0042,half_bound_front_a,half_bound,bound,bound,0.06695482756744973,0.0350322964712495,True,
gait_03_half_bound__vx_neg_1p5__seed_0042,half_bound_front_b,half_bound,unclassified,unclassified,0.10096393556243376,0.0016552144121617651,True,
gait_03_half_bound__vx_neg_1p0__seed_0042,half_bound_front_b,half_bound,unclassified,unclassified,0.0953350102948602,0.004037370877069318,True,
gait_03_half_bound__vx_neg_0p5__seed_0042,half_bound_front_b,half_bound,bound,bound,0.06112391671734679,0.023362095435556993,True,
gait_03_half_bound__vx_pos_0p5__seed_0042,half_bound_front_b,half_bound,unclassified,unclassified,0.07854236161725643,0.0018834357083178377,True,
gait_03_half_bound__vx_pos_1p0__seed_0042,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.053677965596001714,0.029879526196041256,True,
gait_03_half_bound__vx_pos_1p5__seed_0042,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.06661155120876902,0.031345657623710374,True,
gait_04_half_bound__vx_neg_1p5__seed_0042,half_bound_hind_a,half_bound,bound,bound,0.09499876836107207,0.020256681566832954,True,
gait_04_half_bound__vx_neg_1p0__seed_0042,half_bound_hind_a,half_bound,bound,bound,0.08497972227201935,0.02283825753197244,True,
gait_04_half_bound__vx_neg_0p5__seed_0042,half_bound_hind_a,half_bound,bound,bound,0.05816123631739593,0.03707613047286732,True,
gait_04_half_bound__vx_pos_0p5__seed_0042,half_bound_hind_a,half_bound,unclassified,unclassified,0.1257512425772374,0.0007972621436753424,True,
gait_04_half_bound__vx_pos_1p0__seed_0042,half_bound_hind_a,half_bound,bound,bound,0.048691688299482005,0.044821878313236765,True,
gait_04_half_bound__vx_pos_1p5__seed_0042,half_bound_hind_a,half_bound,bound,bound,0.05614042210071827,0.027893399011230523,True,
gait_05_half_bound__vx_neg_1p5__seed_0042,half_bound_hind_b,half_bound,half_bound_hind_b,half_bound,0.10066802569146488,0.017453550959301248,True,
gait_05_half_bound__vx_neg_1p0__seed_0042,half_bound_hind_b,half_bound,unclassified,unclassified,0.09517321722833454,0.007268316956917889,True,
gait_05_half_bound__vx_neg_0p5__seed_0042,half_bound_hind_b,half_bound,unclassified,unclassified,0.08349100543141007,0.001791875768437881,True,
gait_05_half_bound__vx_pos_0p5__seed_0042,half_bound_hind_b,half_bound,unclassified,unclassified,0.11807055699827167,0.0064647785909141,True,
gait_05_half_bound__vx_pos_1p0__seed_0042,half_bound_hind_b,half_bound,unclassified,unclassified,0.08083597905053388,0.0073154989061248316,True,
gait_05_half_bound__vx_pos_1p5__seed_0042,half_bound_hind_b,half_bound,unclassified,unclassified,0.08379046619518382,0.0031941845325699214,True,
gait_06_gallop__vx_neg_1p5__seed_0042,gallop_a,gallop,bound,bound,0.09157635988412734,0.014529768667065263,True,
gait_06_gallop__vx_neg_1p0__seed_0042,gallop_a,gallop,bound,bound,0.09523428829284776,0.016333418486439294,True,
gait_06_gallop__vx_neg_0p5__seed_0042,gallop_a,gallop,bound,bound,0.057264895463696314,0.04532272255725414,True,
gait_06_gallop__vx_pos_0p5__seed_0042,gallop_a,gallop,unclassified,unclassified,0.07720767421374468,0.005250094449615564,True,
gait_06_gallop__vx_pos_1p0__seed_0042,gallop_a,gallop,half_bound_front_b,half_bound,0.05719213484111499,0.03192903663682846,True,
gait_06_gallop__vx_pos_1p5__seed_0042,gallop_a,gallop,half_bound_front_b,half_bound,0.06434819491277954,0.02984394255502755,True,
gait_07_gallop__vx_neg_1p5__seed_0042,gallop_b,gallop,bound,bound,0.11312320628633676,0.011352815373937439,True,
gait_07_gallop__vx_neg_1p0__seed_0042,gallop_b,gallop,bound,bound,0.11162023110036261,0.01532114377401693,True,
gait_07_gallop__vx_neg_0p5__seed_0042,gallop_b,gallop,bound,bound,0.10345053526758496,0.021944873407086868,True,
gait_07_gallop__vx_pos_0p5__seed_0042,gallop_b,gallop,trot,trot,0.07110260170779986,0.047719709039772865,True,
gait_07_gallop__vx_pos_1p0__seed_0042,gallop_b,gallop,bound,bound,0.07199336082565543,0.012593611746709421,True,
gait_07_gallop__vx_pos_1p5__seed_0042,gallop_b,gallop,trot,trot,0.0409963523195373,0.09329193301147151,True,
gait_08_gallop__vx_neg_1p5__seed_0042,gallop_c,gallop,unclassified,unclassified,0.10817388394121974,0.004077253300840744,True,
gait_08_gallop__vx_neg_1p0__seed_0042,gallop_c,gallop,unclassified,unclassified,0.10171660955601858,0.0009728221933185122,True,
gait_08_gallop__vx_neg_0p5__seed_0042,gallop_c,gallop,unclassified,unclassified,0.06675797890693819,0.007485337703764319,True,
gait_08_gallop__vx_pos_0p5__seed_0042,gallop_c,gallop,unclassified,unclassified,0.10378909210045362,0.003168776453562283,True,
gait_08_gallop__vx_pos_1p0__seed_0042,gallop_c,gallop,unclassified,unclassified,0.07683489288173993,0.0009267804334073815,True,
gait_08_gallop__vx_pos_1p5__seed_0042,gallop_c,gallop,half_bound_hind_b,half_bound,0.07946446800446771,0.013657433018591056,True,
gait_09_gallop__vx_neg_1p5__seed_0042,gallop_d,gallop,gallop_d,gallop,0.08065118944782619,0.028533499673368046,True,
gait_09_gallop__vx_neg_1p0__seed_0042,gallop_d,gallop,gallop_d,gallop,0.06850653647022152,0.011704670156324759,True,
gait_09_gallop__vx_neg_0p5__seed_0042,gallop_d,gallop,unclassified,unclassified,0.08080910959648256,0.00027185450813654866,True,
gait_09_gallop__vx_pos_0p5__seed_0042,gallop_d,gallop,gallop_d,gallop,0.062482549752229166,0.052714990908941925,True,
