cell_id,joint_index,joint_name,leg,motor_role,configured_effort_limit_nm,effort_limit_source,normalized_torque_squared_exposure,absolute_work_j,utilization_p95,utilization_p99,saturation_fraction,soft_limit_utilization_p95,soft_limit_utilization_p99,action_clamp_fraction
gait_00_trot__vx_neg_1p5__seed_0042,0,FL_hip_joint,fl,hip,23.700000762939453,robot.actuators['hip_legs'].effort_limit,0.07668471088415982,22.39799062261358,0.1699668199815446,0.20375568100150446,0.0,0.23088890314102173,0.2392338329553604,0.0
gait_00_trot__vx_neg_1p5__seed_0042,1,FL_thigh_joint,fl,thigh,23.700000762939453,robot.actuators['thigh_legs'].effort_limit,1.146396246292368,185.03616965942086,0.7162337937742522,0.803264038367161,0.0,0.3036380648612976,0.3272906005382537,0.0
gait_00_trot__vx_neg_1p5__seed_0042,2,FL_calf_joint,fl,calf,35.54999923706055,robot.actuators['calf_legs'].effort_limit,0.2969119040291912,171.270777502656,0.26451555650747127,0.323651396377742,0.0,1.0,1.0,0.6145833333333334
gait_00_trot__vx_neg_1p5__seed_0042,3,FR_hip_joint,fr,hip,23.700000762939453,robot.actuators['hip_legs'].effort_limit,0.039939206988667826,9.792669763793239,0.11284012320586503,0.12710743295750235,0.0,0.25306343436241147,0.2621012723445892,0.0
gait_00_trot__vx_neg_1p5__seed_0042,4,FR_thigh_joint,fr,thigh,23.700000762939453,robot.actuators['thigh_legs'].effort_limit,1.0361523627724563,237.63073167568072,0.7273790833556394,0.7903931858241989,0.0,0.31771234869956966,0.3417942190170288,0.0
gait_00_trot__vx_neg_1p5__seed_0042,5,FR_calf_joint,fr,calf,35.54999923706055,robot.actuators['calf_legs'].effort_limit,0.45387075320431247,218.95740563586355,0.3263753177707273,0.3432859757346618,0.0,1.0,1.0,0.7354166666666667
gait_00_trot__vx_neg_1p5__seed_0042,6,RL_hip_joint,rl,hip,23.700000762939453,robot.actuators['hip_legs'].effort_limit,0.058833650608887636,10.187297747167541,0.16329786020438727,0.1865706538648435,0.0,0.14826673567295073,0.16416297018527984,0.0
gait_00_trot__vx_neg_1p5__seed_0042,7,RL_thigh_joint,rl,thigh,23.700000762939453,robot.actuators['thigh_legs'].effort_limit,0.4377442399834663,233.22309322021903,0.39462236751693613,0.48890390230641095,0.0,0.6517178118228912,0.6597357165813446,0.0
gait_00_trot__vx_neg_1p5__seed_0042,8,RL_calf_joint,rl,calf,35.54999923706055,robot.actuators['calf_legs'].effort_limit,0.21408288249232066,148.25771624121816,0.26079565116991027,0.2720038626627403,0.0,1.0,1.0,0.625
gait_00_trot__vx_neg_1p5__seed_0042,9,RR_hip_joint,rr,hip,23.700000762939453,robot.actuators['hip_legs'].effort_limit,0.086832334905895,18.870891510662624,0.1752332417698713,0.20532030358068074,0.0,0.22127591371536254,0.23319283246994016,0.0
gait_00_trot__vx_neg_1p5__seed_0042,10,RR_thigh_joint,rr,thigh,23.700000762939453,robot.actuators['thigh_legs'].effort_limit,0.2839430758898062,111.82250107953209,0.3158846745427554,0.33872940486056796,0.0,0.6506503403186799,0.6556161957979202,0.0
gait_00_trot__vx_neg_1p5__seed_0042,11,RR_calf_joint,rr,calf,35.54999923706055,robot.actuators['calf_legs'].effort_limit,0.2967491078473918,340.0390175335854,0.3391578763198933,0.36485278567871404,0.0,1.0,1.0,0.6104166666666667
gait_00_trot__vx_neg_1p0__seed_0042,0,FL_hip_joint,fl,hip,23.700000762939453,robot.actuators['hip_legs'].effort_limit,0.0962894648746963,19.414679975508335,0.20047291178730145,0.24588088016652038,0.0,0.21841717362403867,0.22437024295330046,0.0
gait_00_trot__vx_neg_1p0__seed_0042,1,FL_thigh_joint,fl,thigh,23.700000762939453,robot.actuators['thigh_legs'].effort_limit,0.9071977595720598,99.18219787200913,0.6921403195299778,0.7660880296896107,0.0,0.2935723155736923,0.3076247054338455,0.0
gait_00_trot__vx_neg_1p0__seed_0042,2,FL_calf_joint,fl,calf,35.54999923706055,robot.actuators['calf_legs'].effort_limit,0.22597796877449508,131.80311289202422,0.24420237092829342,0.37878239635746297,0.0,1.0,1.0,0.6045081967213115
gait_00_trot__vx_neg_1p0__seed_0042,3,FR_hip_joint,fr,hip,23.700000762939453,robot.actuators['hip_legs'].effort_limit,0.08695717344520014,10.804087450793013,0.1613066567028494,0.1691271586638774,0.0,0.24091978073120116,0.2562631642818451,0.0
gait_00_trot__vx_neg_1p0__seed_0042,4,FR_thigh_joint,fr,thigh,23.700000762939453,robot.actuators['thigh_legs'].effort_limit,0.6449811634827244,132.65580777809024,0.5569794954395054,0.6493520129287651,0.0,0.2794432759284973,0.29851878225803374,0.0
gait_00_trot__vx_neg_1p0__seed_0042,5,FR_calf_joint,fr,calf,35.54999923706055,robot.actuators['calf_legs'].effort_limit,0.37631221862228426,159.20446666121484,0.30457618551511667,0.3205841677827294,0.0,1.0,1.0,0.7336065573770492
