operator,scope,stratum,planned_pairs,analyzed_pairs,paired_velocity_bias_mean,paired_velocity_bias_valid_pairs,paired_velocity_bias_coverage_fraction,paired_yaw_bias_mean,paired_yaw_bias_valid_pairs,paired_yaw_bias_coverage_fraction,paired_contact_pattern_error_mean,paired_contact_pattern_error_valid_pairs,paired_contact_pattern_error_coverage_fraction,paired_touchdown_phase_error_mean,paired_touchdown_phase_error_valid_pairs,paired_touchdown_phase_error_coverage_fraction,paired_joint_position_error_mean,paired_joint_position_error_valid_pairs,paired_joint_position_error_coverage_fraction,paired_joint_velocity_error_mean,paired_joint_velocity_error_valid_pairs,paired_joint_velocity_error_coverage_fraction,paired_actor_mean_consistency_error_mean,paired_actor_mean_consistency_error_valid_pairs,paired_actor_mean_consistency_error_coverage_fraction,paired_normalized_target_consistency_error_mean,paired_normalized_target_consistency_error_valid_pairs,paired_normalized_target_consistency_error_coverage_fraction,paired_value_consistency_error_mean,paired_value_consistency_error_valid_pairs,paired_value_consistency_error_coverage_fraction,paired_torque_pattern_error_mean,paired_torque_pattern_error_valid_pairs,paired_torque_pattern_error_coverage_fraction,paired_work_pattern_error_mean,paired_work_pattern_error_valid_pairs,paired_work_pattern_error_coverage_fraction,paired_grf_pattern_error_mean,paired_grf_pattern_error_valid_pairs,paired_grf_pattern_error_coverage_fraction
temporal_reversal,overall,all,30,30,0.01749719220356624,30,1.0,0.02047199675873038,30,1.0,0.19334828500975285,30,1.0,0.10069834851180134,30,1.0,0.21890223782345053,30,1.0,5.122818376716542,30,1.0,2.6082010104556534,30,1.0,0.731090533699742,30,1.0,0.07905477780540279,30,1.0,5.062974027836357,30,1.0,41.14170787139337,30,1.0,37.05360788684269,30,1.0
temporal_reversal,family,bound,3,3,0.00903011922985098,3,1.0,0.009756159674107302,3,1.0,0.1582759896328487,3,1.0,0.08853066048782184,3,1.0,0.21096137008033747,3,1.0,5.318324323814647,3,1.0,2.3872638793535343,3,1.0,0.6580949412466383,3,1.0,0.08363835161304933,3,1.0,5.058714014431493,3,1.0,40.61512060583166,3,1.0,36.51899524778982,3,1.0
temporal_reversal,family,gallop,12,12,0.022622405109740115,12,1.0,0.025544471019257383,12,1.0,0.2381531645311885,12,1.0,0.11503952189305537,12,1.0,0.22852491081744153,12,1.0,5.08497636664453,12,1.0,2.7514664795628914,12,1.0,0.7769179062606125,12,1.0,0.08817813171823478,12,1.0,5.277396982544495,12,1.0,43.07499880814097,12,1.0,39.82679544993233,12,1.0
temporal_reversal,family,half_bound,12,12,0.014665045823783278,12,1.0,0.021080010474136452,12,1.0,0.1768392551361092,12,1.0,0.09164764152734105,12,1.0,0.22094867791050096,12,1.0,5.192430894186969,12,1.0,2.5064430461610505,12,1.0,0.6971022403626751,12,1.0,0.08018749312705994,12,1.0,5.162603976021598,12,1.0,42.438364623174806,12,1.0,38.21491845088669,12,1.0
temporal_reversal,family,trot,3,3,0.016791999071717873,3,1.0,0.008465881939621106,3,1.0,0.11523718179548859,3,1.0,0.09170417094860621,3,1.0,0.18016665324239797,3,1.0,4.800230400024795,3,1.0,2.663108122307232,3,1.0,0.7567298092576301,3,1.0,0.03344692705979981,3,1.0,3.8110224296677164,3,1.0,28.748504382839013,3,1.0,21.850228017360987,3,1.0
temporal_reversal,direction,positive_to_negative,30,30,0.01749719220356624,30,1.0,0.02047199675873038,30,1.0,0.19334828500975285,30,1.0,0.10069834851180134,30,1.0,0.21890223782345053,30,1.0,5.122818376716542,30,1.0,2.6082010104556534,30,1.0,0.731090533699742,30,1.0,0.07905477780540279,30,1.0,5.062974027836357,30,1.0,41.14170787139337,30,1.0,37.05360788684269,30,1.0
temporal_reversal,speed,0.5 m/s,10,10,0.02281593233582662,10,1.0,0.03159077521795288,10,1.0,0.1781875,10,1.0,0.09968758773239061,10,1.0,0.236693790789604,10,1.0,4.802671723171912,10,1.0,2.5184890433263365,10,1.0,0.7103513049063352,10,1.0,0.05141641314749038,10,1.0,4.901114069377541,10,1.0,50.64112688025404,10,1.0,34.30089642450179,10,1.0
temporal_reversal,speed,1 m/s,10,10,0.01160910981915118,10,1.0,0.018550996810991392,10,1.0,0.1805931829637097,10,1.0,0.09463401935687016,10,1.0,0.20514067072243924,10,1.0,5.056134799298746,10,1.0,2.535877714852236,10,1.0,0.7076528715943813,10,1.0,0.08569785406524885,10,1.0,4.968024191919714,10,1.0,39.17190681012372,10,1.0,36.82599927876676,10,1.0
temporal_reversal,speed,1.5 m/s,10,10,0.01806653445572092,10,1.0,0.011274218247246861,10,1.0,0.22126417206554877,10,1.0,0.10777343844614333,10,1.0,0.2148722519583084,10,1.0,5.509648607678972,10,1.0,2.770236273188387,10,1.0,0.7752674245985092,10,1.0,0.10005006620346917,10,1.0,5.31978382221182,10,1.0,33.61208992380237,10,1.0,40.033927957259515,10,1.0
temporal_reversal,robot,go2,30,30,0.01749719220356624,30,1.0,0.02047199675873038,30,1.0,0.19334828500975285,30,1.0,0.10069834851180134,30,1.0,0.21890223782345053,30,1.0,5.122818376716542,30,1.0,2.6082010104556534,30,1.0,0.731090533699742,30,1.0,0.07905477780540279,30,1.0,5.062974027836357,30,1.0,41.14170787139337,30,1.0,37.05360788684269,30,1.0
front_hind_reflected_temporal_reversal,overall,all,30,30,0.01749719220356624,30,1.0,0.02047199675873038,30,1.0,0.8002388499937165,30,1.0,0.31643898762410333,30,1.0,0.26630985404456287,30,1.0,6.49056030247649,30,1.0,3.254714890712044,30,1.0,0.979083827869104,30,1.0,0.07905477780540279,30,1.0,7.817064419310956,30,1.0,38.4606350257988,30,1.0,64.25040828181169,30,1.0
