cell_id,event,first_foot,second_foot,eligible_complete_cycles,matched_complete_cycles,unmatched_complete_cycles,coverage_fraction,mean_s,p95_s,mean_cycles,p95_cycles
gait_00_trot__vx_neg_1p5__seed_0042,touchdown,fl,rr,38,38,0,1.0,0.018421052631578953,0.02,0.07485414806165193,0.08127021789550781
gait_00_trot__vx_neg_1p5__seed_0042,touchdown,fr,rl,38,38,0,1.0,0.002631578947368421,0.02,0.010693449723093133,0.08127021789550781
gait_00_trot__vx_neg_1p5__seed_0042,liftoff,fl,rr,38,38,0,1.0,0.01368421052631579,0.02,0.05560593856008429,0.08127021789550781
gait_00_trot__vx_neg_1p5__seed_0042,liftoff,fr,rl,38,38,0,1.0,0.03473684210526316,0.08,0.14115353634482936,0.32508087158203125
gait_00_trot__vx_neg_1p0__seed_0042,touchdown,fl,rr,30,30,0,1.0,0.011333333333333336,0.02,0.036006800333658856,0.06354141235351562
gait_00_trot__vx_neg_1p0__seed_0042,touchdown,fr,rl,30,30,0,1.0,0.006,0.02,0.01906242370605469,0.06354141235351562
gait_00_trot__vx_neg_1p0__seed_0042,liftoff,fl,rr,30,30,0,1.0,0.015333333333333336,0.030999999999999944,0.04871508280436198,0.09848918914794905
gait_00_trot__vx_neg_1p0__seed_0042,liftoff,fr,rl,30,30,0,1.0,0.025333333333333336,0.04,0.08048578898111979,0.12708282470703125
gait_00_trot__vx_neg_0p5__seed_0042,touchdown,fl,rr,23,23,0,1.0,0.022608695652173914,0.04,0.056158646293308426,0.09935760498046875
gait_00_trot__vx_neg_0p5__seed_0042,touchdown,fr,rl,23,17,6,0.7391304347826086,0.2011764705882353,0.38,0.4997103074017693,0.9438972473144531
gait_00_trot__vx_neg_0p5__seed_0042,liftoff,fl,rr,23,23,0,1.0,0.013913043478260872,0.02,0.034559166949728264,0.049678802490234375
gait_00_trot__vx_neg_0p5__seed_0042,liftoff,fr,rl,23,23,0,1.0,0.022608695652173914,0.04,0.056158646293308426,0.09935760498046875
gait_00_trot__vx_pos_0p5__seed_0042,touchdown,fl,rr,23,23,0,1.0,0.0017391304347826088,0.01799999999999997,0.004319895868716033,0.044710922241210864
gait_00_trot__vx_pos_0p5__seed_0042,touchdown,fr,rl,23,19,4,0.8260869565217391,0.011578947368421053,0.02,0.028761411968030427,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_0042,liftoff,fl,rr,23,23,0,1.0,0.007826086956521738,0.02,0.019439531409222145,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_0042,liftoff,fr,rl,23,23,0,1.0,0.02086956521739131,0.02,0.05183875042459239,0.049678802490234375
gait_00_trot__vx_pos_1p0__seed_0042,touchdown,fl,rr,30,30,0,1.0,0.030000000000000006,0.04,0.09531211853027344,0.12708282470703125
gait_00_trot__vx_pos_1p0__seed_0042,touchdown,fr,rl,30,14,16,0.4666666666666667,0.15714285714285717,0.3,0.4992539542061942,0.9531211853027343
gait_00_trot__vx_pos_1p0__seed_0042,liftoff,fl,rr,30,30,0,1.0,0.0033333333333333335,0.02,0.010590235392252604,0.06354141235351562
