scope,stratum,planned_cells,terminated_cells,velocity_valid_cells,velocity_vx_relative_rmse_mean,velocity_yaw_rmse_radps_mean,heading_valid_cells,heading_rmse_rad_mean,gait_valid_cells,gait_agreement_boundary_excluded_mean,gait_duty_factor_abs_error_mean,classification_valid_cells,classification_unclassified_cells,classification_row_accuracy,classification_family_accuracy,raw_load_valid_cells,absolute_work_total_j_mean,grf_load_valid_cells,vertical_grf_impulse_total_ns_mean,normalized_load_valid_cells,normalized_torque_squared_total_s_mean,velocity_success_domain_cells,velocity_success_cells,gait_success_domain_cells,gait_success_cells,joint_success_domain_cells,joint_success_cells
row,bound,6,0,6,0.05376934457791849,0.06416958803829421,6,0.015738848854397424,6,0.9005385880671355,0.12182219904057101,6,0,1.0,1.0,6,2202.161424978206,6,1421.7488012097465,6,5.215552811848199,6,0,6,6,6,0
row,gallop_a,6,0,6,0.05641156227261337,0.08838273145107604,6,0.02996789128516332,6,0.7973801777859172,0.13980296780045656,6,1,0.0,0.0,6,2137.5215500891277,6,1428.2125699143546,6,5.046237545056104,6,0,6,0,6,0
row,gallop_b,6,0,6,0.08583511729075287,0.15619934327711701,6,0.0482641477354292,6,0.760111876129784,0.1661757856258801,6,0,0.0,0.0,6,2331.4788330024057,6,1429.0301523741273,6,5.0531630507923975,6,0,6,0,6,0
row,gallop_c,6,0,6,0.049815052185256836,0.0920605836374077,6,0.02215542604425821,6,0.7781503056367188,0.13840721571937334,6,5,0.0,0.0,6,2196.4899072602375,6,1423.2918555910576,6,4.955396132194245,6,0,6,0,6,0
row,gallop_d,6,0,6,0.04387300622437043,0.09987042959395105,6,0.022143866256183507,6,0.8603324272336969,0.1614497507711882,6,1,0.8333333333333334,0.8333333333333334,6,1756.2657049149857,6,1437.8055166743077,6,4.617804439320451,6,0,6,4,6,0
row,half_bound_front_a,6,0,6,0.05909206530391023,0.08256848247064946,6,0.031677200315584665,6,0.8314707124903151,0.12388110201492301,6,1,0.0,0.0,6,2427.068199166984,6,1414.4302110520985,6,5.185761146318829,6,0,6,0,6,0
row,half_bound_front_b,6,0,6,0.04926944430415434,0.07413185776358654,6,0.01813556918135235,6,0.8653965248275561,0.13771955491819743,6,3,0.3333333333333333,0.3333333333333333,6,1987.8445494362907,6,1425.5693463230411,6,5.022624928918957,6,0,6,1,6,0
row,half_bound_hind_a,6,0,6,0.06573632869350458,0.07989571076925196,6,0.020828588992988468,6,0.8364941525491495,0.12050116991709563,6,1,0.0,0.0,6,2380.827393321589,6,1427.8638530901324,6,5.126117713372563,6,0,6,0,6,0
row,half_bound_hind_b,6,0,6,0.052021390794680156,0.08099083931134517,6,0.012231616843926768,6,0.8560935495741108,0.13868906187042002,6,5,0.16666666666666666,0.16666666666666666,6,1984.0472784648725,6,1424.8276182401678,6,4.898189963180586,6,0,6,1,6,0
row,trot,6,0,6,0.041384465015071446,0.10917685157052291,6,0.0132597917713023,6,0.8533615530142652,0.17346442277505747,6,1,0.8333333333333334,0.8333333333333334,6,1275.211397965902,6,1474.483629642725,6,3.4324586078128205,6,0,6,5,6,0
family,bound,6,0,6,0.05376934457791849,0.06416958803829421,6,0.015738848854397424,6,0.9005385880671355,0.12182219904057101,6,0,1.0,1.0,6,2202.161424978206,6,1421.7488012097465,6,5.215552811848199,6,0,6,6,6,0
family,gallop,24,0,24,0.058983684493248374,0.10912827198988795,24,0.03063283283025856,24,0.7989936966965292,0.15145892997922455,24,7,0.20833333333333334,0.20833333333333334,24,2105.438998816689,24,1429.585023638462,24,4.918150291840799,24,0,24,4,24,0
family,half_bound,24,0,24,0.05652980727406232,0.07939672257870828,24,0.020718243833463063,24,0.8473637348602828,0.13019772218015901,24,10,0.125,0.125,24,2194.946855097434,24,1423.1727571763597,24,5.058173437947734,24,0,24,2,24,0
family,trot,6,0,6,0.041384465015071446,0.10917685157052291,6,0.0132597917713023,6,0.8533615530142652,0.17346442277505747,6,1,0.8333333333333334,0.8333333333333334,6,1275.211397965902,6,1474.483629642725,6,3.4324586078128205,6,0,6,5,6,0
velocity,+0.5 m/s,10,0,10,0.11163144473842945,0.11476818476846973,10,0.039530490638131896,10,0.824042677883603,0.14813595519055983,10,6,0.3,0.3,10,1584.8885145886775,10,1435.1203772687986,10,4.452240806455474,10,0,10,3,10,0
velocity,+1 m/s,10,0,10,0.041893797414132024,0.08246644018712201,10,0.024521139037697284,10,0.8031421190734275,0.17640741037540747,10,2,0.4,0.4,10,1889.7410383256672,10,1461.400817314133,10,4.414136235087953,10,0,10,4,10,0
velocity,+1.5 m/s,10,0,10,0.021419950556779064,0.09853441892767587,10,0.015921013622683257,10,0.7565416331949066,0.23852859616279604,10,2,0.3,0.3,10,2077.8813123940763,10,1458.2616081346405,10,4.4821950459606,10,0,10,1,10,0
velocity,-0.5 m/s,10,0,10,0.0912183084865755,0.09917238054831329,10,0.017710135407539455,10,0.8872186780969624,0.061091648964654834,10,3,0.2,0.2,10,2248.3919893633947,10,1389.4661499490626,10,4.763681747228091,10,0,10,2,10,0
velocity,-1 m/s,10,0,10,0.042803117676305506,0.08616524787698945,10,0.023164063715441933,10,0.8803272060495351,0.09668945289048991,10,3,0.3,0.3,10,2184.878194395575,10,1416.3060367678506,10,5.191169530264704,10,0,10,3,10,0
velocity,-1.5 m/s,10,0,10,0.025358047125118098,0.0753611784213509,10,0.019794925946857896,10,0.8523256060867548,0.13229487468798956,10,2,0.4,0.4,10,2421.56869409297,10,1423.8031430325696,10,5.828560438292273,10,0,10,4,10,0
direction,backward,30,0,30,0.0531264910959997,0.08689960228221788,30,0.02022304168994643,30,0.8732904967444174,0.09669199218104477,30,8,0.3,0.3,30,2284.9462926173132,30,1409.8584432498276,30,5.261137238595023,30,0,30,9,30,0
