run,label,velocity_mps,direction,family,metric,metric_label,unit,cells,signed_imbalance_percent,mean_absolute_imbalance_percent,total_per_directed_m
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,trot,torque_squared,Torque²,N² m² s,1,34.59823069710221,34.59823069710221,253.50659493724945
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,bound,torque_squared,Torque²,N² m² s,1,15.587903248279192,15.587903248279192,485.183128222087
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,half_bound,torque_squared,Torque²,N² m² s,4,21.356519795362782,21.356519795362782,435.93171824071135
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,gallop,torque_squared,Torque²,N² m² s,4,20.947040291716743,20.947040291716743,416.12738176849257
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,all_family_balanced,torque_squared,Torque²,N² m² s,10,23.122423508115233,23.122423508115233,397.6872057921351
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,trot,absolute_work,Absolute work,J,1,0.3238042893350211,0.3238042893350211,110.29312266108553
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,bound,absolute_work,Absolute work,J,1,-41.7330308286352,41.7330308286352,284.73619897875534
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,half_bound,absolute_work,Absolute work,J,4,-33.39730451066911,33.39730451066911,250.5173664794687
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,gallop,absolute_work,Absolute work,J,4,-31.309626381004612,31.309626381004612,237.45972892127975
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,all_family_balanced,absolute_work,Absolute work,J,10,-26.529039357743475,26.690941502410986,220.75160426014733
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,1,31.40906003141917,31.40906003141917,105.78405939612635
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,1,42.35968377755799,42.35968377755799,100.30201046823352
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,4,39.87899445460381,39.87899445460381,101.56569050733391
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,4,37.50806952722451,37.50806952722451,103.29202836440226
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.5,backward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,10,37.78895194770137,37.78895194770137,102.73594718402401
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,trot,torque_squared,Torque²,N² m² s,1,31.417225472271795,31.417225472271795,297.5225328180631
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,bound,torque_squared,Torque²,N² m² s,1,17.992253873804835,17.992253873804835,666.794168379582
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,half_bound,torque_squared,Torque²,N² m² s,4,23.69414238412101,23.69414238412101,589.5927744906669
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,gallop,torque_squared,Torque²,N² m² s,4,30.567591782306586,30.567591782306586,524.7147278042244
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,all_family_balanced,torque_squared,Torque²,N² m² s,10,25.917803378126056,25.917803378126056,519.6560508731341
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,trot,absolute_work,Absolute work,J,1,-3.36837143205408,3.36837143205408,92.6342635926606
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,bound,absolute_work,Absolute work,J,1,-37.8261321323104,37.8261321323104,349.0940747988037
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,half_bound,absolute_work,Absolute work,J,4,-31.128986459397854,31.128986459397854,291.38133777263647
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,gallop,absolute_work,Absolute work,J,4,-19.202441180374468,19.202441180374468,243.85738472631695
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,all_family_balanced,absolute_work,Absolute work,J,10,-22.8814828010342,22.8814828010342,244.24176522260444
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,1,29.021345527705122,29.021345527705122,156.3390167533831
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-1.0,backward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,1,33.99692310600153,33.99692310600153,152.91641161465685
