positive_cell_id,negative_cell_id,gait_index,partner_gait_index,family,speed_mps,positive_vx_bias_mps,negative_vx_bias_mps,directed_positive_bias_mps,directed_negative_bias_mps,paired_directional_bias_mps,directional_asymmetry_mps,positive_measured_vx_mps,negative_measured_vx_mps,e_pair_bias_mps,e_pair_bias_normalized,e_pair_bias_epsilon_mps,e_pair_bias_definition
gait_00_trot__vx_pos_0p5__seed_0042,gait_00_trot__vx_neg_0p5__seed_0042,0,0,trot,0.5,0.00455904207309755,0.02094888881224544,0.00455904207309755,-0.02094888881224544,-0.008194923369573944,0.02550793088534299,0.5045590420730975,-0.47905111118775456,0.025507930885342978,0.025507905377437603,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p0__seed_0042,gait_00_trot__vx_neg_1p0__seed_0042,0,0,trot,1.0,0.0024357903748750687,0.0235602717846632,0.0024357903748750687,-0.0235602717846632,-0.010562240704894066,0.02599606215953827,1.002435790374875,-0.9764397282153368,0.025996062159538313,0.012998024580756865,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p5__seed_0042,gait_00_trot__vx_neg_1p5__seed_0042,0,0,trot,1.5,0.0037896335124969482,0.00965861901640892,0.0037896335124969482,-0.00965861901640892,-0.0029344927519559857,0.013448252528905868,1.503789633512497,-1.490341380983591,0.013448252528905913,0.004482749348718854,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_0p5__seed_0042,gait_01_bound__vx_neg_0p5__seed_0042,1,1,bound,0.5,-0.005371337302592622,0.00432133674621582,-0.005371337302592622,-0.00432133674621582,-0.004846337024404221,-0.001050000556376802,0.49462866269740735,-0.4956786632537842,0.0010500005563768289,0.0010499995063773225,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p0__seed_0042,gait_01_bound__vx_neg_1p0__seed_0042,1,1,bound,1.0,-0.011022300894061724,0.005911580224831899,-0.011022300894061724,-0.005911580224831899,-0.008466940559446811,-0.005110720669229825,0.9889776991059382,-0.9940884197751682,0.005110720669229907,0.002555359056935425,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p5__seed_0042,gait_01_bound__vx_neg_1p5__seed_0042,1,1,bound,1.5,-0.005335429559151331,-0.007786042243242264,-0.005335429559151331,0.007786042243242264,0.0012253063420454664,-0.013121471802393595,1.4946645704408488,-1.5077860422432423,0.013121471802393536,0.004373822476190353,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_0p5__seed_0042,gait_03_half_bound__vx_neg_0p5__seed_0042,2,3,half_bound,0.5,-0.014920086858152342,0.01103471582677184,-0.014920086858152342,-0.01103471582677184,-0.012977401342462091,-0.003885371031380501,0.4850799131418477,-0.48896528417322815,0.00388537103138048,0.0038853671460133345,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p0__seed_0042,gait_03_half_bound__vx_neg_1p0__seed_0042,2,3,half_bound,1.0,-0.021092848976453145,0.007607570538918178,-0.021092848976453145,-0.007607570538918178,-0.014350209757685662,-0.013485278437534966,0.9789071510235469,-0.9923924294610819,0.013485278437534998,0.006742635847449574,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p5__seed_0042,gait_03_half_bound__vx_neg_1p5__seed_0042,2,3,half_bound,1.5,-0.018330972145001092,-0.0033914861579736073,-0.018330972145001092,0.0033914861579736073,-0.007469742993513742,-0.0217224583029747,1.4816690278549989,-1.5033914861579736,0.0217224583029747,0.007240817020719227,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_0p5__seed_0042,gait_02_half_bound__vx_neg_0p5__seed_0042,3,2,half_bound,0.5,-0.0005662406192106359,-0.0014284236841842909,-0.0005662406192106359,0.0014284236841842909,0.0004310915324868275,-0.0019946643033949265,0.4994337593807894,-0.5014284236841843,0.0019946643033948996,0.001994662308732591,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p0__seed_0042,gait_02_half_bound__vx_neg_1p0__seed_0042,3,2,half_bound,1.0,-0.005495728924870491,0.0012702920784552893,-0.005495728924870491,-0.0012702920784552893,-0.00338301050166289,-0.004225436846415202,0.9945042710751295,-0.9987297079215447,0.004225436846415187,0.00211271736684891,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p5__seed_0042,gait_02_half_bound__vx_neg_1p5__seed_0042,3,2,half_bound,1.5,-0.01166123573978742,-0.011708470930655798,-0.01166123573978742,0.011708470930655798,2.3617595434189016e-05,-0.02336970667044322,1.4883387642602126,-1.5117084709306559,0.023369706670443247,0.0077898996268478725,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_0p5__seed_0042,gait_05_half_bound__vx_neg_0p5__seed_0042,4,5,half_bound,0.5,-0.0037577274967642393,0.01074322237938392,-0.0037577274967642393,-0.01074322237938392,-0.00725047493807408,0.0069854948826196805,0.49624227250323577,-0.4892567776206161,0.0069854948826196805,0.006985487897131784,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_1p0__seed_0042,gait_05_half_bound__vx_neg_1p0__seed_0042,4,5,half_bound,1.0,-0.005158846701184909,0.009976677224040031,-0.005158846701184909,-0.009976677224040031,-0.00756776196261247,0.004817830522855122,0.9948411532988151,-0.99002332277596,0.0048178305228551155,0.0024089140569705293,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_1p5__seed_0042,gait_05_half_bound__vx_neg_1p5__seed_0042,4,5,half_bound,1.5,-0.002522774040699005,-0.005274348209301631,-0.002522774040699005,0.005274348209301631,0.0013757870843013127,-0.007797122250000636,1.497477225959301,-1.5052743482093016,0.007797122250000621,0.002599039883653579,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_05_half_bound__vx_pos_0p5__seed_0042,gait_04_half_bound__vx_neg_0p5__seed_0042,5,4,half_bound,0.5,-0.009944951208699652,0.005610671363958791,-0.009944951208699652,-0.005610671363958791,-0.0077778112863292215,-0.0043342798447408605,0.49005504879130035,-0.4943893286360412,0.004334279844740829,0.00433427551046532,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_05_half_bound__vx_pos_1p0__seed_0042,gait_04_half_bound__vx_neg_1p0__seed_0042,5,4,half_bound,1.0,-0.009751755992571514,0.014756661529342333,-0.009751755992571514,-0.014756661529342333,-0.012254208760956923,0.005004905536770819,0.9902482440074285,-0.9852433384706577,0.005004905536770798,0.0025024515171596404,1e-06,abs(mean_vx_pos + mean_vx_neg)
