robot,protocol,positive_cell_id,negative_cell_id,gait_index,partner_gait_index,gait_name,partner_gait_name,family,direction,speed_mps,seed,phase_alignment,phase_samples,operator,status,reason,paired_velocity_bias,paired_velocity_bias_valid,paired_velocity_bias_reason,paired_yaw_bias,paired_yaw_bias_valid,paired_yaw_bias_reason,paired_contact_pattern_error,paired_contact_pattern_error_valid,paired_contact_pattern_error_reason,paired_touchdown_phase_error,paired_touchdown_phase_error_valid,paired_touchdown_phase_error_reason,paired_joint_position_error,paired_joint_position_error_valid,paired_joint_position_error_reason,paired_joint_velocity_error,paired_joint_velocity_error_valid,paired_joint_velocity_error_reason,paired_actor_mean_consistency_error,paired_actor_mean_consistency_error_valid,paired_actor_mean_consistency_error_reason,paired_normalized_target_consistency_error,paired_normalized_target_consistency_error_valid,paired_normalized_target_consistency_error_reason,paired_torque_pattern_error,paired_torque_pattern_error_valid,paired_torque_pattern_error_reason,paired_work_pattern_error,paired_work_pattern_error_valid,paired_work_pattern_error_reason,paired_value_consistency_error,paired_value_consistency_error_valid,paired_value_consistency_error_reason,paired_grf_pattern_error,paired_grf_pattern_error_valid,paired_grf_pattern_error_reason
x1,full,gait_00_trot__vx_pos_0p5__seed_0042,gait_00_trot__vx_neg_0p5__seed_0042,0,0,trot,trot,trot,positive_to_negative,0.5,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,temporal_reversal,analyzed,,0.025652494097404967,True,,0.002230727349173606,True,,0.06640159970238095,True,,0.0032359514208067028,True,,0.07904581375901111,True,,1.1645712049758103,True,,0.8145851404147586,True,,0.0971201380203083,True,,2.084634903855773,True,,3.5970289983368966,True,,0.012528625690913028,True,,27.502483778096668,True,
x1,full,gait_00_trot__vx_pos_0p5__seed_0042,gait_00_trot__vx_neg_0p5__seed_0042,0,0,trot,trot,trot,positive_to_negative,0.5,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,front_hind_reflected_temporal_reversal,analyzed,,0.025652494097404967,True,,0.002230727349173606,True,,0.9267066592261904,True,,0.46835525085528695,True,,0.21434645570452282,True,,1.851684391461547,True,,1.309126286955004,True,,0.15875604905851828,True,,5.3779066013589665,True,,3.522080801254813,True,,0.012528625690913028,True,,85.79127019871646,True,
x1,full,gait_00_trot__vx_pos_1p0__seed_0042,gait_00_trot__vx_neg_1p0__seed_0042,0,0,trot,trot,trot,positive_to_negative,1.0,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,temporal_reversal,analyzed,,0.025917905100294125,True,,0.004538177918056264,True,,0.09209735576923078,True,,0.003977889051804176,True,,0.12152734662595086,True,,1.9545010659265671,True,,1.0366038747085955,True,,0.12333409237739236,True,,2.919863773238628,True,,7.894816499949416,True,,0.008706318824527385,True,,46.85332292187457,True,
x1,full,gait_00_trot__vx_pos_1p0__seed_0042,gait_00_trot__vx_neg_1p0__seed_0042,0,0,trot,trot,trot,positive_to_negative,1.0,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,front_hind_reflected_temporal_reversal,analyzed,,0.025917905100294125,True,,0.004538177918056264,True,,0.8596754807692308,True,,0.4555416743342693,True,,0.23164669052692727,True,,2.5209456722263575,True,,1.337315004967452,True,,0.16062074392431053,True,,5.870293190368841,True,,9.002950983073251,True,,0.008706318824527385,True,,95.95627019109688,True,
x1,full,gait_00_trot__vx_pos_1p5__seed_0042,gait_00_trot__vx_neg_1p5__seed_0042,0,0,trot,trot,trot,positive_to_negative,1.5,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,temporal_reversal,analyzed,,0.013346445702292953,True,,0.0020534717753692665,True,,0.0838623046875,True,,0.0037237524520605803,True,,0.14562225009859378,True,,2.492465688484862,True,,1.2028428407192109,True,,0.1454720026581512,True,,3.3828814363116604,True,,12.168226797992443,True,,0.01648234555577279,True,,56.554071216343296,True,
x1,full,gait_00_trot__vx_pos_1p5__seed_0042,gait_00_trot__vx_neg_1p5__seed_0042,0,0,trot,trot,trot,positive_to_negative,1.5,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,front_hind_reflected_temporal_reversal,analyzed,,0.013346445702292953,True,,0.0020534717753692665,True,,0.751220703125,True,,0.4407048437278718,True,,0.2522824062191075,True,,3.6508292650836403,True,,1.344077235874284,True,,0.1666532749855002,True,,6.100970130103121,True,,13.583112434722544,True,,0.01648234555577279,True,,104.43368385278399,True,
x1,full,gait_01_bound__vx_pos_0p5__seed_0042,gait_01_bound__vx_neg_0p5__seed_0042,1,1,bound,bound,bound,positive_to_negative,0.5,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,temporal_reversal,analyzed,,0.0010388052573231344,True,,0.0055351415765052155,True,,0.03613746279761905,True,,0.038878115018208814,True,,0.15494313739890397,True,,8.686459118133298,True,,1.1312950113943012,True,,0.1302291121309631,True,,3.146024381388985,True,,45.13748515336768,True,,0.0129452426777865,True,,18.852037765895755,True,
x1,full,gait_01_bound__vx_pos_0p5__seed_0042,gait_01_bound__vx_neg_0p5__seed_0042,1,1,bound,bound,bound,positive_to_negative,0.5,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,front_hind_reflected_temporal_reversal,analyzed,,0.0010388052573231344,True,,0.0055351415765052155,True,,0.9411039806547619,True,,0.41811224619547527,True,,0.4871087285631121,True,,8.930479860666908,True,,1.241766295021217,True,,0.15582329786023139,True,,5.4444300676624655,True,,92.06052803326456,True,,0.0129452426777865,True,,82.08879985325432,True,
x1,full,gait_01_bound__vx_pos_1p0__seed_0042,gait_01_bound__vx_neg_1p0__seed_0042,1,1,bound,bound,bound,positive_to_negative,1.0,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,temporal_reversal,analyzed,,0.005022682389400036,True,,0.0034161059393688128,True,,0.019005408653846152,True,,0.02813166781113698,True,,0.20677873278159956,True,,7.305319203625294,True,,1.3599912444139506,True,,0.1632088846031018,True,,3.5724702438745277,True,,44.63989250424823,True,,0.012582915419002864,True,,33.291829790600126,True,
x1,full,gait_01_bound__vx_pos_1p0__seed_0042,gait_01_bound__vx_neg_1p0__seed_0042,1,1,bound,bound,bound,positive_to_negative,1.0,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,front_hind_reflected_temporal_reversal,analyzed,,0.005022682389400036,True,,0.0034161059393688128,True,,0.8888972355769231,True,,0.414584755897522,True,,0.42353872328921605,True,,8.87211990344733,True,,0.9578405269902458,True,,0.13316869586019375,True,,5.082180126842162,True,,72.23081757820418,True,,0.012582915419002864,True,,89.83983054853024,True,
x1,full,gait_01_bound__vx_pos_1p5__seed_0042,gait_01_bound__vx_neg_1p5__seed_0042,1,1,bound,bound,bound,positive_to_negative,1.5,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,temporal_reversal,analyzed,,0.013005307464034391,True,,0.0038433203912930907,True,,0.041984789299242424,True,,0.03160228789784014,True,,0.2518533568312377,True,,6.21346263263868,True,,1.409264680292224,True,,0.17953077909527002,True,,4.254320472070493,True,,51.41031789512359,True,,0.0273795302444974,True,,39.998527704215924,True,
x1,full,gait_01_bound__vx_pos_1p5__seed_0042,gait_01_bound__vx_neg_1p5__seed_0042,1,1,bound,bound,bound,positive_to_negative,1.5,42,duty_aware_reflection_and_cycle_averaged_interpolation,128,front_hind_reflected_temporal_reversal,analyzed,,0.013005307464034391,True,,0.0038433203912930907,True,,0.7540357185132576,True,,0.39059541653841734,True,,0.3331302235598093,True,,8.640684535649791,True,,1.0171286446065506,True,,0.14562582820618525,True,,5.378779600917448,True,,58.409724829502615,True,,0.0273795302444974,True,,96.3022661257023,True,
