cell_id,event,first_foot,second_foot,eligible_complete_cycles,matched_complete_cycles,unmatched_complete_cycles,coverage_fraction,mean_s,p95_s,mean_cycles,p95_cycles
gait_00_trot__vx_neg_1p5__seed_0042,touchdown,fl,rr,30,30,0,1.0,0.002,0.02,0.006458282470703125,0.06458282470703125
gait_00_trot__vx_neg_1p5__seed_0042,touchdown,fr,rl,30,30,0,1.0,0.004,0.02,0.01291656494140625,0.06458282470703125
gait_00_trot__vx_neg_1p5__seed_0042,liftoff,fl,rr,30,11,19,0.36666666666666664,0.0036363636363636364,0.02,0.011742331764914772,0.06458282470703125
gait_00_trot__vx_neg_1p5__seed_0042,liftoff,fr,rl,30,30,0,1.0,0.005999999999999999,0.02,0.019374847412109375,0.06458282470703125
gait_00_trot__vx_neg_1p0__seed_0042,touchdown,fl,rr,24,24,0,1.0,0.010833333333333334,0.02,0.02822041511535645,0.052099227905273444
gait_00_trot__vx_neg_1p0__seed_0042,touchdown,fr,rl,24,24,0,1.0,0.0075,0.02,0.019537210464477543,0.052099227905273444
gait_00_trot__vx_neg_1p0__seed_0042,liftoff,fl,rr,24,16,8,0.6666666666666666,0.06875,0.36,0.17909109592437744,0.9377861022949219
gait_00_trot__vx_neg_1p0__seed_0042,liftoff,fr,rl,24,24,0,1.0,0.005,0.02,0.013024806976318361,0.052099227905273444
gait_00_trot__vx_neg_0p5__seed_0042,touchdown,fl,rr,19,19,0,1.0,0.008421052631578947,0.02,0.01769617984169408,0.04202842712402344
gait_00_trot__vx_neg_0p5__seed_0042,touchdown,fr,rl,19,7,12,0.3684210526315789,0.06571428571428571,0.3219999999999997,0.1380934034075056,0.6766576766967767
gait_00_trot__vx_neg_0p5__seed_0042,liftoff,fl,rr,19,17,2,0.8947368421052632,0.0023529411764705885,0.02,0.004944520838120405,0.04202842712402344
gait_00_trot__vx_neg_0p5__seed_0042,liftoff,fr,rl,19,19,0,1.0,0.003157894736842105,0.02,0.00663606744063528,0.04202842712402344
gait_00_trot__vx_pos_0p5__seed_0042,touchdown,fl,rr,19,19,0,1.0,0.004210526315789474,0.02,0.00884808992084704,0.04202842712402344
gait_00_trot__vx_pos_0p5__seed_0042,touchdown,fr,rl,19,10,9,0.5263157894736842,0.0,0.0,0.0,0.0
gait_00_trot__vx_pos_0p5__seed_0042,liftoff,fl,rr,19,11,8,0.5789473684210527,0.0,0.0,0.0,0.0
gait_00_trot__vx_pos_0p5__seed_0042,liftoff,fr,rl,19,19,0,1.0,0.005263157894736842,0.02,0.0110601124010588,0.04202842712402344
gait_00_trot__vx_pos_1p0__seed_0042,touchdown,fl,rr,24,24,0,1.0,0.004166666666666667,0.02,0.010854005813598635,0.052099227905273444
gait_00_trot__vx_pos_1p0__seed_0042,touchdown,fr,rl,24,24,0,1.0,0.011666666666666667,0.02,0.030391216278076175,0.052099227905273444
gait_00_trot__vx_pos_1p0__seed_0042,liftoff,fl,rr,24,10,14,0.4166666666666667,0.0,0.0,0.0,0.0
gait_00_trot__vx_pos_1p0__seed_0042,liftoff,fr,rl,24,24,0,1.0,0.005,0.02,0.013024806976318361,0.052099227905273444
gait_00_trot__vx_pos_1p5__seed_0042,touchdown,fl,rr,30,30,0,1.0,0.0033333333333333335,0.02,0.010763804117838541,0.06458282470703125
gait_00_trot__vx_pos_1p5__seed_0042,touchdown,fr,rl,30,30,0,1.0,0.008666666666666666,0.02,0.027985890706380207,0.06458282470703125
gait_00_trot__vx_pos_1p5__seed_0042,liftoff,fl,rr,30,9,21,0.3,0.0,0.0,0.0,0.0
gait_00_trot__vx_pos_1p5__seed_0042,liftoff,fr,rl,30,30,0,1.0,0.004,0.02,0.01291656494140625,0.06458282470703125
gait_01_bound__vx_neg_1p5__seed_0042,touchdown,fl,fr,30,30,0,1.0,0.0033333333333333335,0.02,0.010763804117838541,0.06458282470703125
gait_01_bound__vx_neg_1p5__seed_0042,touchdown,rl,rr,30,30,0,1.0,0.012000000000000002,0.02,0.03874969482421875,0.06458282470703125
gait_01_bound__vx_neg_1p5__seed_0042,liftoff,fl,fr,30,13,17,0.43333333333333335,0.0,0.0,0.0,0.0
gait_01_bound__vx_neg_1p5__seed_0042,liftoff,rl,rr,30,30,0,1.0,0.0033333333333333335,0.02,0.010763804117838541,0.06458282470703125
gait_01_bound__vx_neg_1p0__seed_0042,touchdown,fl,fr,24,24,0,1.0,0.0008333333333333334,0.0,0.002170801162719727,0.0
gait_01_bound__vx_neg_1p0__seed_0042,touchdown,rl,rr,24,24,0,1.0,0.009166666666666667,0.02,0.023878812789916996,0.052099227905273444
gait_01_bound__vx_neg_1p0__seed_0042,liftoff,fl,fr,24,24,0,1.0,0.004166666666666667,0.02,0.010854005813598635,0.052099227905273444
gait_01_bound__vx_neg_1p0__seed_0042,liftoff,rl,rr,24,24,0,1.0,0.0008333333333333334,0.0,0.002170801162719727,0.0
