cell_id,foot,contact_mean_force_n,vertical_impulse_ns,force_p95_n,force_p99_n,force_max_n,impact_event_count,impact_peak_mean_n,impact_peak_p95_n,impact_peak_max_n,impact_impulse_mean_ns,impact_impulse_p95_ns,impact_impulse_max_ns,agreement,agreement_boundary_excluded,false_swing_contact_fraction,missed_stance_contact_fraction,contact_precision,contact_recall,contact_f1,measured_duty_factor,commanded_duty_factor,sampled_desired_stance_fraction,desired_duty_factor,duty_factor_error,duty_factor_abs_error,touchdown_matched,touchdown_abs_error_mean_cycles,touchdown_abs_error_mean_s,touchdown_abs_error_median_cycles,touchdown_abs_error_median_s,touchdown_abs_error_p95_cycles,touchdown_abs_error_p95_s,touchdown_unmatched_expected,touchdown_unmatched_actual,touchdown_unmatched_fraction,touchdown_expected_unmatched_fraction,touchdown_actual_unmatched_fraction,touchdown_event_count,liftoff_matched,liftoff_abs_error_mean_cycles,liftoff_abs_error_mean_s,liftoff_abs_error_median_cycles,liftoff_abs_error_median_s,liftoff_abs_error_p95_cycles,liftoff_abs_error_p95_s,liftoff_unmatched_expected,liftoff_unmatched_actual,liftoff_unmatched_fraction,liftoff_expected_unmatched_fraction,liftoff_actual_unmatched_fraction,liftoff_event_count
gait_00_trot__vx_neg_1p5__seed_4242,fl,126.85864206848952,479.69906847953797,196.13617553710938,272.6130603027344,302.9423828125,31,203.6443368234942,275.12110900878906,302.9423828125,10.260148694438318,12.60885528564453,13.229676208496095,0.9625,0.9864253393665159,0.020689655172413793,0.0,0.9620253164556962,1.0,0.9806451612903226,0.39375,0.3562653958797455,0.35625,0.35625,0.037484604120254505,0.037484604120254505,31,0.01613104247277783,0.004995458946230208,0.016606003046035767,0.005142544669226225,0.03020763397216797,0.009354695806261075,0,0,0.0,0.0,0.0,31,30,0.03711694081624349,0.011494368970269737,0.036495208740234375,0.011301831069108093,0.06576185226440429,0.02036512108682811,0,0,0.0,0.0,0.0,30
gait_00_trot__vx_neg_1p5__seed_4242,fr,126.51626152005689,440.46617388248444,197.60960159301757,354.89333465576175,359.7795104980469,31,216.7943597608997,355.3072967529297,359.7795104980469,10.359066619873047,14.283803100585938,14.446757202148438,0.9645833333333333,0.995475113122172,0.0034482758620689655,0.006578947368421052,0.993421052631579,0.993421052631579,0.993421052631579,0.3625,0.3562653958797455,0.35625,0.35625,0.0062346041202545055,0.0062346041202545055,31,0.017824812281516292,0.005519985340491207,0.01662316918373108,0.005147860676314235,0.03857836127281189,0.0119469414500886,0,0,0.0,0.0,0.0,31,31,0.02165652859595514,0.006706590705561801,0.018787384033203125,0.005818074424099232,0.0500335693359375,0.015494388659184878,0,0,0.0,0.0,0.0,31
gait_00_trot__vx_neg_1p5__seed_4242,rl,107.69877661740716,402.89913119792936,138.8177749633789,227.27889373779294,233.45973205566406,31,146.2492914507466,227.9745864868164,233.45973205566406,7.510437043712985,9.471309051513671,10.160418243408204,0.9625,0.9886877828054299,0.017241379310344827,0.0,0.9681528662420382,1.0,0.9838187702265372,0.38958333333333334,0.3562653958797455,0.35625,0.35625,0.033317937453587854,0.033317937453587854,31,0.018956462221760905,0.005870434533563249,0.016713470220565796,0.005175825088600118,0.03755030035972595,0.011628571692262255,0,0,0.0,0.0,0.0,31,31,0.0375335447249874,0.011623382809671703,0.0375213623046875,0.011619610159480213,0.0656585693359375,0.020333136444181926,0,0,0.0,0.0,0.0,31
gait_00_trot__vx_neg_1p5__seed_4242,rr,102.70179352147619,367.7068713641167,142.7503890991211,150.24742797851562,162.83441162109375,31,140.47493571619833,150.37881469726562,162.83441162109375,7.3552523975987585,8.183839645385742,8.393323974609375,0.9416666666666667,0.9728506787330317,0.03103448275862069,0.019736842105263157,0.9430379746835443,0.9802631578947368,0.9612903225806452,0.3729166666666667,0.3562653958797455,0.35625,0.35625,0.01665127078692119,0.01665127078692119,31,0.0167276099804909,0.00518020388744927,0.016606003046035767,0.005142544669226225,0.034331947565078735,0.010631912655050207,0,0,0.0,0.0,0.0,31,21,0.017775671822684153,0.005504767530166231,0.012481689453125,0.0038653278204370937,0.047962188720703125,0.014852923803898405,9,10,0.475,0.3,0.3225806451612903,31
gait_00_trot__vx_neg_1p0__seed_4242,fl,107.26428734212428,465.6457227420807,158.95937805175782,179.2000329589844,214.09500122070312,25,160.97805541992187,181.66154174804686,214.09500122070312,8.852182720947265,9.786095703125,10.496805114746094,0.9625,0.9886363636363636,0.019157088122605363,0.0,0.9728260869565217,1.0,0.9862258953168044,0.45208333333333334,0.4139372706413269,0.41458333333333336,0.41458333333333336,0.03814606269200643,0.03814606269200643,25,0.013541052341461182,0.005198177741167856,0.014109909534454346,0.00541655226066264,0.02692538499832153,0.010336193483434009,0,0,0.0,0.0,0.0,25,24,0.03355177243550619,0.012879949966440906,0.03428459167480469,0.013161266703276588,0.057244014739990225,0.021974995423759833,0,0,0.0,0.0,0.0,24
gait_00_trot__vx_neg_1p0__seed_4242,fr,105.32286558431737,429.9938757419586,154.63208541870117,295.27124908447263,314.37738037109375,25,189.92553283691407,304.2667785644531,314.37738037109375,8.969497142028809,11.906975280761719,12.182718505859375,0.95625,0.9954648526077098,0.007662835249042145,0.0,0.989010989010989,1.0,0.994475138121547,0.425,0.4139372706413269,0.41458333333333336,0.41458333333333336,0.011062729358673085,0.011062729358673085,25,0.01322901487350464,0.005078391909207395,0.014002501964569092,0.005375320336811275,0.02480734586715698,0.009523114589053631,0,0,0.0,0.0,0.0,25,25,0.01702747344970703,0.006536555006406736,0.0149993896484375,0.005758008420281896,0.034775543212890614,0.013349734578070652,0,0,0.0,0.0,0.0,25
gait_00_trot__vx_neg_1p0__seed_4242,rl,94.43949924069781,406.0898467350006,115.46979446411133,177.92966400146466,189.61746215820312,25,126.15109191894531,186.71361999511717,189.61746215820312,6.491152012634278,8.073340270996093,8.21192138671875,0.9583333333333334,0.9795918367346939,0.034482758620689655,0.0,0.9523809523809523,1.0,0.975609756097561,0.4479166666666667,0.4139372706413269,0.41458333333333336,0.41458333333333336,0.03397939602533978,0.03397939602533978,25,0.018377487659454347,0.007054802306425041,0.01635676622390747,0.0062790820062236866,0.03710938692092895,0.01424565714808713,0,0,0.0,0.0,0.0,25,25,0.02478931427001953,0.009516192568185977,0.025482177734375,0.009782170968332417,0.048418045043945306,0.018586857038257364,0,0,0.0,0.0,0.0,25
gait_00_trot__vx_neg_1p0__seed_4242,rr,91.38972560312953,403.94258716583255,117.53103637695312,123.18302001953128,151.420654296875,25,115.71079528808593,120.71577758789063,124.54601287841797,6.085627883911132,6.775778167724609,7.2422573852539065,0.925,0.9568181818181818,0.07279693486590039,0.0,0.9040404040404041,1.0,0.9496021220159152,0.46041666666666664,0.4139372706413269,0.41458333333333336,0.41458333333333336,0.046479396025339736,0.046479396025339736,25,0.035423705577850344,0.013598552992861066,0.034350693225860596,0.013186641954969797,0.05878535509109497,0.02256668954786747,0,0,0.0,0.0,0.0,25,20,0.018436336517333986,0.007077393373604247,0.016859054565429688,0.006471901885410946,0.040918731689453126,0.015707999267801573,4,4,0.2857142857142857,0.16666666666666666,0.16666666666666666,24
gait_00_trot__vx_neg_0p5__seed_4242,fl,84.7162977610865,420.48213789463045,111.8498378753662,116.0394083404541,117.13442993164062,20,111.35414695739746,117.01701354980469,117.13442993164062,5.8793052492141715,6.4889641265869145,6.6081411743164065,0.9600840336134454,0.9862700228832952,0.02643171806167401,0.0,0.9722222222222222,1.0,0.9859154929577464,0.5210084033613446,0.48094502091407776,0.4810924369747899,0.4810924369747899,0.040063382447266815,0.040063382447266815,20,0.015045371651649476,0.007159616802813707,0.013164609670639038,0.006264621624687997,0.03424376845359802,0.01629552700249603,0,0,0.0,0.0,0.0,20,19,0.02717530099969161,0.012931866766985538,0.028619766235351562,0.013619242114817336,0.04608564376831054,0.021930701157249828,0,0,0.0,0.0,0.0,19
gait_00_trot__vx_neg_0p5__seed_4242,fr,84.11174161602352,405.54649018764496,120.72349548339844,140.9281646728515,176.0476531982422,19,126.79446451287521,153.5510177612304,176.0476531982422,6.557955539101048,7.69959292602539,8.346859588623047,0.9747899159663865,0.9931350114416476,0.013215859030837005,0.0,0.9859154929577465,1.0,0.9929078014184397,0.5063025210084033,0.48094502091407776,0.4810924369747899,0.4810924369747899,0.02535750009432558,0.02535750009432558,15,0.008378054698308308,0.003986851410634596,0.009564787149429321,0.004551579872929431,0.01421183943748474,0.00676296516904924,5,4,0.375,0.25,0.21052631578947367,19,20,0.02020745277404785,0.009616088041751758,0.018891334533691406,0.008989788972089857,0.037117528915405276,0.017663058770138417,0,0,0.0,0.0,0.0,20
gait_00_trot__vx_neg_0p5__seed_4242,rl,86.79649129737334,432.2465266609192,103.14284057617188,110.05751495361329,163.12416076660156,19,110.02952294600637,151.72156066894527,163.12416076660156,5.598697056017424,7.057161819458007,7.266636352539063,0.957983193277311,0.9816933638443935,0.03524229074889868,0.0,0.963302752293578,1.0,0.9813084112149533,0.523109243697479,0.48094502091407776,0.4810924369747899,0.4810924369747899,0.04216422278340126,0.04216422278340126,15,0.01270626982053121,0.006046512177596249,0.012510865926742554,0.005953525641025642,0.025217908620834346,0.012000405604719763,5,4,0.375,0.25,0.21052631578947367,19,20,0.026511621475219727,0.012616042659405493,0.02624988555908203,0.012491490810074881,0.04430446624755859,0.02108309507601543,0,0,0.0,0.0,0.0,20
gait_00_trot__vx_neg_0p5__seed_4242,rr,86.3720890255425,438.77021224975584,102.08160514831543,103.77582237243652,105.84980010986328,20,98.99017562866212,103.1989589691162,104.08363342285156,4.826814281463624,5.599723747253418,5.711239013671875,0.9432773109243697,0.965675057208238,0.06607929515418502,0.0,0.9333333333333333,1.0,0.9655172413793104,0.5336134453781513,0.48094502091407776,0.4810924369747899,0.4810924369747899,0.05266842446407349,0.05266842446407349,20,0.03246983885765076,0.015451369979577946,0.033524125814437866,0.015953071817562968,0.050269311666488646,0.023921576469253462,0,0,0.0,0.0,0.0,20,18,0.02018064922756619,0.009603333081209189,0.02060699462890625,0.009806217381438621,0.038988018035888666,0.018553165418652144,1,1,0.1,0.05263157894736842,0.05263157894736842,19
gait_00_trot__vx_pos_0p5__seed_4242,fl,87.33661667055446,431.44288635253906,99.83908767700194,109.75913818359368,142.80572509765625,20,103.88984413146973,126.17253494262697,142.80572509765625,5.46165481185913,6.407694725036621,6.5635400390625005,0.9621848739495799,0.9839816933638444,0.030837004405286344,0.0,0.967741935483871,1.0,0.9836065573770492,0.5189075630252101,0.48094502091407776,0.4810924369747899,0.4810924369747899,0.03796254211113237,0.03796254211113237,20,0.01623094081878662,0.0077237916950306336,0.01618918776512146,0.007703922736555481,0.03424376845359802,0.01629552700249603,0,0,0.0,0.0,0.0,20,19,0.022751306232653166,0.010826627494536206,0.022569656372070312,0.010740186067619697,0.04003639221191406,0.019052053551168596,0,0,0.0,0.0,0.0,19
