cell_id,planned_row,planned_family,classified_row,classified_family,classification_score_cycles,classification_margin_cycles,classification_domain_valid,classification_domain_reason
gait_00_trot__vx_neg_1p5__seed_4242,trot,trot,trot,trot,0.00901994901191631,0.1544298649722668,True,
gait_00_trot__vx_neg_1p0__seed_4242,trot,trot,trot,trot,0.018372892648792615,0.14198725717210603,True,
gait_00_trot__vx_neg_0p5__seed_4242,trot,trot,trot,trot,0.01410210629936029,0.14827579456726117,True,
gait_00_trot__vx_pos_0p5__seed_4242,trot,trot,trot,trot,0.008589826493156705,0.15413787448745436,True,
gait_00_trot__vx_pos_1p0__seed_4242,trot,trot,trot,trot,0.015300133925405265,0.14193073620753585,True,
gait_00_trot__vx_pos_1p5__seed_4242,trot,trot,trot,trot,0.012504818799257689,0.14053546613332665,True,
gait_01_bound__vx_neg_1p5__seed_4242,bound,bound,bound,bound,0.027435210220130957,0.08484604331513579,True,
gait_01_bound__vx_neg_1p0__seed_4242,bound,bound,bound,bound,0.007235334737975459,0.11685794160643696,True,
gait_01_bound__vx_neg_0p5__seed_4242,bound,bound,bound,bound,0.01207484766634597,0.11514182968761895,True,
gait_01_bound__vx_pos_0p5__seed_4242,bound,bound,bound,bound,0.010645580268767904,0.11298362245896601,True,
gait_01_bound__vx_pos_1p0__seed_4242,bound,bound,bound,bound,0.021963417383572815,0.10143841867829417,True,
gait_01_bound__vx_pos_1p5__seed_4242,bound,bound,bound,bound,0.0037248748359479758,0.1252524204698572,True,
gait_02_half_bound__vx_neg_1p5__seed_4242,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.05714439572841825,0.03210901346360193,True,
gait_02_half_bound__vx_neg_1p0__seed_4242,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.05359048032060528,0.042610039313763386,True,
gait_02_half_bound__vx_neg_0p5__seed_4242,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.049803257595402516,0.03180737261176538,True,
gait_02_half_bound__vx_pos_0p5__seed_4242,half_bound_front_a,half_bound,unclassified,unclassified,0.0653197576449762,0.00452001929530968,True,
gait_02_half_bound__vx_pos_1p0__seed_4242,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.05529942124573373,0.020095832109916716,True,
gait_02_half_bound__vx_pos_1p5__seed_4242,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.0372943135113347,0.057503881712818485,True,
gait_03_half_bound__vx_neg_1p5__seed_4242,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.05985934775817756,0.015834103958519787,True,
gait_03_half_bound__vx_neg_1p0__seed_4242,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.04871405334069179,0.03463113633069749,True,
