scope,family,velocity_mps,expected_cells,valid_cells,coverage_fraction,complete,tracking_success_cells,tracking_success_fraction,tracking_qualified_complete,torque_squared_valid_cells,torque_squared_coverage_fraction,torque_squared_complete,torque_squared_tracking_success_cells,torque_squared_tracking_qualified_complete,torque_squared_observed_mean_signed_imbalance_percent,torque_squared_observed_mean_abs_imbalance_percent,torque_squared_mean_signed_imbalance_percent,torque_squared_mean_abs_imbalance_percent,torque_squared_tracking_qualified_observed_mean_signed_imbalance_percent,torque_squared_tracking_qualified_observed_mean_abs_imbalance_percent,torque_squared_tracking_qualified_mean_signed_imbalance_percent,torque_squared_tracking_qualified_mean_abs_imbalance_percent,torque_squared_observed_mean_total_integral,torque_squared_mean_total_integral,torque_squared_tracking_qualified_observed_mean_total_integral,torque_squared_tracking_qualified_mean_total_integral,torque_squared_observed_mean_total_per_s,torque_squared_mean_total_per_s,torque_squared_tracking_qualified_observed_mean_total_per_s,torque_squared_tracking_qualified_mean_total_per_s,torque_squared_observed_mean_total_per_directed_m,torque_squared_mean_total_per_directed_m,torque_squared_tracking_qualified_observed_mean_total_per_directed_m,torque_squared_tracking_qualified_mean_total_per_directed_m,normalized_torque_utilization_valid_cells,normalized_torque_utilization_coverage_fraction,normalized_torque_utilization_complete,normalized_torque_utilization_tracking_success_cells,normalized_torque_utilization_tracking_qualified_complete,normalized_torque_utilization_observed_mean_signed_imbalance_percent,normalized_torque_utilization_observed_mean_abs_imbalance_percent,normalized_torque_utilization_mean_signed_imbalance_percent,normalized_torque_utilization_mean_abs_imbalance_percent,normalized_torque_utilization_tracking_qualified_observed_mean_signed_imbalance_percent,normalized_torque_utilization_tracking_qualified_observed_mean_abs_imbalance_percent,normalized_torque_utilization_tracking_qualified_mean_signed_imbalance_percent,normalized_torque_utilization_tracking_qualified_mean_abs_imbalance_percent,normalized_torque_utilization_observed_mean_total_integral,normalized_torque_utilization_mean_total_integral,normalized_torque_utilization_tracking_qualified_observed_mean_total_integral,normalized_torque_utilization_tracking_qualified_mean_total_integral,normalized_torque_utilization_observed_mean_total_per_s,normalized_torque_utilization_mean_total_per_s,normalized_torque_utilization_tracking_qualified_observed_mean_total_per_s,normalized_torque_utilization_tracking_qualified_mean_total_per_s,normalized_torque_utilization_observed_mean_total_per_directed_m,normalized_torque_utilization_mean_total_per_directed_m,normalized_torque_utilization_tracking_qualified_observed_mean_total_per_directed_m,normalized_torque_utilization_tracking_qualified_mean_total_per_directed_m,absolute_work_valid_cells,absolute_work_coverage_fraction,absolute_work_complete,absolute_work_tracking_success_cells,absolute_work_tracking_qualified_complete,absolute_work_observed_mean_signed_imbalance_percent,absolute_work_observed_mean_abs_imbalance_percent,absolute_work_mean_signed_imbalance_percent,absolute_work_mean_abs_imbalance_percent,absolute_work_tracking_qualified_observed_mean_signed_imbalance_percent,absolute_work_tracking_qualified_observed_mean_abs_imbalance_percent,absolute_work_tracking_qualified_mean_signed_imbalance_percent,absolute_work_tracking_qualified_mean_abs_imbalance_percent,absolute_work_observed_mean_total_integral,absolute_work_mean_total_integral,absolute_work_tracking_qualified_observed_mean_total_integral,absolute_work_tracking_qualified_mean_total_integral,absolute_work_observed_mean_total_per_s,absolute_work_mean_total_per_s,absolute_work_tracking_qualified_observed_mean_total_per_s,absolute_work_tracking_qualified_mean_total_per_s,absolute_work_observed_mean_total_per_directed_m,absolute_work_mean_total_per_directed_m,absolute_work_tracking_qualified_observed_mean_total_per_directed_m,absolute_work_tracking_qualified_mean_total_per_directed_m,vertical_grf_impulse_valid_cells,vertical_grf_impulse_coverage_fraction,vertical_grf_impulse_complete,vertical_grf_impulse_tracking_success_cells,vertical_grf_impulse_tracking_qualified_complete,vertical_grf_impulse_observed_mean_signed_imbalance_percent,vertical_grf_impulse_observed_mean_abs_imbalance_percent,vertical_grf_impulse_mean_signed_imbalance_percent,vertical_grf_impulse_mean_abs_imbalance_percent,vertical_grf_impulse_tracking_qualified_observed_mean_signed_imbalance_percent,vertical_grf_impulse_tracking_qualified_observed_mean_abs_imbalance_percent,vertical_grf_impulse_tracking_qualified_mean_signed_imbalance_percent,vertical_grf_impulse_tracking_qualified_mean_abs_imbalance_percent,vertical_grf_impulse_observed_mean_total_integral,vertical_grf_impulse_mean_total_integral,vertical_grf_impulse_tracking_qualified_observed_mean_total_integral,vertical_grf_impulse_tracking_qualified_mean_total_integral,vertical_grf_impulse_observed_mean_total_per_s,vertical_grf_impulse_mean_total_per_s,vertical_grf_impulse_tracking_qualified_observed_mean_total_per_s,vertical_grf_impulse_tracking_qualified_mean_total_per_s,vertical_grf_impulse_observed_mean_total_per_directed_m,vertical_grf_impulse_mean_total_per_directed_m,vertical_grf_impulse_tracking_qualified_observed_mean_total_per_directed_m,vertical_grf_impulse_tracking_qualified_mean_total_per_directed_m
family_velocity,trot,-1.5,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,8.020126506970575,8.020126506970575,8.020126506970575,8.020126506970575,8.020126506970575,8.020126506970575,8.020126506970575,8.020126506970575,2244.6655414922734,2244.6655414922734,2244.6655414922734,2244.6655414922734,233.8193272387785,233.8193272387785,233.8193272387785,233.8193272387785,156.6036904616695,156.6036904616695,156.6036904616695,156.6036904616695,1,1.0,True,1,True,32.136649724728066,32.136649724728066,32.136649724728066,32.136649724728066,32.136649724728066,32.136649724728066,32.136649724728066,32.136649724728066,3.8748437029564924,3.8748437029564924,3.8748437029564924,3.8748437029564924,0.4036295523913013,0.4036295523913013,0.4036295523913013,0.4036295523913013,0.2703364098696557,0.2703364098696557,0.2703364098696557,0.2703364098696557,1,1.0,True,1,True,16.98680550161493,16.98680550161493,16.98680550161493,16.98680550161493,16.98680550161493,16.98680550161493,16.98680550161493,16.98680550161493,865.4701115179544,865.4701115179544,865.4701115179544,865.4701115179544,90.15313661645358,90.15313661645358,90.15313661645358,90.15313661645358,60.38129553941426,60.38129553941426,60.38129553941426,60.38129553941426,1,1.0,True,1,True,4.20030804875833,4.20030804875833,4.20030804875833,4.20030804875833,4.20030804875833,4.20030804875833,4.20030804875833,4.20030804875833,1661.3473506530377,1661.3473506530377,1661.3473506530377,1661.3473506530377,173.05701569302474,173.05701569302474,173.05701569302474,173.05701569302474,115.90730175241056,115.90730175241056,115.90730175241056,115.90730175241056
family_velocity,trot,-1.0,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,3.7579836853210327,3.7579836853210327,3.7579836853210327,3.7579836853210327,3.7579836853210327,3.7579836853210327,3.7579836853210327,3.7579836853210327,1801.9639534473654,1801.9639534473654,1801.9639534473654,1801.9639534473654,187.70457848410058,187.70457848410058,187.70457848410058,187.70457848410058,191.77643850383672,191.77643850383672,191.77643850383672,191.77643850383672,1,1.0,True,1,True,28.217674043351614,28.217674043351614,28.217674043351614,28.217674043351614,28.217674043351614,28.217674043351614,28.217674043351614,28.217674043351614,2.8499588815837695,2.8499588815837695,2.8499588815837695,2.8499588815837695,0.29687071683164273,0.29687071683164273,0.29687071683164273,0.29687071683164273,0.3033107089333781,0.3033107089333781,0.3033107089333781,0.3033107089333781,1,1.0,True,1,True,9.362858868312003,9.362858868312003,9.362858868312003,9.362858868312003,9.362858868312003,9.362858868312003,9.362858868312003,9.362858868312003,482.9902669428704,482.9902669428704,482.9902669428704,482.9902669428704,50.31148613988234,50.31148613988234,50.31148613988234,50.31148613988234,51.40288908061481,51.40288908061481,51.40288908061481,51.40288908061481,1,1.0,True,1,True,2.385677952481592,2.385677952481592,2.385677952481592,2.385677952481592,2.385677952481592,2.385677952481592,2.385677952481592,2.385677952481592,1673.6604893434048,1673.6604893434048,1673.6604893434048,1673.6604893434048,174.33963430660467,174.33963430660467,174.33963430660467,174.33963430660467,178.12156968890338,178.12156968890338,178.12156968890338,178.12156968890338
family_velocity,trot,-0.5,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,0.7269267158219653,0.7269267158219653,0.7269267158219653,0.7269267158219653,0.7269267158219653,0.7269267158219653,0.7269267158219653,0.7269267158219653,1405.2777772461316,1405.2777772461316,1405.2777772461316,1405.2777772461316,147.61321189560206,147.61321189560206,147.61321189560206,147.61321189560206,304.0075333518167,304.0075333518167,304.0075333518167,304.0075333518167,1,1.0,True,1,True,16.78032508529703,16.78032508529703,16.78032508529703,16.78032508529703,16.78032508529703,16.78032508529703,16.78032508529703,16.78032508529703,1.9079642110481387,1.9079642110481387,1.9079642110481387,1.9079642110481387,0.200416408723544,0.200416408723544,0.200416408723544,0.200416408723544,0.41275504595323687,0.41275504595323687,0.41275504595323687,0.41275504595323687,1,1.0,True,1,True,-1.1731674795396982,1.1731674795396982,-1.1731674795396982,1.1731674795396982,-1.1731674795396982,1.1731674795396982,-1.1731674795396982,1.1731674795396982,220.96595211784808,220.96595211784808,220.96595211784808,220.96595211784808,23.21070925607648,23.21070925607648,23.21070925607648,23.21070925607648,47.802160644512206,47.802160644512206,47.802160644512206,47.802160644512206,1,1.0,True,1,True,-0.6752720360415886,0.6752720360415886,-0.6752720360415886,0.6752720360415886,-0.6752720360415886,0.6752720360415886,-0.6752720360415886,0.6752720360415886,1693.8636677914858,1693.8636677914858,1693.8636677914858,1693.8636677914858,177.9268558604502,177.9268558604502,177.9268558604502,177.9268558604502,366.43809773230237,366.43809773230237,366.43809773230237,366.43809773230237
family_velocity,trot,0.5,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,-5.699206555572804,5.699206555572804,-5.699206555572804,5.699206555572804,-5.699206555572804,5.699206555572804,-5.699206555572804,5.699206555572804,1211.97921555346,1211.97921555346,1211.97921555346,1211.97921555346,127.30874112956516,127.30874112956516,127.30874112956516,127.30874112956516,258.7902973981854,258.7902973981854,258.7902973981854,258.7902973981854,1,1.0,True,1,True,4.15585117465733,4.15585117465733,4.15585117465733,4.15585117465733,4.15585117465733,4.15585117465733,4.15585117465733,4.15585117465733,1.5752447002276315,1.5752447002276315,1.5752447002276315,1.5752447002276315,0.16546688027601172,0.16546688027601172,0.16546688027601172,0.16546688027601172,0.3363572899727193,0.3363572899727193,0.3363572899727193,0.3363572899727193,1,1.0,True,1,True,-9.666932300631059,9.666932300631059,-9.666932300631059,9.666932300631059,-9.666932300631059,9.666932300631059,-9.666932300631059,9.666932300631059,185.29952799730825,185.29952799730825,185.29952799730825,185.29952799730825,19.464236134171035,19.464236134171035,19.464236134171035,19.464236134171035,39.566454063544576,39.566454063544576,39.566454063544576,39.566454063544576,1,1.0,True,1,True,4.463032014528305,4.463032014528305,4.463032014528305,4.463032014528305,4.463032014528305,4.463032014528305,4.463032014528305,4.463032014528305,1691.8248855137826,1691.8248855137826,1691.8248855137826,1691.8248855137826,177.71269805817042,177.71269805817042,177.71269805817042,177.71269805817042,361.250308296603,361.250308296603,361.250308296603,361.250308296603
family_velocity,trot,1.0,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,-7.079252719460095,7.079252719460095,-7.079252719460095,7.079252719460095,-7.079252719460095,7.079252719460095,-7.079252719460095,7.079252719460095,1567.054764440012,1567.054764440012,1567.054764440012,1567.054764440012,163.2348712958346,163.2348712958346,163.2348712958346,163.2348712958346,165.54173312165975,165.54173312165975,165.54173312165975,165.54173312165975,1,1.0,True,1,True,-11.622197288699342,11.622197288699342,-11.622197288699342,11.622197288699342,-11.622197288699342,11.622197288699342,-11.622197288699342,11.622197288699342,2.0766053197812013,2.0766053197812013,2.0766053197812013,2.0766053197812013,0.2163130541438751,0.2163130541438751,0.2163130541438751,0.2163130541438751,0.21937002550710666,0.21937002550710666,0.21937002550710666,0.21937002550710666,1,1.0,True,1,True,-11.807680161040143,11.807680161040143,-11.807680161040143,11.807680161040143,-11.807680161040143,11.807680161040143,-11.807680161040143,11.807680161040143,437.39257609604726,437.39257609604726,437.39257609604726,437.39257609604726,45.56172667667159,45.56172667667159,45.56172667667159,45.56172667667159,46.20561242948117,46.20561242948117,46.20561242948117,46.20561242948117,1,1.0,True,1,True,0.8489383878143291,0.8489383878143291,0.8489383878143291,0.8489383878143291,0.8489383878143291,0.8489383878143291,0.8489383878143291,0.8489383878143291,1693.183683514595,1693.183683514595,1693.183683514595,1693.183683514595,176.37330036610365,176.37330036610365,176.37330036610365,176.37330036610365,178.86583661451334,178.86583661451334,178.86583661451334,178.86583661451334
family_velocity,trot,1.5,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,-2.3858798786090527,2.3858798786090527,-2.3858798786090527,2.3858798786090527,-2.3858798786090527,2.3858798786090527,-2.3858798786090527,2.3858798786090527,2127.4604319139894,2127.4604319139894,2127.4604319139894,2127.4604319139894,221.61046165770725,221.61046165770725,221.61046165770725,221.61046165770725,147.79835140033643,147.79835140033643,147.79835140033643,147.79835140033643,1,1.0,True,1,True,-5.122276888487765,5.122276888487765,-5.122276888487765,5.122276888487765,-5.122276888487765,5.122276888487765,-5.122276888487765,5.122276888487765,3.169537532156509,3.169537532156509,3.169537532156509,3.169537532156509,0.3301601595996364,0.3301601595996364,0.3301601595996364,0.3301601595996364,0.2201932477459876,0.2201932477459876,0.2201932477459876,0.2201932477459876,1,1.0,True,1,True,-8.765925682740836,8.765925682740836,-8.765925682740836,8.765925682740836,-8.765925682740836,8.765925682740836,-8.765925682740836,8.765925682740836,800.11347174379,800.11347174379,800.11347174379,800.11347174379,83.34515330664479,83.34515330664479,83.34515330664479,83.34515330664479,55.58526508083735,55.58526508083735,55.58526508083735,55.58526508083735,1,1.0,True,1,True,-2.129181624120286,2.129181624120286,-2.129181624120286,2.129181624120286,-2.129181624120286,2.129181624120286,-2.129181624120286,2.129181624120286,1646.875296268463,1646.875296268463,1646.875296268463,1646.875296268463,171.5495100279649,171.5495100279649,171.5495100279649,171.5495100279649,114.41127181455381,114.41127181455381,114.41127181455381,114.41127181455381
family,trot,,6,6,1.0,True,6,1.0,True,6,1.0,True,6,True,-0.44321704092139647,4.611562676959254,-0.44321704092139647,4.611562676959254,-0.44321704092139647,4.611562676959254,-0.44321704092139647,4.611562676959254,1726.4002806822052,1726.4002806822052,1726.4002806822052,1726.4002806822052,180.21519861693136,180.21519861693136,180.21519861693136,180.21519861693136,204.08634070625075,204.08634070625075,204.08634070625075,204.08634070625075,6,1.0,True,6,True,10.757670975141155,16.339162367536858,10.757670975141155,16.339162367536858,10.757670975141155,16.339162367536858,10.757670975141155,16.339162367536858,2.5756923912922907,2.5756923912922907,2.5756923912922907,2.5756923912922907,0.26880946199433525,0.26880946199433525,0.26880946199433525,0.26880946199433525,0.2937204546636807,0.2937204546636807,0.2937204546636807,0.2937204546636807,6,1.0,True,6,True,-0.8440068756708001,9.627228332313111,-0.8440068756708001,9.627228332313111,-0.8440068756708001,9.627228332313111,-0.8440068756708001,9.627228332313111,498.7053177359697,498.7053177359697,498.7053177359697,498.7053177359697,52.0077413549833,52.0077413549833,52.0077413549833,52.0077413549833,50.1572794730674,50.1572794730674,50.1572794730674,50.1572794730674,6,1.0,True,6,True,1.5155837905701137,2.4504016772907384,1.5155837905701137,2.4504016772907384,1.5155837905701137,2.4504016772907384,1.5155837905701137,2.4504016772907384,1676.7925621807947,1676.7925621807947,1676.7925621807947,1676.7925621807947,175.1598357187198,175.1598357187198,175.1598357187198,175.1598357187198,219.16573098321442,219.16573098321442,219.16573098321442,219.16573098321442
family_velocity,bound,-1.5,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,13.73512679970346,13.73512679970346,13.73512679970346,13.73512679970346,13.73512679970346,13.73512679970346,13.73512679970346,13.73512679970346,4318.76743477271,4318.76743477271,4318.76743477271,4318.76743477271,449.87160778882395,449.87160778882395,449.87160778882395,449.87160778882395,303.20544707098037,303.20544707098037,303.20544707098037,303.20544707098037,1,1.0,True,1,True,29.750523553496002,29.750523553496002,29.750523553496002,29.750523553496002,29.750523553496002,29.750523553496002,29.750523553496002,29.750523553496002,8.082747786336505,8.082747786336505,8.082747786336505,8.082747786336505,0.8419528944100524,0.8419528944100524,0.8419528944100524,0.8419528944100524,0.5674612474813928,0.5674612474813928,0.5674612474813928,0.5674612474813928,1,1.0,True,1,True,5.475819024852754,5.475819024852754,5.475819024852754,5.475819024852754,5.475819024852754,5.475819024852754,5.475819024852754,5.475819024852754,2347.501089578005,2347.501089578005,2347.501089578005,2347.501089578005,244.53136349770884,244.53136349770884,244.53136349770884,244.53136349770884,164.80978152104922,164.80978152104922,164.80978152104922,164.80978152104922,1,1.0,True,1,True,12.330232444016644,12.330232444016644,12.330232444016644,12.330232444016644,12.330232444016644,12.330232444016644,12.330232444016644,12.330232444016644,1601.3058197230102,1601.3058197230102,1601.3058197230102,1601.3058197230102,166.80268955448025,166.80268955448025,166.80268955448025,166.80268955448025,112.42204038524027,112.42204038524027,112.42204038524027,112.42204038524027
family_velocity,bound,-1.0,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,16.39882378789854,16.39882378789854,16.39882378789854,16.39882378789854,16.39882378789854,16.39882378789854,16.39882378789854,16.39882378789854,3508.097656929172,3508.097656929172,3508.097656929172,3508.097656929172,365.4268392634554,365.4268392634554,365.4268392634554,365.4268392634554,373.7123415776273,373.7123415776273,373.7123415776273,373.7123415776273,1,1.0,True,1,True,32.624969241153806,32.624969241153806,32.624969241153806,32.624969241153806,32.624969241153806,32.624969241153806,32.624969241153806,32.624969241153806,5.8247656570924775,5.8247656570924775,5.8247656570924775,5.8247656570924775,0.6067464226138,0.6067464226138,0.6067464226138,0.6067464226138,0.6205034824368135,0.6205034824368135,0.6205034824368135,0.6205034824368135,1,1.0,True,1,True,15.476345066831097,15.476345066831097,15.476345066831097,15.476345066831097,15.476345066831097,15.476345066831097,15.476345066831097,15.476345066831097,2016.228318926302,2016.228318926302,2016.228318926302,2016.228318926302,210.02378322148982,210.02378322148982,210.02378322148982,210.02378322148982,214.78575567381483,214.78575567381483,214.78575567381483,214.78575567381483,1,1.0,True,1,True,7.195272066981783,7.195272066981783,7.195272066981783,7.195272066981783,7.195272066981783,7.195272066981783,7.195272066981783,7.195272066981783,1588.4141379511357,1588.4141379511357,1588.4141379511357,1588.4141379511357,165.45980603657665,165.45980603657665,165.45980603657665,165.45980603657665,169.21135753340064,169.21135753340064,169.21135753340064,169.21135753340064
family_velocity,bound,-0.5,1,1,1.0,True,1,1.0,True,1,1.0,True,1,True,21.920405097587434,21.920405097587434,21.920405097587434,21.920405097587434,21.920405097587434,21.920405097587434,21.920405097587434,21.920405097587434,2421.621812146202,2421.621812146202,2421.621812146202,2421.621812146202,254.3720390909876,254.3720390909876,254.3720390909876,254.3720390909876,521.7787158313537,521.7787158313537,521.7787158313537,521.7787158313537,1,1.0,True,1,True,37.972468237854216,37.972468237854216,37.972468237854216,37.972468237854216,37.972468237854216,37.972468237854216,37.972468237854216,37.972468237854216,3.915163271463942,3.915163271463942,3.915163271463942,3.915163271463942,0.41125664616217883,0.41125664616217883,0.41125664616217883,0.41125664616217883,0.8435870761520888,0.8435870761520888,0.8435870761520888,0.8435870761520888,1,1.0,True,1,True,29.71463632330981,29.71463632330981,29.71463632330981,29.71463632330981,29.71463632330981,29.71463632330981,29.71463632330981,29.71463632330981,1263.386269722575,1263.386269722575,1263.386269722575,1263.386269722575,132.70864177758142,132.70864177758142,132.70864177758142,132.70864177758142,272.21759488141356,272.21759488141356,272.21759488141356,272.21759488141356,1,1.0,True,1,True,7.657533498254723,7.657533498254723,7.657533498254723,7.657533498254723,7.657533498254723,7.657533498254723,7.657533498254723,7.657533498254723,1602.5548825979233,1602.5548825979233,1602.5548825979233,1602.5548825979233,168.3355969115466,168.3355969115466,168.3355969115466,168.3355969115466,345.29711637761176,345.29711637761176,345.29711637761176,345.29711637761176
