cell_id,foot,contact_mean_force_n,vertical_impulse_ns,force_p95_n,force_p99_n,force_max_n,impact_event_count,impact_peak_mean_n,impact_peak_p95_n,impact_peak_max_n,impact_impulse_mean_ns,impact_impulse_p95_ns,impact_impulse_max_ns,agreement,agreement_boundary_excluded,false_swing_contact_fraction,missed_stance_contact_fraction,contact_precision,contact_recall,contact_f1,measured_duty_factor,commanded_duty_factor,sampled_desired_stance_fraction,desired_duty_factor,duty_factor_error,duty_factor_abs_error,touchdown_matched,touchdown_abs_error_mean_cycles,touchdown_abs_error_mean_s,touchdown_abs_error_median_cycles,touchdown_abs_error_median_s,touchdown_abs_error_p95_cycles,touchdown_abs_error_p95_s,touchdown_unmatched_expected,touchdown_unmatched_actual,touchdown_unmatched_fraction,touchdown_expected_unmatched_fraction,touchdown_actual_unmatched_fraction,touchdown_event_count,liftoff_matched,liftoff_abs_error_mean_cycles,liftoff_abs_error_mean_s,liftoff_abs_error_median_cycles,liftoff_abs_error_median_s,liftoff_abs_error_p95_cycles,liftoff_abs_error_p95_s,liftoff_unmatched_expected,liftoff_unmatched_actual,liftoff_unmatched_fraction,liftoff_expected_unmatched_fraction,liftoff_actual_unmatched_fraction,liftoff_event_count
gait_00_trot__vx_neg_1p5__seed_0042,fl,121.44435459668519,445.1213715469837,253.77353363037128,302.56506042480476,320.19921875,31,220.51871219758064,305.7662811279297,320.19921875,10.420882543748425,12.999415283203124,13.098552856445313,0.9541666666666667,0.9909502262443439,0.010344827586206896,0.006578947368421052,0.9805194805194806,0.993421052631579,0.9869281045751634,0.38125,0.3562653958797455,0.35625,0.35625,0.024984604120254494,0.024984604120254494,31,0.01674521065527393,0.005185654461921003,0.016606003046035767,0.005142544669226225,0.03442320227622986,0.0106601724010632,0,0,0.0,0.0,0.0,31,25,0.03160293579101563,0.009786792675723568,0.03128242492675781,0.009687536916715889,0.07253875732421874,0.02246379208505611,5,5,0.2857142857142857,0.16666666666666666,0.16666666666666666,30
gait_00_trot__vx_neg_1p5__seed_0042,fr,116.6434458176295,420.4431570231915,205.34213638305664,223.28160903930666,225.93463134765625,31,203.20143225885207,223.51654815673828,225.93463134765625,9.919705070372551,10.648814544677734,10.687764282226563,0.9354166666666667,0.9705882352941176,0.03793103448275862,0.013157894736842105,0.9316770186335404,0.9868421052631579,0.9584664536741214,0.375,0.3562653958797455,0.35625,0.35625,0.018734604120254517,0.018734604120254517,31,0.017793221819785335,0.005510202410780634,0.01662316918373108,0.005147860676314235,0.038485199213027954,0.011918091036621382,0,0,0.0,0.0,0.0,31,31,0.018017738096175656,0.005579730579425719,0.016635894775390625,0.005151801535735381,0.03856468200683594,0.011942705256940342,0,0,0.0,0.0,0.0,31
gait_00_trot__vx_neg_1p5__seed_0042,rl,101.19899839429713,406.8388142474741,145.71839904785156,240.95657348632812,258.5624084472656,31,155.34276630032448,243.28447723388672,258.5624084472656,7.67875624379804,10.035798645019533,10.1721337890625,0.9166666666666666,0.9524886877828054,0.07241379310344828,0.0,0.8786127167630058,1.0,0.9353846153846154,0.41875,0.3562653958797455,0.35625,0.35625,0.06248460412025453,0.06248460412025453,31,0.031878001266910184,0.00987197491330526,0.031185775995254517,0.009657606689308918,0.06347718834877014,0.01965760668930892,0,0,0.0,0.0,0.0,31,31,0.03543872217978201,0.010974658460834938,0.0312957763671875,0.009691671588895452,0.0718984603881836,0.02226550502067336,0,0,0.0,0.0,0.0,31
gait_00_trot__vx_neg_1p5__seed_0042,rr,99.18588678204283,388.9440078353882,143.63130569458008,202.92969665527363,244.2943115234375,31,147.49788099719632,210.09149169921875,244.2943115234375,7.438254259171026,9.200664138793947,10.108384704589843,0.93125,0.9592760180995475,0.06206896551724138,0.0,0.8941176470588236,1.0,0.9440993788819877,0.4083333333333333,0.3562653958797455,0.35625,0.35625,0.05206793745358784,0.05206793745358784,31,0.021703697981372956,0.006721198114151249,0.02077546715736389,0.006433743724158299,0.04693540930747986,0.014534950900767868,0,0,0.0,0.0,0.0,31,26,0.04289524371807392,0.013283792993775273,0.04274940490722656,0.013238629651506201,0.09325695037841797,0.028879799173065563,4,4,0.23529411764705882,0.13333333333333333,0.13333333333333333,30
gait_00_trot__vx_neg_1p0__seed_0042,fl,105.79159236068361,442.2678060150147,169.59974670410156,246.44477966308594,271.5013427734375,25,183.18109375,251.6997589111328,271.5013427734375,9.147801892089843,10.91940252685547,11.509453430175782,0.9791666666666666,0.9931818181818182,0.011494252873563218,0.0,0.9835164835164835,1.0,0.9916897506925207,0.4354166666666667,0.4139372706413269,0.41458333333333336,0.41458333333333336,0.02147939602533977,0.02147939602533977,25,0.01784623384475708,0.00685086307889438,0.016249358654022217,0.006237850082372323,0.03768795728683471,0.014467760388065163,0,0,0.0,0.0,0.0,25,24,0.03789329528808594,0.014546586124839831,0.038598060607910156,0.014817133443163096,0.08087444305419922,0.031046311550430167,0,0,0.0,0.0,0.0,24
gait_00_trot__vx_neg_1p0__seed_0042,fr,95.93169675491474,414.5265133035183,180.21075439453125,187.7551727294922,190.41201782226562,25,175.7916394042969,188.1644500732422,190.41201782226562,8.878336637878418,9.72628009033203,9.758406677246095,0.9645833333333333,0.9863945578231292,0.022988505747126436,0.0,0.967741935483871,1.0,0.9836065573770492,0.45,0.4139372706413269,0.41458333333333336,0.41458333333333336,0.03606272935867311,0.03606272935867311,25,0.014415061473846436,0.005533694856306059,0.014002501964569092,0.005375320336811275,0.029172241687774655,0.011198723228995056,0,0,0.0,0.0,0.0,25,25,0.02877544403076172,0.01104639941424126,0.028476715087890625,0.010931722496796631,0.05141258239746093,0.019736408566721576,0,0,0.0,0.0,0.0,25
gait_00_trot__vx_neg_1p0__seed_0042,rl,88.89554898291176,407.2330623912811,122.57490844726563,151.7859631347656,232.4759979248047,25,133.4510626220703,185.83815917968738,232.4759979248047,6.554298477172852,8.397595397949216,8.880400390625,0.9375,0.9727891156462585,0.04597701149425287,0.0,0.9375,1.0,0.967741935483871,0.47708333333333336,0.4139372706413269,0.41458333333333336,0.41458333333333336,0.06314606269200645,0.06314606269200645,25,0.0225622296333313,0.008661252974556105,0.02412480115890503,0.009261097382390627,0.044919693470001215,0.01724389987186527,0,0,0.0,0.0,0.0,25,25,0.04544742584228516,0.017446487278052352,0.04722023010253906,0.018127036426871683,0.07165336608886719,0.027506498261028738,0,0,0.0,0.0,0.0,25
gait_00_trot__vx_neg_1p0__seed_0042,rr,89.40592795376173,409.6331076335907,123.0415756225586,135.50662109375,144.12586975097656,25,123.53165618896485,141.0647979736328,144.12586975097656,6.306241873168946,7.288579223632812,7.351452331542969,0.9375,0.9704545454545455,0.04980842911877394,0.0,0.9322916666666666,1.0,0.9649595687331537,0.47708333333333336,0.4139372706413269,0.41458333333333336,0.41458333333333336,0.06314606269200645,0.06314606269200645,25,0.016847984790802004,0.006467652388797364,0.015607178211212158,0.005991328024894747,0.0375595211982727,0.014418455976569648,0,0,0.0,0.0,0.0,25,24,0.05308890342712402,0.020379919458173162,0.0517120361328125,0.019851363719568003,0.08783006668090819,0.03371645615961925,0,1,0.04,0.0,0.04,25
gait_00_trot__vx_neg_0p5__seed_0042,fl,94.42677031426763,459.0238606584072,142.97736206054685,151.01420745849606,159.6917266845703,20,144.25037078857423,153.3432403564453,159.6917266845703,7.803904495239257,8.337807174682617,8.544996643066407,0.9663865546218487,0.9862700228832952,0.02643171806167401,0.0,0.9722222222222222,1.0,0.9859154929577464,0.5105042016806722,0.48094502091407776,0.4810924369747899,0.4810924369747899,0.029559180766594473,0.029559180766594473,20,0.0242678701877594,0.011548312343998186,0.024529844522476196,0.011672977649194465,0.04127684235572815,0.019642344565464036,0,0,0.0,0.0,0.0,20,19,0.05371896844161184,0.025563159089009115,0.054622650146484375,0.025993192648059906,0.07208747863769531,0.03430415248468346,0,1,0.05,0.0,0.05,20
gait_00_trot__vx_neg_0p5__seed_0042,fr,74.93333388496848,382.1888793987036,125.05180740356444,128.80553436279297,133.33473205566406,19,126.01036915026214,133.1231216430664,133.33473205566406,5.9234660881444015,6.97313330078125,7.0050038146972655,0.9453781512605042,0.9862700228832952,0.02643171806167401,0.0,0.9722222222222222,1.0,0.9859154929577464,0.5357142857142857,0.48094502091407776,0.4810924369747899,0.4810924369747899,0.05476926480020794,0.05476926480020794,13,0.009717485079398522,0.0046242439912028074,0.010875135660171509,0.005175133310642161,0.017024415731430046,0.008101381325164508,7,6,0.5,0.35,0.3157894736842105,19,20,0.04332284927368164,0.020615974585886092,0.04358482360839844,0.02074063989108237,0.06033182144165039,0.028710006807351942,0,0,0.0,0.0,0.0,20
