cell_id,planned_row,planned_family,classified_row,classified_family,classification_score_cycles,classification_margin_cycles,classification_domain_valid,classification_domain_reason
gait_00_trot__vx_neg_1p5__seed_0042,trot,trot,trot,trot,0.019435775229472724,0.14474049039735115,True,
gait_00_trot__vx_neg_1p0__seed_0042,trot,trot,trot,trot,0.01708633888105701,0.143966673748332,True,
gait_00_trot__vx_neg_0p5__seed_0042,trot,trot,trot,trot,0.018048915935699888,0.135875567671701,True,
gait_00_trot__vx_pos_0p5__seed_0042,trot,trot,trot,trot,0.03907387896469505,0.11926898589112142,True,
gait_00_trot__vx_pos_1p0__seed_0042,trot,trot,trot,trot,0.0237172431319523,0.13424804605323176,True,
gait_00_trot__vx_pos_1p5__seed_0042,trot,trot,trot,trot,0.02223146591595937,0.13846024452558173,True,
gait_01_bound__vx_neg_1p5__seed_0042,bound,bound,bound,bound,0.020491045247220802,0.0945415785256166,True,
gait_01_bound__vx_neg_1p0__seed_0042,bound,bound,bound,bound,0.013480798649145817,0.10646574208599116,True,
gait_01_bound__vx_neg_0p5__seed_0042,bound,bound,bound,bound,0.0033949333288141683,0.12398244585539488,True,
gait_01_bound__vx_pos_0p5__seed_0042,bound,bound,bound,bound,0.008084133265096957,0.11530629948479074,True,
gait_01_bound__vx_pos_1p0__seed_0042,bound,bound,bound,bound,0.017788034324508612,0.10284585061850264,True,
gait_01_bound__vx_pos_1p5__seed_0042,bound,bound,bound,bound,0.019072777737167868,0.10988496764859035,True,
gait_02_half_bound__vx_neg_1p5__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.05155626923085153,0.032500445409934374,True,
gait_02_half_bound__vx_neg_1p0__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.04248954584253913,0.05440705811709814,True,
gait_02_half_bound__vx_neg_0p5__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.030637330024298953,0.08806030155794843,True,
gait_02_half_bound__vx_pos_0p5__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.045332983343884824,0.07165033016323347,True,
gait_02_half_bound__vx_pos_1p0__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.03817668912718362,0.07277518627709462,True,
gait_02_half_bound__vx_pos_1p5__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.037330496990007504,0.06754752297739691,True,
gait_03_half_bound__vx_neg_1p5__seed_0042,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.04562592226056781,0.045000575974442604,True,
gait_03_half_bound__vx_neg_1p0__seed_0042,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.04004959308986428,0.06172389781516713,True,
gait_03_half_bound__vx_neg_0p5__seed_0042,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.03344291409396227,0.08423172117754822,True,
gait_03_half_bound__vx_pos_0p5__seed_0042,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.036187674372128144,0.05906734902518985,True,
gait_03_half_bound__vx_pos_1p0__seed_0042,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.049710362764869766,0.03669285074427476,True,
gait_03_half_bound__vx_pos_1p5__seed_0042,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.035594572778388844,0.06367212738747409,True,
gait_04_half_bound__vx_neg_1p5__seed_0042,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.03209686499726385,0.07414035292204582,True,
gait_04_half_bound__vx_neg_1p0__seed_0042,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.04052309893112412,0.05520388323076724,True,
gait_04_half_bound__vx_neg_0p5__seed_0042,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.03736966693917962,0.06582066480040835,True,
gait_04_half_bound__vx_pos_0p5__seed_0042,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.041570364504076036,0.06511827299286477,True,
gait_04_half_bound__vx_pos_1p0__seed_0042,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.049605076022618544,0.04644533979242242,True,
gait_04_half_bound__vx_pos_1p5__seed_0042,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.05621704800646182,0.028686016369668,True,
gait_05_half_bound__vx_neg_1p5__seed_0042,half_bound_hind_b,half_bound,half_bound_hind_b,half_bound,0.024125880714786746,0.0959588648052748,True,
gait_05_half_bound__vx_neg_1p0__seed_0042,half_bound_hind_b,half_bound,half_bound_hind_b,half_bound,0.03257000824209035,0.07356671245887553,True,
gait_05_half_bound__vx_neg_0p5__seed_0042,half_bound_hind_b,half_bound,half_bound_hind_b,half_bound,0.047577495545812316,0.05875603241674252,True,
gait_05_half_bound__vx_pos_0p5__seed_0042,half_bound_hind_b,half_bound,half_bound_hind_b,half_bound,0.03393467728554703,0.08606854945224522,True,
gait_05_half_bound__vx_pos_1p0__seed_0042,half_bound_hind_b,half_bound,half_bound_hind_b,half_bound,0.028417814087600284,0.08799766953837318,True,
gait_05_half_bound__vx_pos_1p5__seed_0042,half_bound_hind_b,half_bound,half_bound_hind_b,half_bound,0.05089563433025766,0.04806751414573853,True,
gait_06_gallop__vx_neg_1p5__seed_0042,gallop_a,gallop,gallop_a,gallop,0.06152450711923979,0.01791749622703176,True,
gait_06_gallop__vx_neg_1p0__seed_0042,gallop_a,gallop,gallop_a,gallop,0.06154541834913942,0.020045527286290936,True,
gait_06_gallop__vx_neg_0p5__seed_0042,gallop_a,gallop,gallop_a,gallop,0.06344755202614952,0.03579273993434477,True,
gait_06_gallop__vx_pos_0p5__seed_0042,gallop_a,gallop,gallop_a,gallop,0.06165252069277502,0.01920020684547273,True,
gait_06_gallop__vx_pos_1p0__seed_0042,gallop_a,gallop,gallop_a,gallop,0.050822957116796,0.04848806601652667,True,
gait_06_gallop__vx_pos_1p5__seed_0042,gallop_a,gallop,gallop_a,gallop,0.05943034238588394,0.028332853596782955,True,
gait_07_gallop__vx_neg_1p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.02670896443876089,0.08209622324242778,True,
gait_07_gallop__vx_neg_1p0__seed_0042,gallop_b,gallop,gallop_b,gallop,0.023175241959584075,0.09071377857565954,True,
gait_07_gallop__vx_neg_0p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.018130690810906725,0.11150673776252638,True,
gait_07_gallop__vx_pos_0p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.03152350106372651,0.11316155715064674,True,
gait_07_gallop__vx_pos_1p0__seed_0042,gallop_b,gallop,gallop_b,gallop,0.02118107089508836,0.09268346513071579,True,
gait_07_gallop__vx_pos_1p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.032653770865428276,0.07220965239036314,True,
gait_08_gallop__vx_neg_1p5__seed_0042,gallop_c,gallop,gallop_c,gallop,0.0592005869482353,0.029190400402202978,True,
gait_08_gallop__vx_neg_1p0__seed_0042,gallop_c,gallop,gallop_c,gallop,0.05326327325142494,0.038745248685103574,True,
gait_08_gallop__vx_neg_0p5__seed_0042,gallop_c,gallop,gallop_c,gallop,0.04348444379955122,0.05890711868026733,True,
gait_08_gallop__vx_pos_0p5__seed_0042,gallop_c,gallop,gallop_c,gallop,0.04309646631448152,0.050708211890467,True,
gait_08_gallop__vx_pos_1p0__seed_0042,gallop_c,gallop,gallop_c,gallop,0.05190850973542916,0.04683815311072497,True,
gait_08_gallop__vx_pos_1p5__seed_0042,gallop_c,gallop,gallop_c,gallop,0.07215521159362524,0.021789504845107055,True,
gait_09_gallop__vx_neg_1p5__seed_0042,gallop_d,gallop,gallop_d,gallop,0.017410990569779572,0.10196079737506535,True,
gait_09_gallop__vx_neg_1p0__seed_0042,gallop_d,gallop,gallop_d,gallop,0.005434575029776123,0.12657670434376272,True,
gait_09_gallop__vx_neg_0p5__seed_0042,gallop_d,gallop,gallop_d,gallop,0.026163358785973607,0.11178571515712522,True,
gait_09_gallop__vx_pos_0p5__seed_0042,gallop_d,gallop,gallop_d,gallop,0.02165808707902127,0.12155044315089748,True,
gait_09_gallop__vx_pos_1p0__seed_0042,gallop_d,gallop,gallop_d,gallop,0.010750282699556394,0.10935862489937684,True,
gait_09_gallop__vx_pos_1p5__seed_0042,gallop_d,gallop,gallop_d,gallop,0.014643959047807076,0.10541937708746119,True,
