cell_id,event,first_foot,second_foot,eligible_complete_cycles,matched_complete_cycles,unmatched_complete_cycles,coverage_fraction,mean_s,p95_s,mean_cycles,p95_cycles
gait_00_trot__vx_neg_1p5__seed_0042,touchdown,fl,rr,30,30,0,1.0,0.007999999999999998,0.02,0.0258331298828125,0.06458282470703125
gait_00_trot__vx_neg_1p5__seed_0042,touchdown,fr,rl,30,30,0,1.0,0.006666666666666666,0.02,0.021527608235677082,0.06458282470703125
gait_00_trot__vx_neg_1p5__seed_0042,liftoff,fl,rr,30,18,12,0.6,0.007777777777777777,0.02,0.025115542941623263,0.06458282470703125
gait_00_trot__vx_neg_1p5__seed_0042,liftoff,fr,rl,30,30,0,1.0,0.006666666666666666,0.02,0.021527608235677082,0.06458282470703125
gait_00_trot__vx_neg_1p0__seed_0042,touchdown,fl,rr,24,24,0,1.0,0.01,0.02,0.026049613952636722,0.052099227905273444
gait_00_trot__vx_neg_1p0__seed_0042,touchdown,fr,rl,24,24,0,1.0,0.0075,0.02,0.019537210464477543,0.052099227905273444
gait_00_trot__vx_neg_1p0__seed_0042,liftoff,fl,rr,24,24,0,1.0,0.009166666666666668,0.02,0.023878812789916996,0.052099227905273444
gait_00_trot__vx_neg_1p0__seed_0042,liftoff,fr,rl,24,24,0,1.0,0.006666666666666667,0.02,0.017366409301757816,0.052099227905273444
gait_00_trot__vx_neg_0p5__seed_0042,touchdown,fl,rr,19,19,0,1.0,0.01263157894736842,0.02,0.02654426976254112,0.04202842712402344
gait_00_trot__vx_neg_0p5__seed_0042,touchdown,fr,rl,19,6,13,0.3157894736842105,0.0,0.0,0.0,0.0
gait_00_trot__vx_neg_0p5__seed_0042,liftoff,fl,rr,19,19,0,1.0,0.004210526315789474,0.02,0.00884808992084704,0.04202842712402344
gait_00_trot__vx_neg_0p5__seed_0042,liftoff,fr,rl,19,19,0,1.0,0.00631578947368421,0.02,0.01327213488127056,0.04202842712402344
gait_00_trot__vx_pos_0p5__seed_0042,touchdown,fl,rr,19,19,0,1.0,0.004210526315789474,0.02,0.00884808992084704,0.04202842712402344
gait_00_trot__vx_pos_0p5__seed_0042,touchdown,fr,rl,19,17,2,0.8947368421052632,0.4470588235294118,0.46,0.9394589592428768,0.9666538238525391
gait_00_trot__vx_pos_0p5__seed_0042,liftoff,fl,rr,19,19,0,1.0,0.00736842105263158,0.02,0.01548415736148232,0.04202842712402344
gait_00_trot__vx_pos_0p5__seed_0042,liftoff,fr,rl,19,19,0,1.0,0.002105263157894737,0.02,0.00442404496042352,0.04202842712402344
gait_00_trot__vx_pos_1p0__seed_0042,touchdown,fl,rr,24,24,0,1.0,0.0008333333333333334,0.0,0.002170801162719727,0.0
gait_00_trot__vx_pos_1p0__seed_0042,touchdown,fr,rl,24,24,0,1.0,0.012500000000000002,0.02,0.032562017440795905,0.052099227905273444
gait_00_trot__vx_pos_1p0__seed_0042,liftoff,fl,rr,24,16,8,0.6666666666666666,0.037500000000000006,0.105,0.0976860523223877,0.27352094650268555
gait_00_trot__vx_pos_1p0__seed_0042,liftoff,fr,rl,24,24,0,1.0,0.004166666666666667,0.02,0.010854005813598635,0.052099227905273444
gait_00_trot__vx_pos_1p5__seed_0042,touchdown,fl,rr,30,30,0,1.0,0.004,0.02,0.01291656494140625,0.06458282470703125
gait_00_trot__vx_pos_1p5__seed_0042,touchdown,fr,rl,30,30,0,1.0,0.005333333333333333,0.02,0.017222086588541668,0.06458282470703125
gait_00_trot__vx_pos_1p5__seed_0042,liftoff,fl,rr,30,13,17,0.43333333333333335,0.0015384615384615385,0.007999999999999972,0.004967909592848558,0.02583312988281241
gait_00_trot__vx_pos_1p5__seed_0042,liftoff,fr,rl,30,30,0,1.0,0.012666666666666668,0.02,0.04090245564778646,0.06458282470703125
gait_01_bound__vx_neg_1p5__seed_0042,touchdown,fl,fr,30,30,0,1.0,0.0033333333333333335,0.02,0.010763804117838541,0.06458282470703125
gait_01_bound__vx_neg_1p5__seed_0042,touchdown,rl,rr,30,30,0,1.0,0.012666666666666668,0.02,0.04090245564778646,0.06458282470703125
gait_01_bound__vx_neg_1p5__seed_0042,liftoff,fl,fr,30,14,16,0.4666666666666667,0.14428571428571432,0.3,0.465918949672154,0.9687423706054688
gait_01_bound__vx_neg_1p5__seed_0042,liftoff,rl,rr,30,30,0,1.0,0.004,0.02,0.01291656494140625,0.06458282470703125
gait_01_bound__vx_neg_1p0__seed_0042,touchdown,fl,fr,24,24,0,1.0,0.0033333333333333335,0.02,0.008683204650878908,0.052099227905273444
gait_01_bound__vx_neg_1p0__seed_0042,touchdown,rl,rr,24,24,0,1.0,0.009166666666666667,0.02,0.023878812789916996,0.052099227905273444
gait_01_bound__vx_neg_1p0__seed_0042,liftoff,fl,fr,24,16,8,0.6666666666666666,0.024999999999999998,0.105,0.0651240348815918,0.27352094650268555
gait_01_bound__vx_neg_1p0__seed_0042,liftoff,rl,rr,24,24,0,1.0,0.005833333333333334,0.02,0.015195608139038088,0.052099227905273444
gait_01_bound__vx_neg_0p5__seed_0042,touchdown,fl,fr,19,19,0,1.0,0.0010526315789473684,0.0019999999999999575,0.00221202248021176,0.004202842712402254
gait_01_bound__vx_neg_0p5__seed_0042,touchdown,rl,rr,19,11,8,0.5789473684210527,0.01090909090909091,0.02,0.022924596613103695,0.04202842712402344
gait_01_bound__vx_neg_0p5__seed_0042,liftoff,fl,fr,19,19,0,1.0,0.005263157894736842,0.02,0.0110601124010588,0.04202842712402344
