scope,stratum,planned_cells,terminated_cells,velocity_valid_cells,velocity_vx_relative_rmse_mean,velocity_yaw_rmse_radps_mean,heading_valid_cells,heading_rmse_rad_mean,gait_valid_cells,gait_agreement_boundary_excluded_mean,gait_duty_factor_abs_error_mean,classification_valid_cells,classification_unclassified_cells,classification_row_accuracy,classification_family_accuracy,raw_load_valid_cells,absolute_work_total_j_mean,grf_load_valid_cells,vertical_grf_impulse_total_ns_mean,normalized_load_valid_cells,normalized_torque_squared_total_s_mean,velocity_success_domain_cells,velocity_success_cells,gait_success_domain_cells,gait_success_cells,joint_success_domain_cells,joint_success_cells
row,bound,6,0,6,0.04476147512666273,0.022443935415748767,6,0.008370491898253419,6,0.9790072209471409,0.04578778065887152,6,0,1.0,1.0,6,2046.190074883618,6,1596.7320511752368,6,5.661216130511174,6,6,6,6,6,6
row,gallop_a,6,0,6,0.04004847525919817,0.036154853530451864,6,0.015479599213071819,6,0.8820957503245531,0.08623625171396022,6,0,1.0,1.0,6,1286.3111663675797,6,1607.2893092523516,6,5.172551139993082,6,5,6,6,6,5
row,gallop_b,6,0,6,0.034224029119164834,0.033112079294335406,6,0.029671821725609924,6,0.9737196113676635,0.041807383386527786,6,0,1.0,1.0,6,1023.0951568039596,6,1637.8761099227888,6,3.8910013385217965,6,6,6,6,6,6
row,gallop_c,6,0,6,0.039149460322729306,0.042262822550249025,6,0.01809624816636583,6,0.9067657875708112,0.06879282791991861,6,0,1.0,1.0,6,1386.4914754102326,6,1618.8565946666895,6,5.47015274092292,6,5,6,6,6,5
row,gallop_d,6,0,6,0.03519863231160636,0.03712530810739959,6,0.030104450518283102,6,0.9637940815324813,0.044486070937024,6,0,1.0,1.0,6,990.1891419553164,6,1641.2157902713118,6,4.038085470672717,6,5,6,6,6,5
row,half_bound_front_a,6,0,6,0.037462587448721225,0.03122064673789009,6,0.016159188555323983,6,0.9378044429201248,0.061908315190302786,6,0,1.0,1.0,6,1527.6035872568484,6,1612.977960524354,6,5.004680297558502,6,6,6,6,6,6
row,half_bound_front_b,6,0,6,0.04577931138214842,0.03413176675304764,6,0.01696476349282792,6,0.9182241416123902,0.07662210546426967,6,0,1.0,1.0,6,1446.9936561454906,6,1612.793328224023,6,4.912211153672449,6,6,6,6,6,6
row,half_bound_hind_a,6,0,6,0.043541888780292366,0.030533528912597942,6,0.01624565936843509,6,0.9404706978011612,0.0665780759436521,6,0,1.0,1.0,6,1392.0454404572795,6,1612.8750939464198,6,4.7547140398791585,6,6,6,6,6,6
row,half_bound_hind_b,6,0,6,0.04610856524785629,0.03817798264647306,6,0.01175418894612062,6,0.9469595327043403,0.057556133833474694,6,0,1.0,1.0,6,1520.4814771303797,6,1606.6758866571138,6,5.044023007431226,6,6,6,6,6,6
row,trot,6,0,6,0.033301700692412416,0.023274729362382406,6,0.009241760659759938,6,0.9765200950460091,0.04232997167872893,6,0,1.0,1.0,6,498.7053177359697,6,1676.7925621807947,6,2.5756923912922907,6,6,6,6,6,6
family,bound,6,0,6,0.04476147512666273,0.022443935415748767,6,0.008370491898253419,6,0.9790072209471409,0.04578778065887152,6,0,1.0,1.0,6,2046.190074883618,6,1596.7320511752368,6,5.661216130511174,6,6,6,6,6,6
family,gallop,24,0,24,0.03715514925317467,0.03716376587060897,24,0.02333802990583267,24,0.9315938076988771,0.06033063348935766,24,0,1.0,1.0,24,1171.5217351342721,24,1626.3094510282856,24,4.642947672527629,24,21,24,24,24,21
family,half_bound,24,0,24,0.043223088214754575,0.03351598126250218,24,0.015280950090676903,24,0.9358647037595041,0.06566615760792481,24,0,1.0,1.0,24,1471.7810402474997,24,1611.3305673379775,24,4.928907124635334,24,24,24,24,24,24
family,trot,6,0,6,0.033301700692412416,0.023274729362382406,6,0.009241760659759938,6,0.9765200950460091,0.04232997167872893,6,0,1.0,1.0,6,498.7053177359697,6,1676.7925621807947,6,2.5756923912922907,6,6,6,6,6,6
velocity,+0.5 m/s,10,0,10,0.06838645548271799,0.02908282379971285,10,0.025373736306199997,10,0.9409776800068235,0.06588160617261374,10,0,1.0,1.0,10,833.8507598357548,10,1628.7810113896244,10,2.8885160956474643,10,10,10,10,10,10
