cell_id,joint_index,joint_name,leg,motor_role,configured_effort_limit_nm,effort_limit_source,normalized_torque_squared_exposure,absolute_work_j,utilization_p95,utilization_p99,saturation_fraction,soft_limit_utilization_p95,soft_limit_utilization_p99,action_clamp_fraction
gait_00_trot__vx_neg_1p5__seed_0042,0,joint_front_left_abad,fl,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.07767691809112587,6.222206014306358,0.18885107952005717,0.23608993404051828,0.0,0.3444674700498581,0.3482223641872406,0.0
gait_00_trot__vx_neg_1p5__seed_0042,1,joint_front_left_thigh_pitch,fl,thigh,17.0,robot.actuators['thigh_legs'].effort_limit,0.9122816982835532,150.30239685624838,0.5323138966279871,0.573427354588228,0.0,0.28318099975585936,0.2849164223670959,0.0
gait_00_trot__vx_neg_1p5__seed_0042,2,joint_front_left_calf_pitch,fl,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.33194976099707574,161.68121158652008,0.3987022902514482,0.4330493143442515,0.0,0.5584983825683594,0.5636284232139588,0.0
gait_00_trot__vx_neg_1p5__seed_0042,3,joint_front_right_abad,fr,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.052584992076730896,4.360196350439365,0.1472223828820621,0.16664644648047053,0.0,0.2751470863819122,0.2820726490020751,0.0
gait_00_trot__vx_neg_1p5__seed_0042,4,joint_front_right_thigh_pitch,fr,thigh,17.0,robot.actuators['thigh_legs'].effort_limit,0.9163290775837729,100.82753782328685,0.5831277118009679,0.6249182616963106,0.0,0.2728291451931,0.2760721158981323,0.0
gait_00_trot__vx_neg_1p5__seed_0042,5,joint_front_right_calf_pitch,fr,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.15070855766408184,107.69554915588233,0.21989226598997375,0.23466929925454624,0.0,0.5258658558130265,0.5314754235744477,0.0
gait_00_trot__vx_neg_1p5__seed_0042,6,joint_rear_left_abad,rl,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.07800522780754955,5.205496489878569,0.19665278056088614,0.2161531717637004,0.0,0.41638350784778594,0.43858775854110715,0.0
gait_00_trot__vx_neg_1p5__seed_0042,7,joint_rear_left_thigh_pitch,rl,thigh,20.0,robot.actuators['thigh_legs'].effort_limit,0.39638951925029814,64.73500654743984,0.37058803558349607,0.3969877686500549,0.0,0.2851002275943756,0.2934736216068267,0.0
gait_00_trot__vx_neg_1p5__seed_0042,8,joint_rear_left_calf_pitch,rl,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.1588192471205929,81.84385936867446,0.2970911567275587,0.34581900003793964,0.0,0.5918433964252472,0.6014891362190246,0.0
gait_00_trot__vx_neg_1p5__seed_0042,9,joint_rear_right_abad,rr,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.03359490675607557,3.869010392262717,0.09722550756791057,0.12213341642828529,0.0,0.4147168278694152,0.4336963903903961,0.0
gait_00_trot__vx_neg_1p5__seed_0042,10,joint_rear_right_thigh_pitch,rr,thigh,20.0,robot.actuators['thigh_legs'].effort_limit,0.4007471216199475,73.7470160303358,0.5215565824508667,0.5900087194442749,0.0,0.2788030803203582,0.2891595214605331,0.0
gait_00_trot__vx_neg_1p5__seed_0042,11,joint_rear_right_calf_pitch,rr,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.5268657951993879,185.89586987940595,0.5065194490793589,0.6643497147431235,0.0,0.5774365901947022,0.581351238489151,0.0
gait_00_trot__vx_neg_1p0__seed_0042,0,joint_front_left_abad,fl,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.04036649072328511,4.170797646684223,0.13354361898758826,0.14171769647037283,0.0,0.33268990516662594,0.33610279500484463,0.0
gait_00_trot__vx_neg_1p0__seed_0042,1,joint_front_left_thigh_pitch,fl,thigh,17.0,robot.actuators['thigh_legs'].effort_limit,0.5460673829897799,76.26116171557456,0.4704349559896131,0.5059133630640364,0.0,0.28689912557601926,0.2881284773349762,0.0
gait_00_trot__vx_neg_1p0__seed_0042,2,joint_front_left_calf_pitch,fl,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.2619242821491907,90.8943274975568,0.3409246676676982,0.37551378791396667,0.0,0.5393217414617538,0.5433375245332718,0.0
gait_00_trot__vx_neg_1p0__seed_0042,3,joint_front_right_abad,fr,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.05310495061375563,2.9538390395790337,0.1102077049367568,0.12746032939237703,0.0,0.29914721250534054,0.30651164054870605,0.0
gait_00_trot__vx_neg_1p0__seed_0042,4,joint_front_right_thigh_pitch,fr,thigh,17.0,robot.actuators['thigh_legs'].effort_limit,0.6526050045453815,54.273589121028785,0.5075847681830903,0.5811628207038431,0.0,0.27407864928245546,0.27758142828941346,0.0
gait_00_trot__vx_neg_1p0__seed_0042,5,joint_front_right_calf_pitch,fr,calf,37.0,robot.actuators['calf_legs'].effort_limit,0.14356873847293275,65.33020693637431,0.20351359715332856,0.2110953829739545,0.0,0.508797401189804,0.5165305197238922,0.0
gait_00_trot__vx_neg_1p0__seed_0042,6,joint_rear_left_abad,rl,hip,17.0,robot.actuators['hip_legs'].effort_limit,0.10118597458028766,5.915927644635085,0.19845521379919615,0.20972688702976003,0.0,0.4216458797454834,0.43167450487613673,0.0
gait_00_trot__vx_neg_1p0__seed_0042,7,joint_rear_left_thigh_pitch,rl,thigh,20.0,robot.actuators['thigh_legs'].effort_limit,0.24859655228061378,40.37243372740224,0.2688904201984405,0.2742264332771301,0.0,0.28998219668865205,0.29350561916828155,0.0
