positive_cell_id,negative_cell_id,gait_index,partner_gait_index,family,speed_mps,positive_vx_bias_mps,negative_vx_bias_mps,directed_positive_bias_mps,directed_negative_bias_mps,paired_directional_bias_mps,directional_asymmetry_mps,positive_measured_vx_mps,negative_measured_vx_mps,e_pair_bias_mps,e_pair_bias_normalized,e_pair_bias_epsilon_mps,e_pair_bias_definition
gait_00_trot__vx_pos_0p5__seed_0042,gait_00_trot__vx_neg_0p5__seed_0042,0,0,trot,0.5,-0.0030306539490443317,-0.0045499966299834375,-0.0030306539490443317,0.0045499966299834375,0.0007596713404695529,-0.00758065057902777,0.49696934605095566,-0.5045499966299835,0.007580650579027792,0.007580642998384794,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p0__seed_0042,gait_00_trot__vx_neg_1p0__seed_0042,0,0,trot,1.0,-0.0048469909777243934,-0.009396429608265559,-0.0048469909777243934,0.009396429608265559,0.0022747193152705828,-0.014243420585989952,0.9951530090222757,-1.0093964296082656,0.01424342058598993,0.007121706732141598,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p5__seed_0042,gait_00_trot__vx_neg_1p5__seed_0042,0,0,trot,1.5,-0.0008836333950360616,-0.013877814759810765,-0.0008836333950360616,0.013877814759810765,0.006497090682387352,-0.014761448154846826,1.4991163666049638,-1.5138778147598109,0.014761448154847034,0.004920481078121985,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_0p5__seed_0042,gait_01_bound__vx_neg_0p5__seed_0042,1,1,bound,0.5,0.005507649493818523,-0.0028502058331705943,0.005507649493818523,0.0028502058331705943,0.004178927663494559,0.002657443660647929,0.5055076494938185,-0.5028502058331706,0.002657443660647907,0.002657441003206904,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p0__seed_0042,gait_01_bound__vx_neg_1p0__seed_0042,1,1,bound,1.0,0.004989184687534968,-0.00020282318194707235,0.004989184687534968,0.00020282318194707235,0.00259600393474102,0.004786361505587896,1.004989184687535,-1.000202823181947,0.004786361505587866,0.002393179556204155,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p5__seed_0042,gait_01_bound__vx_neg_1p5__seed_0042,1,1,bound,1.5,0.00453506459792455,-0.005526981254418691,0.00453506459792455,0.005526981254418691,0.005031022926171621,-0.000991916656494141,1.5045350645979245,-1.5055269812544188,0.0009919166564942294,0.00033063877528515136,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_0p5__seed_0042,gait_03_half_bound__vx_neg_0p5__seed_0042,2,3,half_bound,0.5,0.007999780986990248,0.0015829792167960095,0.007999780986990248,-0.0015829792167960095,0.003208400885097119,0.009582760203786258,0.5079997809869903,-0.498417020783204,0.009582760203786289,0.009582750621035668,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p0__seed_0042,gait_03_half_bound__vx_neg_1p0__seed_0042,2,3,half_bound,1.0,-0.0031243814776341122,0.0037868866076072056,-0.0031243814776341122,-0.0037868866076072056,-0.0034556340426206587,0.0006625051299730934,0.9968756185223658,-0.9962131133923928,0.0006625051299730123,0.0003312523993603064,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p5__seed_0042,gait_03_half_bound__vx_neg_1p5__seed_0042,2,3,half_bound,1.5,-0.002546227475007375,-0.014793254683415096,-0.002546227475007375,0.014793254683415096,0.00612351360420386,-0.01733948215842247,1.4974537725249926,-1.514793254683415,0.017339482158422515,0.005779825459532351,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_0p5__seed_0042,gait_02_half_bound__vx_neg_0p5__seed_0042,3,2,half_bound,0.5,-0.000520402894300573,0.0014782124081579578,-0.000520402894300573,-0.0014782124081579578,-0.0009993076512292655,0.0009578095138573847,0.49947959710569945,-0.49852178759184207,0.0009578095138573772,0.0009578085560488212,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p0__seed_0042,gait_02_half_bound__vx_neg_1p0__seed_0042,3,2,half_bound,1.0,-0.01046680249273777,-0.0002066825826962789,-0.01046680249273777,0.0002066825826962789,-0.005130059955020746,-0.010673485075434048,0.9895331975072622,-1.0002066825826963,0.010673485075434086,0.005336739869347108,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p5__seed_0042,gait_02_half_bound__vx_neg_1p5__seed_0042,3,2,half_bound,1.5,-0.013650561869144439,-0.020057459423939387,-0.013650561869144439,0.020057459423939387,0.003203448777397474,-0.033708021293083826,1.4863494381308555,-1.5200574594239393,0.03370802129308381,0.011236003352360153,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_04_half_bound__vx_pos_0p5__seed_0042,gait_05_half_bound__vx_neg_0p5__seed_0042,4,5,half_bound,0.5,0.001156797116043187,-0.003236004785329354,0.001156797116043187,0.003236004785329354,0.0021964009506862704,-0.002079207669286167,0.5011567971160432,-0.5032360047853294,0.002079207669286154,0.002079205590080564,1e-06,abs(mean_vx_pos + mean_vx_neg)
