cell_id,planned_row,planned_family,classified_row,classified_family,classification_score_cycles,classification_margin_cycles,classification_domain_valid,classification_domain_reason
gait_00_trot__vx_neg_1p5__seed_0042,trot,trot,trot,trot,0.042675088599317956,0.1280940994087201,True,
gait_00_trot__vx_neg_1p0__seed_0042,trot,trot,trot,trot,0.04133639035810808,0.12651910662877922,True,
gait_00_trot__vx_neg_0p5__seed_0042,trot,trot,trot,trot,0.0205186344708555,0.14437147310199558,True,
gait_00_trot__vx_pos_0p5__seed_0042,trot,trot,trot,trot,0.007464554732613667,0.15512019355650766,True,
gait_00_trot__vx_pos_1p0__seed_0042,trot,trot,trot,trot,0.014047671788062302,0.13487162408172623,True,
gait_00_trot__vx_pos_1p5__seed_0042,trot,trot,trot,trot,0.03280741517726296,0.13130681686035944,True,
gait_01_bound__vx_neg_1p5__seed_0042,bound,bound,bound,bound,0.04391991617975477,0.06986024526544798,True,
gait_01_bound__vx_neg_1p0__seed_0042,bound,bound,bound,bound,0.01120322562102948,0.10827671794585049,True,
gait_01_bound__vx_neg_0p5__seed_0042,bound,bound,bound,bound,0.04683908868923825,0.07880132411267618,True,
gait_01_bound__vx_pos_0p5__seed_0042,bound,bound,bound,bound,0.02368636270397345,0.10015134665750221,True,
gait_01_bound__vx_pos_1p0__seed_0042,bound,bound,bound,bound,0.0231484883319694,0.10497446361255312,True,
gait_01_bound__vx_pos_1p5__seed_0042,bound,bound,bound,bound,0.01708439941395004,0.1111808556483514,True,
gait_02_half_bound__vx_neg_1p5__seed_0042,half_bound_front_a,half_bound,bound,bound,0.06944629802663348,0.011217013058577682,True,
gait_02_half_bound__vx_neg_1p0__seed_0042,half_bound_front_a,half_bound,unclassified,unclassified,0.0764868845776595,0.0011774659332885462,True,
gait_02_half_bound__vx_neg_0p5__seed_0042,half_bound_front_a,half_bound,unclassified,unclassified,0.09609831801322231,0.002489232525589316,True,
gait_02_half_bound__vx_pos_0p5__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.05315050509266094,0.039547374170557335,True,
gait_02_half_bound__vx_pos_1p0__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.060617951154895246,0.02168017065808659,True,
gait_02_half_bound__vx_pos_1p5__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.055909111500413756,0.030457737465192113,True,
gait_03_half_bound__vx_neg_1p5__seed_0042,half_bound_front_b,half_bound,bound,bound,0.0784489053515041,0.015824614330569614,True,
gait_03_half_bound__vx_neg_1p0__seed_0042,half_bound_front_b,half_bound,unclassified,unclassified,0.07474747134391914,0.007017112998013775,True,
gait_03_half_bound__vx_neg_0p5__seed_0042,half_bound_front_b,half_bound,unclassified,unclassified,0.0724811104321645,0.009699947990176358,True,
gait_03_half_bound__vx_pos_0p5__seed_0042,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.05273072831873193,0.03559818961601347,True,
gait_03_half_bound__vx_pos_1p0__seed_0042,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.05346695372931604,0.03602830650369882,True,
gait_03_half_bound__vx_pos_1p5__seed_0042,half_bound_front_b,half_bound,half_bound_front_b,half_bound,0.05415490977787215,0.030457123448362926,True,
gait_04_half_bound__vx_neg_1p5__seed_0042,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.044220890885655,0.055139771541557546,True,
gait_04_half_bound__vx_neg_1p0__seed_0042,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.05811488347125732,0.03222088191413193,True,
gait_04_half_bound__vx_neg_0p5__seed_0042,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.05856945460913534,0.02959536069463322,True,
gait_04_half_bound__vx_pos_0p5__seed_0042,half_bound_hind_a,half_bound,bound,bound,0.053205508623444586,0.028722201894753538,True,
gait_04_half_bound__vx_pos_1p0__seed_0042,half_bound_hind_a,half_bound,unclassified,unclassified,0.07340395131195798,0.008573773540483123,True,
gait_04_half_bound__vx_pos_1p5__seed_0042,half_bound_hind_a,half_bound,bound,bound,0.08088556381676976,0.015023763830013095,True,
gait_05_half_bound__vx_neg_1p5__seed_0042,half_bound_hind_b,half_bound,half_bound_hind_b,half_bound,0.05394247415045287,0.03816799193969534,True,
gait_05_half_bound__vx_neg_1p0__seed_0042,half_bound_hind_b,half_bound,half_bound_hind_b,half_bound,0.0462791446905736,0.04872669615793617,True,
gait_05_half_bound__vx_neg_0p5__seed_0042,half_bound_hind_b,half_bound,half_bound_hind_b,half_bound,0.05858148413560288,0.01973661271428756,True,
gait_05_half_bound__vx_pos_0p5__seed_0042,half_bound_hind_b,half_bound,bound,bound,0.045372952079955474,0.04615361083831087,True,
gait_05_half_bound__vx_pos_1p0__seed_0042,half_bound_hind_b,half_bound,bound,bound,0.03984783956878494,0.05030432086243009,True,
gait_05_half_bound__vx_pos_1p5__seed_0042,half_bound_hind_b,half_bound,bound,bound,0.04204040843485071,0.0507744684484389,True,
gait_06_gallop__vx_neg_1p5__seed_0042,gallop_a,gallop,unclassified,unclassified,0.0911494319170712,0.0035155042315138663,True,
gait_06_gallop__vx_neg_1p0__seed_0042,gallop_a,gallop,bound,bound,0.06645554580443713,0.030075467237432443,True,
gait_06_gallop__vx_neg_0p5__seed_0042,gallop_a,gallop,bound,bound,0.06334650953810425,0.024430995433602748,True,
gait_06_gallop__vx_pos_0p5__seed_0042,gallop_a,gallop,half_bound_front_b,half_bound,0.06462111954885745,0.02128226235287034,True,
gait_06_gallop__vx_pos_1p0__seed_0042,gallop_a,gallop,half_bound_front_b,half_bound,0.06652361846711671,0.015848888724514107,True,
gait_06_gallop__vx_pos_1p5__seed_0042,gallop_a,gallop,half_bound_front_b,half_bound,0.0763402724710137,0.023083557072732658,True,
gait_07_gallop__vx_neg_1p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.07245157169028837,0.03573346844951435,True,
gait_07_gallop__vx_neg_1p0__seed_0042,gallop_b,gallop,gallop_b,gallop,0.03878958818794931,0.06739350878613233,True,
