operator,scope,stratum,planned_pairs,analyzed_pairs,paired_velocity_bias_mean,paired_velocity_bias_valid_pairs,paired_velocity_bias_coverage_fraction,paired_yaw_bias_mean,paired_yaw_bias_valid_pairs,paired_yaw_bias_coverage_fraction,paired_contact_pattern_error_mean,paired_contact_pattern_error_valid_pairs,paired_contact_pattern_error_coverage_fraction,paired_touchdown_phase_error_mean,paired_touchdown_phase_error_valid_pairs,paired_touchdown_phase_error_coverage_fraction,paired_joint_position_error_mean,paired_joint_position_error_valid_pairs,paired_joint_position_error_coverage_fraction,paired_joint_velocity_error_mean,paired_joint_velocity_error_valid_pairs,paired_joint_velocity_error_coverage_fraction,paired_actor_mean_consistency_error_mean,paired_actor_mean_consistency_error_valid_pairs,paired_actor_mean_consistency_error_coverage_fraction,paired_normalized_target_consistency_error_mean,paired_normalized_target_consistency_error_valid_pairs,paired_normalized_target_consistency_error_coverage_fraction,paired_value_consistency_error_mean,paired_value_consistency_error_valid_pairs,paired_value_consistency_error_coverage_fraction,paired_torque_pattern_error_mean,paired_torque_pattern_error_valid_pairs,paired_torque_pattern_error_coverage_fraction,paired_work_pattern_error_mean,paired_work_pattern_error_valid_pairs,paired_work_pattern_error_coverage_fraction,paired_grf_pattern_error_mean,paired_grf_pattern_error_valid_pairs,paired_grf_pattern_error_coverage_fraction
temporal_reversal,overall,all,30,30,0.02918221518703316,30,1.0,0.010862373921179887,30,1.0,0.0930143637881849,30,1.0,0.04603851400076265,30,1.0,0.1850595958158988,30,1.0,3.8196554012413704,30,1.0,1.480615050283549,30,1.0,0.3521726297110931,30,1.0,0.043932316553710674,30,1.0,4.945666371007144,30,1.0,28.797352813901554,30,1.0,34.02317794619763,30,1.0
temporal_reversal,family,bound,3,3,0.0203184950940612,3,1.0,0.009465705315231282,3,1.0,0.0745038643753688,3,1.0,0.06350161318579435,3,1.0,0.1835050588910326,3,1.0,4.261331991894358,3,1.0,1.3602180217617468,3,1.0,0.30017363492221977,3,1.0,0.05132603488660292,3,1.0,5.273242287410319,3,1.0,36.1476334227357,3,1.0,34.64621504037767,3,1.0
temporal_reversal,family,gallop,12,12,0.034672604511510746,12,1.0,0.011857740337010434,12,1.0,0.10296176209088359,12,1.0,0.04106188703246135,12,1.0,0.18678886469611114,12,1.0,3.7626890586278363,12,1.0,1.4611856076284333,12,1.0,0.3476625689109216,12,1.0,0.038536852281498446,12,1.0,5.026264690003819,12,1.0,27.49392651860228,12,1.0,35.41052378093304,12,1.0
temporal_reversal,family,half_bound,12,12,0.02590674238488593,12,1.0,0.012480222207504492,12,1.0,0.09211240786940854,12,1.0,0.047939546882222926,12,1.0,0.18880117570098973,12,1.0,4.133494431837803,12,1.0,1.4257418109467086,12,1.0,0.3266234736984225,12,1.0,0.0477725304099631,12,1.0,5.312633980020462,12,1.0,33.693600113300015,12,1.0,35.93040762788262,12,1.0
temporal_reversal,family,trot,3,3,0.029186269190683716,3,1.0,0.0018061837185079077,3,1.0,0.07534309366531165,3,1.0,0.04087779116309513,3,1.0,0.16473073767955151,3,1.0,2.3504880586568007,3,1.0,1.898222806773176,3,1.0,0.5244084917513342,3,1.0,0.042759599884657634,3,1.0,2.8278267425639902,3,1.0,7.07578818867065,3,1.0,20.221838786335923,3,1.0
temporal_reversal,direction,positive_to_negative,30,30,0.02918221518703316,30,1.0,0.010862373921179887,30,1.0,0.0930143637881849,30,1.0,0.04603851400076265,30,1.0,0.1850595958158988,30,1.0,3.8196554012413704,30,1.0,1.480615050283549,30,1.0,0.3521726297110931,30,1.0,0.043932316553710674,30,1.0,4.945666371007144,30,1.0,28.797352813901554,30,1.0,34.02317794619763,30,1.0
temporal_reversal,speed,0.5 m/s,10,10,0.029053557574999844,10,1.0,0.013502929254596877,10,1.0,0.07348795572916668,10,1.0,0.03447423075117083,10,1.0,0.17159991998266536,10,1.0,3.381622004689212,10,1.0,1.1619415396038169,10,1.0,0.26701405654642985,10,1.0,0.020946730270191238,10,1.0,4.789195281095763,10,1.0,30.07419160992136,10,1.0,31.21197496657034,10,1.0
temporal_reversal,speed,1 m/s,10,10,0.03428981936619559,10,1.0,0.011507157763673464,10,1.0,0.09843218403477823,10,1.0,0.040725754311582915,10,1.0,0.1816094065913327,10,1.0,3.646262793423829,10,1.0,1.4882558513526711,10,1.0,0.3445219402339726,10,1.0,0.04424837234130037,10,1.0,4.936057363290146,10,1.0,27.111763440663168,10,1.0,35.74783452933894,10,1.0
temporal_reversal,speed,1.5 m/s,10,10,0.024203268619904055,10,1.0,0.007577034745269326,10,1.0,0.10712295160060976,10,1.0,0.06291555693953423,10,1.0,0.20196946087369824,10,1.0,4.4310814056110726,10,1.0,1.7916477598941594,10,1.0,0.4449818923528768,10,1.0,0.06660184704964041,10,1.0,5.111746468635521,10,1.0,29.20610339112012,10,1.0,35.109724342683606,10,1.0
temporal_reversal,robot,go2,30,30,0.02918221518703316,30,1.0,0.010862373921179887,30,1.0,0.0930143637881849,30,1.0,0.04603851400076265,30,1.0,0.1850595958158988,30,1.0,3.8196554012413704,30,1.0,1.480615050283549,30,1.0,0.3521726297110931,30,1.0,0.043932316553710674,30,1.0,4.945666371007144,30,1.0,28.797352813901554,30,1.0,34.02317794619763,30,1.0
front_hind_reflected_temporal_reversal,overall,all,30,30,0.02918221518703316,30,1.0,0.010862373921179887,30,1.0,0.8442151631027556,30,1.0,0.34584869009108726,30,1.0,0.28556271164025504,30,1.0,5.6295799064102745,30,1.0,1.9605606517872707,30,1.0,0.6104387300849871,30,1.0,0.043932316553710674,30,1.0,8.225394957663514,30,1.0,26.47563489573016,30,1.0,66.95410546505646,30,1.0
front_hind_reflected_temporal_reversal,family,bound,3,3,0.0203184950940612,3,1.0,0.009465705315231282,3,1.0,0.8875277032059321,3,1.0,0.32292234823087596,3,1.0,0.2962036901709338,3,1.0,6.198857554810513,3,1.0,2.110477689919636,3,1.0,0.6516740110000504,3,1.0,0.05132603488660292,3,1.0,8.703611784138817,3,1.0,32.55459845720339,3,1.0,69.88737818207578,3,1.0
front_hind_reflected_temporal_reversal,family,gallop,12,12,0.034672604511510746,12,1.0,0.011857740337010434,12,1.0,0.8200751951097431,12,1.0,0.35210667882594576,12,1.0,0.2808660079475783,12,1.0,5.523833033348528,12,1.0,1.8797560182355368,12,1.0,0.5894483819426692,12,1.0,0.038536852281498446,12,1.0,8.290253581214557,12,1.0,25.969541449751233,12,1.0,65.73896774968505,12,1.0
front_hind_reflected_temporal_reversal,family,half_bound,12,12,0.02590674238488593,12,1.0,0.012480222207504492,12,1.0,0.8470552420614066,12,1.0,0.3320239318010224,12,1.0,0.2909103854943626,12,1.0,5.963278578972942,12,1.0,1.9905608774322856,12,1.0,0.6167809801910707,12,1.0,0.0477725304099631,12,1.0,8.3417729555351,12,1.0,30.174286478598912,12,1.0,66.8645531703779,12,1.0
front_hind_reflected_temporal_reversal,family,trot,3,3,0.029186269190683716,3,1.0,0.0018061837185079077,3,1.0,0.8861021791370257,3,1.0,0.3990421101721231,3,1.0,0.27231785246385304,3,1.0,4.148495060006345,3,1.0,2.0138612452817783,3,1.0,0.6277958413148595,3,1.0,0.042759599884657634,3,1.0,7.022231645497676,3,1.0,7.626438786697672,3,1.0,69.23959278823716,3,1.0
front_hind_reflected_temporal_reversal,direction,positive_to_negative,30,30,0.02918221518703316,30,1.0,0.010862373921179887,30,1.0,0.8442151631027556,30,1.0,0.34584869009108726,30,1.0,0.28556271164025504,30,1.0,5.6295799064102745,30,1.0,1.9605606517872707,30,1.0,0.6104387300849871,30,1.0,0.043932316553710674,30,1.0,8.225394957663514,30,1.0,26.47563489573016,30,1.0,66.95410546505646,30,1.0
front_hind_reflected_temporal_reversal,speed,0.5 m/s,10,10,0.029053557574999844,10,1.0,0.013502929254596877,10,1.0,0.8458108723958333,10,1.0,0.36609182895328823,10,1.0,0.3086412059099253,10,1.0,4.774644100684822,10,1.0,1.9733881739737467,10,1.0,0.6220684134269019,10,1.0,0.020946730270191238,10,1.0,7.870990242978699,10,1.0,27.71719742832955,10,1.0,65.99101791780234,10,1.0
