cell_id,event,first_foot,second_foot,eligible_complete_cycles,matched_complete_cycles,unmatched_complete_cycles,coverage_fraction,mean_s,p95_s,mean_cycles,p95_cycles
gait_00_trot__vx_neg_1p5__seed_0042,touchdown,fl,rr,38,38,0,1.0,0.016315789473684214,0.02,0.06629938828317743,0.08127021789550781
gait_00_trot__vx_neg_1p5__seed_0042,touchdown,fr,rl,38,38,0,1.0,0.01105263157894737,0.02,0.04491248883699116,0.08127021789550781
gait_00_trot__vx_neg_1p5__seed_0042,liftoff,fl,rr,38,38,0,1.0,0.016842105263157898,0.02,0.06843807822779606,0.08127021789550781
gait_00_trot__vx_neg_1p5__seed_0042,liftoff,fr,rl,38,38,0,1.0,0.01947368421052632,0.02,0.07913152795088918,0.08127021789550781
gait_00_trot__vx_neg_1p0__seed_0042,touchdown,fl,rr,30,30,0,1.0,0.022000000000000006,0.04,0.06989555358886719,0.12708282470703125
gait_00_trot__vx_neg_1p0__seed_0042,touchdown,fr,rl,30,30,0,1.0,0.012666666666666668,0.02,0.04024289449055989,0.06354141235351562
gait_00_trot__vx_neg_1p0__seed_0042,liftoff,fl,rr,30,30,0,1.0,0.014666666666666668,0.02,0.04659703572591146,0.06354141235351562
gait_00_trot__vx_neg_1p0__seed_0042,liftoff,fr,rl,30,30,0,1.0,0.01666666666666667,0.02,0.05295117696126302,0.06354141235351562
gait_00_trot__vx_neg_0p5__seed_0042,touchdown,fl,rr,23,23,0,1.0,0.012173913043478262,0.02,0.03023927108101223,0.049678802490234375
gait_00_trot__vx_neg_0p5__seed_0042,touchdown,fr,rl,23,19,4,0.8260869565217391,0.005263157894736842,0.02,0.013073369076377466,0.049678802490234375
gait_00_trot__vx_neg_0p5__seed_0042,liftoff,fl,rr,23,23,0,1.0,0.0060869565217391295,0.02,0.015119635540506115,0.049678802490234375
gait_00_trot__vx_neg_0p5__seed_0042,liftoff,fr,rl,23,23,0,1.0,0.006086956521739131,0.02,0.015119635540506115,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_0042,touchdown,fl,rr,23,23,0,1.0,0.0052173913043478265,0.02,0.012959687606148098,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_0042,touchdown,fr,rl,23,14,9,0.6086956521739131,0.027142857142857142,0.13299999999999987,0.06742123195103236,0.33036403656005825
gait_00_trot__vx_pos_0p5__seed_0042,liftoff,fl,rr,23,23,0,1.0,0.0052173913043478265,0.02,0.012959687606148098,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_0042,liftoff,fr,rl,23,23,0,1.0,0.002608695652173913,0.02,0.006479843803074049,0.049678802490234375
gait_00_trot__vx_pos_1p0__seed_0042,touchdown,fl,rr,30,30,0,1.0,0.006,0.02,0.01906242370605469,0.06354141235351562
gait_00_trot__vx_pos_1p0__seed_0042,touchdown,fr,rl,30,15,15,0.5,0.024,0.10399999999999969,0.07624969482421876,0.3304153442382803
gait_00_trot__vx_pos_1p0__seed_0042,liftoff,fl,rr,30,30,0,1.0,0.009333333333333334,0.02,0.02965265909830729,0.06354141235351562
gait_00_trot__vx_pos_1p0__seed_0042,liftoff,fr,rl,30,30,0,1.0,0.0026666666666666666,0.02,0.008472188313802084,0.06354141235351562
gait_00_trot__vx_pos_1p5__seed_0042,touchdown,fl,rr,38,38,0,1.0,0.00631578947368421,0.02,0.02566427933542352,0.08127021789550781
gait_00_trot__vx_pos_1p5__seed_0042,touchdown,fr,rl,38,34,4,0.8947368421052632,0.012941176470588237,0.02,0.05258661157944623,0.08127021789550781
gait_00_trot__vx_pos_1p5__seed_0042,liftoff,fl,rr,38,38,0,1.0,0.008947368421052634,0.02,0.036357729058516655,0.08127021789550781
gait_00_trot__vx_pos_1p5__seed_0042,liftoff,fr,rl,38,38,0,1.0,0.0010526315789473684,0.0029999999999999714,0.004277379889237254,0.012190532684326056
gait_01_bound__vx_neg_1p5__seed_0042,touchdown,fl,fr,38,38,0,1.0,0.0010526315789473684,0.0029999999999999714,0.004277379889237254,0.012190532684326056
gait_01_bound__vx_neg_1p5__seed_0042,touchdown,rl,rr,38,37,1,0.9736842105263158,0.00864864864864865,0.02,0.03514387800886824,0.08127021789550781
gait_01_bound__vx_neg_1p5__seed_0042,liftoff,fl,fr,38,38,0,1.0,0.007894736842105265,0.02,0.0320803491692794,0.08127021789550781
gait_01_bound__vx_neg_1p5__seed_0042,liftoff,rl,rr,38,37,1,0.9736842105263158,0.020540540540540542,0.04,0.08346671027106208,0.16254043579101562
gait_01_bound__vx_neg_1p0__seed_0042,touchdown,fl,fr,30,30,0,1.0,0.0006666666666666666,0.0,0.002118047078450521,0.0
gait_01_bound__vx_neg_1p0__seed_0042,touchdown,rl,rr,30,26,4,0.8666666666666667,0.006923076923076922,0.02,0.021995104276216947,0.06354141235351562
gait_01_bound__vx_neg_1p0__seed_0042,liftoff,fl,fr,30,30,0,1.0,0.0033333333333333335,0.02,0.010590235392252604,0.06354141235351562
gait_01_bound__vx_neg_1p0__seed_0042,liftoff,rl,rr,30,26,4,0.8666666666666667,0.02153846153846154,0.04,0.06842921330378605,0.12708282470703125
gait_01_bound__vx_neg_0p5__seed_0042,touchdown,fl,fr,23,23,0,1.0,0.0017391304347826088,0.01799999999999997,0.004319895868716033,0.044710922241210864
gait_01_bound__vx_neg_0p5__seed_0042,touchdown,rl,rr,23,14,9,0.6086956521739131,0.0,0.0,0.0,0.0
gait_01_bound__vx_neg_0p5__seed_0042,liftoff,fl,fr,23,23,0,1.0,0.012173913043478262,0.02,0.03023927108101223,0.049678802490234375
gait_01_bound__vx_neg_0p5__seed_0042,liftoff,rl,rr,23,22,1,0.9565217391304348,0.00909090909090909,0.02,0.022581273859197445,0.049678802490234375
gait_01_bound__vx_pos_0p5__seed_0042,touchdown,fl,fr,23,23,0,1.0,0.0052173913043478265,0.02,0.012959687606148098,0.049678802490234375
gait_01_bound__vx_pos_0p5__seed_0042,touchdown,rl,rr,23,15,8,0.6521739130434783,0.025333333333333333,0.1139999999999996,0.06292648315429687,0.2831691741943349
