cell_id,joint_index,joint_name,leg,motor_role,configured_effort_limit_nm,effort_limit_source,normalized_torque_squared_exposure,absolute_work_j,utilization_p95,utilization_p99,saturation_fraction,soft_limit_utilization_p95,soft_limit_utilization_p99,action_clamp_fraction
gait_00_trot__vx_neg_1p5__seed_0042,0,FL_hip_joint,fl,hip,23.700000762939453,robot.actuators['hip_legs'].effort_limit,0.14461731935694497,13.323132960512304,0.22968849617717446,0.24799442056279497,0.0,0.17256396412849426,0.17944499015808105,0.0
gait_00_trot__vx_neg_1p5__seed_0042,1,FL_thigh_joint,fl,thigh,23.700000762939453,robot.actuators['thigh_legs'].effort_limit,0.8619947668274617,161.83697417065503,0.709256229826972,0.7598386761359146,0.0,0.30529236793518055,0.33228250801563264,0.0
gait_00_trot__vx_neg_1p5__seed_0042,2,FL_calf_joint,fl,calf,35.54999923706055,robot.actuators['calf_legs'].effort_limit,0.41008142354465743,147.35636603359134,0.3359364757390077,0.358863071841106,0.0,1.0,1.0,0.5895833333333333
gait_00_trot__vx_neg_1p5__seed_0042,3,FR_hip_joint,fr,hip,23.700000762939453,robot.actuators['hip_legs'].effort_limit,0.11811199996233301,14.921576648810879,0.20006833056137316,0.21655553973699188,0.0,0.17588108181953427,0.18258808612823485,0.0
gait_00_trot__vx_neg_1p5__seed_0042,4,FR_thigh_joint,fr,thigh,23.700000762939453,robot.actuators['thigh_legs'].effort_limit,1.0035462467331768,161.51006023610012,0.6802885987394114,0.8067123008530918,0.0,0.2716170996427536,0.3294853413105011,0.0
gait_00_trot__vx_neg_1p5__seed_0042,5,FR_calf_joint,fr,calf,35.54999923706055,robot.actuators['calf_legs'].effort_limit,0.5258985093538143,199.2797086466849,0.3854448559476925,0.4116025793041241,0.0,1.0,1.0,0.6
gait_00_trot__vx_neg_1p5__seed_0042,6,RL_hip_joint,rl,hip,23.700000762939453,robot.actuators['hip_legs'].effort_limit,0.10178506094066035,23.390307606592543,0.14776460155810253,0.1624820377259061,0.0,0.13854079246520995,0.1455414706468582,0.0
gait_00_trot__vx_neg_1p5__seed_0042,7,RL_thigh_joint,rl,thigh,23.700000762939453,robot.actuators['thigh_legs'].effort_limit,0.21467046161895367,81.38304879663396,0.32829440343689725,0.3918938538790721,0.0,0.6472010523080826,0.6575543582439423,0.0
gait_00_trot__vx_neg_1p5__seed_0042,8,RL_calf_joint,rl,calf,35.54999923706055,robot.actuators['calf_legs'].effort_limit,0.20235184540192439,114.8715314397216,0.22947970747334084,0.30127255030705874,0.0,1.0,1.0,0.5083333333333333
gait_00_trot__vx_neg_1p5__seed_0042,9,RR_hip_joint,rr,hip,23.700000762939453,robot.actuators['hip_legs'].effort_limit,0.15022101894829065,21.3709812916629,0.19626453628976115,0.24933829852918477,0.0,0.12950244545936582,0.16224359631538385,0.0
