scope,stratum,planned_cells,terminated_cells,velocity_valid_cells,velocity_vx_relative_rmse_mean,velocity_yaw_rmse_radps_mean,heading_valid_cells,heading_rmse_rad_mean,gait_valid_cells,gait_agreement_boundary_excluded_mean,gait_duty_factor_abs_error_mean,classification_valid_cells,classification_unclassified_cells,classification_row_accuracy,classification_family_accuracy,raw_load_valid_cells,absolute_work_total_j_mean,grf_load_valid_cells,vertical_grf_impulse_total_ns_mean,normalized_load_valid_cells,normalized_torque_squared_total_s_mean,velocity_success_domain_cells,velocity_success_cells,gait_success_domain_cells,gait_success_cells,joint_success_domain_cells,joint_success_cells
row,bound,6,0,6,0.0409673719609547,0.04620469543905761,6,0.02288390928373518,6,0.8978363359679183,0.12733571997329632,6,0,1.0,1.0,6,1958.24316063878,6,1421.858070525316,6,5.490313374820706,6,4,6,6,6,4
row,gallop_a,6,0,6,0.053902864281848324,0.08552927210458146,6,0.02070064949913068,6,0.8572300817650159,0.12774153870577282,6,1,0.0,0.0,6,1918.1601544231187,6,1434.9416151712585,6,5.185000549027715,6,0,6,0,6,0
row,gallop_b,6,0,6,0.04866368695685361,0.06287703387223387,6,0.03634916150721176,6,0.8993231463194259,0.12791122540321256,6,0,1.0,1.0,6,1387.5856174253106,6,1459.223311391771,6,4.828993873354579,6,2,6,6,6,2
row,gallop_c,6,0,6,0.04823336398855412,0.0855703167442804,6,0.020741987559953916,6,0.8536730262991189,0.13286686284740964,6,2,0.0,0.0,6,1867.8722869205114,6,1427.0276290614408,6,5.24220495278212,6,2,6,0,6,0
row,gallop_d,6,0,6,0.039057218408873884,0.06313558502158995,6,0.020671349837003274,6,0.9014598246058475,0.12654420363014124,6,0,1.0,1.0,6,1366.281867386742,6,1451.1634490547451,6,4.811826466497859,6,0,6,6,6,0
row,half_bound_front_a,6,0,6,0.04790824982656449,0.06566623134225563,6,0.019133862136385005,6,0.8746695267366743,0.1320405040747667,6,2,0.5,0.5,6,1795.7779678629697,6,1423.3578089727632,6,5.435598681441042,6,0,6,3,6,0
row,half_bound_front_b,6,0,6,0.04330665065130206,0.06590163889155139,6,0.022651926039138657,6,0.8779988618640898,0.1340037804015721,6,2,0.5,0.5,6,1719.0501650562617,6,1431.9870680690804,6,5.4654625461427635,6,1,6,3,6,1
row,half_bound_hind_a,6,0,6,0.051830782807756666,0.0769208969050575,6,0.027462137098088854,6,0.8906459579324612,0.12668172173822181,6,1,0.5,0.5,6,1890.5739497209668,6,1438.1016211212925,6,5.3585928166163255,6,0,6,3,6,0
row,half_bound_hind_b,6,0,6,0.04148868375271634,0.08279040668424337,6,0.012575377316463689,6,0.8849446358728322,0.13389169165812134,6,0,0.5,0.5,6,1918.479905755886,6,1438.4103378372886,6,5.254086288752972,6,0,6,3,6,0
row,trot,6,0,6,0.031420385903065194,0.04283927900582745,6,0.009929237834507398,6,0.8942887595231787,0.137200153465528,6,0,1.0,1.0,6,717.2356862759707,6,1490.85139352719,6,3.3920249506738176,6,5,6,5,6,4
