cell_id,foot,contact_mean_force_n,vertical_impulse_ns,force_p95_n,force_p99_n,force_max_n,impact_event_count,impact_peak_mean_n,impact_peak_p95_n,impact_peak_max_n,impact_impulse_mean_ns,impact_impulse_p95_ns,impact_impulse_max_ns,agreement,agreement_boundary_excluded,false_swing_contact_fraction,missed_stance_contact_fraction,contact_precision,contact_recall,contact_f1,measured_duty_factor,commanded_duty_factor,sampled_desired_stance_fraction,desired_duty_factor,duty_factor_error,duty_factor_abs_error,touchdown_matched,touchdown_abs_error_mean_cycles,touchdown_abs_error_mean_s,touchdown_abs_error_median_cycles,touchdown_abs_error_median_s,touchdown_abs_error_p95_cycles,touchdown_abs_error_p95_s,touchdown_unmatched_expected,touchdown_unmatched_actual,touchdown_unmatched_fraction,touchdown_expected_unmatched_fraction,touchdown_actual_unmatched_fraction,touchdown_event_count,liftoff_matched,liftoff_abs_error_mean_cycles,liftoff_abs_error_mean_s,liftoff_abs_error_median_cycles,liftoff_abs_error_median_s,liftoff_abs_error_p95_cycles,liftoff_abs_error_p95_s,liftoff_unmatched_expected,liftoff_unmatched_actual,liftoff_unmatched_fraction,liftoff_expected_unmatched_fraction,liftoff_actual_unmatched_fraction,liftoff_event_count
gait_00_trot__vx_neg_1p5__seed_4242,fl,87.76090547654513,468.88624976992605,119.37418518066406,124.03679290771484,135.99082946777344,39,118.98221020820813,124.2703369140625,135.99082946777344,6.552864360320263,6.869604629516601,7.3019575500488285,0.7791666666666667,0.7990970654627539,0.2947019867549669,0.0,0.6130434782608696,1.0,0.7601078167115903,0.55625,0.333658903837204,0.33541666666666664,0.33541666666666664,0.22259109616279604,0.22259109616279604,39,0.07694655121901096,0.018935977584788575,0.07687881588935852,0.01891930842075618,0.12040699124336245,0.029631270682250237,0,0,0.0,0.0,0.0,39,38,0.14593305085834704,0.03591304530424139,0.1459789276123047,0.03592433523434017,0.19060840606689453,0.046907320049754744,0,1,0.02564102564102564,0.0,0.02564102564102564,39
gait_00_trot__vx_neg_1p5__seed_4242,fr,94.21375734622661,490.25571476459504,125.3826919555664,130.60803604125977,199.98117065429688,39,126.00428595909706,135.87707061767586,199.98117065429688,6.979401033841646,7.42475003051758,8.770809326171875,0.7895833333333333,0.8190045248868778,0.26666666666666666,0.0,0.6396396396396397,1.0,0.7802197802197802,0.5416666666666666,0.333658903837204,0.33125,0.33125,0.20800776282946265,0.20800776282946265,39,0.04789826732415419,0.01178740959836943,0.04720810055732727,0.011617564657701425,0.0829825222492218,0.020421385446736606,0,0,0.0,0.0,0.0,39,39,0.160245846479367,0.039435318528467864,0.15999603271484375,0.039373841207256684,0.19581394195556642,0.048188363960665594,0,0,0.0,0.0,0.0,39
gait_00_trot__vx_neg_1p5__seed_4242,rl,59.9677788653777,241.36542581677438,100.71597290039062,102.54991149902344,118.18083190917969,39,97.78548548771785,102.56814117431641,118.18083190917969,4.720524769318409,5.081344467163086,5.5418334960937505,0.9125,0.9524886877828054,0.07,0.0,0.8711656441717791,1.0,0.9311475409836066,0.41875,0.333658903837204,0.33125,0.33125,0.08509109616279603,0.08509109616279603,39,0.020436516939065397,0.0050292757834958434,0.020500868558883667,0.0050451122415452136,0.03979194760322571,0.009792504224459622,0,0,0.0,0.0,0.0,39,39,0.08105918688651843,0.0199480668283034,0.082000732421875,0.020179774226102468,0.11753807067871094,0.02892525053392476,0,0,0.0,0.0,0.0,39
gait_00_trot__vx_neg_1p5__seed_4242,rr,65.35230967077878,264.3797337937355,106.18377418518067,108.70647178649902,117.31285095214844,39,102.75972923865685,108.78793029785156,117.31285095214844,5.0370597017728365,5.3245930633544925,5.567346496582031,0.9145833333333333,0.945823927765237,0.07947019867549669,0.0,0.8545454545454545,1.0,0.9215686274509803,0.42083333333333334,0.333658903837204,0.33541666666666664,0.33541666666666664,0.08717442949612936,0.08717442949612936,39,0.02166869166569832,0.005332504877385361,0.020364075899124146,0.005011448578938722,0.0458538830280304,0.011284301732028447,0,0,0.0,0.0,0.0,39,38,0.07749477185701069,0.01907089063219903,0.07872390747070312,0.019373371822854327,0.11219320297241211,0.027609918092421793,0,0,0.0,0.0,0.0,38
gait_00_trot__vx_neg_1p0__seed_4242,fl,84.70257848414822,467.59631239414216,115.97304916381836,117.69719314575195,119.19695281982422,31,115.21655765656502,117.96816635131836,119.19695281982422,6.307436619420205,6.527997512817382,6.617242584228515,0.8299180327868853,0.8609865470852018,0.22627737226277372,0.0,0.7350427350427351,1.0,0.8472906403940887,0.5655737704918032,0.39623603224754333,0.39549180327868855,0.39549180327868855,0.1693377382442599,0.1693377382442599,31,0.06083699484025278,0.019148770097140215,0.06160011887550354,0.019388967476136162,0.08902111649513245,0.028019873401572915,0,0,0.0,0.0,0.0,31,30,0.10735645294189453,0.03379101879089872,0.10851669311523438,0.03415621060214925,0.1336520195007324,0.04206768925977067,0,1,0.03225806451612903,0.0,0.03225806451612903,31
gait_00_trot__vx_neg_1p0__seed_4242,fr,90.58195475737254,500.1119010400772,120.20479774475098,122.1042537689209,135.54971313476562,31,120.24588455692414,122.51576232910156,135.54971313476562,6.522990901085639,7.0711933135986325,7.388930816650391,0.8319672131147541,0.8584070796460177,0.2318840579710145,0.0,0.7333333333333333,1.0,0.846153846153846,0.5655737704918032,0.39623603224754333,0.3975409836065574,0.3975409836065574,0.1693377382442599,0.1693377382442599,31,0.04866675696065349,0.015318122515091013,0.04892197251319885,0.015398452977727083,0.07544174790382385,0.02374569437773909,0,0,0.0,0.0,0.0,31,31,0.12081595390073714,0.038027468835150194,0.12055587768554688,0.037945608452902686,0.14861297607421875,0.046776730503692146,0,0,0.0,0.0,0.0,31
gait_00_trot__vx_neg_1p0__seed_4242,rl,53.88778120924384,249.22537491321563,90.0005111694336,94.96229629516601,149.1751251220703,31,91.11903110627205,103.14432525634766,149.1751251220703,4.5036072712559845,4.982589836120606,5.93418930053711,0.9241803278688525,0.9579646017699115,0.06884057971014493,0.0,0.9025641025641026,1.0,0.9487870619946093,0.4733606557377049,0.39623603224754333,0.3975409836065574,0.3975409836065574,0.07712462349016158,0.07712462349016158,31,0.01766671384534528,0.00556069284297796,0.01561775803565979,0.004915773023353546,0.03751984238624573,0.011809571426427329,0,0,0.0,0.0,0.0,31,31,0.06752358713457661,0.021253410849260315,0.06931686401367188,0.021817854355526207,0.0949392318725586,0.029882631926517383,0,0,0.0,0.0,0.0,31
gait_00_trot__vx_neg_1p0__seed_4242,rr,62.32515958672789,273.3602160835266,100.38530502319335,102.6626139831543,153.35386657714844,31,100.33472762569305,116.56907653808594,153.35386657714844,4.9206882470653905,5.501809463500976,6.246569366455078,0.9467213114754098,0.9887892376681614,0.01824817518248175,0.0,0.9717514124293786,1.0,0.9856733524355301,0.4487704918032787,0.39623603224754333,0.39549180327868855,0.39549180327868855,0.05253445955573538,0.05253445955573538,31,0.017645384996168075,0.005553979473417163,0.016516119241714478,0.005198537026475356,0.038061708211898804,0.011980126598427088,0,0,0.0,0.0,0.0,31,30,0.060759480794270834,0.01912437213583879,0.0616302490234375,0.01939845110163895,0.08983936309814453,0.028277420904124394,0,1,0.03225806451612903,0.0,0.03225806451612903,31
gait_00_trot__vx_neg_0p5__seed_4242,fl,79.01134559610388,431.4672109103203,101.04274597167968,102.96917144775391,103.18341064453125,24,101.45185565948486,103.14958534240722,103.18341064453125,5.550980480511984,5.7575326309204105,5.800561828613281,0.9047619047619048,0.9414414414414415,0.11016949152542373,0.0,0.8888888888888888,1.0,0.9411764705882353,0.5652173913043478,0.4705493450164795,0.4699792960662526,0.4699792960662526,0.09466804628786829,0.09466804628786829,24,0.026366313298543293,0.010614713711638383,0.025643587112426758,0.010323754127313215,0.048356008529663076,0.019467461414420635,0,0,0.0,0.0,0.0,24,23,0.06851299949314284,0.027582387681994065,0.06870079040527344,0.02765798971051217,0.08944854736328124,0.03601075021116486,0,1,0.041666666666666664,0.0,0.041666666666666664,24
gait_00_trot__vx_neg_0p5__seed_4242,fr,89.03215984473552,473.7896684241295,107.52394676208496,108.94068679809571,109.54595947265625,23,107.37645986805792,109.02805938720704,109.54595947265625,5.88480828575466,6.303454452514648,6.381410369873047,0.9213250517598344,0.9572072072072072,0.08050847457627118,0.0,0.9162995594713657,1.0,0.9563218390804598,0.5507246376811594,0.4705493450164795,0.4720496894409938,0.4720496894409938,0.08017529266467993,0.08017529266467993,21,0.012240784508841378,0.004927970842794616,0.010485410690307617,0.004221281578745297,0.02635788917541504,0.010611322275973278,3,2,0.19230769230769232,0.125,0.08695652173913043,23,24,0.07139289379119873,0.028741793365583967,0.07107734680175781,0.028614758504184903,0.09257545471191406,0.03726959993857022,0,0,0.0,0.0,0.0,24
