cell_id,planned_row,planned_family,classified_row,classified_family,classification_score_cycles,classification_margin_cycles,classification_domain_valid,classification_domain_reason
gait_00_trot__vx_neg_1p5__seed_0042,trot,trot,trot,trot,0.03612096535635886,0.12457493926452937,True,
gait_00_trot__vx_neg_1p0__seed_0042,trot,trot,trot,trot,0.03070251162226828,0.11354122866502356,True,
gait_00_trot__vx_neg_0p5__seed_0042,trot,trot,trot,trot,0.02193254901466533,0.14466365012891608,True,
gait_00_trot__vx_pos_0p5__seed_0042,trot,trot,trot,trot,0.025690743905846164,0.14104583606574136,True,
gait_00_trot__vx_pos_1p0__seed_0042,trot,trot,trot,trot,0.018982460219322705,0.14660880728260103,True,
gait_00_trot__vx_pos_1p5__seed_0042,trot,trot,trot,trot,0.02078129261461052,0.14545447634534803,True,
gait_01_bound__vx_neg_1p5__seed_0042,bound,bound,bound,bound,0.05229202573929218,0.07096857538178533,True,
gait_01_bound__vx_neg_1p0__seed_0042,bound,bound,bound,bound,0.0402253980746596,0.08909122239546588,True,
gait_01_bound__vx_neg_0p5__seed_0042,bound,bound,bound,bound,0.004564926067740023,0.1225491478403649,True,
gait_01_bound__vx_pos_0p5__seed_0042,bound,bound,bound,bound,0.011099418497128496,0.11782178189734367,True,
gait_01_bound__vx_pos_1p0__seed_0042,bound,bound,bound,bound,0.014433848343538927,0.11351529280298826,True,
gait_01_bound__vx_pos_1p5__seed_0042,bound,bound,bound,bound,0.014418662634135937,0.11023455861879888,True,
gait_02_half_bound__vx_neg_1p5__seed_0042,half_bound_front_a,half_bound,bound,bound,0.05195951115945543,0.035136533378136416,True,
gait_02_half_bound__vx_neg_1p0__seed_0042,half_bound_front_a,half_bound,bound,bound,0.05809742017430514,0.025468572828259442,True,
gait_02_half_bound__vx_neg_0p5__seed_0042,half_bound_front_a,half_bound,bound,bound,0.06917320537069997,0.020525877276360127,True,
gait_02_half_bound__vx_pos_0p5__seed_0042,half_bound_front_a,half_bound,unclassified,unclassified,0.06844301879150559,0.0024737505674754245,True,
gait_02_half_bound__vx_pos_1p0__seed_0042,half_bound_front_a,half_bound,unclassified,unclassified,0.06831067699552823,0.006271748040443448,True,
gait_02_half_bound__vx_pos_1p5__seed_0042,half_bound_front_a,half_bound,unclassified,unclassified,0.06905803246254694,0.007049436466315492,True,
gait_03_half_bound__vx_neg_1p5__seed_0042,half_bound_front_b,half_bound,bound,bound,0.05001729179729116,0.038370040846456115,True,
gait_03_half_bound__vx_neg_1p0__seed_0042,half_bound_front_b,half_bound,bound,bound,0.051393185820290475,0.043914358535243524,True,
gait_03_half_bound__vx_neg_0p5__seed_0042,half_bound_front_b,half_bound,bound,bound,0.06525274374115288,0.029821323436964073,True,
gait_03_half_bound__vx_pos_0p5__seed_0042,half_bound_front_b,half_bound,bound,bound,0.06200866235786633,0.018222444681228737,True,
gait_03_half_bound__vx_pos_1p0__seed_0042,half_bound_front_b,half_bound,bound,bound,0.057245099109301374,0.027512489939270336,True,
gait_03_half_bound__vx_pos_1p5__seed_0042,half_bound_front_b,half_bound,bound,bound,0.05390512868695918,0.02789285901420155,True,
gait_04_half_bound__vx_neg_1p5__seed_0042,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.06457929932448375,0.04853462072373595,True,
gait_04_half_bound__vx_neg_1p0__seed_0042,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.05056559280915407,0.051932152231827136,True,
gait_04_half_bound__vx_neg_0p5__seed_0042,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.054858741539232724,0.038738168433134705,True,
gait_04_half_bound__vx_pos_0p5__seed_0042,half_bound_hind_a,half_bound,bound,bound,0.0563730133105624,0.03651041137293524,True,
gait_04_half_bound__vx_pos_1p0__seed_0042,half_bound_hind_a,half_bound,bound,bound,0.05150009238255767,0.04207468864535712,True,
gait_04_half_bound__vx_pos_1p5__seed_0042,half_bound_hind_a,half_bound,bound,bound,0.05143920476607614,0.039665798061375386,True,
gait_05_half_bound__vx_neg_1p5__seed_0042,half_bound_hind_b,half_bound,half_bound_hind_b,half_bound,0.06573902443510776,0.015235623189141581,True,
gait_05_half_bound__vx_neg_1p0__seed_0042,half_bound_hind_b,half_bound,half_bound_hind_b,half_bound,0.05114676629605149,0.058665060800476766,True,
gait_05_half_bound__vx_neg_0p5__seed_0042,half_bound_hind_b,half_bound,half_bound_hind_b,half_bound,0.04064300129576015,0.06113370715889789,True,
gait_05_half_bound__vx_pos_0p5__seed_0042,half_bound_hind_b,half_bound,bound,bound,0.0539236351601328,0.0283634295581739,True,
gait_05_half_bound__vx_pos_1p0__seed_0042,half_bound_hind_b,half_bound,bound,bound,0.04594466730423107,0.04357258989137649,True,
gait_05_half_bound__vx_pos_1p5__seed_0042,half_bound_hind_b,half_bound,bound,bound,0.043057886368015615,0.048746365304389076,True,
gait_06_gallop__vx_neg_1p5__seed_0042,gallop_a,gallop,half_bound_hind_a,half_bound,0.10377415120621179,0.024394779940239156,True,
gait_06_gallop__vx_neg_1p0__seed_0042,gallop_a,gallop,half_bound_hind_a,half_bound,0.08213647901900294,0.026884241445872786,True,
gait_06_gallop__vx_neg_0p5__seed_0042,gallop_a,gallop,half_bound_hind_a,half_bound,0.0596880123085911,0.02079932155738478,True,
gait_06_gallop__vx_pos_0p5__seed_0042,gallop_a,gallop,bound,bound,0.03819836774405964,0.0717717694287138,True,
gait_06_gallop__vx_pos_1p0__seed_0042,gallop_a,gallop,bound,bound,0.044096338813621266,0.06376871815196247,True,
gait_06_gallop__vx_pos_1p5__seed_0042,gallop_a,gallop,bound,bound,0.06046870854872231,0.03872717938654927,True,
gait_07_gallop__vx_neg_1p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.05374941620437793,0.03589469123521357,True,
gait_07_gallop__vx_neg_1p0__seed_0042,gallop_b,gallop,gallop_b,gallop,0.039480228650647244,0.05447355027652651,True,
gait_07_gallop__vx_neg_0p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.040440901652098016,0.06771676477626225,True,
gait_07_gallop__vx_pos_0p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.03940798852901894,0.054052385470518556,True,
gait_07_gallop__vx_pos_1p0__seed_0042,gallop_b,gallop,gallop_b,gallop,0.04648410269578094,0.03781960139051827,True,
gait_07_gallop__vx_pos_1p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.062321115377817156,0.0197847776605383,True,
gait_08_gallop__vx_neg_1p5__seed_0042,gallop_c,gallop,half_bound_hind_b,half_bound,0.06625774246130965,0.026040302721850317,True,
gait_08_gallop__vx_neg_1p0__seed_0042,gallop_c,gallop,unclassified,unclassified,0.12371078448547691,0.004960205927922387,True,
gait_08_gallop__vx_neg_0p5__seed_0042,gallop_c,gallop,unclassified,unclassified,0.12511665471859307,0.019709556544683676,True,
gait_08_gallop__vx_pos_0p5__seed_0042,gallop_c,gallop,unclassified,unclassified,0.07457327020937386,0.0016640921284162835,True,
gait_08_gallop__vx_pos_1p0__seed_0042,gallop_c,gallop,unclassified,unclassified,0.0744198601764952,0.0032323594194253458,True,
gait_08_gallop__vx_pos_1p5__seed_0042,gallop_c,gallop,bound,bound,0.05714354791652828,0.029972607489132212,True,
gait_09_gallop__vx_neg_1p5__seed_0042,gallop_d,gallop,gallop_d,gallop,0.0642817902444952,0.02623514011296116,True,
