operator,scope,stratum,planned_pairs,analyzed_pairs,paired_velocity_bias_mean,paired_velocity_bias_valid_pairs,paired_velocity_bias_coverage_fraction,paired_yaw_bias_mean,paired_yaw_bias_valid_pairs,paired_yaw_bias_coverage_fraction,paired_contact_pattern_error_mean,paired_contact_pattern_error_valid_pairs,paired_contact_pattern_error_coverage_fraction,paired_touchdown_phase_error_mean,paired_touchdown_phase_error_valid_pairs,paired_touchdown_phase_error_coverage_fraction,paired_joint_position_error_mean,paired_joint_position_error_valid_pairs,paired_joint_position_error_coverage_fraction,paired_joint_velocity_error_mean,paired_joint_velocity_error_valid_pairs,paired_joint_velocity_error_coverage_fraction,paired_actor_mean_consistency_error_mean,paired_actor_mean_consistency_error_valid_pairs,paired_actor_mean_consistency_error_coverage_fraction,paired_normalized_target_consistency_error_mean,paired_normalized_target_consistency_error_valid_pairs,paired_normalized_target_consistency_error_coverage_fraction,paired_value_consistency_error_mean,paired_value_consistency_error_valid_pairs,paired_value_consistency_error_coverage_fraction,paired_torque_pattern_error_mean,paired_torque_pattern_error_valid_pairs,paired_torque_pattern_error_coverage_fraction,paired_work_pattern_error_mean,paired_work_pattern_error_valid_pairs,paired_work_pattern_error_coverage_fraction,paired_grf_pattern_error_mean,paired_grf_pattern_error_valid_pairs,paired_grf_pattern_error_coverage_fraction
temporal_reversal,overall,all,30,29,0.029783097644527624,29,0.9666666666666667,0.012183603183916746,29,0.9666666666666667,0.10092090772383866,29,0.9666666666666667,0.0485562810498703,29,0.9666666666666667,0.18669861675245294,29,0.9666666666666667,4.299484421998937,29,0.9666666666666667,1.3604534658430774,29,0.9666666666666667,0.30835850604929627,29,0.9666666666666667,0.03900658273514823,29,0.9666666666666667,4.802317318857404,29,0.9666666666666667,35.70427956425251,29,0.9666666666666667,33.77397358477592,29,0.9666666666666667
temporal_reversal,family,bound,3,3,0.03968272745952048,3,1.0,0.0122669080906391,3,1.0,0.0718747816628557,3,1.0,0.054934624476905884,3,1.0,0.1735943889769964,3,1.0,4.546058368411093,3,1.0,1.119383134772347,3,1.0,0.2307828467904586,3,1.0,0.013095458291272774,3,1.0,4.638808024232991,3,1.0,41.377792537777445,3,1.0,33.49612071766553,3,1.0
temporal_reversal,family,gallop,12,11,0.02271528027852523,11,0.9166666666666666,0.0193133685707692,11,0.9166666666666666,0.1246251590118397,11,0.9166666666666666,0.049926718981563305,11,0.9166666666666666,0.19788672511405636,11,0.9166666666666666,4.362505426854157,11,0.9166666666666666,1.415615534138385,11,0.9166666666666666,0.32397921300283355,11,0.9166666666666666,0.04988409026500815,11,0.9166666666666666,5.078873869743076,11,0.9166666666666666,37.54097772549262,11,0.9166666666666666,35.36177963556326,11,0.9166666666666666
temporal_reversal,family,half_bound,12,12,0.035286839560691265,12,1.0,0.008074500135792891,12,1.0,0.09735610531055694,12,1.0,0.04346185548727919,12,1.0,0.19124471091980522,12,1.0,4.561554721965051,12,1.0,1.2702883617533745,12,1.0,0.2722725742531802,12,1.0,0.040115016930285734,12,1.0,5.0529704849611266,12,1.0,39.60277305102711,12,1.0,36.13664994495174,12,1.0
temporal_reversal,family,trot,3,3,0.023783830506889,3,1.0,0.0023942373845641666,3,1.0,0.05731065538194444,3,1.0,0.05753070079032483,3,1.0,0.14059540386595448,3,1.0,2.773552257919843,3,1.0,1.7599232961898252,3,1.0,0.4730019669962955,3,1.0,0.020599776122320723,3,1.0,2.9491732624861284,3,1.0,7.702232719082073,3,1.0,18.779165491629488,3,1.0
temporal_reversal,direction,positive_to_negative,30,29,0.029783097644527624,29,0.9666666666666667,0.012183603183916746,29,0.9666666666666667,0.10092090772383866,29,0.9666666666666667,0.0485562810498703,29,0.9666666666666667,0.18669861675245294,29,0.9666666666666667,4.299484421998937,29,0.9666666666666667,1.3604534658430774,29,0.9666666666666667,0.30835850604929627,29,0.9666666666666667,0.03900658273514823,29,0.9666666666666667,4.802317318857404,29,0.9666666666666667,35.70427956425251,29,0.9666666666666667,33.77397358477592,29,0.9666666666666667
temporal_reversal,speed,0.5 m/s,10,9,0.03388138159595608,9,0.9,0.013879248173863296,9,0.9,0.06554361979166666,9,0.9,0.035075826659331635,9,0.9,0.1911073076975032,9,0.9,4.101797425018361,9,0.9,1.128736054018688,9,0.9,0.2545517218999531,9,0.9,0.02812960698820298,9,0.9,4.666995340158073,9,0.9,40.606723062378045,9,0.9,30.183728620657682,9,0.9
temporal_reversal,speed,1 m/s,10,10,0.03903491956361028,10,1.0,0.010630936238240466,10,1.0,0.11436866021925403,10,1.0,0.04101031471843628,10,1.0,0.18883408240893623,10,1.0,4.287101094569559,10,1.0,1.3786397046848233,10,1.0,0.30151850133944447,10,1.0,0.04550979572287055,10,1.0,4.998713304358791,10,1.0,34.466185148336194,10,1.0,35.818513451955624,10,1.0
temporal_reversal,speed,1.5 m/s,10,10,0.016842820169159375,10,1.0,0.01221018963864114,10,1.0,0.11931271436737804,10,1.0,0.06823465633278913,10,1.0,0.18059532924542437,10,1.0,4.4897860467108295,10,1.0,1.5508128976432822,10,1.0,0.363624616493557,10,1.0,0.04229264791967666,10,1.0,4.727711114185415,10,1.0,32.530174831855845,10,1.0,34.960654185302644,10,1.0
temporal_reversal,robot,go2,30,29,0.029783097644527624,29,0.9666666666666667,0.012183603183916746,29,0.9666666666666667,0.10092090772383866,29,0.9666666666666667,0.0485562810498703,29,0.9666666666666667,0.18669861675245294,29,0.9666666666666667,4.299484421998937,29,0.9666666666666667,1.3604534658430774,29,0.9666666666666667,0.30835850604929627,29,0.9666666666666667,0.03900658273514823,29,0.9666666666666667,4.802317318857404,29,0.9666666666666667,35.70427956425251,29,0.9666666666666667,33.77397358477592,29,0.9666666666666667
