positive_cell_id,negative_cell_id,gait_index,partner_gait_index,family,speed_mps,positive_vx_bias_mps,negative_vx_bias_mps,directed_positive_bias_mps,directed_negative_bias_mps,paired_directional_bias_mps,directional_asymmetry_mps,positive_measured_vx_mps,negative_measured_vx_mps,e_pair_bias_mps,e_pair_bias_normalized,e_pair_bias_epsilon_mps,e_pair_bias_definition
gait_00_trot__vx_pos_0p5__seed_0042,gait_00_trot__vx_neg_0p5__seed_0042,0,0,trot,0.5,0.0036590952680718085,0.029114459859164853,0.0036590952680718085,-0.029114459859164853,-0.012727682295546522,0.03277355512723666,0.5036590952680718,-0.47088554014083517,0.032773555127236675,0.03277352235371432,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p0__seed_0042,gait_00_trot__vx_neg_1p0__seed_0042,0,0,trot,1.0,-9.701120071723813e-05,0.02768164812052836,-9.701120071723813e-05,-0.02768164812052836,-0.0138893296606228,0.027584636919811122,0.9999029887992827,-0.9723183518794717,0.027584636919811056,0.013792311563749745,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p5__seed_0042,gait_00_trot__vx_neg_1p5__seed_0042,0,0,trot,1.5,-0.006563101957241694,0.017557133734226228,-0.006563101957241694,-0.017557133734226228,-0.01206011784573396,0.010994031776984534,1.4934368980427584,-1.4824428662657738,0.010994031776984547,0.00366467603743617,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_0p5__seed_0042,gait_01_bound__vx_neg_0p5__seed_0042,1,1,bound,0.5,0.0092437590007703,0.0471825333115477,0.0092437590007703,-0.0471825333115477,-0.018969387155388703,0.056426292312318,0.5092437590007703,-0.4528174666884523,0.05642629231231805,0.05642623588608217,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p0__seed_0042,gait_01_bound__vx_neg_1p0__seed_0042,1,1,bound,1.0,-0.004288802992125027,0.04428070734758846,-0.004288802992125027,-0.04428070734758846,-0.024284755169856745,0.03999190435546343,0.995711197007875,-0.9557192926524115,0.039991904355463515,0.019995942179760667,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p5__seed_0042,gait_01_bound__vx_neg_1p5__seed_0042,1,1,bound,1.5,-0.008815925071636836,0.03200601215163867,-0.008815925071636836,-0.03200601215163867,-0.020410968611637752,0.02319008708000183,1.4911840749283631,-1.4679939878483614,0.023190087080001698,0.007730026449991749,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_0p5__seed_0042,gait_03_half_bound__vx_neg_0p5__seed_0042,2,3,half_bound,0.5,0.003153777393988694,0.04288954579311868,0.003153777393988694,-0.04288954579311868,-0.019867884199564995,0.046043323187107375,0.5031537773939887,-0.4571104542068813,0.04604332318710741,0.04604327714383027,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p0__seed_0042,gait_03_half_bound__vx_neg_1p0__seed_0042,2,3,half_bound,1.0,0.00724788278829856,0.036017603927948436,0.00724788278829856,-0.036017603927948436,-0.014384860569824938,0.043265486716247,1.0072478827882985,-0.9639823960720516,0.04326548671624686,0.021632732541757158,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p5__seed_0042,gait_03_half_bound__vx_neg_1p5__seed_0042,2,3,half_bound,1.5,-0.0026981828113396963,0.026509993275006614,-0.0026981828113396963,-0.026509993275006614,-0.014604088043173155,0.023811810463666917,1.4973018171886603,-1.4734900067249934,0.02381181046366687,0.007937267508799787,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_0p5__seed_0042,gait_02_half_bound__vx_neg_0p5__seed_0042,3,2,half_bound,0.5,0.012734732334164606,0.03286682905370898,0.012734732334164606,-0.03286682905370898,-0.010066048359772189,0.045601561387873586,0.5127347323341646,-0.46713317094629103,0.045601561387873524,0.04560151578635774,1e-06,abs(mean_vx_pos + mean_vx_neg)
