cell_id,event,first_foot,second_foot,eligible_complete_cycles,matched_complete_cycles,unmatched_complete_cycles,coverage_fraction,mean_s,p95_s,mean_cycles,p95_cycles
gait_00_trot__vx_neg_1p5__seed_0042,touchdown,fl,rr,38,38,0,1.0,0.005789473684210526,0.02,0.02352558939080489,0.08127021789550781
gait_00_trot__vx_neg_1p5__seed_0042,touchdown,fr,rl,38,38,0,1.0,0.016315789473684214,0.02,0.06629938828317743,0.08127021789550781
gait_00_trot__vx_neg_1p5__seed_0042,liftoff,fl,rr,38,38,0,1.0,0.02894736842105264,0.04,0.11762794695402447,0.16254043579101562
gait_00_trot__vx_neg_1p5__seed_0042,liftoff,fr,rl,38,38,0,1.0,0.008421052631578949,0.02,0.03421903911389803,0.08127021789550781
gait_00_trot__vx_neg_1p0__seed_0042,touchdown,fl,rr,30,30,0,1.0,0.006,0.02,0.01906242370605469,0.06354141235351562
gait_00_trot__vx_neg_1p0__seed_0042,touchdown,fr,rl,30,30,0,1.0,0.016000000000000004,0.02,0.0508331298828125,0.06354141235351562
gait_00_trot__vx_neg_1p0__seed_0042,liftoff,fl,rr,30,30,0,1.0,0.024000000000000007,0.04,0.07624969482421876,0.12708282470703125
gait_00_trot__vx_neg_1p0__seed_0042,liftoff,fr,rl,30,30,0,1.0,0.004666666666666667,0.02,0.014826329549153645,0.06354141235351562
gait_00_trot__vx_neg_0p5__seed_0042,touchdown,fl,rr,23,23,0,1.0,0.0017391304347826088,0.01799999999999997,0.004319895868716033,0.044710922241210864
gait_00_trot__vx_neg_0p5__seed_0042,touchdown,fr,rl,23,21,2,0.9130434782608695,0.004761904761904762,0.02,0.011828286307198661,0.049678802490234375
gait_00_trot__vx_neg_0p5__seed_0042,liftoff,fl,rr,23,23,0,1.0,0.007826086956521738,0.02,0.019439531409222145,0.049678802490234375
gait_00_trot__vx_neg_0p5__seed_0042,liftoff,fr,rl,23,23,0,1.0,0.002608695652173913,0.02,0.006479843803074049,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_0042,touchdown,fl,rr,23,23,0,1.0,0.004347826086956522,0.02,0.010799739671790081,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_0042,touchdown,fr,rl,23,15,8,0.6521739130434783,0.0,0.0,0.0,0.0
gait_00_trot__vx_pos_0p5__seed_0042,liftoff,fl,rr,23,23,0,1.0,0.002608695652173913,0.02,0.006479843803074049,0.049678802490234375
gait_00_trot__vx_pos_0p5__seed_0042,liftoff,fr,rl,23,23,0,1.0,0.0034782608695652175,0.02,0.008639791737432066,0.049678802490234375
gait_00_trot__vx_pos_1p0__seed_0042,touchdown,fl,rr,30,30,0,1.0,0.002,0.02,0.006354141235351563,0.06354141235351562
gait_00_trot__vx_pos_1p0__seed_0042,touchdown,fr,rl,30,30,0,1.0,0.0033333333333333335,0.02,0.010590235392252604,0.06354141235351562
gait_00_trot__vx_pos_1p0__seed_0042,liftoff,fl,rr,30,30,0,1.0,0.002,0.02,0.006354141235351563,0.06354141235351562
gait_00_trot__vx_pos_1p0__seed_0042,liftoff,fr,rl,30,30,0,1.0,0.0013333333333333333,0.010999999999999944,0.004236094156901042,0.034947776794433415
gait_00_trot__vx_pos_1p5__seed_0042,touchdown,fl,rr,38,38,0,1.0,0.003157894736842105,0.02,0.01283213966771176,0.08127021789550781
gait_00_trot__vx_pos_1p5__seed_0042,touchdown,fr,rl,38,38,0,1.0,0.004210526315789474,0.02,0.017109519556949015,0.08127021789550781
gait_00_trot__vx_pos_1p5__seed_0042,liftoff,fl,rr,38,38,0,1.0,0.007894736842105265,0.02,0.0320803491692794,0.08127021789550781
gait_00_trot__vx_pos_1p5__seed_0042,liftoff,fr,rl,38,38,0,1.0,0.004736842105263157,0.02,0.01924820950156764,0.08127021789550781
gait_01_bound__vx_neg_1p5__seed_0042,touchdown,fl,fr,38,35,3,0.9210526315789473,0.0017142857142857142,0.02,0.006966018676757812,0.08127021789550781
gait_01_bound__vx_neg_1p5__seed_0042,touchdown,rl,rr,38,34,4,0.8947368421052632,0.00411764705882353,0.02,0.016732103684369254,0.08127021789550781
gait_01_bound__vx_neg_1p5__seed_0042,liftoff,fl,fr,38,35,3,0.9210526315789473,0.005714285714285713,0.02,0.023220062255859375,0.08127021789550781
gait_01_bound__vx_neg_1p5__seed_0042,liftoff,rl,rr,38,34,4,0.8947368421052632,0.01,0.026999999999999958,0.040635108947753906,0.10971479415893537
gait_01_bound__vx_neg_1p0__seed_0042,touchdown,fl,fr,30,30,0,1.0,0.0006666666666666666,0.0,0.002118047078450521,0.0
gait_01_bound__vx_neg_1p0__seed_0042,touchdown,rl,rr,30,30,0,1.0,0.0006666666666666666,0.0,0.002118047078450521,0.0
gait_01_bound__vx_neg_1p0__seed_0042,liftoff,fl,fr,30,30,0,1.0,0.007999999999999998,0.02,0.02541656494140625,0.06354141235351562
gait_01_bound__vx_neg_1p0__seed_0042,liftoff,rl,rr,30,30,0,1.0,0.007333333333333332,0.02,0.02329851786295573,0.06354141235351562
gait_01_bound__vx_neg_0p5__seed_0042,touchdown,fl,fr,23,23,0,1.0,0.0,0.0,0.0,0.0
gait_01_bound__vx_neg_0p5__seed_0042,touchdown,rl,rr,23,22,1,0.9565217391304348,0.0,0.0,0.0,0.0
gait_01_bound__vx_neg_0p5__seed_0042,liftoff,fl,fr,23,23,0,1.0,0.004347826086956522,0.02,0.010799739671790081,0.049678802490234375
gait_01_bound__vx_neg_0p5__seed_0042,liftoff,rl,rr,23,22,1,0.9565217391304348,0.005454545454545455,0.02,0.013548764315518465,0.049678802490234375
gait_01_bound__vx_pos_0p5__seed_0042,touchdown,fl,fr,23,23,0,1.0,0.0,0.0,0.0,0.0
