scope,stratum,planned_cells,terminated_cells,velocity_valid_cells,velocity_vx_relative_rmse_mean,velocity_yaw_rmse_radps_mean,heading_valid_cells,heading_rmse_rad_mean,gait_valid_cells,gait_agreement_boundary_excluded_mean,gait_duty_factor_abs_error_mean,classification_valid_cells,classification_unclassified_cells,classification_row_accuracy,classification_family_accuracy,raw_load_valid_cells,absolute_work_total_j_mean,grf_load_valid_cells,vertical_grf_impulse_total_ns_mean,normalized_load_valid_cells,normalized_torque_squared_total_s_mean,velocity_success_domain_cells,velocity_success_cells,gait_success_domain_cells,gait_success_cells,joint_success_domain_cells,joint_success_cells
row,bound,6,0,6,0.0568401961455556,0.056868007324049064,6,0.018684167654112863,6,0.9176785733111467,0.10817739964435115,6,0,1.0,1.0,6,3055.4973770993947,6,1436.5924104947724,6,6.218757837462988,6,3,6,6,6,3
row,gallop_a,6,0,6,0.03964595919014048,0.06392168200302915,6,0.022328428994428443,6,0.8263954903932799,0.15244928479125858,6,1,0.0,0.0,6,2302.037135492779,6,1434.7895665941387,6,5.799618338121348,6,1,6,0,6,0
row,gallop_b,6,0,6,0.04530248254671601,0.06822207534416405,6,0.03750568669836496,6,0.8713599022325983,0.14536584185718307,6,0,1.0,1.0,6,1979.4161411979087,6,1459.264711600269,6,4.60012993558694,6,0,6,5,6,0
row,gallop_c,6,0,6,0.047128207654733946,0.0729027967363723,6,0.03187337510313991,6,0.8265115726857716,0.12304938067423044,6,1,0.0,0.0,6,2800.8526781927144,6,1434.9093241535622,6,6.306985336419081,6,0,6,0,6,0
row,gallop_d,6,0,6,0.0441003191072983,0.06424797117756874,6,0.027522889410974662,6,0.8934050141134618,0.12848529917715654,6,2,0.6666666666666666,0.6666666666666666,6,1905.5004554138602,6,1446.293112500546,6,5.184805785466751,6,0,6,3,6,0
row,half_bound_front_a,6,0,6,0.04809029255134493,0.06922750370826469,6,0.021228006878949313,6,0.8769618064114789,0.1197595776692059,6,1,0.0,0.0,6,2684.6618035137067,6,1441.0502321757251,6,6.124544779433496,6,1,6,0,6,0
row,half_bound_front_b,6,0,6,0.0388954483799778,0.07199069507626374,6,0.01968273514980471,6,0.876819732819639,0.1328053581572883,6,0,0.5,0.5,6,2356.3682940057392,6,1426.7923143161213,6,6.00270969878041,6,0,6,3,6,0
row,half_bound_hind_a,6,0,6,0.05767413680465406,0.06143220513659911,6,0.023803696226112208,6,0.8651752703089217,0.1304801165406844,6,1,0.16666666666666666,0.16666666666666666,6,2603.3729104884173,6,1434.8486947819683,6,5.706395093804307,6,2,6,1,6,0
row,half_bound_hind_b,6,0,6,0.04806069533989415,0.06939985226190902,6,0.032357637490221046,6,0.8610653434013423,0.12892817887027294,6,0,0.0,0.0,6,2670.3828097123655,6,1426.2654695097046,6,5.982375070943079,6,0,6,0,6,0
row,trot,6,0,6,0.044524632574159693,0.04590298299421061,6,0.01813614813375362,6,0.8801600914832767,0.1503787234798963,6,0,1.0,1.0,6,814.7225478211543,6,1478.0535020769885,6,2.942922889177222,6,5,6,5,6,5
family,bound,6,0,6,0.0568401961455556,0.056868007324049064,6,0.018684167654112863,6,0.9176785733111467,0.10817739964435115,6,0,1.0,1.0,6,3055.4973770993947,6,1436.5924104947724,6,6.218757837462988,6,3,6,6,6,3
family,gallop,24,0,24,0.04404424212472219,0.06732363131528356,24,0.029807595051726993,24,0.8544179948562779,0.13733745162495714,24,4,0.4166666666666667,0.4166666666666667,24,2246.9516025743155,24,1443.8141787121292,24,5.472884848898531,24,1,24,8,24,0
family,half_bound,24,0,24,0.04818014326896774,0.06801256404575913,24,0.024268018936271816,24,0.8700055382353455,0.12799330780936288,24,2,0.16666666666666666,0.16666666666666666,24,2578.696454430057,24,1432.23917769588,24,5.954006160740323,24,3,24,4,24,0
family,trot,6,0,6,0.044524632574159693,0.04590298299421061,6,0.01813614813375362,6,0.8801600914832767,0.1503787234798963,6,0,1.0,1.0,6,814.7225478211543,6,1478.0535020769885,6,2.942922889177222,6,5,6,5,6,5
velocity,+0.5 m/s,10,0,10,0.06786791249415106,0.06636226244398435,10,0.02512620361328281,10,0.8976333464647921,0.10181090343072548,10,3,0.5,0.5,10,1541.0018768150917,10,1432.879712182872,10,4.278741688614697,10,1,10,5,10,1
velocity,+1 m/s,10,0,10,0.032137281115938235,0.05610426242952451,10,0.04281328381703413,10,0.8537271245983502,0.15991150873606322,10,0,0.5,0.5,10,1923.6473366140344,10,1484.6040965456664,10,4.32095853384949,10,4,10,5,10,2
velocity,+1.5 m/s,10,0,10,0.02204621333930098,0.05403999657133074,10,0.01799824407112195,10,0.800344138042069,0.21738276282946267,10,0,0.5,0.5,10,2041.3273566738703,10,1465.8757335590794,10,4.513063490789035,10,3,10,2,10,1
velocity,-0.5 m/s,10,0,10,0.09176923547465404,0.06212042488618821,10,0.022497497448085543,10,0.9060824955691145,0.0775122837250277,10,0,0.4,0.4,10,1845.67086585613,10,1402.2031273602304,10,5.416403026198502,10,2,10,4,10,2
velocity,-1 m/s,10,0,10,0.04272091305493966,0.06597610760823065,10,0.020755231126020342,10,0.8901092522022171,0.10494224644098124,10,2,0.3,0.3,10,2840.482594713048,10,1433.979431554593,10,6.887285447935861,10,1,10,3,10,1
velocity,-1.5 m/s,10,0,10,0.025615866697701002,0.08186640911819981,10,0.022683202968372264,10,0.869423321420007,0.1303677913546562,10,1,0.4,0.4,10,3711.5572610906493,10,1431.773501719836,10,7.505094671729789,10,1,10,4,10,1
direction,backward,30,0,30,0.05336867174243157,0.06998764720420622,30,0.021978643847492717,30,0.8885383563971129,0.10427410717355506,30,3,0.36666666666666664,0.36666666666666664,30,2799.2369072199426,30,1422.6520202115532,30,6.60292771528805,30,4,30,11,30,4
direction,forward,30,0,30,0.04068380231646342,0.05883550714827987,30,0.02864591050047963,30,0.8505682030350705,0.15970172499875046,30,3,0.5,0.5,30,1835.3255233676655,30,1461.1198474292062,30,4.370921237751074,30,8,30,12,30,4
policy,025e42bdfda280bc858139d8184e07bb51e59d79eba7e3835dc9a2f76c7d070b,60,0,60,0.0470262370294475,0.06441157717624305,60,0.025312277173986174,60,0.8695532797160916,0.13198791608615276,60,6,0.43333333333333335,0.43333333333333335,60,2317.281215293804,60,1441.8859338203797,60,5.486924476519563,60,12,60,23,60,8
