positive_cell_id,negative_cell_id,gait_index,partner_gait_index,family,speed_mps,positive_vx_bias_mps,negative_vx_bias_mps,directed_positive_bias_mps,directed_negative_bias_mps,paired_directional_bias_mps,directional_asymmetry_mps,positive_measured_vx_mps,negative_measured_vx_mps,e_pair_bias_mps,e_pair_bias_normalized,e_pair_bias_epsilon_mps,e_pair_bias_definition
gait_00_trot__vx_pos_0p5__seed_0042,gait_00_trot__vx_neg_0p5__seed_0042,0,0,trot,0.5,-0.011863565099412117,0.012559654364674728,-0.011863565099412117,-0.012559654364674728,-0.012211609732043422,0.0006960892652626109,0.4881364349005879,-0.4874403456353253,0.0006960892652626005,0.0006960885691740313,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p0__seed_0042,gait_00_trot__vx_neg_1p0__seed_0042,0,0,trot,1.0,-0.009071765864481692,0.010814268080914607,-0.009071765864481692,-0.010814268080914607,-0.00994301697269815,0.001742502216432915,0.9909282341355183,-0.9891857319190854,0.0017425022164329063,0.0008712506725911168,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p5__seed_0042,gait_00_trot__vx_neg_1p5__seed_0042,0,0,trot,1.5,-0.008729931463797887,0.001184653490781784,-0.008729931463797887,-0.001184653490781784,-0.0049572924772898356,-0.007545277973016103,1.4912700685362021,-1.4988153465092182,0.0075452779730160735,0.0025150918193080846,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_0p5__seed_0042,gait_01_bound__vx_neg_0p5__seed_0042,1,1,bound,0.5,0.005753280953590914,0.003830750598176913,0.005753280953590914,-0.003830750598176913,0.0009612651777070006,0.009584031551767827,0.505753280953591,-0.4961692494018231,0.009584031551767846,0.00958402196774588,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p0__seed_0042,gait_01_bound__vx_neg_1p0__seed_0042,1,1,bound,1.0,-0.004560437480934331,3.517101534077378e-05,-0.004560437480934331,-3.517101534077378e-05,-0.0022978042481375523,-0.004525266465593558,0.9954395625190656,-0.9999648289846592,0.0045252664655935915,0.002262632101480745,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p5__seed_0042,gait_01_bound__vx_neg_1p5__seed_0042,1,1,bound,1.5,-0.004683694491783778,0.0075281078616778055,-0.004683694491783778,-0.0075281078616778055,-0.006105901176730792,0.0028444133698940274,1.4953163055082161,-1.4924718921383222,0.002844413369893939,0.0009481374739188217,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_0p5__seed_0042,gait_03_half_bound__vx_neg_0p5__seed_0042,2,3,half_bound,0.5,0.0042692263057266455,0.009213611144209995,0.0042692263057266455,-0.009213611144209995,-0.0024721924192416746,0.013482837449936641,0.5042692263057267,-0.49078638885579,0.013482837449936669,0.013482823967112702,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p0__seed_0042,gait_03_half_bound__vx_neg_1p0__seed_0042,2,3,half_bound,1.0,-0.0043961646371200435,-0.0005229448930161899,-0.0043961646371200435,0.0005229448930161899,-0.001936609872051927,-0.004919109530136233,0.99560383536288,-1.0005229448930162,0.00491910953013619,0.002459553535291327,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p5__seed_0042,gait_03_half_bound__vx_neg_1p5__seed_0042,2,3,half_bound,1.5,-0.0010352812707424164,-0.009140860786040624,-0.0010352812707424164,0.009140860786040624,0.004052789757649103,-0.010176142056783041,1.4989647187292576,-1.5091408607860406,0.010176142056782966,0.0033920462215789146,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_0p5__seed_0042,gait_02_half_bound__vx_neg_0p5__seed_0042,3,2,half_bound,0.5,-0.003744927252301518,0.008729296503106507,-0.003744927252301518,-0.008729296503106507,-0.006237111877704013,0.0049843692508049885,0.4962550727476985,-0.4912707034968935,0.004984369250804976,0.0049843642664407104,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_1p0__seed_0042,gait_02_half_bound__vx_neg_1p0__seed_0042,3,2,half_bound,1.0,-0.006006109421370459,0.02136825477002097,-0.006006109421370459,-0.02136825477002097,-0.013687182095695714,0.015362145348650512,0.9939938905786295,-0.978631745229979,0.015362145348650547,0.007681068833790856,1e-06,abs(mean_vx_pos + mean_vx_neg)
