cell_id,foot,contact_mean_force_n,vertical_impulse_ns,force_p95_n,force_p99_n,force_max_n,impact_event_count,impact_peak_mean_n,impact_peak_p95_n,impact_peak_max_n,impact_impulse_mean_ns,impact_impulse_p95_ns,impact_impulse_max_ns,agreement,agreement_boundary_excluded,false_swing_contact_fraction,missed_stance_contact_fraction,contact_precision,contact_recall,contact_f1,measured_duty_factor,commanded_duty_factor,sampled_desired_stance_fraction,desired_duty_factor,duty_factor_error,duty_factor_abs_error,touchdown_matched,touchdown_abs_error_mean_cycles,touchdown_abs_error_mean_s,touchdown_abs_error_median_cycles,touchdown_abs_error_median_s,touchdown_abs_error_p95_cycles,touchdown_abs_error_p95_s,touchdown_unmatched_expected,touchdown_unmatched_actual,touchdown_unmatched_fraction,touchdown_expected_unmatched_fraction,touchdown_actual_unmatched_fraction,touchdown_event_count,liftoff_matched,liftoff_abs_error_mean_cycles,liftoff_abs_error_mean_s,liftoff_abs_error_median_cycles,liftoff_abs_error_median_s,liftoff_abs_error_p95_cycles,liftoff_abs_error_p95_s,liftoff_unmatched_expected,liftoff_unmatched_actual,liftoff_unmatched_fraction,liftoff_expected_unmatched_fraction,liftoff_actual_unmatched_fraction,liftoff_event_count
gait_00_trot__vx_neg_1p5__seed_0042,fl,93.15309054368026,533.5140977597237,139.2860221862793,155.98670806884746,230.44602966308594,39,142.3499998434996,163.2020446777344,230.44602966308594,7.583368013822114,8.284991256713868,9.614883422851562,0.7395833333333334,0.7562076749435666,0.3576158940397351,0.0,0.5662650602409639,1.0,0.7230769230769232,0.5958333333333333,0.333658903837204,0.33541666666666664,0.33541666666666664,0.26217442949612935,0.26217442949612935,39,0.0706948981835292,0.017397491975332045,0.07032516598701477,0.017306503614259897,0.10569427609443666,0.026010580217794368,0,0,0.0,0.0,0.0,39,23,0.17371244015900986,0.04274934770874086,0.17237091064453125,0.042419207209744424,0.19380226135253906,0.04769330423150039,15,16,0.5740740740740741,0.39473684210526316,0.41025641025641024,39
gait_00_trot__vx_neg_1p5__seed_0042,fr,84.54265919451444,448.4904898905754,129.9189727783203,165.52849609375104,230.0160369873047,39,133.78470181196164,216.18359527587893,230.0160369873047,6.7521050873780855,8.984928970336915,9.523824768066406,0.7791666666666667,0.8076923076923077,0.2833333333333333,0.0,0.6255506607929515,1.0,0.7696476964769647,0.5520833333333334,0.333658903837204,0.33125,0.33125,0.2184244294961294,0.2184244294961294,39,0.04373061274870848,0.010761780608225902,0.04347732663154602,0.010699448766692484,0.07929695248603821,0.01951439396606351,0,0,0.0,0.0,0.0,39,28,0.15817689895629883,0.03892616583350936,0.1634988784790039,0.040235865662184046,0.18832015991210938,0.046344199582247884,11,11,0.44,0.28205128205128205,0.28205128205128205,39
gait_00_trot__vx_neg_1p5__seed_0042,rl,60.48174681534638,271.78036157131197,101.74463005065918,112.95373214721674,133.21177673339844,42,95.40529187520345,114.12341232299802,133.21177673339844,4.745235786892119,5.7334872894287106,6.117960510253907,0.86875,0.9049773755656109,0.14,0.0,0.7717391304347826,1.0,0.8711656441717791,0.4625,0.333658903837204,0.33125,0.33125,0.12884109616279604,0.12884109616279604,39,0.033879898297481045,0.00833759258306449,0.033196717500686646,0.008169466837991975,0.06856220364570619,0.016872651611161964,0,3,0.07142857142857142,0.0,0.07142857142857142,42,37,0.08175365344898121,0.02011896991689993,0.07544708251953125,0.018566969419606186,0.1854011535644531,0.04562585369288178,2,5,0.1590909090909091,0.05128205128205128,0.11904761904761904,42
gait_00_trot__vx_neg_1p5__seed_0042,rr,55.38916936421503,244.26403064966203,102.13183898925782,192.98842712402333,206.53416442871094,41,112.87722168899164,195.7550811767578,206.53416442871094,4.65257424610417,6.462072372436523,6.767095260620117,0.8791666666666667,0.90744920993228,0.1357615894039735,0.0,0.7747252747252747,1.0,0.8730650154798762,0.45625,0.333658903837204,0.33541666666666664,0.33541666666666664,0.12259109616279601,0.12259109616279601,39,0.02216034287061447,0.005453496605387932,0.020364075899124146,0.005011448578938722,0.04721881747245789,0.011620202011312166,0,2,0.04878048780487805,0.0,0.04878048780487805,41,36,0.12857076856825086,0.03164031594785661,0.14411354064941406,0.035465277288835695,0.19104957580566406,0.047015888662019764,2,4,0.14285714285714285,0.05263157894736842,0.1,40
gait_00_trot__vx_neg_1p0__seed_0042,fl,89.04924413781417,507.66634771823885,128.8196228027344,132.2576904296875,133.9364013671875,31,128.58836930797946,132.48322296142578,133.9364013671875,6.914673265026462,7.314372329711914,7.549688873291016,0.8114754098360656,0.8408071748878924,0.2591240875912409,0.0,0.7078189300411523,1.0,0.8289156626506025,0.5840163934426229,0.39623603224754333,0.39549180327868855,0.39549180327868855,0.18778036119507957,0.18778036119507957,31,0.04648905704098363,0.014632679797024211,0.0467475950717926,0.01471405602749595,0.07544365525245667,0.023746294725941048,0,0,0.0,0.0,0.0,31,30,0.14124469757080077,0.044457525364711536,0.14182376861572266,0.04463979107882572,0.1700357437133789,0.0535196614036141,0,1,0.03225806451612903,0.0,0.03225806451612903,31
gait_00_trot__vx_neg_1p0__seed_0042,fr,85.68350723608216,459.6657092946768,120.50994148254394,125.9360235595703,184.25100708007812,31,122.8515135242093,126.03181457519531,184.25100708007812,6.577142004197644,6.968221282958984,8.361858978271485,0.8483606557377049,0.8761061946902655,0.2028985507246377,0.0,0.7586206896551724,1.0,0.8627450980392156,0.5491803278688525,0.39623603224754333,0.3975409836065574,0.3975409836065574,0.15294429562130918,0.15294429562130918,31,0.03431881916138434,0.01080203221497501,0.03534546494483948,0.011125174476196195,0.060963064432144165,0.019188451176682476,0,0,0.0,0.0,0.0,31,31,0.11876635397634198,0.03738234627696968,0.11928176879882812,0.03754457585399532,0.14707565307617188,0.046292849852914694,0,0,0.0,0.0,0.0,31
gait_00_trot__vx_neg_1p0__seed_0042,rl,52.18664999512153,257.30396830379965,95.63315963745117,99.14236602783204,100.8091812133789,32,91.44199305772781,99.83475875854492,100.8091812133789,4.570808700323105,5.148577682495117,5.243501129150391,0.8934426229508197,0.9247787610619469,0.12318840579710146,0.0,0.8380952380952381,1.0,0.9119170984455958,0.5040983606557377,0.39623603224754333,0.3975409836065574,0.3975409836065574,0.10786232840819432,0.10786232840819432,31,0.02101876370368465,0.006615768496534442,0.018690496683120728,0.005882933976706491,0.04431000351905823,0.01394681102539473,0,1,0.03125,0.0,0.03125,32,31,0.08802032470703125,0.027704868823917875,0.07982063293457031,0.02512397190370415,0.15540218353271484,0.04891366992855857,0,1,0.03125,0.0,0.03125,32
gait_00_trot__vx_neg_1p0__seed_0042,rr,51.19299433340176,247.20505662679673,94.96428680419922,102.28972625732422,102.54814910888672,31,92.32701676891696,102.46505355834961,102.54814910888672,4.333260111654958,4.767644844055176,4.783767242431641,0.9016393442622951,0.9394618834080718,0.09854014598540146,0.0,0.864321608040201,1.0,0.9272237196765498,0.49385245901639346,0.39623603224754333,0.39549180327868855,0.39549180327868855,0.09761642676885013,0.09761642676885013,31,0.017166332852455876,0.005403195244370767,0.016516119241714478,0.005198537026475356,0.03588542342185974,0.011295129299993998,0,0,0.0,0.0,0.0,31,30,0.10735638936360677,0.033790998779291995,0.1069793701171875,0.0336723299513718,0.15027828216552724,0.04730089451882089,0,1,0.03225806451612903,0.0,0.03225806451612903,31
gait_00_trot__vx_neg_0p5__seed_0042,fl,85.69597351901672,466.25798955440524,111.12911872863769,112.12037132263184,112.82897186279297,24,110.35386244455974,112.41749801635743,112.82897186279297,6.079434707959493,6.4727710952758795,6.482506256103516,0.906832298136646,0.9436936936936937,0.1059322033898305,0.0,0.8927038626609443,1.0,0.9433106575963719,0.5631469979296067,0.4705493450164795,0.4699792960662526,0.4699792960662526,0.09259765291312716,0.09259765291312716,24,0.01802871624628703,0.00725811225012158,0.014497756958007812,0.005836596790294095,0.04380278587341306,0.017634396836366417,0,0,0.0,0.0,0.0,24,23,0.07931278062903363,0.03193023046182507,0.07987213134765625,0.03215541733855486,0.1006235122680664,0.04050963679643707,0,1,0.041666666666666664,0.0,0.041666666666666664,24
gait_00_trot__vx_neg_0p5__seed_0042,fr,82.18007200155685,440.73196500420573,103.7925308227539,105.80402694702148,106.97027587890625,23,104.10462155549422,106.68339233398437,106.97027587890625,5.778531895513121,6.049905532836914,6.0610894775390625,0.917184265010352,0.9527027027027027,0.08898305084745763,0.0,0.9082969432314411,1.0,0.9519450800915332,0.5548654244306418,0.4705493450164795,0.4720496894409938,0.4720496894409938,0.0843160794141623,0.0843160794141623,20,0.012090802192687988,0.004867590033018506,0.010457992553710938,0.004210243415495661,0.026441001892089845,0.010644782308223912,4,3,0.25925925925925924,0.16666666666666666,0.13043478260869565,23,24,0.07346292336781819,0.029575158693593385,0.0727386474609375,0.029283575213084542,0.09545135498046875,0.03842739768102588,0,0,0.0,0.0,0.0,24
