scope,stratum,planned_cells,terminated_cells,velocity_valid_cells,velocity_vx_relative_rmse_mean,velocity_yaw_rmse_radps_mean,heading_valid_cells,heading_rmse_rad_mean,gait_valid_cells,gait_agreement_boundary_excluded_mean,gait_duty_factor_abs_error_mean,classification_valid_cells,classification_unclassified_cells,classification_row_accuracy,classification_family_accuracy,raw_load_valid_cells,absolute_work_total_j_mean,grf_load_valid_cells,vertical_grf_impulse_total_ns_mean,normalized_load_valid_cells,normalized_torque_squared_total_s_mean,velocity_success_domain_cells,velocity_success_cells,gait_success_domain_cells,gait_success_cells,joint_success_domain_cells,joint_success_cells
row,bound,6,0,6,0.04436038342338658,0.048633544458701196,6,0.011769859499857071,6,0.9053989290430441,0.11810857037826604,6,0,1.0,1.0,6,1997.0929548454224,6,1421.693545204823,6,5.347296091342112,6,4,6,6,6,4
row,gallop_a,6,0,6,0.04117625326463152,0.0850263395175274,6,0.022021146501526825,6,0.8302563605508113,0.13587413927603761,6,1,0.0,0.0,6,2192.299358599746,6,1424.8083450199383,6,5.217561221956879,6,0,6,0,6,0
row,gallop_b,6,0,6,0.04158925408686552,0.07217123677776431,6,0.013474820867099517,6,0.8851676712351213,0.1424877617227772,6,0,1.0,1.0,6,1355.2375360615622,6,1444.067883293219,6,4.592897947034187,6,0,6,5,6,0
row,gallop_c,6,0,6,0.04581853591843527,0.06881207046086285,6,0.011370690908204502,6,0.8302957774243557,0.1327584508073918,6,1,0.0,0.0,6,1970.8641176129577,6,1422.2100242185345,6,5.087833199053786,6,1,6,0,6,0
row,gallop_d,6,0,6,0.044342739920620655,0.0878092989882948,6,0.02766093065151161,6,0.8875197143095863,0.1350439444774186,6,1,0.5,0.5,6,2053.2730133853124,6,1435.7775169002762,6,5.407306908553565,6,0,6,3,6,0
row,half_bound_front_a,6,0,6,0.04339325401702932,0.06997841368877943,6,0.025826934976394336,6,0.8563058200651016,0.1375693577075717,6,4,0.3333333333333333,0.3333333333333333,6,1854.2718899509664,6,1425.5992512291666,6,5.4246251942202335,6,0,6,2,6,0
row,half_bound_front_b,6,0,6,0.047565955272830085,0.05906753850159791,6,0.024081146913123158,6,0.8757829619511085,0.1211009668507358,6,0,0.16666666666666666,0.16666666666666666,6,1886.7368014199667,6,1426.0455287497864,6,5.400686329876959,6,1,6,1,6,0
row,half_bound_hind_a,6,0,6,0.038574390348123745,0.07375850865729285,6,0.017487173483193594,6,0.8846552642459998,0.13774002550842926,6,2,0.5,0.5,6,1994.8002592140174,6,1430.6325936669298,6,5.154863525196556,6,0,6,3,6,0
row,half_bound_hind_b,6,0,6,0.050473068569353484,0.06455652928020719,6,0.006137418766376784,6,0.8720778688654393,0.12573660978990245,6,2,0.0,0.0,6,2055.600757913938,6,1417.6138754712977,6,5.270833027000628,6,1,6,0,6,0
row,trot,6,0,6,0.031814142859982,0.05237396448848828,6,0.006704546449453491,6,0.8829580054271932,0.14702608097064743,6,0,1.0,1.0,6,766.0930670523893,6,1488.9722217646613,6,3.3342979372303634,6,3,6,5,6,3
family,bound,6,0,6,0.04436038342338658,0.048633544458701196,6,0.011769859499857071,6,0.9053989290430441,0.11810857037826604,6,0,1.0,1.0,6,1997.0929548454224,6,1421.693545204823,6,5.347296091342112,6,4,6,6,6,4
family,gallop,24,0,24,0.04323169579763825,0.07845473643611234,24,0.018631897232085613,24,0.8583098808799687,0.1365410740709063,24,3,0.375,0.375,24,1892.9185064148944,24,1431.7159423579922,24,5.0763998191496045,24,1,24,8,24,0
family,half_bound,24,0,24,0.045001667051834164,0.06684024753196934,24,0.018383168534771968,24,0.8722054787819123,0.1305367399641598,24,8,0.25,0.25,24,1947.8524271247222,24,1424.972812279295,24,5.312752019073595,24,2,24,6,24,0
family,trot,6,0,6,0.031814142859982,0.05237396448848828,6,0.006704546449453491,6,0.8829580054271932,0.14702608097064743,6,0,1.0,1.0,6,766.0930670523893,6,1488.9722217646613,6,3.3342979372303634,6,3,6,5,6,3
velocity,+0.5 m/s,10,0,10,0.0610812406000224,0.0732255757399345,10,0.030678801353435158,10,0.9109785769961549,0.08941704562978961,10,3,0.5,0.5,10,1472.0213683013312,10,1436.4020056277216,10,4.692969405201621,10,2,10,5,10,2
velocity,+1 m/s,10,0,10,0.031120717525916476,0.06134102263324166,10,0.015535977152744199,10,0.8497735445240769,0.16764716447376815,10,1,0.4,0.4,10,1677.237452006447,10,1466.30187973696,10,4.535311717204375,10,1,10,4,10,1
velocity,+1.5 m/s,10,0,10,0.025363740404820413,0.05376498860296136,10,0.013321784226634808,10,0.7894820968751556,0.22722651282946268,10,1,0.4,0.4,10,1998.0971540278194,10,1455.3521373099984,10,4.559016481656676,10,4,10,2,10,1
velocity,-0.5 m/s,10,0,10,0.07402435530724882,0.0800496465964018,10,0.021739467386613753,10,0.9116467065815886,0.0726236019075287,10,2,0.5,0.5,10,1425.5808216073162,10,1403.300916728042,10,5.186521574249047,10,1,10,5,10,1
velocity,-1 m/s,10,0,10,0.041612878459206984,0.07035380048658765,10,0.008754620458862435,10,0.9002651225372142,0.09899962349016159,10,2,0.5,0.5,10,1965.2174707139407,10,1427.3086775942816,10,5.466160434077914,10,1,10,5,10,1
velocity,-1.5 m/s,10,0,10,0.024261854311539818,0.07057743283258273,10,0.00989015083175418,10,0.8641049763564664,0.14415359616279602,10,2,0.4,0.4,10,2337.607586976913,10,1413.7868543141763,10,5.702941216489528,10,1,10,4,10,1
direction,backward,30,0,30,0.046633029359331876,0.07366029330519072,30,0.013461412892410122,30,0.8920056018250898,0.1052589405201621,30,6,0.4666666666666667,0.4666666666666667,30,1909.4686264327233,30,1414.7988162121667,30,5.451874408272163,30,3,30,14,30,3
direction,forward,30,0,30,0.039188566176919765,0.06277719565871251,30,0.019845520910938056,30,0.8500780727984625,0.16143024097767347,30,5,0.43333333333333335,0.43333333333333335,30,1715.7853247785324,30,1452.68534089156,30,4.595765868020891,30,7,30,11,30,4
policy,cf3d8c8baaef12541dd60b646a6be64be56bf00b9167c244c368e19afb0c5528,60,0,60,0.04291079776812582,0.06821874448195162,60,0.01665346690167409,60,0.8710418373117761,0.1333445907489178,60,11,0.45,0.45,60,1812.6269756056279,60,1433.7420785518632,60,5.023820138146528,60,10,60,25,60,7
