positive_cell_id,negative_cell_id,gait_index,partner_gait_index,family,speed_mps,positive_vx_bias_mps,negative_vx_bias_mps,directed_positive_bias_mps,directed_negative_bias_mps,paired_directional_bias_mps,directional_asymmetry_mps,positive_measured_vx_mps,negative_measured_vx_mps,e_pair_bias_mps,e_pair_bias_normalized,e_pair_bias_epsilon_mps,e_pair_bias_definition
gait_00_trot__vx_pos_0p5__seed_0042,gait_00_trot__vx_neg_0p5__seed_0042,0,0,trot,0.5,0.014484830216097783,0.03826519452020002,0.014484830216097783,-0.03826519452020002,-0.011890182152051117,0.0527500247362978,0.5144848302160978,-0.4617348054798,0.05275002473629781,0.052749971986325826,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p0__seed_0042,gait_00_trot__vx_neg_1p0__seed_0042,0,0,trot,1.0,0.001646623137544413,0.033991592829344705,0.001646623137544413,-0.033991592829344705,-0.016172484845900146,0.03563821596688912,1.0016466231375445,-0.9660084071706553,0.03563821596688921,0.017819099073895065,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_00_trot__vx_pos_1p5__seed_0042,gait_00_trot__vx_neg_1p5__seed_0042,0,0,trot,1.5,-0.0012254675229390463,0.03646381348371506,-0.0012254675229390463,-0.03646381348371506,-0.018844640503327053,0.03523834596077601,1.498774532477061,-1.463536186516285,0.03523834596077591,0.011746111404888166,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_0p5__seed_0042,gait_01_bound__vx_neg_0p5__seed_0042,1,1,bound,0.5,0.0007552126920001106,0.056689634518100114,0.0007552126920001106,-0.056689634518100114,-0.027967210913050003,0.05744484721010022,0.5007552126920001,-0.4433103654818999,0.05744484721010018,0.05744478976531042,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p0__seed_0042,gait_01_bound__vx_neg_1p0__seed_0042,1,1,bound,1.0,-0.021455345828025066,0.05147940653269408,-0.021455345828025066,-0.05147940653269408,-0.03646737618035957,0.030024060704669016,0.9785446541719749,-0.9485205934673059,0.03002406070466901,0.015012022846323081,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_01_bound__vx_pos_1p5__seed_0042,gait_01_bound__vx_neg_1p5__seed_0042,1,1,bound,1.5,-0.025344676276048025,0.038747328768173855,-0.025344676276048025,-0.038747328768173855,-0.03204600252211094,0.01340265249212583,1.474655323723952,-1.4612526712318261,0.0134026524921258,0.004467549341525486,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_0p5__seed_0042,gait_03_half_bound__vx_neg_0p5__seed_0042,2,3,half_bound,0.5,0.0066360878154604576,0.044244944740773236,0.0066360878154604576,-0.044244944740773236,-0.01880442846265639,0.05088103255623369,0.5066360878154604,-0.45575505525922677,0.05088103255623366,0.05088098167525199,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p0__seed_0042,gait_03_half_bound__vx_neg_1p0__seed_0042,2,3,half_bound,1.0,-0.007803871250543438,0.05271848865219804,-0.007803871250543438,-0.05271848865219804,-0.03026117995137074,0.0449146174016546,0.9921961287494565,-0.9472815113478019,0.04491461740165459,0.022457297472178558,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_02_half_bound__vx_pos_1p5__seed_0042,gait_03_half_bound__vx_neg_1p5__seed_0042,2,3,half_bound,1.5,-0.015661864976088204,0.04109843025604884,-0.015661864976088204,-0.04109843025604884,-0.028380147616068524,0.025436565279960636,1.4843381350239118,-1.4589015697439511,0.025436565279960632,0.008478852267036121,1e-06,abs(mean_vx_pos + mean_vx_neg)
gait_03_half_bound__vx_pos_0p5__seed_0042,gait_02_half_bound__vx_neg_0p5__seed_0042,3,2,half_bound,0.5,-0.007252809300432541,0.06713453342455515,-0.007252809300432541,-0.06713453342455515,-0.037193671362493845,0.05988172412412261,0.49274719069956746,-0.43286546657544483,0.059881724124122626,0.05988166424245839,1e-06,abs(mean_vx_pos + mean_vx_neg)
