cell_id,foot,contact_mean_force_n,vertical_impulse_ns,force_p95_n,force_p99_n,force_max_n,impact_event_count,impact_peak_mean_n,impact_peak_p95_n,impact_peak_max_n,impact_impulse_mean_ns,impact_impulse_p95_ns,impact_impulse_max_ns,agreement,agreement_boundary_excluded,false_swing_contact_fraction,missed_stance_contact_fraction,contact_precision,contact_recall,contact_f1,measured_duty_factor,commanded_duty_factor,sampled_desired_stance_fraction,desired_duty_factor,duty_factor_error,duty_factor_abs_error,touchdown_matched,touchdown_abs_error_mean_cycles,touchdown_abs_error_mean_s,touchdown_abs_error_median_cycles,touchdown_abs_error_median_s,touchdown_abs_error_p95_cycles,touchdown_abs_error_p95_s,touchdown_unmatched_expected,touchdown_unmatched_actual,touchdown_unmatched_fraction,touchdown_expected_unmatched_fraction,touchdown_actual_unmatched_fraction,touchdown_event_count,liftoff_matched,liftoff_abs_error_mean_cycles,liftoff_abs_error_mean_s,liftoff_abs_error_median_cycles,liftoff_abs_error_median_s,liftoff_abs_error_p95_cycles,liftoff_abs_error_p95_s,liftoff_unmatched_expected,liftoff_unmatched_actual,liftoff_unmatched_fraction,liftoff_expected_unmatched_fraction,liftoff_actual_unmatched_fraction,liftoff_event_count
gait_00_trot__vx_neg_1p5__seed_0042,fl,88.75680204483656,478.6612637758255,134.89447021484375,137.7395635986328,138.84715270996094,39,132.79408498910757,137.86205444335937,138.84715270996094,6.9290163636818916,7.204001159667969,7.5258494567871095,0.775,0.7945823927765236,0.30132450331125826,0.0,0.6077586206896551,1.0,0.7560321715817694,0.5604166666666667,0.333658903837204,0.33541666666666664,0.33541666666666664,0.2267577628294627,0.2267577628294627,39,0.045688824011729315,0.01124368192797838,0.045571595430374146,0.011214832840479711,0.08093727231025696,0.019918064552089935,0,0,0.0,0.0,0.0,39,28,0.16553218024117605,0.04073624619882453,0.1688680648803711,0.04155718275481706,0.1936887741088867,0.04766537585956019,10,11,0.42857142857142855,0.2631578947368421,0.28205128205128205,39
gait_00_trot__vx_neg_1p5__seed_0042,fr,88.9849220131928,471.7654993391037,129.99219970703126,154.14923400878925,353.759765625,39,139.45959903032352,179.4715499877932,353.759765625,6.876713507236577,8.035372619628912,11.593870849609376,0.7791666666666667,0.8076923076923077,0.2833333333333333,0.0,0.6255506607929515,1.0,0.7696476964769647,0.5520833333333334,0.333658903837204,0.33125,0.33125,0.2184244294961294,0.2184244294961294,39,0.05029148703966385,0.012376363283367966,0.050484925508499146,0.012423967060949566,0.0863049328327179,0.02123900613720106,0,0,0.0,0.0,0.0,39,35,0.16451824733189174,0.04048672480327765,0.1637248992919922,0.04029148771386327,0.19646968841552734,0.04834973831819569,4,4,0.18604651162790697,0.10256410256410256,0.10256410256410256,39
gait_00_trot__vx_neg_1p5__seed_0042,rl,48.6003251186637,253.6493834233284,98.93398666381836,102.49118934631348,104.1182632446289,39,98.30311271471855,102.60257034301758,104.1182632446289,4.549334532908904,4.9317017288208005,5.005005035400391,0.79375,0.8235294117647058,0.26,0.0,0.6454545454545455,1.0,0.7845303867403315,0.5375,0.333658903837204,0.33125,0.33125,0.203841096162796,0.203841096162796,39,0.04373061274870848,0.010761780608225902,0.04347732663154602,0.010699448766692484,0.07929695248603821,0.01951439396606351,0,0,0.0,0.0,0.0,39,22,0.11405060508034447,0.02806701102413276,0.10511589050292969,0.025868243798258587,0.15653066635131835,0.03852104015583562,17,17,0.6071428571428571,0.4358974358974359,0.4358974358974359,39
gait_00_trot__vx_neg_1p5__seed_0042,rr,62.06585866156078,261.5410306333005,106.42062644958496,115.74186477661132,186.36793518066406,39,105.58763279058995,116.71824493408204,186.36793518066406,5.020253583467925,5.517866928100586,6.880455322265625,0.8979166666666667,0.927765237020316,0.10596026490066225,0.0,0.815028901734104,1.0,0.8980891719745222,0.4375,0.333658903837204,0.33541666666666664,0.33541666666666664,0.10384109616279602,0.10384109616279602,39,0.02166869166569832,0.005332504877385361,0.020364075899124146,0.005011448578938722,0.0458538830280304,0.011284301732028447,0,0,0.0,0.0,0.0,39,38,0.09460434160734478,0.02328142930020962,0.0946035385131836,0.023281231664671782,0.16497745513916015,0.04059973245089066,0,0,0.0,0.0,0.0,38
gait_00_trot__vx_neg_1p0__seed_0042,fl,83.27032500505447,453.4220154452324,124.2805004119873,127.36241195678711,128.77444458007812,31,123.27450241581086,127.91560745239258,128.77444458007812,6.505930341905164,6.781075973510742,6.825918731689454,0.8381147540983607,0.8699551569506726,0.2116788321167883,0.0,0.7478260869565218,1.0,0.8557213930348259,0.5573770491803278,0.39623603224754333,0.39549180327868855,0.39549180327868855,0.1611410169327845,0.1611410169327845,31,0.02673026534818834,0.00841349424198293,0.027019888162612915,0.0085046545746533,0.0526374876499176,0.016567931275139582,0,0,0.0,0.0,0.0,31,30,0.134890619913737,0.042457545376318274,0.1334981918334961,0.04201927117728283,0.16388244628906248,0.051582878069280184,0,1,0.03225806451612903,0.0,0.03225806451612903,31
gait_00_trot__vx_neg_1p0__seed_0042,fr,87.07521281155672,478.913670463562,126.95354919433595,187.23679412841773,288.5566101074219,31,137.96886616368448,214.43923950195312,288.5566101074219,7.031216524185673,8.934868621826173,10.316194610595703,0.8340163934426229,0.8606194690265486,0.22826086956521738,0.0,0.7364016736401674,1.0,0.8481927710843373,0.5635245901639344,0.39623603224754333,0.3975409836065574,0.3975409836065574,0.16728855791639108,0.16728855791639108,31,0.03841832664705092,0.012092374161691203,0.03842201828956604,0.012093536125953054,0.06711617112159729,0.021125174476196197,0,0,0.0,0.0,0.0,31,31,0.1290147227625693,0.04060807526429846,0.12978363037109375,0.04085009305397131,0.15540218353271484,0.04891366992855857,0,0,0.0,0.0,0.0,31
gait_00_trot__vx_neg_1p0__seed_0042,rl,48.99896799978063,281.8143717241287,87.8940055847168,90.58327056884765,90.6815414428711,31,88.03157658730784,90.67267608642578,90.6815414428711,4.498001825886387,4.933203887939453,4.940825958251954,0.8094262295081968,0.834070796460177,0.2717391304347826,0.0,0.701195219123506,1.0,0.8243559718969555,0.5881147540983607,0.39623603224754333,0.3975409836065574,0.3975409836065574,0.19187872185081734,0.19187872185081734,31,0.044567434057112665,0.014027838666587912,0.04277077317237854,0.013462330026415323,0.07390633225440979,0.023262414075163596,0,0,0.0,0.0,0.0,31,31,0.14746216804750503,0.04641450751113065,0.14771270751953125,0.046493366152368376,0.1865367889404297,0.05871345380320587,0,0,0.0,0.0,0.0,31
gait_00_trot__vx_neg_1p0__seed_0042,rr,53.78345282429243,271.00102202653886,91.08192825317383,95.45335006713867,98.72465515136719,31,91.1353518578314,97.17714309692383,98.72465515136719,4.557889676247874,4.991709136962891,5.0779791259765625,0.8811475409836066,0.9170403587443946,0.13503649635036497,0.0,0.8229665071770335,1.0,0.9028871391076115,0.514344262295082,0.39623603224754333,0.39549180327868855,0.39549180327868855,0.11810823004753868,0.11810823004753868,31,0.022756752467924548,0.007162809772409934,0.01959267258644104,0.006166898676232216,0.047385603189468384,0.014914872501050612,0,0,0.0,0.0,0.0,31,30,0.09676621754964193,0.030457685457565394,0.09647655487060547,0.030366512577294835,0.13672752380371092,0.04303572071801645,0,1,0.03225806451612903,0.0,0.03225806451612903,31
gait_00_trot__vx_neg_0p5__seed_0042,fl,80.25824400040297,431.83457586109637,106.81571807861327,109.06979766845703,109.85664367675781,24,106.81318664550781,109.77357292175293,109.85664367675781,5.889869985580444,6.1130772399902344,6.117839813232422,0.9130434782608695,0.9459459459459459,0.1016949152542373,0.0,0.896551724137931,1.0,0.9454545454545454,0.556935817805383,0.4705493450164795,0.4699792960662526,0.4699792960662526,0.08638647278890355,0.08638647278890355,24,0.014310320218404135,0.005761137346745502,0.012835502624511719,0.005167396145281425,0.03103394508361816,0.012493837825385854,0,0,0.0,0.0,0.0,24,23,0.09443254056184189,0.03801723706218764,0.09436988830566406,0.03799201412884896,0.11640892028808593,0.04686462412654534,0,1,0.041666666666666664,0.0,0.041666666666666664,24
gait_00_trot__vx_neg_0p5__seed_0042,fr,82.72191304100885,446.71621849060057,108.18811492919922,110.82192428588867,111.75431823730469,23,108.58096645189369,111.53953475952149,111.75431823730469,5.983468981203825,6.27795246887207,6.305517730712891,0.9130434782608695,0.9481981981981982,0.09745762711864407,0.0,0.9004329004329005,1.0,0.9476082004555808,0.5590062111801242,0.4705493450164795,0.4720496894409938,0.4720496894409938,0.08845686616364468,0.08845686616364468,22,0.012452732432972301,0.005013298150824067,0.011289596557617188,0.004545035706058512,0.026203250885009764,0.010549067035245335,2,1,0.12,0.08333333333333333,0.043478260869565216,23,24,0.08174272378285725,0.032908492026926715,0.08153438568115234,0.03282461798356753,0.1037470817565918,0.04176714274744683,0,0,0.0,0.0,0.0,24
