cell_id,planned_row,planned_family,classified_row,classified_family,classification_score_cycles,classification_margin_cycles,classification_domain_valid,classification_domain_reason
gait_00_trot__vx_neg_1p5__seed_0042,trot,trot,trot,trot,0.02019260040610262,0.13703344042212343,True,
gait_00_trot__vx_neg_1p0__seed_0042,trot,trot,trot,trot,0.014435104223937373,0.14765705849767036,True,
gait_00_trot__vx_neg_0p5__seed_0042,trot,trot,trot,trot,0.011744469490719353,0.14553930612763888,True,
gait_00_trot__vx_pos_0p5__seed_0042,trot,trot,trot,trot,0.019696941397399675,0.14307004200916995,True,
gait_00_trot__vx_pos_1p0__seed_0042,trot,trot,trot,trot,0.03522497120831064,0.12100484295844702,True,
gait_00_trot__vx_pos_1p5__seed_0042,trot,trot,trot,trot,0.042086470435118484,0.09369767349964908,True,
gait_01_bound__vx_neg_1p5__seed_0042,bound,bound,bound,bound,0.05375726354032032,0.07381791161569315,True,
gait_01_bound__vx_neg_1p0__seed_0042,bound,bound,bound,bound,0.04671730938227294,0.08157439434434638,True,
gait_01_bound__vx_neg_0p5__seed_0042,bound,bound,bound,bound,0.011295346998924325,0.11346978957969958,True,
gait_01_bound__vx_pos_0p5__seed_0042,bound,bound,bound,bound,0.013591521040993518,0.11028779968948013,True,
gait_01_bound__vx_pos_1p0__seed_0042,bound,bound,bound,bound,0.017266019925480713,0.09683400400457753,True,
gait_01_bound__vx_pos_1p5__seed_0042,bound,bound,bound,bound,0.0234764535372954,0.08624260122018834,True,
gait_02_half_bound__vx_neg_1p5__seed_0042,half_bound_front_a,half_bound,bound,bound,0.07880193590111352,0.013367753473160923,True,
gait_02_half_bound__vx_neg_1p0__seed_0042,half_bound_front_a,half_bound,bound,bound,0.06725588053108972,0.018344612084855827,True,
gait_02_half_bound__vx_neg_0p5__seed_0042,half_bound_front_a,half_bound,bound,bound,0.05522645696239936,0.03271168613644648,True,
gait_02_half_bound__vx_pos_0p5__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.06874968044297171,0.014071850452564871,True,
gait_02_half_bound__vx_pos_1p0__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.05818145931669053,0.02167954184847152,True,
gait_02_half_bound__vx_pos_1p5__seed_0042,half_bound_front_a,half_bound,half_bound_front_a,half_bound,0.04820896164609917,0.03670787014075873,True,
gait_03_half_bound__vx_neg_1p5__seed_0042,half_bound_front_b,half_bound,bound,bound,0.05762307642260053,0.041604102602599016,True,
gait_03_half_bound__vx_neg_1p0__seed_0042,half_bound_front_b,half_bound,bound,bound,0.03624474751111836,0.062358685482661526,True,
gait_03_half_bound__vx_neg_0p5__seed_0042,half_bound_front_b,half_bound,bound,bound,0.07785396158343659,0.03708493640426054,True,
gait_03_half_bound__vx_pos_0p5__seed_0042,half_bound_front_b,half_bound,bound,bound,0.03869978646591694,0.055479438327461696,True,
gait_03_half_bound__vx_pos_1p0__seed_0042,half_bound_front_b,half_bound,bound,bound,0.03307055057929153,0.0726073709842607,True,
gait_03_half_bound__vx_pos_1p5__seed_0042,half_bound_front_b,half_bound,bound,bound,0.02373405287466801,0.09605694895019938,True,
gait_04_half_bound__vx_neg_1p5__seed_0042,half_bound_hind_a,half_bound,unclassified,unclassified,0.08011854171031313,0.006416902309604608,True,
gait_04_half_bound__vx_neg_1p0__seed_0042,half_bound_hind_a,half_bound,unclassified,unclassified,0.06891844838731187,0.005192312737952218,True,
gait_04_half_bound__vx_neg_0p5__seed_0042,half_bound_hind_a,half_bound,half_bound_hind_a,half_bound,0.06617234772436417,0.013525024200140151,True,
gait_04_half_bound__vx_pos_0p5__seed_0042,half_bound_hind_a,half_bound,bound,bound,0.061282647726952,0.02338193084165343,True,
gait_04_half_bound__vx_pos_1p0__seed_0042,half_bound_hind_a,half_bound,bound,bound,0.04725887393433298,0.05397262325243844,True,
gait_04_half_bound__vx_pos_1p5__seed_0042,half_bound_hind_a,half_bound,bound,bound,0.05944545150492623,0.03333675445672476,True,
gait_05_half_bound__vx_neg_1p5__seed_0042,half_bound_hind_b,half_bound,unclassified,unclassified,0.07242166459366713,0.0021679044592849833,True,
gait_05_half_bound__vx_neg_1p0__seed_0042,half_bound_hind_b,half_bound,unclassified,unclassified,0.06808295426565125,0.00476611194914088,True,
gait_05_half_bound__vx_neg_0p5__seed_0042,half_bound_hind_b,half_bound,unclassified,unclassified,0.0649792483383263,0.009010981993932118,True,
gait_05_half_bound__vx_pos_0p5__seed_0042,half_bound_hind_b,half_bound,bound,bound,0.033765416219093534,0.06277060361746023,True,
gait_05_half_bound__vx_pos_1p0__seed_0042,half_bound_hind_b,half_bound,bound,bound,0.03812995301042773,0.05988947229036603,True,
gait_05_half_bound__vx_pos_1p5__seed_0042,half_bound_hind_b,half_bound,bound,bound,0.0447645417524819,0.05297299731687073,True,
gait_06_gallop__vx_neg_1p5__seed_0042,gallop_a,gallop,unclassified,unclassified,0.07980169782857989,0.009533775557001384,True,
gait_06_gallop__vx_neg_1p0__seed_0042,gallop_a,gallop,bound,bound,0.07388920279776633,0.0117548885320507,True,
gait_06_gallop__vx_neg_0p5__seed_0042,gallop_a,gallop,bound,bound,0.05079287518219691,0.03945307845260519,True,
gait_06_gallop__vx_pos_0p5__seed_0042,gallop_a,gallop,bound,bound,0.0529019014080617,0.051253067106266606,True,
gait_06_gallop__vx_pos_1p0__seed_0042,gallop_a,gallop,bound,bound,0.03871760500650375,0.0678128849486512,True,
gait_06_gallop__vx_pos_1p5__seed_0042,gallop_a,gallop,bound,bound,0.038180821110358275,0.05641727141516866,True,
gait_07_gallop__vx_neg_1p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.06272731752714812,0.029635340665161422,True,
gait_07_gallop__vx_neg_1p0__seed_0042,gallop_b,gallop,gallop_b,gallop,0.05699170459200853,0.030518546382372322,True,
gait_07_gallop__vx_neg_0p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.04634238579925801,0.03973438363434782,True,
gait_07_gallop__vx_pos_0p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.033847138167574585,0.07410370083802709,True,
gait_07_gallop__vx_pos_1p0__seed_0042,gallop_b,gallop,gallop_b,gallop,0.04545925562113379,0.04396865114794919,True,
gait_07_gallop__vx_pos_1p5__seed_0042,gallop_b,gallop,gallop_b,gallop,0.0557205244489952,0.019789130431421338,True,
gait_08_gallop__vx_neg_1p5__seed_0042,gallop_c,gallop,bound,bound,0.08908338536135578,0.019815118095774215,True,
gait_08_gallop__vx_neg_1p0__seed_0042,gallop_c,gallop,bound,bound,0.0704479066867032,0.013261618511657788,True,
gait_08_gallop__vx_neg_0p5__seed_0042,gallop_c,gallop,bound,bound,0.04943758526925183,0.04975432013460613,True,
gait_08_gallop__vx_pos_0p5__seed_0042,gallop_c,gallop,unclassified,unclassified,0.0780705825385295,0.0024888395339906083,True,
gait_08_gallop__vx_pos_1p0__seed_0042,gallop_c,gallop,half_bound_front_a,half_bound,0.06519602888603306,0.02168012074067814,True,
gait_08_gallop__vx_pos_1p5__seed_0042,gallop_c,gallop,half_bound_front_a,half_bound,0.06981944110471824,0.016705337504981474,True,
gait_09_gallop__vx_neg_1p5__seed_0042,gallop_d,gallop,half_bound_hind_b,half_bound,0.06796845889342233,0.010575916166154942,True,
gait_09_gallop__vx_neg_1p0__seed_0042,gallop_d,gallop,unclassified,unclassified,0.07309599646432194,0.0011804434512508871,True,
gait_09_gallop__vx_neg_0p5__seed_0042,gallop_d,gallop,unclassified,unclassified,0.07977139244297325,0.009931545606844921,True,
gait_09_gallop__vx_pos_0p5__seed_0042,gallop_d,gallop,unclassified,unclassified,0.07475249886077119,0.001451398780535601,True,
gait_09_gallop__vx_pos_1p0__seed_0042,gallop_d,gallop,bound,bound,0.054931495593667744,0.03933295030892247,True,
gait_09_gallop__vx_pos_1p5__seed_0042,gallop_d,gallop,bound,bound,0.05089269456688094,0.03793824281354471,True,
